Ac9h4d3c2s 
Qc9s5h5d4s Ts8h8d4h3h QhJc8s8d3d 9c6s5s4s3s 
JcTc4d3h2c 9d5s5h3d2h QdJs3c2h2d Tc9d6s2h2c 
Js9h4d3h2d AcQs9h3d2s Qh8d7d4s2s ThTc7c5c2d 
6s6c4s2s2d 9d8s7c3h3c Ks7s7c5s2h 5s4h4d3s3c 
Qs9h9d8c3c AsTh9c3d2d 9h5d4h3h3d Th5d4d4c2c 
9c8h5d5c3c ThTd7d5d2s Tc9h8h4h2s Tc5d4d3d3c 
AdQs6s4s2c AhJh7s3d2h Js7h6d4h3c Qd9h6d3s3c 
Tc6s5d3h3c Td8h8d5d2d Ts8h4d3h2s AsJh7h6c2d 
Tc8s8c5c2c 4h3s3d2s2h 6h6d4h2s2h Qh7h5c3s2c 
KsTh8h4h2c AcJd7h3c2c Js9d8d4h4c Kd5d3c2d2c 
Kd8d4c3s2s AdJd7s4d2d 9d5d5c4d2c 9s9h4c3h2c 
9c8s7d2h2d Qs8h4s2h2c KsTh6h4c2h Jc9s6c4c3h 
QdJsJhJd8h QdTd4h3c2s Tc7c5s3h3d KsTs5s3h2d 
Ad9s8s6h2s 7c6d4c3d2d Tc7c6d6c3c QhQc4s3d2d 
JsJd8c3h2s Ts7c6s3h2c Jh9s6d5c2c Kh8s7d6c3c 
Ks9c7c4h2h Jh5c4h3s2c AcJd5d4h2d Qh9c8h7s2h 
Jd9h7c4s3s 7s7h5c4d2d Th7c5c3h2d AhQs9c6d2d 
Qd8h7s5s3c Jd9h6s2s2h Ah8h4h4d2s AhTc7s6c2c 
Jh9s5h4h2d QsJd8h4h2c AcTh4h3s2s Kc8s4s4c2c 
9d6c5h4d2s KcQc7c4s4c Kh9s8s6s2d Kc8c6h6d3c 
Qh6s6c4h3d Qs6h5h4h3c AhQd6d4d2s 7s6s6h2s2c 
KcTc7c4c2s Qs9d5c4h3c 8c6s6h4d2h Ad5h5c3c2h 
Td8d6h4d3d Jh9d6c2d2c Qc8h8c5d2c Ad9s9d4d2h 
AsJs9d3s2s Ks9d8h7c3d Jh7s4s4h2c Td6s4s2h2d 
Jh9d4s3d2s KhQhQdQc4c QdTc8s3c2h KhQd4d4c2d 
QsTs4s3h2c Qc7h6s5d2c Qd9c5s5c4c KhTc8c4c2s 
Ac7d6d4h3d KdJh9h4h3h Ah9s8s6c3s Ad5c4s2s2c 
AsJh7h3h3c Qc7s4s4c2d 9d8h8c7d3d Jh8h7h6h4h 
JsJh5c3s2d Jh9d7c5s2c Jd8c7d3h2c KdTd4s4h3d 
9d8d3c2h2c 8d7s5h2s2c As8h8c6d3h AdJs7s6c2h 
9c8s5d3s3h Qd6c5d4d2h Js9d7c5h2c Ks7s6h3s3c 
9h9d6c4d2s KhQc7h7d2s KdQdJd7d3d JdTc5c3s2c 
Qc9c6h6c3c Jc9d6h5h2h KcJh8h6h3s Qh9s3c2s2h 
KhJh6c3d2s Qh8c6c4s4c 8d8c4s2h2c AhThTdTc9s 
Tc7h7d4d3d QsQh9h3h2h 9s9h6c4s2d Js5h4d3s2h 
Kc9c5s5c3h KdQh7h5h2s Tc7s5s3c2d Ah8c3s3h2d 
Jc6s5s4s3h 7c6c3h2h2d 8d7h6s4s2s 6s6h5s3c2d 
Jd8s7d3h2s As7h3d2s2c QdTd4d3c2s 7d6d3c2h2c 
Js8h7s3d2h Js6d5s5h3s KsJs6s6d3s Ah5s5d3d2s 
Ks8h6s4s3d Kd8s8d7c3d Qd8c6c3d2d Kc7c5c3h3d 
8s7h7c4h3h Qc9h6c4d2s Qc8s6h4c2d 9h5c4h4c2c 
Ad8h6h5s2c 8h8c4s4d2s AcQd8h4s2s AdKh9h4h2s 
8c7c6s6h2d Kd8c4c3h2d Qc8h6h4h4d Kd5h4s2s2h 
Ks9d7d4c2c Qd8d4c3d3c Js9d4c3d2c 7s5c4d3h3d 
6s5s4s4h3d Th5h5d4d2h KdQh8c7h3h As9h6h6c3d 
Ac9c3s2s2c Kd8s7s6s3h AdTh9s3s2s Ad8s4d3d3c 
Ts8h7c4d3d AsQsJs7s2s JdTs6h4h2h 9s8h7d2s2c 
QcTs5s5d2h Qd7h7c6s3h Jc8c7d7c2s KdQc7h7d2s 
Ks9d8d6d2c Kc9d8s3s3d Qc9h3d2h2c Td7d6h6d3d 
As9d8d4h4c Qd9d4s2s2h Th7c5s5d3s JdTh4s4c2h 
JsTh4d3c2h Jd8s5c4h3h 9h8d7d7c2d Tc8s7d7c2c 
9d8s7c4h3s Jd8h8c3h2c KhJc8c4s2d QcJc5s5h2c 
Ks7h6h4d3h Qd8d7d5s5d KhJd8c7s2s Ad7h6d2s2d 
9d8h4s2s2h JdTs3h3c2d Jc5h4c3h2c Qh8s7s7c4s 
As8s7s4h2s QsJc6h6c2d Ah8d6d4s4c Td9h6s6c2h 
Tc7h5h5d3s Ks8c7h5c3c Kd9c5h3d2s Jd9h8h4c2s 
Ts8s6c3s2c Qs8h7d5c3c Ah7d3c2s2h Kc8d8c3s2s 
Tc8h5h3d2d Qc9s6h6c2c KcTs8h5h2h KsQd9c8c3c 
QhJd4h3h2c 8s5h4h3s2h Jh9s3c2h2c KdQs6c4h2c 
KdQc6h4s2h Ts7d6s3c2c Qc9d6h4d3s Th8d7s5c2c 
9h9d4s3s3c Kh7s4h3s2s Ts6h5h4h3d AcJd8s6s2s 
Jc5h4d3c2h QdTd8h3d2s JhTs8c3c2d JcTd7h3c2s 
QhTc5d5c2s Ks8s8d7c2s Kd8h8d3c2c Ks8c7d6h3h 
Qc9d7d3c2d Ks9d8c4s3h Kd8h8d7s3d Qd6c5d4s2d 
5s4h4d3d2h KsJs8h8d2s Kh8c5s4d4c Ah9d7d3s2s 
Qc6d6c3d2d Th8d8c4h3h Qs9c5h5d3d Qd5c3s3d2c 
Ah6s5c3s2c Ac9s5h5d4h Qh9c8s7d3c 7c6h4c3s3c 
Ah9s8s6d3s 8c6s6d4h3h 9s5h4h3c2s KsQc9d4h2c 
9h8h6c4s3h Qc5s4d4c3h Jc8h8c4s2d QsJd8d6d2d 
Qd7h4h4d2c Qd9s8d7h2d As9s7d6s2s Jh9h9d3s2c 
AsQs6d2s2c Qh7s7d4h2d AcTs7h6s2s QsJh4c3h2d 
AsQh6h4h2c Js9s7s3d3c KcTh6s4s2d QcJd7d3h2h 
Jh6h4d4c2c Kc9s8s5h5d Jd8s7s6h3s Ah8h6h4h3c 
Jc7c6h4d3c Qh9d5s5c3d AdTh5s4c2h AcQd8h4s2h 
Ts6h6d5c3d AcJh7h3h3d Qs4h4d3s2h KhQs9h3h3c 
7h5d3s2s2h Kc9h8d7s2h Jh6d5s5c3h Td6s5s2s2d 
Jh9d7c4s3s 9h8s7h3h3d TdTc9d3d2d QsQc9s3s2s 
Jh6s5s4c3s Ad7s7h4h3h 8h8d6d4d2d Kc8s8d4h4d 
JdTh7c6c2c Js9h6d5d2c Td9h8s3c2h KsJc7s3h2d 
QhTc5h3d2h KhJs7c2s2c KsTh6s3s2d 9d5s4d3s3d 
Jd9s3s2h2d Qs5d3c2s2d As9c4s4d3s Qs7c6d4d2c 
Js8h5s4s2c KhJc5d3s3d KdQd4c3d2h Jh7d6c4c2d 
Js8h6h3d2s AhQc8d4d2s 9h6d6c5d2s Ks9h8h6h2d 
9s9c6d4c2h AcTs6h5d2s Qh6s5h4c2h KsQh9d4c2h 
Qh9d6s6h2h Qs7c6d4s3s Ks8s7c4h2d Ac7h6s5s2d 
Ac8d6d5s2h 8c6s6d4h2d 7d5c3d3c2h Qs8c7s6s2h 
9s8c6h4h2d Js6h5s5d3s Qd4h4d3c2h QcTc5s5c2h 
QhTc5c4c2c 7c5h5d4d3d Jc9c6s6c3c Jd6h5s4d2c 
QcJs3d2h2c JdTh7s6s2s Qh8d8c5c3s Ks6c5s3s2h 
Tc8h5s4d2d Ah9s4s4d3d Ac9d4s4d3s Kh7s6s4c3d 
JhJc7c5c2c Jh9s9c6d2c 7d7c6c4c2s Th8d7s7h2h 
9d5h4d3s2s JhTc4c3d2c Qh4s4d3h2d Ts7h6d5s2c 
Jc9h7d5s2d QhTh4s3d2c JdJc7s4h2d Ts9d8c3h2d 
KsQd7s7c2h Ts8s5c4s3h Jh7h5d3d2d Jc7h6s6d3c 
Td8s5h5c3d Jd9c3h2h2d Jc8d7c3h2d Kd5c4h2h2c 
Qs8h4s3s3h Qh7d4h3h3d Ks8c7s6h2s As9s9c4s2d 
Ks8s4h3d2d KhTsTd3c2c Ad7h7c5s2s Ks8d4s4d2s 
Tc6c5h3c2h Qh6h5s5d3h 7h5h5c3h2c 9c6s4d3c2d 
AsQs8s6s3s Kh9s8d8c4c AhQsQhQd9c Qh9d7s7d4d 
QcTh4d3s3d Ah9d6s6c3c Js8d6c5h2c KhJd7s6c2d 
JdTh3s2h2c Ad6d5h5d2d Kh8h5h5c4h Ah9c4d4c3d 
QhJd7s7c3d KcTc4s4d3c Kc8c6c5d3c Qd9h5h5c4h 
Js9h3h2s2d Qh7d6h6c3h Qh8c7s5s3d Ac8h8d5s2s 
9c8s7s7d3s Jc9h5c4c3c KdJh7d5d2d Kh8d4c3d2h 
AhJc6d4s3d Qd6s6c5h2d Qd8d7d5d5c Qd5h3s3d2s 
KhTs6s3s3d QsJh8c3d2s Jd7c6d4h4d QsJc9h7d2d 
KsTc5h3h3d 9h8d7c2s2h Jh9d4s4d2s KsQs4d3s2h 
Jc7s4s4c2h Kd9h3h3c2d KcQh8d5d3d 9h5s5h4s2h 
Js7d6d2s2h 9h6d4d3c2c AcQh9h7h2h 9h8s7s3h2h 
JhTd6s4s2s Kh9c8d7s3c Qh9d6s6c2h KsQs8h3h2s 
Qh6d5d4d3c 9h8c6c4c3s Jc8c5d4s2c Td9h7c4s2d 
AcTh6c3c2d Kc9h8h5s5d Td7d6h6c3d Qs8d7h6h3c 
KcQc7c6c3c Th5s4s3s3h Qd9d8d6s2d KsTd5h3h3c 
5s5c4c3d3c Ts8c5c3h2h Ts8h7c4c3d Tc9d7h7d2d 
9s5s5h4s2h KcTs7h3d2c 9s5d4s3h2h QhJs4h2d2c 
9c7h4d4c2d Jh8h7c5s2h 9h8d6d4d3c KcJh8h3s2s 
Td5h4d3h2c Th8s7h7d3h AsAhAdAc3h Ks9s9h8s2s 
Kc9s8h7d3s KdTs5s4h2s Jh9c8s4c3d 9c8d6s4c2h 
JsTh6d4d2d Ad9s8s6c3s JdTs4d3c2d Ks9h9d8h4h 
Qc9c4h2s2h Td7h6d3s3c 9s8c7s3s3d JcTh7h4d2h 
QcJs8d7d3d Jd8h7h5c2s Jd8h8d3d2h Td8d6c4d3d 
KhTh4c2s2d 9s8c5c2h2d Qs9h8c7d3c KcQs7d4h4d 
Qc8c4d3d3c AdTh7s7h2h Th9d7c5s2c 9d8c4h2h2d 
As9d7s3c2s KcTd7s5d2d Tc8d5d4h2d Kc8c7h4d2s 
9c5h4h4d2d 9s5h4s4d2h 9c6d4c3h2h ThTc8s3c2d 
QhTh4d4c2s 7d5d5c4s3d Ts7c6c4c3c AsQc5c3d2c 
AdJh7h6c2s 9s9d5c4d2d Jd9d8d6h3d Tc9h7d5s2d 
KhJh5s5c2h Kc5d4h4c3c AsTdTc4h2h 9s6s5s5c2h 
JdTs8c3c2h Kh9c7s4d2h Qs8s5s5c4s 9h9c6c4d2s 
Kh9c8d5s5c 6h6d4c2s2c Th6d4d2h2c KhJs7c6s2d 
Qd7h7c6c3s Qd7d6s2s2h Qc7d6s6c3c 9s6h5h4d2c 
Qh7c6h6d3h 9h5h5d4d2h Td8s8c4s3s KhJc8s5s2s 
Qc7s6h4h2s Jc8s6d5h2d 8d6h5d5c2d Tc8d6s4c2c 
Kc7d5c3s3c AcTh7s7h2h Qh6d5h4s2h 8d7h7c6s2d 
JhJd9s3c2s Kh6c5s5d3c Ac8d6h5s2s Jh5c4s3s3c 
Jd9h5d4d2s 6c5d4h3s3c QsJs9s6s2d 6c5s5h4d2c 
Kh7h5s5c2d 9d8d6s6h2d AsQc6c4c2h Kh8d7s4d2s 
Jh8h5c4s2h Ad8c7d6d2d 8s8c7s5s2s Qs8h6d4s2c 
9d6s6c5h2s QsTh5d3s2s As8h6h4d4c 9s8h5s5c2d 
Tc7h5c4c3c Qh6h5c4h2d Jh8s6d5c2c QcTh6s6d2s 
As9c7h5d2c Ah9d6s6d3c Jc6d5h4s4h 7s7h5d4c2c 
Qs6h5h5c4h Qh9h8s4d4c Th9c6c4c3c Jd9h5s5h2c 
9s7h4s4h2d JcTd6s6h2h 9h9c6d4h2s Jc9d5c4c2s 
Qs8c7d4c2d KhQcJc7c2c AhTd7s6d2d Jh9d8c3s3h 
Qh9d6s5s2c JdTd8d2s2d Jd7h4h4d2s Ks7s7c4d3s 
AcQs5h5d2h Ks7c5s3s3h 9h8d7c3h2c QhJd9c3h2h 
Qs8s4c3s3c KsJc7h6d2c 9d5s4s4c2c Ad8s6h5c2c 
9h8d5h5c2s AhQc5c3d2c JsJc7s5s2s 6d5s4s3s2c 
Ah7s6d5d2c Kh8c7c6c3s KcTc5h5c2s Jc9c8h8c2c 
9h6s5c4h2d AdTd6d4d2c KsJc7h5d2d 9s9d8d7d2d 
KcTd8s5d2d 9s5s5c3d2d QsJs5h5c2s KsJc8c3h2h 
7s6d6c2h2d AdJc8c4c3c As9s7s2h2d Kd9s3s3h2d 
Jh9c8h3s3d AsJc8c6c2c QdJc8s8h2h Qd9s9h2s2c 
QhTc7d4c2s Ad9s4h4d3d KcJd9h2s2d ThTd9c3c2c 
AcQs8s4d2s Ts5c4c3h2s Kh8d6h3d2h Ts8h6d4c2h 
KcJs8s4h2d Jd8c5h3h2c Ts9d5s5c2h 8c7h7d3c2d 
AdQd6c2s2d AcQsQdQc9h As8h8d6c3d QcTc4h2s2d 
AcKd9s4d2d Qh8h5d5c3s AsTc6h6c3c 8c7c6s3s2c 
Ts8h6s5s2s 8h8d7d5d2d Qc6h6c3h2h Tc8c7c6c2d 
Ks7c5s4s3s 7s5h3s3h2c Ac8s4c3d3c AhTs7d5s2s 
KcJs7h6s2d Kc7s5s4s3h Td8d5s4d3h Ac7d6d4s3d 
7d6h5h5c2s Qh8h6s6h3d JcTh7d6d2d 9c8d5d4h3s 
KhJd8s4c2d AdTd4d3h3d Ah6h6d5h2h Td8h8c4c3c 
Js7h6c2s2c Jd8c6h5s2h AsJs9s6d2s Td9s5h5c2d 
Js9s6s5s4s Jd8h5s4h3c As7d5d3d3c Kc9d7h4s2c 
8h7s7h6d2h AcKc6h3c2c 8d5d5c3s2s 9d7d4h4c2c 
5s5d4d3h3d KsJd9h2d2c Js6s5d5c3h AdQc5d3d2d 
Jc8c7s7c2d KcQh8c4c3d 9h6d5s4h2c JdTs7h4c2c 
AsQd7s3s2h KhKdKc9d2c QdJs9d3c2d Js9h8d4h3c 
9d8c5s4d3h AhJhJdJc2c Jh6c5s5h3h KsQd9s4s2h 
Qc7s7h5d3h 9d6d5s4d2h TsTh8d3h2c 8h6c4d3d2c 
Qc5d3s3c2s Ks9d9c8d4d QhJd8s8d3d Kd7d6c3h3d 
KsJh9h4h2c KhQd8d7s2d KhKdKc9c2d Qs8s6d4s3c 
Jc9h3h2s2c JhTs3c2s2d KcQd4d3d2h Ks7d5s4s3s 
Qh7d7c4s4d KsQs4c3s2d 9d8s4c2s2c AhTc6s5d2c 
JdTh7c3d2s AhQd6d3d3c 7d6s6d2d2c Qd7d5h5d3c 
Qc9h3h2d2c KdJh8h4c2s 7h6h5h4h2c Td7h5c3d2h 
Td7d5s3h3c 7c4s4c3d3c Tc8s8h4h3h 7c6c4h3c2h 
Qc7c5h5c3s QdJh8h8c3h 9h6c4s3h2s KcTc4d2s2h 
9c8d5s5c3c KhTs4c3s3d Qd8d6s6d3h KhJc8s4d2c 
9d8h7d3h2d KdTs3d3c2h Qd6h5d4s2d QsJc4c3h2d 
9d8d3h2h2c KdTs9h3c2c 6s5s4s3c2h KhQc7c5c2d 
Ac9s7c5c2c Kc9d6c3s3c Kh8c4s3c2h KdKc2s2h2c 
AdJc7s3d2d AcJs7d3c2c 8d7h7d6s2d 9s9c4c3d3c 
Ts8s8d3s3c 8s6h6c4d3d 7c5h4s3s3d KsQdJs7s2s 
7h6s6c4c2d ThTd6s4h2h 8d7d5s3d2s Ks8c4s4c2s 
KdJh4s4h3h Td7h6d3s2h Jc9s6h5d2h Ah9s9h4h3h 
9d5h4d4c2h 6d6c4h2s2h Tc8d7s7c3c Jc9d7h4d3d 
Ad6h6d4d3d As9s9c4s3s 9h8s7d4c3s Qd6h6d3h2h 
Qd9c3h2d2c Kd9h6d3d3c KdQd5d2s2c Kh7d5d4d3c 
8h7d5h2h2c Jc6h6d5s3h Th7s5s3h2c Js9h6c5c2c 
QsJh8d8c2d Th8s5c4s3s Qc8h7s5d3d Jc9c3s3d2s 
AhQh7s2h2d KsTs7s4s2c AsTs4d2s2c AdQh7d3d2c 
7s4s4c3s3d KdJc8c4h2s Ac8h8d6h2s ThTc4c2s2d 
Jd7c6h4c3s 8c6d4h3h2d Ts8h6c4d2h 9d8s7h2d2c 
KsTc8d5d2d Ks8c6c3s2s KcQs8s7d2s QsJc7d4h3h 
AsTc9h3h2h 9c6c5s5c2h TsTh7s5s2c Kc8h7h6h3s 
Kc9d5s3c2h 7c5d4c3s3c Kc7s5h5d2c Ad8d4d4c2h 
QsJc9h4h2d Qd4s4h3d2s KhQc9h3s3h AhTc6d5s2c 
QdJc6h6c2s Ah8d6d5c2s AhQh7h6s2h AcJd7s4h2d 
Jc8d7c5h2c 9s8c7h7c3c KcTd7s4h2d Kd7s7d5d2h 
Jh7h6d4c3h Jh8c7d5c2s KcTs6s3s3h Qh8d6s4h2c 
QhJs8d8c3d KcJs8d4h2s 9c8s5h5c3c Kh6c5s4d2s 
Jh6c5d3c2d KhQh4h3h3d Js9h9d4c2h 7s5h3h3d2d 
9s8h7c2s2d Jc6s5h5d3c Ac8s6d5h2h QsJs8h8c2s 
Ah9h3h3d2d Ts9c7d5d2d KhTc6d4d2s 9d9c7d4d3d 
KdJc7h5s2h Jd5c4c3d2d Jh9c6d3d2c Qd9c7c6c3c 
Ts8d5h5c3s Ts9d6c4h2d 9s5c4s2h2c Ts9d7h7d2d 
Qs9c8h7h3h Qc8c5h5c4c QsTd5c4c2c Tc6h4h2d2c 
Jc9h6s5s2d Qd8c4d2h2c KcTd9h3s2s 7d6s6h2h2c 
Qd9c6h4c3s Jc8s5s4d3h AsJh6h6c3h JsTd4h4c2d 
Kh8c7d4c2d Kc9d3s3c2d Ah8d6c5s2s TdTc6s2s2h 
KcJc9s7c2c Ts8d7s4h2c Jc9d9c3h2s Qd9s3h2s2d 
Kc8h8d4s4d AcTh5s4d2h Qh9d5s5c3c JcTh4h3d2h 
KcQs6h3s2d Jd8c6h5s2s Ah6h6d4h3h Kh8h4c2s2c 
Tc8d5h4h2h KcQc8s8h2d JdTs7h7d2d Ac9h4s4c3c 
Qh9d5h4s2c Qc6s5c4c2h JhJc6c4c2d QdTs8c3d2d 
Tc8h7s5c2c Th8s7c4d3d QsTc5d3s2s KdJc7h6c2s 
Qs6d5c2d2c Jc9h8h4s2d KcQh8c4c3s AhJd7c3s3c 
Ah8c6c5d2s KdJs8c7h2h KsQs8h4s3d Jd8h5d4d2s 
Tc7h5s3c2s Jh8s7s5c2d 7c6h5h5d2s 9h8d7h3d2h 
KhQs8s7c2s Td8d7c4h2s Qs8d5s4s3c QhJs8c2h2d 
KdTc8d3s3d Ad9h4s4d3d KcTd6d4h2d Th7s7d4d3d 
Kc7h5s5d2c KcJh6s6d3d QcJd8s6s2s KcJd8d3h2h 
9h8c6d4d2s AdTh5h3s3c Qc7s6d6c3c Ac8s6h5d2d 
Jh9d5h4h2c Ts9s8h3s2c Td8s6c4d2d Qc8c6d2d2c 
Ad8h8c5c2c Tc9c4h4c3s Ks8c4d3c2s Qs6h6d5c3h 
As8c6d5h2d Ah8d7c5c2c Qc9c5h5c4c Qs7d6c5h2s 
Js6d5s4s4c 7h6s4h3h3d Ac7c3s3c2s Qd9c6s5s2h 
9d8h5s4c3h Qd4d4c3c2h Kc6h5s4d2s Th7c4d2h2c 
Qh9s6c4c3d KhQc9h4h2s Qd8s6h5h3h QsTs8c3s2h 
9c6c5s4d2h QhJh7h5d2c JsTc7h4d2h Jc9h9d6h2h 
Qd8s5d4d3c Qs7s5c3d2c Ts8d7s3d2d AdJd9d6c2d 
Jh8c6c3h2d JhTc7s7d2c KhTd5d3s3d QcJs9d3c2c 
Ks9h8d8c4d 9h8s7s5s2s 4d3s3h2h2d As9s5d2s2c 
Ts9s6d2h2c Qh9d9c2s2d Kc7s5c4c3c Qs7s6d2h2d 
KdTs8s4s2c JsTd7c4h2c Qs8c6c4d4c Qd7s7c4d2c 
QcJd6d4d2h Td8c5h4s2s Js8c7c6h3c 7c5s4d3h3d 
AsQd8c4h2h Ac7s3d3c2h AsJsJhJc2c Ks8h6s3h2s 
Kd9h6d3s3d Ah9c8c6s2c QsJd9c2h2c JhJc8d4d2d 
Tc8h5s4s2s Ks9c5h3s2d 9d6d5h5d4d Jh8h7h7d2s 
JdTc5s3d2d 9d5c4d3d3c JsTc5c2h2d 9h8h7c3c2c 
Ah6d5d5c3d KcJs5d3h3d Jc9d3h2h2c KdTc8c4c2s 
As8h7c5h2h KsKhKc5d5c JhTs7s4d2s AcJc7s7c2c 
Js8h7c6d3h JdTd7c6d2d Qc6s6d5h3s QsJc9d4h2h 
Qs7h7c6c3d Jd9c8d2s2h Qs6h6d3s2h KdTc5d4d2d 
Ad7s7c4h3h QdTs7s6c2s Qd6s6h5s3s 9d8h4d2h2c 
QcTc8d3s2c Ad9c7d5d2d JhJd4d3s2c AcKs7s2s2d 
KsTs4d4c2h QsTs7h5s2d Kd9s8c4d3h QhJs8d3c2h 
Jc9d7h3h2d Js8s6s4h4c 8d6s6c4h2c KdTd7d4d2c 
Kd9h8h5s5c Kh6s5h3h2c AcTc6c5c3c Js8c6c3s2d 
Tc8s5h4s3s Js8d7h6d3d AcKs3d2h2d Ts8d7s7c2s 
8h6s5d5c2h Qs6h6c5d3h KcQh5c2d2c 9s9c6h4s2d 
Qs8d8c4h4c Ac9s4h3c2d AsTd5c4c2h 6s6h4h2h2d 
8h8d7c4c3c Jh8s7s4s4d Kh7d5h3s3h Th6d6c5s3c 
9c8d5h5c2s Tc6s6h5h3d JdJc5s3d2h Qc9c8s4h4d 
Ts7h5h5d3c KsJc7s5s2s Js8s6d2s2d Qh6s4s4h2h 
As8c7d5d2d Ts6h6c5d3c Kh7s7h5c2h QsJh4s2d2c 
KsQs8c2s2c 9d5h4c3h2d KsKhKc7s3c As9c7d5h2h 
KhJs4s4d3s Jd7d5c3c2c Kh9d8s7c2d 9s6s5h4s2c 
Ts8c7d5h2d JdTs8h3c2c 6h5c3c2h2c Ks8d5c4h4d 
Ts8s7c4h2d Ks5s5d2s2c 9d8h7s4c3h 8c7s5c2d2c 
Kd7h6c4c3c 9c8c5h5d2s QdJd9d7s2d Ts9h6h4h3h 
Ts7c5c3s2d Kh7c6s4d3s Ts8c6d6c3c As9h6d6c3d 
8d8c4s4h2s Tc7h5h3c2d 7h5c4s3s3d KdJh5c3s3c 
Jd6c4s4c3s ThTc6s4c2d 7s6s4s3d3c Tc5s4s3d2c 
KcTc4s2h2d Jh7s6d5c2h Qh8d4h3h3d Jh9c3c2h2d 
8c6d4d3h2c 9s5h4h4d2d KsTc6d4d2h 8d7c6d3s3d 
AdTd6s5d2d 7s7d6s6d6c 6s5c3s2s2c Js6s5d5c4s 
Jh9s6h4h3d Kd7h5h4s4h 9s6h6d5c2h Kd5h4c2h2c 
Jd9s3d3c2s KcJh9d2s2h QcJs4d3s2h 9h8s7d2h2c 
Ad9c7s3h3c Js6d5h4d4c Ts7s7c4s3h 7s7c6d4d2d 
JsJd7d5d2d Ac8s7d5d2d Jh8s7s3h2d Td8d7h4d3s 
QhQdQc5h5c 9h8s5h5d2h AsJc7h7c2d 9s8c6s4h3s 
KhJd7s5c2c KsQs8s6d2s Tc9d8d4d2h Qs6s5h4s2c 
Qs8s6s6h3d Kd8s8d7c2d QsJh6c4h2h KcJd4s4d3d 
9s6c4s3h2h Js5s4c2d2c AhJd5c4c2s Jd8s7s4s4h 
QhJh5s2h2d 9s9c4s3s2c Kh8c7s5c3c Ad6h5c3h2c 
9d6c5c4s2h Ac9s9d3s3h AdQc9h6s2s Td8h7s5c2s 
As5c4h2h2c QdJh6c4h2h Jc7s6d4s3h 9h8h6d4s3h 
Kd9h8c7s3h Qh5h5c2s2d KdJh7d6s2d JhTh4h3c2s 
9h9c5s4c2d KdTh6d3d2c 9d8c7d3h3d KcJc8h7c3c 
Qs9c3s3c2d JcTc8c2h2c QdJs6h4c2h AhJc7d5d2d 
Ac9h9c4c3c Ks9s7h4s4c 9c8h6d4c2s Kd7h6h4c3s 
9s9d6d4h2c AdJsJdJc2c Ts8c5d4d2d AcTd7h6d2d 
9c5d5c4d2c 6c5c4d4c3s QdJh4d3d2s Jd7d7c5s2h 
AsKh6c3h2h 5h4s4c3h3d 5s4d4c2h2c Tc8s5d4s3s 
Qs9h5d4d3c Kh9d8d6d2s KhJs8s6s3d Td6s6c5c3h 
Ks9s7c4s4h 9h8d7s7d3d Qc9s5d4d3h 9s5c4s2d2c 
Ks9c7h7d4c KsQs5s2h2d KsQs8h8d2c KhQd8s8c4c 
KsJh7s3d2c 9s9c5d4s2h Kd7d6h3s3d QsTs4s3h2d 
Qc7s7d6d3h Jh6d5d4s3d Kh5s5h2h2d Jc9s8h3d3c 
AhTs5c4c2d QcJh8d4s3s KsJd9c3h3d 8d7d6s3s2d 
Qc8s7h5h3d 8h7d6d4s2d Jh9d3h3c2d AcJd6s4h3s 
Td7c4s2d2c Ah5s4c2s2c Th9d6c4s2d KhQc8d7c3c 
Ac9d9c4c2h Td9d5d4d3h JsTh7d7c2h JhJd7c4s2d 
KsTh8c5d2c Ks9d6d5c2h Qh9s5d4c3d 9h8d6d3s3d 
7h7d6h4h2s Jc7h7c6c4c Ks9s9d4s4h KsTd3s3h2c 
8d6c5s5h2c KhTd7c5d2d Ts8h5s4s2c AsTc3d2d2c 
QhQdQcTc6h Qh8c6s4h2d 9d7d5s5d3d QdJh8h4c2h 
KhQc6d3c2s JsJd9c4c2c Qs5c3s3d2d Tc9d6s4h2d 
Kd5s4d4c3d Td9d8d4c2h 8h7s6h4d2h Js6c5c4c3d 
Qc6s6h5d3h Jd9s9h4c2s Qc8d7s7d4d QdTc6s6h2s 
AcTc6d5c2c 9d5c4s3c2d Qd6h5h4h3c Ac8s8h5d2d 
KcTh8h4h2s Jc9c7d3s3c Td9c6s4h2c Js7s5s4s3h 
7h6h5h4h2d Qs7s5s5c3d Js6d5h4c3c 9s8h5s5d3s 
KcTh9d3s2s 8c7c6d4h2c 8s6h6c4d2h Js9d8d4h3c 
Kc8h7s4h2s Qd8c6s5h2h Ts8d7h5c2h Js8h6h3s2d 
Tc7s7d4d3d AdQh8c4s2c JhTc4h3s2h Ts8d7c5h2h 
KcQs6h4d2h 8h6d5h5c2h 7h7d6c5c2c KdTd5h5d2s 
Tc7c6d2d2c Td9d8d4h2s Qc6s4s4c2c As8c4s3s3h 
AdKc3s2s2h Ah9c7h5h2h 9d8s8c4h3c Ac8s7s6d2h 
AcJs8s8d8c Ks9c7h4d2s QdTh9h9d9c Js8s8c3s2c 
Jc9h8c4d4c Qc7s4c3s3c Kd9h3s3h2d 7c6c4c3s3d 
QsJh8d4c3c Tc8s6c4c3c Jc9s7h4h3d Ac9s7h5d2d 
5c4h4d2s2h AhTs6s4d3s QhTd8d3s3c AhQs5s3c2s 
