QdJs6h5h2c 
Kc6s5c3h3d Th6s6c5s4d Ad9s4s3s2d AhTc8s4s3d 
Qh6h6c4d2d Kh7s5d3s2h AsQs6s6d2c KcJc9d6c2h 
QsTh8c7c3d 8s8h7c6d3s JsTc6h6d3h Jc9h7d4h2c 
Qs8d6c5h5d Jc8h8c5s2d TsTd6c5h3h Th9h8h5s5c 
KcTs7s5s3s KsQsTs3c2s Jc6s6c4s3c KsTd7h7d3d 
7c6d5h3s3d QhTh6h4h3c Kc9d7s5s4s 9s9c6h5s2s 
QhTdTc7s2d Ac7s5c4h2c 8s8d5c3d2c KhTd8d7d2c 
KcTd9h4s4d KdJs5d4c2d Ks9d8s7s3h QsJh8c6s3s 
JsJc6d5c2c 9c7h6h2d2c 9h9d7h4s2s Td7s4c3d3c 
KhTh4c3h2c 9d8c6d4c2d QcJh6s5c2c KdQcTc7h2c 
AcQd8h4d3s KdJsJhJd9h 9h9c8h8d8c Tc8s4s3h3c 
As7h4s4d3s Ks9s7c3d2c Tc9d5h2h2d Td9h7h5h3h 
KsQd9s4s3h 9c4s4h3h3c JcTc9c3s3c 9d8h8c7s4h 
Kc9h9c7d3c KhQc6s5c2c 9c7s6h4h2c JdTd9c4d2d 
9d9c6h5s2d AsJh6d5c3c ThTd9h8h2h KcJh6h5d2s 
AcJc8c6d3c QdJs8c6d3d AsQc9c7c2h KdThTd8d3d 
9h9c8h6d2h AsTd3h2s2c 9s6s6c5s4h AhTh9h2h2c 
8d6h5c3h2c QdTc9d3d2h KcQh5s2d2c AsQd7c5d2h 
Th7s5d4h2s AdQh8c3h2c 8c7s6c4h3d Kc9s7s5d3h 
KsQs9s9c4h As6h6c5c4d KcQhJc3c2c AsTd6h4h4c 
QhJd6s5s2c Kh9h9d7s3h AhJh7h6h4h Ac9s9d8d4d 
KdJsJh3h2h AsJc7h4s2s KsKhKdQcTh 8d6h6c5h3s 
Ac7s6h5s2h Ks9s8s7c2h 8s8d7s6c3s 9c8c7d6s3c 
QdTh8s4s4c Tc9c4s4d2d Ah9s8h7h2h 9d6h5s4h3c 
JcTs7c4h2d Kc9s9c7h3c JsTc6s2s2c Jc9s8h6s4s 
KdQh9h4c3s ThTc9c8c2c JsJd6c5d2d 9h8c7c5s3c 
QhTh6s4h2c QhQc9s3d2h QsTsTd3s2c Ts8d5d2s2c 
QdJc9d3h2s Td8s5c2d2c Qc6h5h2d2c 9c6s6c5d4c 
As8s3d2h2d Td9c7s4h4c AsTs8d3h2s JhJd9c5c2c 
8s8h6d4c3d Ks6s5s5h3c Jh9h6c5s2d 6s6h3d2s2h 
QsQhQd9h8s 9d8h7h5c3h As9d5h3c2s KcTs9s5h5d 
ThTc6s6h2d KsQdJh7c2d JsTd8h4c2c JsTh7h5d2c 
7h5d5c4d2h AdJc5h5c3c AcQh8h8d2s Qc9d7c5h3c 
Qd9s7c5c4h QsQh7d4d3c Ac7d4h4c3c KdQd8h5d5c 
KhTh7s5h3h 9h9d8h6s2h KhTd7s4d4c KcJs9h8d4h 
8d8c6d4h2s Kh6s5h3d3c KsJd8h5d5c AcJh6h5h3d 
Kc7d6h5s3d KhTc8h5s2h Ks9d5s4s2d KsQh7d7c4c 
KdJsJh8s3s Js9s9c5s2h JdJc9h4s3s AsJs4s3h3d 
JsJc7d6h3d Kh9h6d4s4c KcQs7h6d3d Kd9c8s6s4h 
QhJc6d4d3s AcQh7s6s3s Qh8s8d5c4d 9c7h5d4c2h 
Ts8c5d4s4h Jd9h8s8c4d 9c8h8c7d4c Tc8h6c5s3d 
Kd9h9c5d4d JsTd4h4c3d Kd8s6c4d3h Ks7s6s6h3d 
KsQs9h5s5d Kh8h8c4s2s 9h7h5d5c3s KhTh7h3d2d 
Qd9s6c5h5c Th9c6d4s3c 8d5d4h2s2h Qc6h5s4s2h 
8s7s6s5s5c Th9h5s5h2s KsQc5h5c3c QsTh6c5s2s 
9h7c4s4c3h Kd8c7c5c4c 8s7s6s4d4c AcKh6s6d3s 
KhQd7s5d2c Jc9h8d5h3h Jh7s6h6d4c Kd9s6s4d2d 
KhQs8c6d2s AcQd8c6c2c KdQs9h4s3c Td9s8s5s5c 
Qc9c6s2s2d Js8s8h5d2c KdQd8d5s3c KdQcJh8h2h 
KsQhQc8d2d Ah7s6d5s2d KcQc8c5d3s Kc6s6c2s2c 
Kd8h7h6s2s Qh9c8c6s4c 5h4s4d2s2h Ts9s4d4c2c 
8c7c5s4c3h 7s7d4h2h2d QdJs5s4s3s As7s3d3c2c 
8d7d6h4c3s Jd6c5c4d2c Jh9s7c4s2h KdTs5s4s4c 
Jc8c7c6d6c 9d6s6h5s3c Js5h5c4h2s TdTc6s6c2h 
7c6h6c4h2c Kc7c6h3h2s Kc8s7s7d3d Ts9c7s6d2h 
Jc8d8c5s2h Qh6s6h5h4d AsQd8d6d2h Tc9d4d3c2h 
KsQh8c6s3s AhKhTh5h2h QcTh8s7s3d 9s7s5s5c4d 
Th9s8c5d3c Kc8h5d4c3s KcJs6s5h2d QdTc9c3h2s 
6d5d4d3s2s As8h5s4d2s QcJsJc7c2h QsQh6s6h6d 
Js9d6h5d3d QdTc9d3d2s QdTc8d6d2d AsQc5h5d3d 
Qc6d5s4s2d AsThTc5c2c AhKd6h3h2s Ah4s4h2h2d 
KhTc6d6c3s Qc8s8h3h3c JdTc7c5h2s AhJd8s4c3d 
Kh7s6c5d3s As8h5d4d2h KcJh7d6s3s Kc7d6s5h3d 
9d7s6s2d2c AhTh6h4h4d 9h8c6c3s2h Ts9s4h4c2h 
Jc8h7c4s2s 8h8d6s4c3c AsJs9c6s3s 9h8d7c4c2d 
KcQh7s7d4d Ad9c7h6s4s Qh7s6d6c5c Ks9c7d6c4c 
Td6s6d4s2s Qc6s6c5d4c KhJcTs6s2s TsTc8d6h2d 
AhJd8d8c3d KhJc9c5c3c Qc9c6h4s3d AsJs9s8s3s 
9d7d6d5d5c AcQs7d4h4d QcJhJc7c2d 9s9c6d5h2h 
JdJc5h4h3h Jh8s7h4d2d Ac7h7d6h3s KhTs8s6c2d 
KsJd7d4c3h Th7h6c4s2c Ah9s9d8c3d KdJc6d5s2d 
Th9h4d3d2c Ah9h8s7h2h KdTs5s4s4h KhQs7d7c4d 
AsTh8d4h3h AhQc7s2s2c Td6d5h3h3d AhJh9c6h3h 
QhQd7s7c2d QcJh7d2h2c 9h6h6d5s4h Qh8h6h6c5h 
Ac9c5d4h3c Kc8c7h4h2c 9s9c6s4s3h JhJd9c4c3c 
AsThTd5d2d QhQd3s3c2c Js8h6d3s3h Ad9h6h5s5c 
Kc9c5h5d3s AsTh9h3h3d Ad9h4h4d2d Ks5d3s3h2h 
9d9c6h2s2d 6s5c4h4c2s JdTc7c4c3c KdQc8s6h2c 
QsJh9s7s4s QdJc6h5h2s 6s6d4h3d2s QcTh4d3d2h 
8s6d5h3d2h AsTc5c4d4c Qs5s4c3h2h AcKd9c2s2c 
7h7c6s4c3c Th7s7h5d3c AsTc6h5c3d Kd8s6s6h5s 
QcJs9h3d3c 8s8c6h4d3h KdQd9d6d3s Kd7d6s4d2s 
Jc7s4s4c3d KhQc9d6h2h QhTc6d4c3c Jd9h8s8h4c 
9s8d7h7d4c Th7h7d5c3s Tc9s8d4c3h Js6d5s3s3d 
AsJd9h4d3d KdJs7d4d4c Js7s5d4c3h KcJh6s5d2h 
Qc6c4h3h3d KdQh8d5s3d QdTs8c4s3h QdTd9d6d2c 
8c7c5d4c3s QhTd9s5s2c KhJs5c4s2d KcJd9h8s4h 
KdTd9d3h2s QcJs7s6h3s Ac9h5c4c3s KdJc7s6h3h 
Jh9c8d6s3h Kd8c6c3h2d Jh9d7h4d2c Kh7h6s6h3d 
9s5s5c4s4h Js9c7h4c2s Qs8d7c4s2c Qc9h5d4d2h 
AhJc6c5c4c KcQs7h5h3h KhQs5s3s3d Ts7h7c6s3d 
KdQd8c5s5d KsTd9d5h5c KcTc6h6d2s Kh5s5c2s2c 
AdQc8d6d2d Jh9d8s6d4d Jd9s9h6d4d 8h7s6c5d2c 
9d6s6d4h2s Ad8d5s5d4d Qh8h5s4d4c Th9d8d5s5c 
Jd7s7c5h4h AsJc8c5c3c Ts9s6s5s3d Js5s5c4h3h 
Ad5s5c4d3d Th8h7s6c2d 9s5s5h4s4d 9d4s4c3d3c 
Tc8c7h4s4d 9s7s6d4c2c KsTh5s4c2s KsTc8s4s3h 
QhTh6c4h2s Kd5c4s4h3d Tc8c7d6s2h QhJs5s3d3c 
Ad9h7c3s2d Qs7h6h3s3h Ah5d5c4d2c As5s4c3s3d 
JhTh8h4s3h Td6c4c3s3d Th6c4c3h3d Ac6c4s4c3h 
QhTh9h6h2s As9d9c8h3c QcTh9c3c2s Ks8d6d6c4h 
KcTc9h4c3c Ks9s7d5c2h QsJh7s6s3c Qc8c5s5c2s 
Th9d5h4s3c AdTd4s3d3c 9h6d6c4d2h KdQh5h5c3h 
Tc7s7h6c3d Th9d4d4c2h 9s7d6h4h2s Qh8c6h5d3h 
KsJh6h5d2c KdQc9d4d3s AsKc7c4h2c Qc9s9d5s4s 
Kh9h7s7h5h QcJh7s2h2c AsJd7s7c2s Kh5c4s4d3h 
Ah7s3h2s2c 9c6d5h3d2h Ah9s8c5c3c KsTs8s8c3h 
AsKc9c4d3c Ac9d8h5h4h Tc7c6s6d4c AdJd6c3h2s 
Qd9d8d6d4s QdJd9d8h2d Qd9d6h6d4s As6d5h5d4c 
Jd7h6s5d3d QsTc7h2s2h AcTc9c2s2c Kd9d6h4s4c 
Kc9s9d3c2s AsTh8d5d3d AdQs8s6c2s ThTc9d3h2s 
AcTh5h4h4d KdQsTs7h2s Ts9s8h5s2d Tc8s8d6c3h 
AsJh9h7d2h QsJh8s6s3d KcTd7s7d3h 9h8c5c4c2h 
Ad8s8d3c2h Kc7d6d5s3h 7c6h5h3h2c Th9h8d4h4c 
Ac9d8h6s4s KhTs5h4d2h Ad5d3h2h2d As9d7h7c4d 
9s9c8c6d2c As8h7c4s2s 9d9c8d6s3d AdTd6d4s4d 
Qs9s8c7d3h ThTd9s3d2c Jc9c6d5h2s Qd8d7c5s5h 
Ts7s6c5s2c Ac9s7c6c2d Ah8h6c3h2c AdTs8c6s3s 
Ac8c5s3h3c AsTd8d6h3d Ks8c7h7d5c KdQs8c6h2s 
9s8h6h5h4h KhKd7c4c2c AcTd7h7d3d QsTc3h3c2h 
KdTd7c5d3d Td9s8h4d3c KsJs6c5s2h QsTd8c5d2d 
AcQd8d5d2h KhJh9d6h2s Qs9c8s8h2d Ts7s6c5d3s 
8h8d6c4d3s 8s6s4c2d2c QhTh9d2s2h Ad7s7c6c3h 
QhTd6h4h3h QcTsTc3d2c QdTh9h4h3h Th7h5c4s2c 
Td9h8s8d4d Jd7s5d4h2h KcQs7h5s2d JdJc6d4d3h 
Jc7h7d6c4s Ks8d6h6d4c KhQh7h6h3s Qc8h6d5s2c 
Jc9h9d7s3s AcQd5c2h2c Th7h6d5s3h Jc7d5c4h2h 
Ac9d5s2h2c Ad6d4d3s2s As7h6c5h2c Td7s4h3h3d 
JdJc6d3h3d KdTd8s4d4c KdJh8d7c3d AcTs5s5h2h 
Tc7d7c6d2d KcQh9h8d2h Tc7h7c5h2h KdQs5c4c3c 
KhJc9s3h3d Td7d6c5h3d Tc9s6s3c2s KsQh9h9d2c 
KdJh7s3d3c KcQc6h3s3d Qs9d6d5h3d Tc9d4h4d2h 
QhJh8s7d2c Ah9d8h7h2h 9h9d8h8d8c Th9h5s4c3d 
KcJs7d3h3c Ad9s9h5c4h Td9s8s5h5c Td8d6s4d4c 
KcQc9c5s2h Td8d6s6d4d Tc9h6c4s4c 8c7d6h5s2s 
9d8s7s7h4c QhJc8d6h3h 9d7s7d4d4c Qd8h6s6d4d 
7c5h5d4d2c KhJs5d4s2c Kd5s3d3c2c 9s8s5c3d2d 
9c7d6h4c2d AdTd6d5d3c AsQc7h6h3h 9d7c5s5h4s 
Ts8h7h2s2h Qd8s7h6c3d Th5s5c2h2c QhJc8d2d2c 
AdJs8s8h3s Jh9d8c5d3d KdJd8h4s4c JsJh8h6h2c 
Ts8d4s4d2c 9h6s6h5h4d Js8s5c4s4d Jh8c7c5d3s 
Ad8c5c4s2s Td9s5d2s2h 9d9c8c5h3c QcJc6c4h4d 
Qh9s7d5c4c Kh8c7d6c2d Ks7s7h6s3c Jh9d8d8c4s 
Ks8c4d3s3d Tc9s5h5d4h KsTd5h5d2h Tc7c6h5s5c 
Ac8s7d4s4h Ad9c8h5h4h Td7d6s6h2h KhQc9c8s2c 
Qs9c8c6d4c Ah9h6c3c2h Kd7s5h3s2d Jd9h8d5d4d 
KsQd7c4h3d Qc8c6s5h2d Ts8h7c6s3s QcJc5s5h3c 
Th8d6c4s4c AhJh8h6c3h Jd9h9d5d2c QhTs6d4s3s 
KhJc9s8d2s AsTh5h5c2c KcTd8h6s3h 9c8d7d5s3d 
Qh9c8h7h4s Js9s8s6s6d QhTh9h3s3d KdJs7c4s4h 
QdJd6d4s4h 9h7d5s5h3c AcTs5s4s4h Tc9h8d4c3s 
AcQc7c3s3h Td9s6c3d2c AsJc6s3s3h Ac6c4d3c2d 
Jc6s5s5d2c Ks9c8c6h6c 9d7s6h4d4c QsJsJd7s2c 
8d6c5h3c2h 9s6s6c5d3h 6s6h4c3h2s Ks8d4d3s3c 
7c5s5h3d3c KhQs9s9d2c AdJc7d4s2d 9d7h5d2s2h 
KsJd7h7c4h Ah9c6s6d5s Qd8h6h2h2d 8d8c7s6c3c 
KcTs7d4s4h KdJc5s2h2d As9s5c4d3s KhJd7d4s3c 
9h8s8d7c4d QdJd8s3s3d 9h7h5s5c3d Ts7s7h5h2h 
KhTh6s6c2d Qh7s6s4h2c QdTd4c3s3h Jc7h4h4c3d 
Td8h6c5s3h KsTs9h4s3s Td7s7h6h3c JhJd6h3h3c 
Ad7h5d4c2d QdJs7d3c2s Th9h4s4d2s As9h9d8d4d 
8s8h5d4h2c Kc8s7s6d2d Ts9c5d4s4h Jd5h5d4c3c 
9d8h5h4d2h KsTh9d4h4c AsTc7d7c3c JhTd9d4d2d 
KsJc6d5h2c Js5d4h3s3h QhTs8d5s2s Js9s9c4d3h 
Th6d6c5c4s Qd7c6d5c2d Tc8s8h5c3d Kd9d8d7s2h 
Qs7d6s5d2s 9h7c5d4d2c Td9c6s3d2s KcTc7c3d2d 
KdTs5d4c2d KcJhTh7h2h Tc7s7h6s3d KsJs9d6s2h 
Ks9h4h3s3h KhTh6s6d2c Kd9c8h6s4h Jh9s8c6d3h 
Td7c4d4c3c QhThTd3c2h 9h9c8d6s3s Ad8d5h5d4d 
Ts8c7h5d3s AhQd9d7d2s JcTh7d5s2c 9s9c6d5h2s 
Jc9d8h8d4s JsTs9s8s2s 9d7s5s4h2h 9c7h7c6c4d 
Td7h6d4c3s AdQd6d6c2h AdJc8d2h2d Td7s6s4d2d 
7h6d5d3d2h QsTc8h4h3d 9c7h7c6c4s KcJh9s9d2s 
Ah8s8h3d2c 9h9c6d5s2c Kd8d5h3c2h Kd6s6h5s4c 
Th9s6h4h4d Td7s4s4d3s Ah9h5c4s3h Jd9c8s5d2d 
QcTd5s5h3d KhJh9h6d3h KdJs6h6c4h AsQc6c3d2d 
9h6h6d5h4s Kh8s7h5h4h Ac7h5c4s2c 9s9h8c5d3d 
QdTc9h4h2s Th6d5d4h2h AhKs4d3d3c 8c6h5s3c2s 
AhJs8c4d3s Jc9d8s7s2h Jd9h7c6c3s 8d7h7c5h3h 
JhJc8h6h2d KcQd8s5d3h JdJc9s4s3s AdQs8h6s3s 
Qc7h4d4c3d 8h6h5h4s2d KdQh9h4s3c Kh8c7d6d2c 
As8s8c3d2h As7c5s4d2s AcQd7h2h2d Qs9c7h5d4d 
Ah9h5h3s3c 8h5h5d4h3d Qc9c6h3s2h AsJc9c6c3h 
KsQc9d9c2h AhQh8h6s3h AdTh8h6s3h AdJs6s5s3h 
Tc8s5c3s3c Ah9d7c6s4s 8s8h6d4h3c 9s7s5s5h4c 
9s7c5d2s2c Ts5d5c2s2d KdJs5d4d2h Kh8d4s4h3s 
8c6s5h4h3d Ks9c7c5h3d Tc7c6h6c4s AdJc6d3h3d 
Qd5h4h4c2d Qs7d6h5s3s Kd7s7h6h2s KhTs6s4s4d 
QcJh9h4s3h Jd9c8h5c3c KcQdJh8h2h AcQc5s2d2c 
Td9d7c6h2s Kd8h7h7c3c As9d8h5h4h KcTs8d5s5h 
AsQh8h8c2d QcJh9s3d3c Js9h9d5c3c QhTh4c3h2c 
9h7h5s3s2d Kh8s7c6s2c As5s4h3s3c Js9h8s7c3s 
9s7s6h3d3c Th9s8d7s3s As8s6s4d3h KcQd8c7s2h 
Th7h7c6c2c AdJcTh6s2s KhJc8s8h3d KhQh9c5h5d 
Kd7s7c5h4c Js8s7h6s2h Qh9d8d6c4d KhJh4h3c2c 
Qs6s6h4c2c Qh8d6s5d5c Kc8s6c5h3c Qd8s6h6d4d 
QsTh8d4h3c 6d5s5h3d2s 9s9h8d5c3c 9h7h5s2s2h 
AhTc7d4s3d AdQs6h3s2h Kh8s6s6d5s Qh8d7c6s3h 
Qh7s6h6d2d JdJc8h4s2c Ks8h5c4s3d Js7h7d6s4c 
KhQh9d8h3s As8s5s5c4s KdTh7s7h3c Js9s8s5s4d 
KhQc5s5d3s KhTs8s7s3d Qc9h8h6d4h QsJh7s3d2h 
KcQc7c6c3d As8d5s4h2s Qc6d6c4h4c Tc6d4d3h3c 
Kh6s6d5c4d KhTs8c6d3c 7s6d5d3d2s QdJs9d8d3d 
8h7s7c5s3s Kh8d6h5c3h AcJs8d3s2d AhQh7h4s3h 
Qh9h6h6d4s Kc6d4d3d2c Kd7s6h5c3h Qh9s5c4c2s 
KsTs5s4s4h Td8h7s4s4c JsTd6c4c3c KhJh4h3d2d 
Qd9h6d5d4d Ts8h8c3s2c KsQd9c6h3h AcJs7c4d2c 
AhTc7d4s3s QdQc8s7s3h 8h7d7c5d3d KsQs9s9d4h 
KsQc7d5c2h QcTc6s5d2c Jd8h8c7s4s 8d6c5h3d2c 
KdJc5d4d2h QcTd8s7h2d 9s8h8c6s3d Js9h8s7d3s 
9h8d6c5s2c QsJs6d4h2c Ah6h4h4d3c 7c5s5h4c2h 
9d7c6s6h4d AcKh6d4d3d Ad9s3s2s2d KdJs7h7c4c 
KsQd7h5h3h Ac7c3s3d2d Tc7d6h4c3s Kh4s4h3s2c 
Jc8s7c5h2d Kc8d6d3h2c Qh5s4s4d2h Js7h7c5d4d 
AhTh6d4c2h QdTc4s3s2c KcQd8s5c3c Kd9h9d6s2c 
Ac9h6s4d2c TdTc9h3d2s Ts9d6c3s2c AcQd8h5s2h 
8h7h6c4s3d Qc9c8d7h3s Tc8d5s4h4c QdTs9s4s4h 
Js8c7c5d3h Ad8h7c4s4h Kh9d7c6s3s Td9s6d3h3c 
QdThTd3d2s Ah9s9d5c4d Tc8h6c5d3s Ks9h7h5d3c 
KsQc9h6d3d KhQh8h4s2s KsTs5s4s4d Th8s8d5h3c 
AcQh5c2d2c Js7h7d5h4h AdJs8d2h2d KhTh8h8d3c 
QcTs8c4c3d 8h7h6h4d4c KdTd8c6d3d Js8s5d4s4c 
AcJs8s5d2s QcTs4h3h2s Kc9d8h7h4s Td9c7h2h2c 
Qs6s6h4d2d JcTc9h3c2s Td9c8s6s2s 9s8h8d7d3c 
Kc7s7d6d2s 9h9d8c2s2d Th8d5c2h2c 9h7d5d4c2c 
Jd6s5s4d2d KdQs9h7s3s Jc8c6d4c3d JsTc6h4d2s 
8h5h5c4s2s QhTc8d4s4d KhQc7s4d3c JhJd8d4s2c 
Jc7h5c4d2d 9s6h6c5d3s JdTc7s5h2d Ks8c7s5s4s 
Kd6d5c3c2d Jd9s9h5c3c JcTd7d4d3d Qc9s9d7h4s 
Kc9s9c7d3c QcTh9d4d2s KsJh7h6h3c Ah8c7s5s3d 
QsQd9h3c2d Ts6h4s4h3c KdQc9h5s3s Kd7s7d4d4c 
QsJc8c3h2h Ad5d3c2d2c Qc9s6s5d3s 8d8c6d4s2h 
Qs9d6c5h5c AdQs9d4c2d Td7c5s4d2c Ts8s5d2h2d 
Td9h5h4s4c AdJh5h4s3h Th7h5d4s2d AhTc5d5c2d 
QsJc9d4c3c Ts6s6c4c2d KcTs9d4s4h KcQh8d5h3s 
Tc6s6d5d4h 7c6s6h5h3h Ad9d9c6d4d Ac7d6d5h5d 
KdQh8s5h3c 9s9c7d4s2d AcQh7s5h2d KhJc5d2s2h 
Kh9h7s3d2s 9h6s5c4s3d QsTd8d5d3d 8h6s5d3h2d 
AdQh8d6d2d Jd8c7d5s2h KdQc9d5d3d 8s8d7c6d3d 
QsJd7s3h2d Tc9c6c5c3h AsKs7s6s3s Jh9h6d4c2c 
Ad9s5s4c3c Ah7s3h2s2d KcJs7d6h3h Qh6d5c4s4h 
AcQh5h4h2d AsQc9c7c2d KcQhTd4d2d Td9s6d3d2s 
9d8s8h5c3s Ah8c5d4d2c Ts9s5s5c2c Ah8c7c4s4d 
KdTh8s6c3s Tc9d5h4s4c KdQsJh7c2s Ac7d5c4h2c 
Qh9s9c6d4d Jc8h7c4d2d KsTh6h4h3c AcKd6h4h3h 
KsJc9d7s2s QhTc9c3s3c 9d6h6d5d4s Qd9s7d5c3d 
9s9d7c4d2c Ad9s5c2h2d QdJd6c4s2h Ks8c7d6d2c 
AcTh8s4s3d Ts6s4d4c3c JdTd3d3c2c Tc7h5h4c2s 
ThTd6h6c2s KdTc5d4d2h Jh9d8s5s3s TsTc9c4c3c 
Td8h8d7d4d KhTc8c7c2s AdTd8c3h2d Kd8h6d5c3d 
Ac8s7s4h4d Ah9d9c8d4d Ts7c6h4s2h 8h7s7c5c3c 
Qd9s9c3s2d Qd9h9c3c2d Ts6s4h4d3h KsQh5d5c3c 
Th9c5s4h4d AdQc7h5c2s Qc9h9d6s4s Ah7c5h4s2h 
Kc8s5d3c2d 9d8s7s7c4h KsQdJc7h2d Ks8c5d4s3h 
Ks8d4h3s3h Ks9h9d3s2d 9d7s6s4h3c Qh9h6s6h5h 
Ac9s9c6c4c 9d8h7s7c4d Ad9h5c2s2d Tc9d8h7d3d 
AdQd9s4d2c 9d8s7s4d2d Js8c6h3s3c 6h5d4d4c2h 
Qc9d9c5s2h AsKsTs5s2s Th6h4d4c3d QsJc8s8h3d 
QcJsJd6h2h Ks7d6d5h3c QsThTc7d2c Ts5s5c2h2c 
KdJd9d6c3d Th9d5d4s4c Kc8d7s5d4d Ks8d7s7h2c 
KhQh4s4c2d Qd8d7s5h5c AcKh9h4d3h Ah7s5h4h3h 
KdJh6s5c2h KhQcJd8d2d KhQd6s3d3c Tc6c4s4d3d 
9d9c8d7s2h Ks8h6h6d4c As7s5c4d2s AhJs5s5d3s 
Qc8s8h5h4h Th9c8s5c2d Qh8d8c7s4h KcTd5c4c2s 
QdTc8d4s3d 9c7d4s4d3s Ac9d8h6s4d AsKd9d4h3d 
QhTh7h4c2c Ah9s9h6d2h Qh8s7d6c3h Kh9c8s6s4d 
QhTs3s3c2c Ac9d6s6h5s Td9d6c5d3d QdJs7d4h3c 
Ad9c6s4h2d Ks9h7d3h2s KdJh9h5h3h Th8s6h5d3c 
JdTh8c6s2s AhJc5c4d3c As9d5h4h3d Kd8h8c6s4c 
Tc7h5s5d4d AsQd7h6h3h KcJhJdJc9d Jc9h9c6c3s 
Jd7c5d4s2s Qc8c7d7c3d AhQs8s5s2c 9d7d5h5c4s 
KsQh4d3s2c Ac6h6d5h4s Td9h6d4s4d JhJd8d4c2s 
Qs9s8c7h3d KhTd7d6d3d KdTc6s6c3h Qs8s6h5d2c 
KsTh5s4d2s QsTs9c2s2d KdQh5h4h2s Ac6d5c4c2h 
Kh9h6h6c5h AsJh6c4h4d KcQd8s7c3h Js9d9c5h3h 
Qd9d6s4h3c Ad8s6d4h2d 8s6d5c3s2d Ah8c5h4s2h 
QhTh9h3s3c Ts7s5c4h3d Tc7c5d4s3h 9h5s5h4h4d 
9s8h7d6s2c Ah9d6s4h2c Jh7h5s4d2s As6h6d5h4c 
Kc9h7h5s2s QdTh9c4c2s KsTc8d5h5c Td9h8s4d3c 
Th6s5h5c2s JdJc6h5c2c Kh8s7h6h3c Qs8h8d5h4h 
QhJh9h8c2h KsQh9d5d3d 8h6c5d3h2c Qd5c4c3h2d 
Js8s5c4h4d KcJsJhJc9s Ks9h7c6d3d Qs9d5s4d2s 
9h8c6c5c4c JsJd8h4c2d Qd7s4h4d3h Qd9d6h6d4c 
Qc9c8c6h4c 9c6h6d5d3s AdJc7h7d2d Jc9s8s5s5h 
KhQd8h7s2c AsJs7s6d3s KsQcTc7d2c KcTh5s5d4s 
AdKs6s3c2h Kc9h9d3d2c AsQs9h4s2d 9s8s7c6h2d 
Qh9h8c6s3h Td6s6c5s4h KcQh5s5d3d Ah6h5h3s3c 
Qh6h5h5d2d Jh9d6s5s3s KcTd7h4s4h Ah6s5h4h2d 
QcJd8s8c2h QdTh4s3s2h Js7s5h4d2d JdTs7c5h2d 
AhKhJh4h2h JhJc8d4s2h 9h7h5d3d2c 9d7d5c3s2c 
Kc8h6d4c3s As9d7h3c2s AsTs9s2s2d QsJd7s4c3h 
QcTd6c4c3c AcQc7c4c3s Kd9h9c3h2d 9c7s5d2s2c 
KdQc4h4d3d Kc9c6h4s4d 9h9c6h4h3d KsJc8s8d3h 
Kh7s6s5c3d Td6d6c4c2s KdJs5h4c3h 6c5d4h4d2c 
Qd6h6d4d4c QdQc5h3c2c Ts7c4s4h3c JsTs3h2s2h 
Ad8c5c4h2h Jh8s6c5h3d AhJh6h3s2s JdTd9h3d2c 
Kd9c7s6h2d ThTd6s6d2c QsQh7d7c2s AdTc5d2s2h 
KhQdTc7s2c Ks9c7s4d3h Qs8c7c6h6c QdJc9c7s3c 
Tc7s7c6c2s Kd6d5s5d3c QsTs8s8d3h Ts7s6h6d2h 
Ac6h4s3d2c Kh8c7s7h2d AdQs7h5s2c QhQc4c3c2d 
6h6d3c2h2d Qh9h8s6d3h Td9d7h4d2h Kd7d6s3s2h 
8h7c4d3h3c Th9h7d6c2s KhJh7h6h3c 9d7d5h3h2s 
AcJc7c6h3c QcTc8c6c3h AcQdJs6s2s Jc9s7h6h3h 
As7s5s4s3c 8h6s6d5d3c Th9d6h4h4c As9h7s6s2c 
9s9d8d5d3c Qc8d5s5h4c Jc8c5h4s4c 8h7h6h5h5d 
9h8s7s5d3s Qd8d5d5c2c AdKd9c4h2d 9c8h8c7s4c 
Qs9d5h4h2d TdTc8s5c2h KdTc9c7c2h JcTh6d4s2c 
KsTd8h5c3d Qd8h8c3d3c QdTd7d4s3h Js8d5s5d2s 
AsJd6c5h3h Jc8h8c2h2c 9d7h6c5s2d 9s7h6c4c2s 
KdQs4c3d2h AsJc8s2s2d Js9d8c5s2s KcJh8s8c3d 
Ks9d7d5c2c Ah7h5h4h3c Ah8s5d5c4d KsQd4c3s2h 
QsJs9d7h2c Ah5h4d3s3h Qh6h5h5c2c As9d8h8c3d 
QhJs8c7s2d 7d6h6c5c3c AsQd8c5h2c QcTd8h4s4h 
Kc9d7s6h3h Qs6h5h2s2c QsJc7h3s2c Kh7d6d5s3c 
QcJd7c3h2d Ac6h5s5h4d Qs8c6h6c2h QcTs7h2h2c 
KsJh9s3d2c AdJd4d3s3c AdTs8h4h3c Ac7c3s3d2s 
Qh5d4d4c2h AsQh8d6h3h ThTd9h4h3h KcQs9s9h2d 
JhJd7d4c3d Ts7s6s6h4d Td9s4s3d2h QsJc6s4d2h 
9c8h8d7s4d KdJh8d7s3d AcTsTh5h2d JdJc8d6d2h 
9h9d8d3h2h KcJs9h5h5d Ah8s5d3c2h Ah9c5h4h3d 
