AcJd8h4h2h 
Qs9c8d7c3c 8s8h5c3d2h Ad8d6d4c3d Kc9h8s6d2s 
Th9s6c4d2d KcJd9d3s2h QdTs8d3c2d Qs8d4c3s2c 
Qd8c6s6d3d 9h8d6c4h3h Ah8h5s3h2d KcQc7h3d3c 
KsJc5h5d2c Kd9h8h5s2c Kc6d4s3s2d Qd6h5c3d2s 
Kc9h8d5h3h Ks8h5c4s2s Qs8h8c6h2d Ac6h3c2s2d 
Tc9c4c3s3d Kd9c6s6h3s KcQd8s5s2h KdQh5s3c2c 
9d6c5h4h2s Qs9h9c4s3s 8h7d6d3s3d KsTd6h3h3c 
9d9c8h3s2d QhQd7s3c2h Qc8h8d7s3c KdJh8s8c2h 
Qc9s7h7c2d Js9h7s6s2c Jd8h5h4s3h Js8d7c3d2s 
Td7s7h3h2d AdTc6d3h2d Tc6d6c3h2h 9h8c6s4h3h 
Tc8c6c4h3c 8d7s7c6c2c 8c7c5c3s3c 7c6s5s2s2d 
KsQdJh7c2c Qh6d5c3h2s Jd9c7h5s2s Ks9c6c3d2d 
Js9s8h3d2c Ah8s5s5d3c 9h6d6c4c3s 9c5d4s2s2c 
Td8s8c4h2h KdQs8s7h3s 8h5s5d3d2h Tc8h6s6h2h 
Kh6s4c2h2d AdTc7h4s2c Td7c4c2h2d KcJs8c3d2h 
Th6s6h5h4h Ad9h7h4h3c Ks9s5d3s3h KdQh8c5c2s 
Ks7s6s6h3s AhJc7h6h2h Qh8d7d6d3s TsTc4s4d2s 
As9d7d5d2h KsQs7d3s3c Kh5c4h2s2d AhJs6c4s2d 
Qd9s5c4h3s KdQs8c4d2d Qh7s6s2s2h Td7h6s3d2s 
Ac9d5s5d3h KcQh7d4h2s Qd9h7d7c2s Qc9h8h7h3d 
Td9d5s4d3d Jh8c6s3s2h Qc9h6d3s3h Ts6h4d3s2h 
6h5d4s2s2c Td7c5c3s2s Kh9s8d7c2c Js9s6d4h3s 
6c4h4d3h2d AhTs4c3s3d KdTs8d2h2d Qd8s6d3s2s 
JsJd9d3d2d 8s6d4s3s2d 9c8s8d4d3h As9d7d3h3d 
AsJc5h4d2d Jd8c6h5h2h Jc8d4s4d2s QsJd7c6h2d 
KsJd9h4h4c Jc6s4h3s2c 9s5s4h3d2d Ad9h7d6d2d 
As9d3s3h2c AsJh4c3d3c 9h8d3h2s2d Td8h7s4h3h 
6c4c3d2h2d KsQh6s3c2s Js9s8s8c3s QdTd7d6h2d 
Kd9h5c4s4h Td5s4s4d2d Qs6h4h3s2s 9h8h5h5c2d 
KhTc6s4c2c Qh9s6c4h2d Jd6d5c4h2s Td8d7d4s2h 
Kd9c6s5c2h Td9d7h6d2d AdJc6s3c2s AcTh5h3h3d 
Kc8h6d4s4d AhKs6d6c2c QhJd5d4d2d AdQh7h3h3c 
Ad8c7s6c2h 5s4h4c3c2s Jd9d6c2d2c Qs8d6h4c3h 
KdQs3s3h2c 9h8s5h4c2h JsJc7h6c2c Jh8s5d4s3s 
Qd8d7d6s2c ThTd7c4s2h 9s6s6h4d3c Ad8s8c3h3c 
Jd8d6h5d3d 8s5h5d3s2d Qs6c4c3s2s QdTs7d3h3d 
JhTs7s3c2d As9c7h3h3d AdJh6s4c3c 7s7h5c3h2d 
As9d9c5h2c KhJd5s3c2d QcTh8d3s2h 8h7d6c4d2d 
9h8c7s7h2h JsJd7d2h2d Td6s5c3c2s 9c8h7d4s3c 
QhJs7d5d2c Qs5h4h3c2c Ks9h7c5d2h AdQd5d4d2d 
Ah9d4h3s3h Kd5h3d2h2d Td6s6h3d2h Jh9c7h6h2d 
Js8s8c4s3d Ks9d4s2s2d Qh9d8d7d2s 9s8s5h2d2c 
Jh6h5c4s2d KsQd7c5h2h Ts7s6c5d2h Ac8s7s3h2h 
QhJc6d3s2h KcQh4h2h2d Ac8d6d5s2d 6h5s4d2d2c 
Ks8s4c3c2d Td7s7c3c2d 6s4s4d2s2h Jd6s6c5d3h 
Kh9s8s7s2c AcJh4s3s3d KsJs7d3s3h AdTs5c3h3c 
AdTh5h4c2s KhKdKc8c4d 9h8d7s4d3c QdJd7c5h2d 
Ad9c7c4c3s QhJd7s4c3s Ts9s7d6s2s Kh9c8s6d2s 
QcJs8d3c2h Js6h5c4c3c Ts8d7h2s2c KsTc5s2s2d 
QhJc7h4d2s JhTh7s3c2d AdQh8h3s3h QcJs9c4c2c 
KsQs8s5s2h AsJd5c4h2h Ad9c5d2h2d Ac8h8d6h3h 
Js8c7d5c2c Qd8h6c4s3c 8d7s6s2s2c 8s6s6c4d3s 
8c6d4s4c3h KdTh9s3h2h Ac6c4c3d2s QhJc7h5d2h 
Ac8c5h3c2d KsQc8d5h2h KcTh9h4h2h Ad6d4d3h2s 
9d8c7s4d3h Qc7s6s4h4d Qh9c8d4h3s Js9s8d4c3s 
Qs9d4d3s2d 6d4h3d2s2h Jc9c8s4h3c Kh5h4s4d3h 
AsQc6c4h2c AcJh6d4d3s Ks9s8s7s3c Kh9h9d4s3h 
Jc9d8d4h4d 9c6s4c2s2h AdJh7s6c2h AsQs4s3c2s 
AhTh5h4s2h Qh7d6d4c2c Jh8d7d3c2h Tc9c8d4c3c 
AhTs6h3d2h 7c5s4h4d3s AdTd4c3d2s AdQd7s3h2d 
9c8h5s5d2d KsQdJc7h2h Js6c4s4c2s Ks9h7d5c2h 
Td9s6c4d2d 7s7d6d4h2d AdJs4c3h3c Ts6h6d5h3h 
Kd8d5c4d3h Jc6h4s3s3h KdQd7c3h3d Th6s6c4d3s 
Ts9c8c3d2c Kh9c8d8c3s Tc6c5d3d2c KdTh5s5d2d 
Qd8s6h4s3c 8c6d5s3s2h KsQc7h5d2d 9s9c7c4h2d 
Jh7d4h2d2c Td7d6h3s2s Kd9h9c8s3h JsJc7s2s2d 
7h5h5d2s2h Jd8c4d3c2h Td6h4s3s2d 9h6h4h4d2d 
JdTs7s7h2s KhTd6d3s3c Kd6s4h4d3d KcQd8h6s2h 
Th9d8s3h2h Qd7c6h4s4h Qc9s3h3c2h KsQh4h2h2d 
As7h6c5h2d KhTs6d4c2d Kc9h9d8s3d Td6s4s3h2d 
8d5s4d3d2s 6h4s4c3h2s Qc7s7d5h3h Ks8s4h3h2d 
Qs8c6h5c2c Jd7d6h4d4c KhQd9d4s2d 9s9h7d2d2c 
Qd9h5d4c2d KdTh6c4s2s QhJd3s3c2h 9h8h8d3c2s 
Kc9d5c3h2s KsTs6s3d2h Js8c6s6h2d AcQd9d4d2h 
Th9s6d4s2c As7h7d5h2h Qh8c4d3h2d Ac8s8h6d2s 
Ks8s7s4d4c 6c5d4s3c2c QcJs4d3h2s Qh8d6c4h3h 
Td7d5d5c4d Td6c4h4c2h KcQs8s5s3s AcQd9s3d2h 
AcTs9s4s2s 7s5h4s4d3s 9h6s6d4c3d Td7d5h3h2h 
KhTs8h2h2c QcTd6c3c2h Td9h8c3d2d AcJd5h4s2s 
Jc9h6s3h3d 8d5s5h4s2c 6h5s4c3h2h 9c7d6c5c2c 
7d6d5h2s2d KhJsJhJc8c 6s5d4h2h2c 9d8c5h2s2d 
8s7h6h3h3d 8d7h6s2s2c AhTs8s3d2c 6s5h5c4c2c 
9c8d6h4s2h Ac7s5d3d2s Ks8c5d2s2h KcQc4h2s2c 
AdTd6s3h2d Kd8d4h3h2s Td8h8c4s2s Ts7c6s4s3s 
Td7d4d4c2c Ac8d7s4h3s Ah7h6c3s2h Kd6s4d3d3c 
9s7h7c4c3c Kh8h7h4s4c KhQd9d5d2d AhJs6c3s3d 
9d8s7c4h3d Jh8c7d5s2s Ad8h4s3s3h 9h8c6d2s2d 
9s5s4s4h2h Js6h4c2s2h AcTs7h4h2d 8s6s6h4c3s 
KcQsQdQcJh 9h5c4h3c2h Qd8s5d3d2s AdKh3s3c2c 
Tc9d4h4c3c 9h8s5d5c2d Jc9c7c6c4c Th6c5s4s3s 
Js7s7c3d2c Qs9s4h3c2c Kc6d5h4d2s Ts5c4h2s2h 
AsJc6h6d3d AhQh6h2s2d Th8s5c4c2d KsKdKc6d2s 
9d8c5d4d3h 9h5h4c3d2d AdJh9h6s2h Jh8c7s7d2h 
AdJs6s3h3c JhJd7c5c2c As9s6d4s2h KdJc9c3s3c 
8h8d4s4d2d Ad9h7s3h2s Jd8c5s4c3c Jd9h9c7c2c 
Th9c7s2h2d 9d6c4d2h2c Ac8s7h7d2s Ks9h8c5d3h 
Jc9h6d4s3s JdTh6c3s2d 9d7s4c2s2d Js9h8c4d4c 
7c5h4s4d3s Qc8s6d4c3c Th8d7c5c2c KhQc8h4s4h 
KdJs8d3c2h AdKs3h3c2c Jc7h4c2s2h AcJh4s4d3d 
Th5s4c3s2h 9s6c5s4s2h Kh9s5h3c2d Qd5h5d4d3c 
Qc9h9c5c2c KsJc9h3s2s AsTh7d4c2h Jc8d7h5h2h 
9h8h5s5h2d KcJd8s4h4d Jc9c7h6c2d Jd9c8h4s2d 
Kc7d4h4c3s QhJh7s5d2h Th9h8h4h3s Kd9s5d3d3c 
KsQs4h2s2c Ks7c6d4c3c QsJh6c4d2d 9h5h4s3c2s 
Qd9h9c6c2c Ac9h5h5d4h KsJh8h4d3h Ac8h6s5d2h 
Kd8s8h2s2h 8s7d7c4s3s 9h6s6h5h2c AdTh6d3s2d 
9c6s6h4d3s 7s7h6h4d2h JsJc5c3c2h Jh7s5s3h2s 
Jd9s6c4d3d Jd8c6h6d2s QhJs6d4c2c Tc7c6h3d3c 
QhJc8d4d3d Qh7c5d4c3s KcQc8c5c3h QhJd7s4c2h 
KdTc9d3d2d AsTh8s3s2s Ks9d8h5c3d KdTh7s4h2c 
Jd9s6s5c2s 9h6c5d3h2s Qs8d7c5h3c Tc8d6d5d2d 
Kh9d8c6s2d Jd8d5c4d2h Kd6s6d4d3d Tc9c8c3s2d 
AcQs6s4h2s KhTsTc3c2c Td8s7s3h2h Ts7c6c2s2c 
JsTs6s6c2d JsJc7d4s2h Ad7d5d4d3d Kh9d8s6d2d 
Jd9s8c4h2d KcJc8c7d2c Kd9c3s3d2s AhJs5d5c2s 
AsQd4d4c2d 9s6h5d3s2c As8d7c4d3h Qh8c6s4h3h 
Qh9d6d5c2d Tc7h7d3c2h As9h5d3d2h Ah7d5c3d2c 
Qc9d8d7h2d Kh8c6d5c3c KcQh8h5h3h Ts9d6h4s2s 
Jc8d5h4s3h KdTs7c4s2h Td6s5h2s2h QsJc4h3d2c 
Ts6d6c3s2d 9c8h6h2s2d Kd9s7c5h2s AhTc4s4c3c 
KcTc6c3s2h Ks6h4d3c2s KcJh9c3c2s 9h7c6s6c2d 
Qd7s6s4c2c Kd9h9d4c3d Ks9d8d8c3h Kd7c5s5h3s 
9h6h6d4s3c Jc9c8d4s3c 9s6d4h2s2h Jh8h6s3d2d 
Kd8s6c5s3s Jd9c6c4c3h 7s6s4d3d2d Ts8d4d3s2d 
Qd8d5s4d2h AcJh9h6s2h KhTd9s3s2s Ah9s7d3d2s 
QcJd9d3h2d Kc7h5c4c2d Kd8c5h5c4c Td9s9h3s2s 
JhTs7c3d2h Ks8s5c4h2s Qc7d6c3d2h Th7h6c5d2s 
KsTs6s4s2c Ah9c8h8d8c 5d5c4c3d2c Qc8s8c3d2d 
9h8c6h4h2s KhJd9d7d2d KdTh7s5c2s Qd8s4c3d2c 
Qh9c4c2h2c Qs8d7c6h3d AcTs6h3s3d Js7h6s4s3d 
Ah8d7c4d3s Qc4h4d3d2c JsJc5d3c2c Tc9d5s4s2h 
QsJd7d7c3d Qs8h7d5h3h 8d7d5d3h3d KhTd5h2h2c 
8s6h6d4d3d Jc8d4c3d2s QdJd8c3s2h AcQs6s5s2s 
Ks9d6h3s2c Td8h6s6h2h Qs8d7d6d3c 8h7h5d4h2h 
9s9c7h2h2d Ks5d4s2h2c Qs8h7d6c3h JhTd4c3d2s 
AcJh7h5h2h Jh6d4s2h2d As8d5d4h3c 8c7h6h3h3d 
Qd8c7h6c3c Ks5s4d3s2h Tc9c8c4c3d KhQc6d3s3d 
9d8c5d4d3s Ks5s4h3s3c AhTd9c3c2s QsTs6d3h2s 
Ts8d6d4c2d 9s8h5c4h2d JcTs7c6c2c AsKd9c2h2c 
Tc6h4s4h2s AhJd4d4c2s Qs8c7d6c3c Td7c6c5s2h 
AhJd6c4c3s Qh7s6d4d4c 9h8h5d4h3s 9d5d5c3d2c 
Ah9s7s3s3c 6h5h4d3c2h QdJd7d6c2s 6s4h3d2s2d 
Tc8d5d4h3d KdQdJc7d2d Ts7d5h5c3d 6h6d5s3d2c 
Tc8s3d2s2c 5d4c3s2d2c Ts9d4d4c3d Qs9d8d7c3d 
Jc7d6c5h2s Th9c7h7d2h Js8s7d4c2h Jd8h6c3h2d 
QdTc7h6s2s 6h5d4c2s2c Qs8h8c6c2d Ac9h7h5h2s 
KdTh8s4c2s KsQc4d3c2c Th5c4s2s2h AsTd5d5c2h 
KsJs7h4c2s Ks7h6c4h3h KcQh3s3h2d Js9d4h3s3c 
Kd6d4s3h2c QcJc8h4c3c ThTc7s5s2d Jd8d7c4s2h 
Qd9d9c4s2h KsJh9h3h3d Qs8d8c6h2d Qd9h9c4d3d 
Tc6h4s3c2h QcJd6c4c2c 9d6c5h4s2c AcJd7d4h2s 
AhQh7c3h2s As9s4d3s3c Ts7c5h5d3c KcJs5h3d2s 
Tc8d6d4s2d JhJd4c3d2s Jh9s4h4c3d KhQd5s5c2s 
Ah7c6c5d2s Qs7d4s4h2h AdQs5s5h5d Th9d6c4s2s 
Kh9c5d3d2c KdTd6d4s2d Jd8d4h2h2d 9s6c5d4h2c 
AdKh9c2s2c Ad8h7c6h2s Tc7c5s3s2s Kc8s8d4d3s 
Kc7d6c3s3c Ts9d6s3h2c AsQd9d4d2c Ah8s7c6c2d 
7s7h6d4c2h Jc7d6s4h3d Qd8d7d5s2c Th6s4h3d2d 
9s8h7c4h3d Qc9s6d4c2h As9d7c4c3h Ad9s9h3h2s 
AsJh6d3h2d Jd8h7c5h2h Kc7h6d4h3h Ah9c5d4s4c 
Jh9c7d4d3d Ts9d5d5c2h 9d7h4s2h2d QsJh6d3d3c 
ThTc8d3s2c Jc8d5d4s3d Jh8s8c4d3h 9h8s6d2h2c 
Jh8c6h4d2s 9d8h3d2s2h Ac8c6c4s3c KcQs8c4d4c 
AhTd5d4s2c JhTh7h5h2h AhJh9h3h2s QhJd4s4d2d 
Ts9c6h4d2h Jd8s7c5c2c Qc9d6s4h2c Qs8c7c6c3d 
8s7s5s2d2c 7h6d4d3d3c 9h6s5c4d2c 6s5c4h2h2d 
KsQd8s4s4c QsJs8h2d2c Jc9s6s4s3d QhTs8d3c2s 
Tc5h5c3d2h 9h7h6h3s3h JsTc5h3h2h AhTc5c3s3c 
AcKs9c4c2c AcJh7d4h2s JcTd7s3h2c Jc8h5h4s3h 
Kh6d6c4s3c Jc9s4d3h3c KhTd3s2h2c 8d6d6c4s3d 
Jc9h7s3s3d KcJs8s4d3s Th9s6c3h2d 7h5c4h4d3h 
Ac8c5c4c2d As9h7h5h2d Qc8h8c3d2h Kh9d5h3h3c 
Kh8c7c6s3c Kc9s9c4h3c Ah8c7s4d3c Qc9d8d7s2d 
Jh8s7c5d2s Ac9c6d4c2s Ac8h7d4s3d Ah6s5d4s3s 
Kc8h5c4c3s Jc8s6c5c3c As6d3s2h2c Td7h6c3d2c 
AhJd8c4c2c KsKdKc8s4d Qd8h7h6h3s Qd7s6s2s2d 
9h8d5h4c3h AsTh6h3d3c 9c7s7d5d2d JsJc5s3s2h 
9h8d5s2h2c KhTd6s3s3c QcTc6d3s2c Tc9d6d3s2h 
AdQs5s5d5c KcQh8s5s2d Kh8c6h5h3h JsTc4h2h2d 
KdJs9d3d2c Kc9d4c2d2c 7h6s5d2h2c Qh9s5c4d3s 
Ks9s8s5h2s 9c8d8c3h2s Kh7c4s4h3d Qs7c6d3d2s 
AhTh6s3c2h Jh7c6s4d3c Qc9d8d7d3h QhJh8s3c2d 
Kd8h5h5c4h Ks8c7c6d3c Qs8d7c6d3d AhTd6d5c2d 
KsJc8c4h3c Ac6h6d4s3d Tc8h5d4s2h AdJd8d2d2c 
Td5s4d3c2c As5h5d2d2c Qc8s7h6s3s Kd8c6d3d2c 
AhJd9c6d2d Jh7h5s5d3h Ks6d4c2s2h KsJc9s3s2d 
Js8s8h4s3d Kd9s6s3h2h Tc9s7d4c2h QhTs6d3c2s 
7d6c5c2h2c Jh8d6h5h2h KcTd6c4c2c Kc9h5s3s2h 
Ts8s5s4c2d QsTh7d4s2s Ts8s6d3h3c Ts6s6h5d3s 
KhTh7h5c2h Tc9s6h4s2d 9s6s5c3h2d Kh8c7c6d3c 
Kd9c4h3s3d 9h8s5c2h2d Jh9c6c4c3s KdTs5c4s2s 
As9s4d3s3h AdQd6d4c2d Tc9s9h3c2c 8d5s5d3s2d 
KhKdKc9d8s Jc6d4h3h2c KsQc9s4s3s Ts7h6h3s2s 
Kd5d4s3d2c Jh7s4h2s2c KsQd7c6c2h AsTs8c3s2s 
JsJh7c6h2h Kh5s5h4d2h Th9c7s7h2h KhTh9h7h2h 
Ks5h5c4h3d KdQd9d4c3d Qc8c4d2h2d Kc9s4h3d3c 
QdJc8d3s2h QdTc8d3h2d Ks9s9d4c3s QsTd8d3c2h 
Jd8h7s5c2c KcQc7h2h2c AsJh6h4h3c Qh8s6h6c3h 
Ks9h8h8d2c 9d5d4s3d2s 5s4d4c3d2s Kd5d4h3d2c 
8h7h6h4c2d AhTc7d4s2c Qd9s8s8h3s Tc7c5h5c4c 
AdQcJsJhJc 8h7c6c2s2c Kc9c8d8c3c Ts5c4d2s2d 
AdTs8s3c2h Qc8h8c3d2d Kc8d6c5c2c Ks9s8s8c3s 
Ac7h6h5s2d AsTc6h3s2s Js9c6c4c3d KsKhKc6h2s 
JsJc7h5h2h JsJc7d4c2h 9h8d3s3d2h Jh8s7d5c2d 
9s6h6c4h3d Th7s6s5d2c AdTc7s5s2s AcTs7h5h2h 
Kd8c6h2h2c QcTc5d2h2c Ah7d6s5d2c 7s6s4h3h2h 
Jh8s4s4c2c Ah7h6s3c2h JhTs4d2d2c QcJh8s3c2d 
Js9c8d4h2s 9s8s8c3h2d AsQc4h4c2c Qd8h6d4s3d 
Qd8s7c6s3s KhQd8d6d3d AsQs6d4s2s AdQh9c3h2s 
Ks9d9c7h2c 8c6s6c4d3c JsTs7d3h2c AcQh8h3d2s 
Ks7c5d2s2h QhJd8h4h3h Td9s9h3h2h 9h8s6s4c2s 
QhJh8h4s3h 9s8h7d7c3s Ah9d7s3s3c 8d7c5s5h2s 
KcQh8c4d3c KdJh9c3s2h Qd8s6d6c3d Ks7s6s3h2h 
Ks9d8h7c2h Ac8s7d6s2h Td5h4d3s2s KsJh6d4c2c 
Tc9h6d4s2d Kd8d7d7c3h Ad8c5d3s2d Kh8s5d2h2c 
Kd6c5h5c3c Tc6h5d2h2d 9c8d3s3d2c 8c6d5s5d2d 
KsJh7h6h2c AcTd6h3c2c Tc7h6s3s2c 7h5d4s4c3s 
Ah8d6s5d2d QcJs8c7c3c JhJc7c2d2c AsTs4c3h2s 
JsTh7s4s2s Ah9h6d4h2s Tc8c7c4h2d AhJs9d6c2d 
Jc9c8h8c3c 9h8d6c2s2h AdTd4h4d3d KdQh7s7h3h 
Tc8d7s7h2c Tc6h6c4c3d KcJs9s2s2d AdJh7h4s2c 
Ad5d3s3d2h Qs9h9c6h2h Jc6c5h4d2s KsJc9c3h3c 
Ac9c4h3s3c Ts9d9c3d2d Ks8c6h5c3c Qs8s6c5s2s 
Ah6c5d4c3c Qd9h8h6h3h TsTd8c3s2s Jd8s8h6c2d 
Ts8c3s3c2d Jc9s6d3s3h AhQh6h2s2c Qc6d4d3c2c 
AcTh4d3s3h Ts6s6h5c3s Qh5h5c4h3d 9h6d6c5s2s 
AsQdJhJdJc QhJc6d3s3d Jh8c5d3c2d KhJs8c4s4d 
Kc7c6d3d2c 6s4h4d3h2d 9h6s6c2d2c 9h6h3d2d2c 
Js7h5h3s2h Ac9h8h8d8c Ks8c5h4s2s KcQs8s6s3s 
AsJh6h3d3c KsTd6c4d2d Jh8s8d2h2c Kd9s8h4s2h 
Tc6d6c5s3c Kd8d5d4h2s KcJc5c4c3c Tc8h7d4c2s 
Kd9c6d3h2s QcTs8d3h2s 9c8d3c2h2d QhTh4d2h2c 
8s7c6s6h2s As7h5h4h3h Ad9c5h5c3s KcQc4h2d2c 
Js8s5h5d2c Js9c5c4c2h 9d8c6h4h3h Tc8s4c3c2s 
9s8s6s6d3s Jc6s4d4c2s Js9h9c7d2d AhTh4s3h2d 
Jh8h7d3c2c KdJc8s2h2d Th8h6h4s3h KhTs6c3d3c 
Ks9h8h8c2d Ah8s8c6s3s Kc9h8s8h3d Tc9s5d4d2h 
QsJc5d3h2d 9d7s7h4h3h Qd9c6h3s3c Th7d5s5c3d 
Qd8s6h4d3d Ks9d9c8h2d KcQd7h5h2s Qs8d8c7s2h 
Qd8h7s6c3h JcTc5c3h2c QdTs5s3h2c KdJc7c6c2h 
Kh6c5h3d2h Qh9d4h3d2h 8h5d5c3h2c Ad9s7h3h2s 
JhTd6c3s2h KdJs9c4c2h Jd8d6h4c3d 9d6s4h3s2d 
8h6c5c3d2s 9s8h8c4c2d AhQs8s3s3d Jh7c4h2d2c 
Qh8d6s4d3c Ad9c5s5h4c JdTs5h3h2h Jc4h4d3s3c 
KhJh7d3s3h Ad6h6c4s3h Td8h5c4c2s Kh6s6h4h2c 
AdTd6s3d2h Qh8h5c4h2d QcJd7c5h2c 9h5s4d2h2d 
Qc9h8c4d2s KcTh5c3c2s 9c8s5s5h2d JsTh7c2h2d 
Jc7c6s4h4c AhJc8s4s2s 8c7c6c4d2h Kh9h5c3h3d 
7d5s4s3h3c As9d9c3c2d Qh8s8d6s2c AsQh5s5h5c 
9h8s5c4d2d KhTd9d4d2d 9c5c4h3s2h AsJc6d3h3c 
KhTs5h3d2h 8s7h6s6d2s QsJd9d3h2d Jd6h4s3h2d 
Kh8d7s7h3h QcJd7h2h2d Ac7s6d2s2d Jc8h5d4s2s 
KsKdKc6s2c Qc8c6d5c2c KcTc6c4c2d Qh6h4d3d2h 
Jc7h7d6c3c QcTc5s2h2c Qs9h8h7d3h Kc7s5s5d3h 
AcTs6s5d2s 8s5h4s3s2h Js8d5h4c3h Tc5d4c3s2s 
Td6d5c4s2h Th6s5d4d3d Ts9d7d6d2d AsJc9c6h2c 
KhQs8s7c3s 9s8s6c2h2d Jc7s4h2s2c Tc7h4h2s2c 
Jd7h7d3c2h Jd9c8h4s4h JcTd7c3c2s Jd7h6d5s2c 
JhTc6s3d2h QcJc8c4h3c Kh7d4s4h3c 9d8c3h2d2c 
Qc9d8c2s2h KsQc8c6c3c AsJc7c5c2c Kh9s8s8d3c 
Th9d8c3s2s Th9d6d3c2s 7c6c5d2s2c Ac9s9d2s2h 
Qs7c4s4d2d QcTh8h3d2s 7h6c5d2s2h AdJh7c4h2s 
Tc7d7c5c3c QhTs7c4d2s 9h5h4c3h2c KhJd9s6c2c 
Jc9h8h4h4d Jd9c7c6s2h Ts7s6d3h2h AcTc4c3h2s 
Jc8d5s4s2h Qc9s4c3s2c KsQd8s4c2s KcJd9s4s4h 
Kc8h5s2d2c AhQd9d4s2d Qs8s8c3d2c 9h8h5h4s3d 
Ts6h6d5d3d Jh9d8d6d2d Td9h6c4d2d KdQh9c4c3c 
JhTd7s7d2d Ad6d4d3s2h Jd9h4c3s3d Kh9d9c5h2h 
AhTs7c4c2d As8h7c4d3c Jc9d7h6c2c QsJd9s4s2s 
Tc9h7s5h2h Qh8s6s4c3d 9c8s7d4c3h Jh9h8h8d3h 
Jh8s7c4h3h Ac5c3h3c2s Jh9c8c2s2d Jd8d6c3s2s 
6s5c4h3s2s 9d5d4c3h2c AcTh5h5d2s Ad6s6h4h3c 
Ad9c8h8d8c Ks9c8d7h2d Jc8c6s3d2d 9c7s7h4h3h 
Ts6h5h3s2h Jc9s8c6c2c QsJc7d6h2c QsJc7h5h2d 
KcJh5c2d2c Ks7c6h4c3c AsTs9s4s2s 9s6h5c4c2d 
Kh9s3h3c2c Tc7c6d3d2h Ah7c5c4c3c KdTh9s3s2s 
Qh7d6c3c2h Th9s4d4c3s 8h8d7d4d2s 9d6s4h3h2s 
AdJh6c3s3h QcJh9c4c2c Qd9s8s7c3s Ac9s7h3h2s 
Td6h4h4c2c Td9d8d4d3h Kh9s7s7c3s Jc8c6c5s2c 
KdJh9c4c2s Qh9h7d4s4c Ts9c6s3d2h TsTc7h5h2d 
Kc9d7h5s2d Tc5h4s3s2c Qc9s5c4h2c Ah8c4d3d3c 
7h6d5h2s2h Qd9c7s7c3h JhJc7s5s2s Qc9s6h4c2d 
Kh7s4h4d3c 7c6c5h2d2c Qd7h6c3s3d 6h4h3s2s2c 
Jc8c6c5h2c 8h7s6s3s3d Jd7s5h5c3c Ad8c7s4c3h 
Td9c8d3h2d KcQd8c4h2c Ad9s5d2d2c Ac8s4s4d2d 
AcQs9s4d2s QdJc9h4h2h As9h8s8h8d Js7c6d4h3c 
QdTc6d2s2h 9s7d6s4s3s AdQd7c3s2d KhQcJs7d2d 
Tc8h3h3c2d Jd6s6c5d3d Qc8s8c3s2s AsKc9c3c2h 
Ac6c4c3s2d AcJh5d4s2s Ts5s5h3c2h Ks9c6s3d2h 
6h5d5c4d2d Ts9d6c4s2s KsJs8d6s3s AsTc6d3h3c 
7d6h5s3d2c Kh7c6c4c3s QdTc7s5c2h KdJh9s4s2c 
Ad9h7h3s3c Jd8d7h4d3s Kh8s7d6d3d AdJs7h6c2s 
Jd9d8d6c2d 9h7h7d6h2c Td9s6h4c2c Th8c4c3h2c 
QcJh7h5h2d TsTd5s2s2h Td8c7h5h2h Kh9s8h2d2c 
Ts8h7d4h3h 9h8s6d4h3h KsQs5s5d2s Ac8h5h5d3s 
Kh9d7d7c3d KsJh6d5d2d KhQd7c4d2s Jh9c6c5s2c 
QdTc8d2s2d Jc9s3d3c2d Tc9c7s7h2c Ks9c5d4h4c 
QsQdQcJcTh KhJc9c3s3d Jc8s8d6d3d 5h4c3s2h2c 
Kh8s5h4c3h 8c7d6c3c2d Ts9h5d4s2c KsJs5c2s2d 
Js8s5d4s2c AcQc4c3d2c Ks8d7s7c3s Qh9d9c6s2s 
Js8h7c5h2h Qs9c8h8c3c Qc8d7d6d3s Kd9d8h6d3d 
6s4s3c2d2c Js8h6s3h2c 8c7h5s5d2d Qs7h6d3s2d 
Kc9c8c6c4c Ts7c6h2h2c Qs9s9d4c2h 6c4h4d3d2h 
8c6d6c4h3c Td7d5d4d3s 8h5h4c3c2c Kd8d6s3h3c 
8c5s5d3c2s KcJd6s4h2d KsQs9s4h2d 9c5c4h4c2h 
5d4s3h2s2d QdTd5h3s2d Ac9d3h3c2s Kc9s8s7d2s 
Kd8d5d4h2c 7d5d3h2h2c 9d8d5d4c3h AsJc6h3c2h 
Qs7d5s3d2d Ks9s3h3d2h QdTs6d3d2c Th7c6d3d2h 
As9c7c4c3h Jc8d5h4s2s Kc7s6h4s3s Tc7c6s3h3c 
QsTc7h4s2s Qs8d6s3d2d 9s8h7c4s3d QcTc7c4h2d 
Th9c8s3h2h Qh7s4h4d2d QhQdQcJdTs AhKh9h2h2c 
QcTc6c3s3c Qc6h4h2h2c Kd9c6c3s2s KcJs5h5d2s 
9c6s5d4h2d Kd9d8s8d4d Th9d6h4s2h Qs8s5d3s2d 
KdJc5c3s2h KsQd7h7d3d Qd5h3d2h2c Ts7s6h3c2c 
9d8c5d4s3d KhTh8h4s3h Ts7h4h2s2c KcTs5h4s2s 
Jd8s6c5c2c Th9c6h4s2h Qs8h7d7c3s JhTd4c2s2c 
