Kh9s7d7c2c 
Qh9c5s2s2d Jd9s4h4d2d 9d8s4h4d3d 9s7d6c3h2h 
Kc7c4s2h2d Kc9s8s4d3h Kd8h5d3s2d Kd5s4h3c2h 
Jd9d5d2s2d Kh9s8c3h2h Ac3h3d2s2h 6h5d3d2d2c 
QcJd7c3h2s Th6c4h3s3d 9h8c7s3h2d Ad9s4h3s2h 
Ac5d4d3s2d QdJc7s4h2h QsJh6c2d2c Ad5h4s3c2c 
Jh6c5h3d2h AdJs7d3d2d Kh5d4s3c2d Jc7d4s3s3h 
8d6s6h3c2d KcJhJdJc6h Kd7d4h2s2c As9d6d5d2d 
QdJc6h3h2h Ts5s4s3h3c 9s8s6c3s2s Qd9h9c4c2c 
Kd8c6c4s2c Kc6s6d2s2h Jh8d6h2s2c Qh9s8h4h2h 
Ah8c7c4c2c Js9s5s2s2c Kc5c4c3c2s TsTd4c3h2d 
Ts6s4d4c2h 7h6d4c3s2h 9d5h4s3h3c QhQdQc9s8c 
Ts8h5s3c2d Qs5h5c3s2d Jh7c5s4c2c Kd5h4h3s3h 
Kh9c4s3d2h KsTd6d2d2c Kd8d7c2s2d AcTh6h2s2d 
Kh7d4d3s2s 9h4h4c3c2s Kd7d6d6c2d Tc4d4c2s2h 
8c6s6d3h2h KcQh8s3h3d Ac9d4c3c2s 9s6s4c3d2h 
Th8s7d3h2c Kh6d3s2s2d QhTs7h3h2c Jh7h5s2h2d 
Qs8s6h2s2c AsTh4h2d2c Jc7h3h2d2c Ks8d7d4d3c 
8h7d3s3d2s KhQc8s3d2c Ts8h4c2h2d Ts8c5d3d2h 
Jh4s3s2s2h Qc7h6c4s2c 9c7c6d4c2c Qs9c4s4h2d 
Qc9d8c4c2c Tc7s6h4s2s Ts5d4d4c3h Qd9c5c3c2s 
QhJsJhJc3s Js7c5s2h2d Js6d5h5d2d 8c7d6d3h2s 
As7h3h3c2c Ts6c4c3d3c 8d7c4s4h2h Js8s8c3d2h 
KhQh7h3s2d AsTh7c3d2d KdTs8c3c2c Ks6c5h2d2c 
Qd6s4c3d2h AcTd3s2h2d Ks9d8c4c3h KhJh4s3h2h 
Qs9s5s3h2s 8s6c4h3s2d Jc6c4s4c3d 9s7d6c3d2h 
8s4h4c3c2s 9h7s6d3h2h QsJs7s4s2c JhJdJcTd4h 
Qd9s5s3s2c Ts8c4d4c2c Jd9h8d3d2d KhTc8d3c2c 
9h7h6h3c2d Td9d5d2h2d Jh8d7d2s2c AdJc4h3s2s 
Qc8c6s3h2d Tc9s4s3d2s Qs8h5h2d2c Tc6d4h2s2c 
Js9s6s3d2h KsJd6d2h2c Qs9s4s4d3h Td9c3d2s2d 
Js7c6s5s2s Td6d4d4c2h 9s8s8c3s2s Kd4d3h2s2c 
8h6d4c3s2d 7c5h4h3d2h KsQs7h3s2c Qd9s5h5c2s 
Jh6s5c3s2d Ks7h7d4d2c KcJh3h3d2h 8h6s6c3d2s 
Qc7h6c4d2c Qd7c5d3h2s 9d8s4s4c2h 8h5d4c3h2s 
AsTc5h3c2c 9c8s7s4s2s 8d6s4d3d2c KsKdKcTh5d 
Kc7c6c2s2d Qh9h8h7h3h 9s5d4c3h3c KcQc7c3s2h 
8c7h6h3d2s Tc6h6d4c2c Qc7h5c3d2s Js8s3s3h2h 
Kh8h6d3s2h Js9h6d3c2h Jc8h7s2h2d AcQhQdQc5c 
Js8s4d3s3h Qh9d6s4d2d Ac9h8d3s2h KdQd4d3d2d 
Ks8c4s4h3s 7h6d4h3s2h Tc8d6h3h2s Tc5h3h2d2c 
Qh7c6h4s2h Ah7d6s4d2c Jd6h4s4h3c QsTs7d2s2c 
Jd8d5d2d2c QdJhJdJc5c 9c8s6d3d2d AcTh7h3d2h 
Qd7c5h4h2s Qd7s7h6h2c Ad6d4d3c2d Ac9c6d4c2c 
Js9s6d3h2s Jh5d3d3c2c Ks6h6c4c2c Tc9c4c3s2c 
KdJs4h2h2c Ks5c4d3c2c Jh8d6h4h2h Kh7c4d3h2s 
9d7d5d2s2d Qc8c7s3c2s Kd9s8s4c3h Ac8d5c3c2c 
Js9d7c4d2d Jd9d7d5d2d Jd9c7h2s2c QdTd7s3d2h 
Jc5h4c2s2d 8h4s3c2s2c Js9c4s4h2s Jc6c4s4d3c 
AsTh4h2h2c KdTd8d3s2d Ks9h7h3h3d 9s7d6s4s2s 
Qs8c7c4d2h Ac6c3c2s2d Ad8c5c2s2c Kh9s8s4d3c 
QsTc7s2s2d 9d7c5h3c2c KdTh8c3c2c 9c8s4h4d3h 
Ts4c3d2s2d AhTd4h3h2h Kh7c5s4s2s AhKs8s3s2s 
Th6h3s2s2h Qh9c8c4d3c Ac7c3d3c2h Qs7c6s4h2s 
9s8d5c3c2c As9s6s4h2s 6s6h6d4s4h Qc9d5s3d2d 
Qs6c4d2s2h Ks6s4s3s3h 9d8c7h3d2s QcJd6s3h2s 
Ts9s7s2s2d As8d4s3s2h Td8c5s3d2d 6s5s3d2s2c 
Qs8s6d2s2c Kd9c4h3h2c Th9c4d3d2s Qc8s8h4s2d 
KcTd8d3s2d 8d7c4s4h2d Jc8s4d4c3c 9d7h7c4d2d 
8h6d4s3d2c 7s4c3d2s2d Ks9s7c3s2d As9s6s4d2s 
KcQd8s3h3d Qh8d7d4s2c 4s4d3c2h2d KcQs8s3h3d 
QdJd8d3h3d Jh9h7h3d2s Ts7d4s4h2c Jc6d5h3s2c 
Ts7c5h2s2d Tc6h6d4h2h Qd6c5h5c2c 7d4h3s2s2d 
5s5d4d3c2h Tc9c3h2d2c 7s5h5d3c2c 7s6d4h3c2d 
Js6s5s3h2c 9h8d7h3c2s KdQh8d3s2d Ad8h6c2s2h 
As8c6c4c3c Ts5s3h3d2h Qc8h4d2s2c Ks7h5h5d2c 
Jc6s4c3h3d 8s5s5c3d2h QhTs3d3c2c Kd7c4c3h2h 
7s5s4s2d2c 7d5d4d2s2h Kc9s5s5h2d Tc6d4c3s3h 
AdJh4c2s2c Qh9d6d4c2d Jd8d8c3h2s Ad9c7h4c2s 
Ad9h5s4c2s Jh6s6d5s2s QsJd7h4c2c Js8s8h3d2c 
Js8h4s2d2c Th7d5s4s2s Kc7h4d3s2c Kc8h4d4c3c 
Qs8s7c3s2c QhQdQcJs9d 9s8d7c3h2d AsJc6c3h2d 
QdJd7s7h2d 9d5h4c3s3c Th5c4h4d3h 9d4h3h3d2s 
Qs8h8d3d3c Qh8d7c4s3d Ac8d5s2h2d Qc9c6h4c2c 
Td5s5d4c2h JsJh4c3d2d QhJs7h3c2d 9d7s7c3d2d 
Th6c4c3s3d Kd8h6c4h2h KdQh3c2s2c Ad7s6s6c2s 
AsTc7h3h2h Js8c4s2h2d Js7d5s2h2c Kh7s4d3c2h 
Ks8h6h4h2c AdJs4h3s2s Ks8c6h3d3c Kd8s7c4s3s 
9d8d4d4c3s KcQh8c4c2c 9h7s7d3h2h 8s7d5h3s2s 
Qd8h5s3d2d Kc7c4h4c3c ThTc5d3h2h Th7h7c5h2h 
Tc8d4h2s2d QcJc6c3c2s 7c6s4h3h2d As5h5c3d2c 
Qd7s6d5d2d 8d7d5d3s2h Js5s4s3d3c 9s7d6s3c2s 
KcTh4s3d2d Jd6h5s5h2h Ks9d7d3h3d AsJd6d4d2d 
Ks7c4c3d2d Ks8h8d4c3h Tc9s6c3c2c KdTh4h2s2c 
Js7c5c4c2d KhKdKcQs5c Kd8d6h3c2d Ac8d6d3h3d 
AhTc5d3s2d Qd5s5c4c2h Kh8h8c2h2d KsKhKc9h6d 
Jd9h6d2d2c Qh6d5d4d2d 6d5s3s2s2h Kh9d5c4s2c 
9h5h5c4h2d As7c5c3d2h Jh8d5c3s2s 8s5s4s2h2c 
Kc9h4s3s2h 9h8s7d3h2c AdKc9s3s2s Jd9s6s4s2c 
Ts4s4d2h2c Th9h5h2h2c 7s6h4c3d2s 8h7s6s3c2d 
Jh6s4s4c3d Qc9h5d3h2h QdJd7s3c2h 6s5h3s2s2d 
Ks8h7s2s2d As5d5c3h2d QdJs6h3h2h 9c5h5d4s2d 
AhTs3s3c2d Ad9d4c3d2h 8s7c4c2h2c Ts9c3h3d2d 
Qc8s8h2h2d Qc9h6d4s2d 8d6h4s3c2d Qs9d4h4d3c 
Jd8c7c3s3h Qd8s6d4d2d Qs9c8d4h2h Qd7d4c2d2c 
Qc7s4d4c3c ThTd6d3s2d Kd7s7h3s2h JsJd8c3c2c 
Js9s7s5s2s Kd9d5d2h2c Qh8h5h2s2d Jh7s3h3c2s 
Kc4d3s2s2d QsJs8s3s2c Kc8h6d3s3h Jd9h7h3h2c 
9s9c8s3s2s Qh6c5s5d2d Ts8c4c2h2c Qs9d8d3c2h 
AhTh6s3h2h Ks7h6c4h2d Ts8s5d3h2s QsJs7s4h2s 
9d7h5c3h2h Ac7d5s2s2h TsTd6s3h2s Kc9c8d3c2s 
Tc8d4c2s2c Qd5d4c2s2d 7c6h4s3d2h Kh8d7c3c2d 
8h5s4d3c2d Qh6c5d3s2c Qc8h5s3c2c Th9h3s3h2d 
Qh9c8d3c2s 9h6h4s4h3h Tc9c6c4c2c Kc9d4s2s2d 
Kc7h6h6d2h Kd8s5s3s3h Qc5s5h4s2d Th4h3c2d2c 
Qd5s5c4d2d KhTc8s3s2s KcJd7h3c2c KsTh7h3h2d 
As9c8h3h2h KsQs9s3s2d 8h5c4d3s2h Ad6d3s3h2d 
Kh9d7h2h2c Ac9c7d3c2c Ah6d4d4c2s Ts9d4d3d2c 
KsQs8s3h2c AdJh6h4h2h As9c4s3s2d AcTd5h3d2d 
Kh5d4d4c2d AdJs3h3c2c 8h7d4s4c2s Ks7h4d3c2s 
Qs6s5s2h2c Ks8d8c4s2s Jd8d5d3s2h 9s8s7s4s2c 
Qd8c4d3s3h Th9h7h3h2s Kc9d6c2h2c Qs9h8h4h2c 
Js6s4s4c3h Ts4s4h2d2c Qc8s7c2h2d KcQs8d3h2s 
Jd6h4s4d3d Ah8d4d4c3s Ad6c5c2s2c Ad9s5h4c2h 
9d6d6c3d2h Jd8c7s4c2c Jc5c4h4d2c Qh7c6c3s3c 
8s6h4d3h2h KsTh7c3c2d Ks9c8d4h3c Js5d4s2h2c 
Qh8c6s4s2s 7s7d6s3s2c KhTc5d2s2d QsTh7d3h2c 
Ts9s7s2s2h AsJh4s4h4c Th8h7s3d2c Tc4h3d2h2c 
Kc9c4c3h3d 9c8h6d3d2d Td8d6d3s2c KhQd8c3s3d 
As9h8h3c2h Qh9s8s4s2c Qd6h4s4c3h KcJsTsThTd 
8c7s4s2s2d Jh9c7d2s2c QsTh6h2h2c 8h7s6c3d2h 
Qc9h6s4h2h Qc9d8h3s2d JhJc5h5d5c 8s6s5d3s2s 
KsKhKcTc6c Js4c3c2s2c 9h8d5c3c2c KcTh7s3s2d 
Ac9h7d4h2s 9d5c3d2d2c Qs8h8d4c3d Jc7h4h4d3s 
AhJd7h7d7c 7s6s4d3h2s QsJh7c3s2d 9c5s5c4h2d 
Td8h6s3h2c Js6s5s2h2c Qh7h5h5c2s Js4c3h3c2h 
Th8d5h3c2s Kc9s6d4h2d TsThTc8s6h Qc8s7h3h2s 
Qd9c6s4h2h 7c5h5c3d2c Td6c4c3h3c KdTh4h2s2h 
Ah9c8c3c2s Jc8c7c3s3h Td9h4h3h2c As3h3c2d2c 
9c8c4d4c3s Kh8d6d4c2d 9h7h6s3c2h KhKdKcTs5c 
KhTd3d2s2c Ks7d4d4c3h 8s6h4s3s2d Ad7c5c4c2c 
Tc5d4s4h2c Ad7s5s4s2s Qh6d4h4c2h Qd8s7h4h3h 
Tc8c4c3s3c AcKd8d3d2d Qs8c6h3h3d Qh8c4h3s3d 
Jd7c3h3c2d Tc8d5d3h2s Ts7h6s2d2c Th4s3h3c2c 
KhJd6d3s2d Jc6d3c2s2d Kd7h6s4s2c AsTd7h3h2h 
Jd9d7d4s2d 8c7c6d3s2c AsTh5d3h2h 8s7c4h4d2s 
Jh9c6d3s2c 7d7c6c3c2s Kd5h4h3s2c 7h6s4h3d2h 
AhJs6c3s2d Qd5h4s4c3h 7d7c6h3h2h 9c5h5c4d2s 
Qh5h4s3d2h AdJh6s2h2c Qs6c4h2s2d KhTh4h3h2s 
Qs7d7c5s2s Qd7d5h3s2c Js9c8s3s2s KcQh6s3s2s 
Qh7c5c4d2s Kc8s7c2d2c AdTc5c3s2c Jd7s7d5d2d 
QcJc3c2d2c Jd5d4h4d2c Qd9d6c4d2d 9h9d4s3d2c 
9h7d6d3c2d KhQh5h3h2h 9d8c4s4d3d Js7s4h3s3c 
Qs9d4h3c2s Qs7h6h6d2c Qs8h8d4c3h 9h7h7d3s2h 
Th8s5c3c2d KsQd7h2d2c Ac8d3h3d2h Ks9h8c4d3c 
Qc9h7s7h2h 8c7c5s3c2h KsTd4h3c2c Jh9h6s3d2h 
Ks8s5s3d2h KdJs3s3c2s Td9c6d3d2d 9c5s4d4c3c 
9c6d6c3c2s 8d5c4h3h2s Qc5c4c3s2d 7h4s3h2s2c 
KsQc7s3s2d AsJh3h2h2d Js8s5c3h2s 9s5c4h4d3c 
KcTh4d3d2s Kh9h9d9c8d Kh8c6d3s3c KhTs6h3h2h 
Qd9h6h3s2c 9s5s4h3c2d Th7d5s5c2d Tc7d7c2s2c 
Kc4s4h2s2d Qd9d4h3d3c 8s7c3h3c2h Ts5s5d4h2c 
KhJd7h2s2h Kc9h7c3c2s KdQh7c3h2s Qs7s6d6c2s 
8h5h4c3s2h Jd4d3s2s2c Jd7c5d3h2s 8h4d3h3d2s 
Th8h6s3d2h Kh6c5s2s2d Jc6s5c3c2h Ts4d3s3c2d 
Qs9s6h2s2d KdJc8h3s2c Qd9c4s4d2h Qc5c4h3d2c 
9c8h4s4h2d Ah9h5h2h2c Ks8c5c3h3d Kc9c6h3c2s 
Ad9c5h4h2s Ks8d4c3d2c 8h6h6d3h2c Js6c3s2d2c 
Td7s7d3c2h Js6h3s2h2c Qs8c7d4c3h Qs9d4d3d3c 
Js9c5c3c2c Js9c5s3s2s Qs7h4h4c2c Td8h7c3d2s 
Kd9h6d2s2d QdJc3s2s2h Ah9h4h3s2d Qh9h6s2h2c 
Tc9h9d9c8d As6s3s2d2c 8s6d4c3h2c Qd9h7h7c2h 
9s9h3h2h2d 6s5d3h3c2h QsTd7s3s2h Ac6s5h3h2d 
4s4h3d2s2c Qh6c5h2h2d Qc8h7d4h3s Jh9s7s4d2s 
Kc8d7c4c3c Ts8s7c3h2d As9c7h4h2d Kh7c5d5c2s 
As8s5s4s2s Ts9d3d3c2h Js9s8s3c2s Jh7s7c6c2d 
KcQh7s4d2s Qh5h5c3d2h 9c6c4s4d2h 9h8s4h4c3h 
Jh4c3h3c2h TdTc5h3d2d 6s5s5h3s2s Jh9d6h2h2c 
Jc9s7c3c2h Kd6d3h3c2s Kc7s4s4h3d Ad9h5s4h2c 
QhTs7h3c2h ThTc4d3s2h Ts7s7c3h2d AsQhQdQc8c 
Jc5h5d4d2s KhQh9h3s2h Qh5h4c3s2h 9d8s7d3h2d 
8c7s4h4d2h Js9d4c3h2s Ac8d4c3h2c Ah9h6h4s2h 
KhTh4d3h2h Ad7h6c4h2s Td9d5d3d2h Qs7d3h2s2d 
Ah5s4s3s2c AhJc6d3c2s 9d8s7d3h2c 9d9c5d3d2d 
Jh6s6d4d2c AcTd6h2s2d Qh9h4s4h3d Tc5d3d3c2c 
Qh7c5s2h2d 7s6d4h3s2s TsTc7c3d2c KdTs6c2h2c 
4h3d3c2s2d Kc7c6c4h2c Tc5s4s4h3d Jh9d6h3h2s 
9s7s6s3h2c Th4d3c2h2d KsKhKd9s6c Jd5s4s4c2h 
Js4s3d2d2c Ts6s5h5c2s Jd8s3d2s2d Ah9h4h3h3d 
Qc6h5s5d2h Jd5s4h4c3h 9d7s7c3h2s Jc6d6c3c2d 
KdQs7c2s2h KdTh4h3h2s AcQd8d3d2d AdJh3h2s2h 
Kh8h6h2s2d 7h5d4c3d2d KsJh7d3s2s Qd9s8c3h2s 
Ad7d6d2s2d QcJh8s3d2s JsJd7s3s2c Qc6s4h3c2d 
Jh8d7s3d3c 9s5s4h3d2c Jd9s9d3d2d Jd9h7h2s2c 
Th9s9h9d8s Ac9s7s4s2d Jc6s5c3d2c QdTh7d2s2d 
Qh5h4d4c2h 7c5s4h3s2s Ts4h3s3c2c Jc7c6h6c2d 
Qh7h5h3s3h Kc9s7s7h2s Ad8s3s3h2h Ks6c3d3c2d 
As7d3s3h2s Kc9s4d3s2d Kc9s5d4h2d Qc9h7h3s3h 
AdTs7c3s2s Jh5d3s2s2d Jh5c4d3h2s Kh9s9c4d3d 
Ks8h8d4s2s 7h7c4d3h2s Jd9c6d2s2h Jd6c5d3d2s 
9d9c7s3c2c QcJs8d3h2h AhTd7s3c2s KdTd7d4d2d 
Jd6s4s4h3c Kd7s5d4d2d 8h5s4c3c2d Ks7h6d4h2c 
KdTh7s2h2c KhTd3c2s2d 8d6s4c3h2s Qs7c6h4d2c 
Tc9c3s3c2d Qd8h7h5h2h Qs6h4s3c2d 9d7h6s3d2d 
9d8d7h3d2c 9h7d6d4d2d Jh6h4h4d3c Ks9h5h4c2h 
Ah9s9c4d2s Qs9h7d7c2d Th5h3c2s2c 9s6s4s4c3s 
Qs6h5h4h2h Qs9h8h4h3c Jc6d4s4d3h Ts4s3h3d2d 
Ad9s8h3c2h 9d7d6d3c2h Js7c5h2s2d Ks5h4c3d2h 
Qc9d5d3d2s Ah8s5s2s2c QdJc6h3s2s As8h4s3d2s 
Ks8h7c3d2s Tc7s7h4s2s Qs5s4s3c2d JdJc4s4d4c 
Kc7h4s3d2c Js9c4h2d2c Ah7h6h2h2c Jc9d4s3h2c 
KsTd4h3h2c Ks9d8d4h4c Js8s5h3c2s KsTc3d3c2h 
9d8s7h3d2c QdJd7h3s2c 9h7h4h4d3h Qd9h8s2s2c 
8h6s6h3h2c 9c7h6c4c2c QcTd7c2s2c Kd8c6s3h3c 
9c5d5c4c2h Kh9d7s7c2c Th6s5c3s2d 5h5c4s3s2d 
Qh7d6s6d2c Ts5s3h3c2c 8c7h4h2h2d Th6d3s3d2s 
Qc7d6h6d2s Jd9d7s2h2d 8h6d4c3s2c 9h6s6c3d2d 
Th6h5h3s3h KsQh7c3d2h Qc7d6s4h2d Qd6s5h5c2h 
Kc8d5d3s3h 8h6c4d3c2c 6h3s3c2d2c Ks8c6c4h2c 
Tc6s4c3h3d KhJdTsTdTc As8h4s3s2d Jc9c4s3d2h 
9s8c4s4d2h Ah9h4d2s2h Qh9d8s3c2d AhJd6d3s2c 
9c8d4h4c3c 5h4d3c2s2d Jc9s7d4s2h 9d5d4c3s2h 
9h9c7d3c2c Jh7h5h4d2h Qs8d7h4s2s 8d6s6d3c2d 
Ac8d4s3d2s Ac8s5c3c2c 9h7s6h3d2h 9c8s7h3d2s 
KcTh8d3s2d Kc7c6c2s2h Ts5s5h4c2d Ks9s6d3s2h 
Qc8h7d4s3h KhQh8h4c2h Jc4d4c2s2c Qc9s9d3h2s 
Jd8h7h3s3h Td9d4h4d2d Tc9h3c2d2c Ah9s8d3d2d 
KhKdKcQs7c Jc7d3h2h2c KcQs6d3d2d 6h5s3h3c2h 
7s4h3c2s2c 9c5s5h4s2d Kh7s7c3c2s Js5s3h2s2h 
Ad9c8h3c2c 9c8c4s4d2h Js8d5c3h2h 6c5s3h3d2d 
9s8s5d3s2s Ah8s5s2d2c Ks9h5c4d2d Js7s4d3s2d 
9s7d6c3s2s Jh8d7s4d2d Qs9h5h5d2h Jd7s7c6h2c 
Jc9h3s3c2d Kd9h7d2s2d KdQc8d3s2d Th6s4c3h2d 
Jc6c3h3d2d Qs8h5s3s2d KcTs8d3h2h Qc9s7s3s3d 
Qs7h4h4d2d Jd6s4s4h3s Th9s7h3h2h Qd9h7d5d2d 
Jc7c6d6c2h Ah9d3s3h2h Qs4h4d2d2c Js8c7c3h3c 
Ah6h6c3h2h Ad7c6h4h2h 9h8d5d3d2d 9s7h7d3s2c 
Kh9c4d3h2s Qh9d7d3d3c 8s6s6h3c2s Ts9d4c3c2c 
Qs8c7d4d3d 6s6h6c4s4h As7c6c4c2d QsTd7h3d2c 
Kd8c6s4s2s Kc9h9d4s3s JdTd6d2d2c Jd7c3d2h2c 
9h9d7c3s2c Kd7h4c3d2s Ts5h3s3h2s Qs6s5s2d2c 
Js9s6d3s2h Kc7s4d3c2h KsQs9s3s3c Js9s4s4d2c 
Ad8s4d3h2d 8d7h4h4c2h Js5h5d4h2c Qc8h7c4c2s 
8d4s3d3c2s Th8h6h3d2s Tc9c3s3c2h Qc6s5d3h2d 
Jc9c8c3c2d 7c6d4h3s2s Qc9c4s3h3c Jc8s7h4s2s 
Ks9c8d4h4c Ts7h5c2s2d Ks9c8h4d3d AcQsQhQd9d 
Qc7h5h4s2d Ac9h5d4s2h AdTs3s3h2c Ks9c7h7c2c 
Ks8d4s4h3s AhTh3h2h2d Qc8h6s4s2s Jd5s4c2h2d 
Jd7d6d6c2s Qd9c5h3s2c 7h7c3s2d2c 9s8d7c3s2h 
Js6s3d3c2c Qd9s7h3s3c Kd6h5c3s2h 6c5h3c2d2c 
9h6c4h3h3d Jh8s7s2d2c Ac9h3h3d2d Ts6h5s4s2s 
Jh8d7c2s2d Ks7c5h4c2c Qh9c7d3s3c 7h6c4s4d2c 
Qs9c8d4d2h KsQd8s3h2s Ad7s6c4c2c Jh8s7c4d2c 
Tc6h5d2s2c 9s5s5c4h2d 9s8h7s3d2c 6d5s3h3c2d 
AsJc6d3c2h Kd8h8c4s3h Js9h6s3d2s Ks6d5d2h2c 
KsQh8c2h2d Kh7h7d3s2c Js7d5c4d2d As8c5c2d2c 
Qh7s4h4c3h Th6d6c4d2d 9s7s6s3d2h 8c7h4d2s2c 
8c7c5h3c2d Ac9s4d3s3h Jh9s4h3c2d As8s5s3s2h 
Jh6d5h3s2h AhTh3h2h2c QsJs3s2s2h Qh8d6s3c2h 
9s8h4s3s3c Jh6d6c4d2s Tc7d6c5c2c Jd6d4h4d3s 
Tc7d5s5h2d Qd8d7h4s2d Jc8d7s2h2d Qd7h4s4h2s 
Qs8h7h4d3h Kc8c5s3d2c 9h8c5s3s2s AdQsQhQc9h 
Qc7c5h3d2s Kd9c7c3h3c Td4h3h3d2c 9d5d4s3h3d 
AhTd3c2s2d 7s5s4d4c2s Kh4s4c2s2d 7d6c4h3h2s 
KdQd9d3d2h Ks5d4h3c2d 6s5s3h2s2d Td6h6c4h2h 
QsJc7h3s2d Ts8d7s3c2h 9d8h6s3h2h AsTc4s3s2s 
Ts7h3h3d2d 9c5s5c4c2h KsQh8c4d2d 8c6s6d3d2h 
Tc5c3s3h2s 8c7d4s4h2s Kh9d8s4d4c KsQs8s3h2d 
Td6c4c3s3h KdJs8c3h2s Qs8h7c4d3h Qs9s8s4s2d 
Js5h3c2h2c KsKhKd8d2h Tc6h4d3c2s Kc9s5s4d2s 
Ts6s5s3s3h Kh5d3h3c2h Qc9s5h3s2s As9c5d4c2h 
As9s4s3s3h Jc9h9d9c8h QhJc6d3s2s Jc8h7h6h2h 
Qc7s3d2s2c 8d7h6d3c2s 9s8h7d3c2h Qh8c7c4s3c 
AcJd6h4h2h Qc7h5c3s2d Tc8s5s3h2d Qd7d6d3d3c 
Th5c4s4h3h Kd7h5d4d2d Ks7h6s2s2c Th6s5h3d2h 
Th5s5h4d2c 9s8s5s3d2s Ah7h4s4h2h Qd9d6s4d2d 
Js9s6h3c2s TsThTd6s6d Ks9d8c4d3h Ad8d4d3d3c 
Jc7h4h3c2c QcJc7h4c2c JsJhJcTc4h KdJd7c2s2d 
Jh8c6d2s2c 7c4h3c2h2d Qc9d9c3c2h Jd6h5d3d2c 
6d5d3d3c2h Th4d3s2s2h Qs7s6c5s2s Qs5s4s2h2d 
QhJh8h3h2s Th8s4h2h2d Ad8h5s2s2c Qc9s9h3d2s 
AsTd7d3d2c 9c6h6c3c2s As7h3s3d2s AsQc8d3h2h 
Jh8h8c4h2h Jh9h6h3s2c Ah5d4c3s2s QcJc7d3h2s 
Kh6d6c4c2c KcTh3d2s2h AhJd4c3s2s Qs9s8s3s3c 
KdTh4s2s2c 8h7s3s3d2d Qc5d3s2s2d KhKdKc8s6h 
Ts8s4s4c2s 9c8d6h3h2h Qh6d4c2s2h Jc4h3h3c2c 
Qs6c5c4c2c Qc9d4s4h3s 8c7c3h2h2c Td6c5d2s2h 
Jc8s8c4c2c Qd9d6s2h2d KhKdKcJd6s Ts8d4c2h2d 
Js8h7c4d2c 8c6s6c3c2d 8d4h4d3h2d Jc9h6h2s2d 
Ah9c5d4s2c Ks9h8h4d2c Kh9s8h3h2c Ks7s6s2d2c 
KhJh4h2s2h Kh9h6h2d2c Ac7s5s2s2d Js7s5s4c2s 
KsQh8s2s2d AsJh4c3d2d 5s5c4s4d4c Ad7h5h4h2h 
Qc8h7s4d3s Qh8c3h3c2h Jh6h4s4c3h 7c5d4c2s2c 
Kc7s4d3d2s Kd7s7c4s2h Qc9c4s3d3c KcQd7c3c2h 
QhJh6h3h2d 9d8s5s3s2s 6h5h3s2h2d Js7d4s3s2d 
8h6d4s3h2c Ah7c6s4c2c Jd9h7s4c2h KsJh8h3d2c 
Qh9h6s3d2h Kh7s6h2h2c Ks6c5h2h2d QdJs8c3h2h 
8d4d3h3c2c 9h4s4h3c2c Kc6d3h3d2h Ad5c4c3h2c 
7h5c4c2d2c 8h7d4s4c2d Ks8s7s4c3s Th9s4h3h2c 
Ts8c5s3s2d Jc8h6h3s3d TsTc5h3d2h 7d5s4c3s2s 
9d6s6h3c2c 6d5h5d3d2d AcJd4h2s2h Ks6h3h3d2d 
AdQs8c3h2h Kc9c7c3d2h Tc4h3s3c2h KcTh6c3c2c 
Kc8h5s3s3d AsQd8c3c2h Jc6s6d5s2s Kd8h7c4s3h 
KdQd7h3d2s Ah9s8c3d2d AdJh4c3h2h Qc6s5d3h2s 
Ad7h5h3c2s Jh8h4c3s3h KdQd7c3d2h Qs8h5s3s2c 
AsKd8d3d2d 6h6d6c4h4c Ts4s3h3c2h AcQs8d3d2h 
KcTd5h3h2h Jd7h5d3s2c KsKhKdJs6c Kh9h6s3h2d 
QcTd6h3h2h Qh8h6s2h2d Tc9s4c3c2h 7d6h4s3c2h 
Kc9h4d3d2h Js5c3h3c2h Ks8c7h4c3c Qh5h5d3c2h 
Ts6h5d3h2c Td9h4c3d2d Qs6h5h3c2d Kc9s6h6d2s 
KsTd7c3c2h Jd7d4c3s3d Qd7s6s6c2h JsJhJdTs3h 
Qc8c4d3s3h Jd6d3s3c2s Ts9h4h3c2h Jh6c4d4c3s 
Kh9c6d4s2d Ac7s6s4s2h Ks9d4h4c2s Ad7c6h4h2s 
Kc9s5d4s2s Qd7s6s3h2h 7d7c6s3s2h Qc6s5h3d2s 
Jc9d4s2h2d AcTs4s2h2d As6d5h3c2d JsJhJdTd4s 
5s3h3d2h2c AhTd4c3d2s Kc8s4h4c3c Qs9d5s4s2s 
Jc4s3s3h2h 8c4d3d3c2s Jc5c3s2s2c Jh9h7d2h2c 
KcQh8s2h2d Qc5s4d4c2c 8c6d6c3s2c Th7h7d3s2c 
Ac9h8d3d2d Kc4s3c2h2d JhJdJc6h6d 9c7d6s3d2h 
Qs8d7d4d3c Qh9c4s4h2d KsTsTdTc6c Qc9h8s3d2h 
Ks9h5d4c2c QhJdTsTdTc KcTs4s3s2h Ts7h5s5d2s 
Qc8s7s5s2s Kh8d5c4c2c Kc8h7h4d3h 5s5c4d3d2h 
KhTc5c2d2c KsQc8s2s2d Kd9d8c3h2d Tc6h5c4c2c 
Qd9s7h7c2c 8d6d5h3d2d Ac7c5c4c2c 8c7s4s4h2s 
