8d8c4h3h2s 
AcQh7s3h2h Jd5c4s4d2d AdQh6c3s2s Qd6h4d3d2c 
QdJh7c2s2h Qd8h4s3h2s Ad9h5s3s2c Qh8s4h4d3h 
8c7c4c2h2c Ah6d5c3c2c 6d4h4c3s2c Th9h3h2s2h 
8h8c3s3d2s As6c4h4d2d 9h6h4d2s2c Jh7s4h4d2c 
KsQc7s3d2s 5h4d4c3s2d Qd6c5s3c2h Qh8c5s2d2c 
7c6c4h4c2c Jd6d6c4d2h Jh9s8s3s2s Tc5h5d4s2c 
Kd8d5d5c2d AcTd6d3d2h Jd8h5h3s2h 7c5s5d3d2d 
8h7h6c3h2s 6c5s3h3d2s 9s6h4s2s2d Qs9h8h4h3h 
Jd9c7h3c2c Js7c4h4d3d Ad9s9c4s2s Kh9d8d4c3d 
Ad8d3c2h2d AcJc6c2h2c Kd7h6s6c2s 8h5s4c3h2h 
As7c6c4h2c Qc6s4h3s3d Jh8h6h2d2c 7d5d4d2s2d 
Ac9d7d3h2s 9h7d4h4c2s Kh9d7c4d2s Kc8c5c3s3c 
9s8s6s3c2s 7s7h3d3c2d Qh9s5s2s2d KcJc6c3h2c 
QdTs7c2h2c 7c6c4s4c2c AdJh7s3s2c AhQd2h2d2c 
Jd8c4s3h3c KcJs8s3s2h 5s4c3s3d2h Qs9h8c3c2c 
Js8h6c3d2s Kh7c3h2h2c 9d8c7s3s2h Jd8h4h4c2h 
Jh8s8h3h2c Ts8d6h3h2h AhJh6h3d2h Kd9c8h2s2c 
As9d3s2s2h Kh7s4d3s3c QdJsJhJd4h KcJh7h2s2d 
Ac9s6s4h2d Qs6d4d3h3c Kh7d3h2h2d TsTh4s3s2d 
As9h4c3d3c Jc7s4h3s3d 7s7c3h3d2s Ts7c4s4d2s 
Qs7d4s3s3h Qc3h3d2s2d Js7h4h3h3d Qh9c7h4h2s 
Jd7d3h2h2c QdJhJdJc9s Ah9c7s4d2c Kd9c8s4c2h 
Qs7d4h4d3d Td8s7d3d2c Kd9h9c4s2h Td8s7h3c2s 
Qc7c4h3s3c 5s4d4c3h2c Kd7h6c3d2d 8d6h6c3c2c 
5s5d4d3d2c Tc6h6c3s2d Jc8d6d3h3d Th7c6s3d2h 
Qh8h5h3d2c Qd6d4h2s2c Kc8c7c2s2d Qc7d5s4h2h 
8d8c4d3h2d 9h7c4s4h2d AdTh6c2s2c Qc8s7h4h2d 
QhJs7d7c2d Qs8c5h2d2c Jc7s4h4c2d As6d5d3d2h 
Ts8c4s3h2d 8h8d7h3c2h 7h5s3d3c2c Qh9h8h2h2d 
Jh9d4s3c2d KdQhTsThTc Kh8s7s4s2c Kc6h4d3s2s 
Qh8d7s4d3d Kh8c6s3s3d Tc5s4d3s3h KcQd8s3c2c 
Tc5h5c4d2c Qh6h4c3d2h As6h4h4c2h 5s4h4d3d2d 
Qh8h5h5c2h Tc7h5c3d2c QdJs6d3d2d Jd9d7s3h2d 
KcTh7s2s2d Qc9s6s3s2h Qh8s8d4c3c Qh8h4h4c3s 
Ad7d4d2s2d Qc8s7d4h2s Qd6s6h4c2c Qs8s6c3s2d 
Qc8d7h4d3d Jd8d4s4d2c 4d4c3h3d2d 9h8c4s4d2c 
AsJc4d3d2h 9d7s5d3d2d Qc6h4c3c2s Qd9s7h3d2c 
Js7h5c2d2c 9h8h5h3h2c Qh9c7h2s2h Tc6c5c2h2d 
Ah8c3h2s2h Qd7d4d4c3s Th5s4s4d3s 9c8h7d3d2s 
KhTc6c3c2c Ah8s3h3d2h As6c5h3d2h Qd9d7h2s2c 
Qd7d5d4h2d Kc7s6d4h2d KhTc7d3c2c Qd8h6s3d2c 
7h6s6d3c2c Qs7h3c2s2c 9d9c3s3h2h Qh8h7c4h3h 
Jc8h5h3d2s Ts9d3c2h2c Qc6s6h3d2c Qh8h6h3h3d 
6h4s4c3c2d KcJs3h3d2d Kd8s8h3h3c Qd8d6d3c2h 
Qc7h4c3d3c 9d5s4s3s3h QcTsThTc8d Th7h6c3s2d 
Ks7d4c3d2c Kh8h6h3c2d Qd5s5c4s2s Tc8h6d3s2s 
AcTh4h3s2h 7s7h7d6s6c Qd6c5c3c2h 9c8c7h3d2c 
Js7d4h3d2h Ts7d5s3c2h Th6d5h2h2c Ks9s3h3c2d 
AdTs4c2h2c 8s8d3h3c2c KhKdKcJs4d Jh7h7d3s2c 
TsTh4c3c2d Jh5s4s3s3d Jh5s4c3d3c 9c5s5h4d2d 
Qd7s6h4c2h KsJd7d2h2c As9c7c4d2c KhJs8s3s2d 
Jc8h7h2h2d QsTs7c3s2s Jd8d3c2d2c Qh9h7s7h2h 
Ah9h7h3c2h 8d6h4h3c2h QcJsJhJc4h 7c4c3d3c2d 
9h8h7h3d2s 8h8c3h2h2d Js6s5h3s2c Qc9c8h4c2c 
4h4c3h3d2h Kd8c7s4h2c Qd6s6c4h2h KcQs8c3c2h 
7d6d5d3d2d 9h8h7d3s2h Qc8h5s2s2d 8h8d4d3c2d 
Td9c8s8d8c 8s7h6d3c2c 8d6d4h3s2d Kh9c4d4c3s 
9s6s4h4c2s Jd6s4c3h3c Jd6c5h3s2s 6c4s4h3h2d 
Ts5c3h2h2c Th5c4s3d3c JsJhJcTd8s Qd5h4s3h2c 
9h8h4h4c2s Jc7s6c4c2d KdQd8h3d2s Ah9s7s4d2c 
AhQc6s6h6c Kh9s5c3d2s Ts5d5c4s2h KsQd8s3s2c 
Kc8s5s2h2d Ts9d7d3d2d Qd6h5d3d2d Qh9s5s3d2s 
Ts5h3c2h2c AsQd7d3c2d Qs8c6d2h2d AdQsQhQc7d 
Td6h5h2s2h Kh8h3d2h2d 9h7h5h3h2d Qc9h7d3s2c 
Qd6s5s3c2s Kc7s4h3s2h 8h6d4s3c2c Qc9c5c3c2d 
Th8d7h3c2h 4h4d3h2h2c Td7h7d4d2d Ac7d3c2s2c 
Qc7d6d5d2d Js7d6s4c2s Jc8c6c4c2s 6d4s4h3c2s 
QhJh7h3h3c QsTc7d3h2h 9c8h4h4d2h 9h8c4s4d2d 
Ks9h3h3d2d Jd6s4s3h3c 9d8d7s3h2d KhQh8s2h2d 
Js7c4h4d3c Jc8d3s2s2d Th8c6s3h2h Qc8c4c3s3h 
Qc4s3d3c2h Ad5h4c2s2c JsJh6d3d2c 9c5d4s3s2h 
Td5c4h4c2s QsJh7c4c2c Td5s5c4h2s Qs8h4c3c2h 
KdJs8h3h3c Td4c3s3c2d Jc6h5c2s2c Qh9h7h7c2h 
AdQs6s6d6c 9c6d4s4h2h Kh9d8c4d3d Jd4h4c3c2h 
QsQdQc7c5d Tc8s5c3h2c 8c7h7c3d2c Kd9s8s4s4h 
Qd9c4s4c3c Qs9s9d4s2s Kd9c7d3h2d Th5c4s4d3c 
9s8c7c3c2c Js7s5h5c2s Jh9c3d2s2h Ts8d5s3h2s 
Js9s6s2d2c Qd9s7d4d2c Kh7d4s4c3s Qc8c7h3d3c 
Jc9s6d2h2d Ah9c7c3s2d 7s7c4d3h2d Js8s7s4s2h 
Jc7h6s2d2c Qs9s4s4d3s Ac9h4h4d3h Td8s5c3h2c 
Js6h4s3s3d 5h3s3h2h2d Jc6s6c4c2d Kc8c4d3s2h 
Qs9c5h3d2h Qs9d6c3d2h 9h9c7d3d2d Qs7s4c3c2s 
Jh5s5c4d2s Kd5d3h2s2d KdJd7s7d2d Td8d6d3h2d 
8d6d4s3d2c Jc6d3d2d2c Ks9h3s3c2d Jc8c6d3h2s 
As9h3s2s2c Ad8c5h3h2s Qh8s8d3c2h Jc9s6s3h2s 
Tc6c5h3c2d Th8d6c3c2c Js9h6c4c2c KdQh6c2s2c 
Qh7s7d3s2d KsKhKdTc2h 6c5s3s3h2s Jd5h4c3s2d 
As8d6d2h2d Ac9d6s6d2d Td7s5s3h2c Qc6s5d2h2d 
Jh8h7h4h2d KdJh8c3h2h Th8s4c3d2s 9s8d7d3h2d 
9h5s4c3c2d Kh7s6h3c2h Ah6d5s3d2c Qc9s9d9c8d 
AhJc7c3d2c Qh8h6h3s2d Js9s4h3s2c Jc6h5s3c2c 
Qd9c8h4c2c 8h5s5d3c2d 8c7s6h3h2d 5s4d3s3c2h 
JhJd6c3s2c AdJsJhJd8d Ts5d4s3s3c KcJsJdJc4d 
Th7h5h5c2h 8h7d6s3d2d 8d7h7c3s2d Js6c5d2h2c 
Qd9s6h3c2c Ks7s6h3s2c Ah6c5s3d2s 8s8c7c3d2c 
8s7c5h3c2c Qc6c4s4c2d 9s9h9c7h6c KsKhKdQc4h 
9h5c4d3c2s Kd9h8h2s2c KsJs6s3c2s Ts7c5c3h2d 
Ah9s9h9d6s Kd8h5s5h2h AsJc7h3d2h KcQs8h3c2c 
Qd7c5d2s2h Th8c7d3s2s Jc8c6c2s2d Qd7s7d5d2d 
Qh9d5c2s2d Kd9h6s2h2c Kc7h4d3h2d 5s4h4c3s2d 
8d7h6d3s2d Tc8h6d3h2h Kc6s4d3h2h Jc8c4d4c2s 
Ad9h5c3c2s Kh7s7d3h2c Kh8h7h4c2h Kh8s8c3d2h 
Qc9h9c4c2c 8s6s4s3c2h Jh6c3c2h2c Kd9c5h3s2c 
KdQd8s2d2c Jc6c5s5c2c Jc8h3d2h2d KsKhKcJd5c 
Td9h3s3h2h AhTh3h3c2h Jh7h5d5c2h KdQc7c3c2s 
Kh9s8c3d3c Ac6d4s2s2h Tc7c5s5h2c Kh6s6c3h2h 
Jh9c6d3d2s Kc9s4s4h3d Kd9h8c4h2s KdJh4h3h2h 
As8s6s3s2d Qd5h4s4c2s Qd7s3h3d2h QhJd7c3s2d 
8h5h4h3h3c Ks9h6h3c2d Kh9s4d4c3d Jd7h5d2d2c 
7h4h3s3h2s AcJd6s6h2s Js9h6d4d2d 9h5c4c3d3c 
KhKdKc7d5s Kc8s6s3s3d Kh8h4d2s2c Tc6d4s4d2h 
Jc7c6h4s2c As7d4d4c2h Ts7c5h3h2d Tc5h5d4d3d 
Tc4h3h2h2c As7s4s2s2c Ks9c8c4d3c 9d9c4s3h2d 
Qd9c5s3h2h Qd7s5s4s2h Kd9s5h4c2s Qh9d6c3d2s 
Qd8d7c4d3d Qh9d6h4h2h AhTc4s2s2d Ks7c6h6d2h 
Qs7s6d3h2c Kh9s8c2s2d Ts7d6c2h2d TsTd7d3d2d 
Qs6c5d3c2h Ks9h9c4d2h 9s5s5d3s2c Kc8d7h4s2d 
KdTs3s3c2s Ts4h4d3d2h Qs9s5c3s2s 7h7d4c3s2c 
Qc6h5h3h2s Qd8c6s2s2h Qc7h3d2d2c Kh9d8s4s2c 
Ks7d6h6c2h Jd7c6s6d2d AcQd7s2s2h 7s5c3h3d2h 
Qh6d5d3s2d KdTh7s2s2c Qd8s5h3c2s Jd6h6c4d2d 
Th7h4h3h3d Kd8s7d4d2d Js7s6s4h2c Kd6h4c3s2h 
9d5s4h3c2d Jd8d6h2d2c KdJc6s3c2c 9s9c4d3d2h 
Ah5d5c3s2s KhJc6s3c2c Kc8c6c3s3c Td8d7s3c2d 
Qh7c6s6c2c Jc9h7s4d2d 9h6c4d2s2c 9c6s4h4d2c 
As8h3c2h2c Kd5d4s3d2d Ks9h7h4d2c 8h7h6h3s2d 
Ah9c7s4c2c Ac9h5s3h2d Jc6h3h3c2c Jh7c6d4s2c 
Kd9d8d4d2s Jd9s7h4h2h Ah9s9h9c6s JsJd6c3c2h 
Jc9s6s3s2d KdQs8h3d2d Qd9h6h2s2c KsJh7c2h2d 
Jh8h7h4h2c 6c5c3s3h2c Qd7d4s3h3d Jc6d3c2d2c 
Tc6c4h4c3c Th7d6s3c2h Ah9c5s3c2d Qd6c4d3d2s 
KsJsJdJc2c As9c5d4c2c Qc7s5h4h2h Kh9c5s2d2c 
Qd8h4h3c2c Kc8h5d3c2c QcTd7d2h2d Qd9s4h4c3s 
Qc9d6h3d2d KdJd6d3d2s Jh9h6d2s2h 9h5h5c4h3h 
Qs8d7c4h2c 7s7d4d3d2h Kh5h3s3d2h Jc9d7s3h2d 
8s5c4c3c2d Th8c4d3h2s 9d4c3d2d2c Jd5h4s3s3c 
Ts4h4c2h2d KdTd7d2h2d 5d5c4h3s2s JhTsThTd2d 
9d5h4s3s2c Qs6h5d3d2d Jd6s5h3d2d Qh9h7d3s2c 
Qh7d6d5d2d Tc6h4h4d2h Ac5c3s3c2c Qs5d5c4d2d 
KcJh6d3s2s Th6h5s3h2c KsTs7s3s2d Td4c3c2d2c 
9s8s7h3c2s Qc5s4s3s3d Qd8h7s4c2s Qs6h5d2h2c 
Qh8s7h3h3c Jd8h5c3s2h Qs6c5h2d2c Ad9h5s4h2h 
9d6c4h4d2d Jh8s4h2h2d KhJd8s3d2d Tc6d5h3d2d 
Td5h5c4s2d Jc6h6c4s2c Qs9s4s4c3s KsKhKdJc4d 
Jd9c7h4s2s Qh8s8c4d3d Ts8c7d3s2s Ah8d6d4d2d 
QhQdQc7d5h Jc9s6h3c2c Qc8d5s2h2d Tc8h4c3c2d 
Qc9h4h4d3h Kh5h3d2s2h Kd9s4s4h3c Tc7h4s2d2c 
Ts8c6h3h2h Kd6h5h2h2c 7s5d3s3c2h Tc8s7c3c2h 
AdJc3h2s2h Jd8s4s4h2c Tc7s3s2s2c 8s7s6s3d2h 
Js8s8d3s2c Kd9c8c2s2h Jc7h4s4d3h Js5h4s3s2d 
Tc8s6d3c2c KsJc6s3s2s 8h7s7d3d2c Tc7d6h3s2c 
Kd9d7h2s2d Ah9c5d3d2s Qs5h5d4c2d Qd9s5h3h2c 
Ad5h3s3h2c Th8d4h3s2c Kd8s7h4s2s 7s5h3d3c2c 
KsKhKdQc2s 8h6s4c3d2d Ah8d4c3s3c Ts7d6h2d2c 
Qd7s6h6c2s Qs9s7s3d2h AhJd7d3s2d Qc6h6d4h2s 
TdTc5s3s2s Jh4d3h2h2d Qh9d4s4c3d 9s5c4d3s2h 
Jh7c5d5c2c Kh7d6h3h2s Kd8c5c2s2h KsKhKdJh7h 
Js8h8d3c2s Qh8d7s4c2s Jh7h6h3h3c AdJc7h3s2s 
Kd8h6d3d2c Ts9h5h3h2h Qd9h8h3h2c Ks9d5h2d2c 
Jc7s4s3h2h Js7s7c4d2s Kc7d6s6h2s Jd9c6h2s2h 
Ad9h7h3s2c Ks7s7h2s2d AhJh6s3h2h 9h5d4h2s2h 
KhTc7d3d2d Js7d6s4s2c 6c4s4d3h2d AsQc7d2h2d 
Js8s4d4c3s Ts9d4s3s2s Kh9c5c3s2d ThTc7s3s2s 
Jh7c5d2s2d 9s5h4c3s2d Qc7c5s5d2c Qc5h4s4h2d 
5c4s4h3s2s Qh9c6d3s2c Ks9s8s4h2s AsTc5d3h2h 
Tc8c6c3s2c Jc8h6d3s2c JsJdJc9d6c JhJdJc5h5d 
Tc6d3c2d2c KhQs8h3h2c 8c4h3h3c2c Jd7s7c2h2d 
Jh7s5s5c2s Ts8h5d3d2d AdTc6c3s2c Js7c5d3h2d 
Qs9d5d3c2d AsJh6d6c2c Qh8h6c3h2s Jd9s6d4d2d 
Jd9s3h3c2d Jd8h4s4c2c KsKhKcTh5d QsTc7h3c2c 
8s4h4c3h2c 9d6h4h3c2s Qh7d7c6c2c KsKhKdQh3c 
KdTh7c2s2c Jc5d4h2s2h 9h5d5c4s2s KsKdKc7h5s 
Jd9h7h2h2c Jh7d6h4s2h Jd7h4h3h3c Ah6c4d4c2c 
As8c5d3c2h Ts6s6d3c2h 9h5c4d3s2h Td9d3d2h2d 
Qc9h6d3s2h Ad5h5c3s2s QsTd3c2h2c Ac9h7s3d2h 
Qd9h4c3s3c Qh5c4h2s2h KsKhKc6c4d Qd7s6h4h2c 
Jc8d4s4h2s Kd9s4d2h2c AhTh7h3h2h Jd9d4h3d2c 
Qd9h5h2s2c Jd7s4s3s3c Js9d6c3c2h Qh9s5c3d2c 
9s8c4d4c3c Ac8h5d3d2s 4s4c3s2s2h Tc8h5d3s2s 
QhJsJhJd2d 8h8d4c3c2s JsJhJc9c6s 7s6h4h3c2h 
Qh7h4d3s3h Ad6s5h3s2c Qh5d4c3d2s QsQhQd7h5s 
Kd7c6d3d2h Qs3s3d2s2c 9d5c4c3s3c Kd9c5s2h2c 
Tc6s5s3h2d QhTh5h3h2h Jd7d6c4h2d Td7h5s3s2c 
Kc9h7d4s2h Td7d6c3s2h 8s6d4c3c2c Qc8s4h4c3c 
Jc7c6h4c2s Jc9c3s3h2d Td8c6h3h2h As9d6d4h2c 
Qc9c7d2s2c 9s6d4s2s2h Qc5s3d3c2h QdTs4d3d2d 
Ks6c4d3h2c AhJd7d3d2c Ah8s4d4c3s 7d4d3h3d2h 
9s8d7c3c2h QcJc7s2h2d Js7h6h4c2d Ad5s4c3s2s 
KhJs8s3s2c AhTc6d2s2d Jc7c6s5c2c Th7h5c2s2h 
Ah7s5c3d2s 8d4h3h3d2d KsJs8s3s3d 9h6s4c2s2d 
Qh8h6h4h2h 6h5d3d3c2d 5s4h4d3c2h Kc7h4s4d3s 
Kh7d6s6c2c Ac8c7d3c2c QsJh7d3c2h Jh8d7s2s2c 
Ks7s6s3h2c QhQc5s5h5d Js7c6d4h2h Jh5d4d3c2s 
6s3s3h2d2c Js6h3c2s2h 9s8s5s3s2c Qd7h5h4c2h 
Qd9s7c4d2d Kc9d9c3h2c 9h5d5c4s2h Ts5c4s4d2h 
9d7s4d4c2h Qd9s8h4s2s Kh8c7c4d2c Kc9s5h5d2d 
9c8h4d4c2c Js6d3d2s2d Kd9d7c2s2d AcJs6h6d2d 
AsQc7d3d2h Th8s7s3d2c Kd9d7c2h2d Js9c4s3s2d 
Js6d3d3c2c Js8s8c3s2d Js6s5h2s2c Kc7d4h3s3d 
QhTd7d3s2d 9s5h4h3d2c Ah9s9c4s2d 8s7c6d3c2h 
Qs6d4h4d2c Ad5s5h3h2c 9s6c4s2s2d Ks9c5h5c2c 
Kc7d6h3c2c AsTs4d3s2s Tc9h3h2s2h KhTs6s3s2s 
Jd9h7h3c2h Js6s5d2s2c Jh6h5s5h2h Tc5h3h2h2c 
Qc7h7d6s2d Qc6d5d3d2s Kh9d3s3d2s Kc7h6d4d2d 
8h8c7h3h2s Tc9d4d3d2d AdQs7s3s2c Kd9d8d4d3h 
Qd8c7d3s3d Kd9d5c4d2d Qs8c4h3c2h Qs6c5d2h2c 
Qd9s5c3h2c Th4d3d3c2h 6c4h4d3h2s Kh4h4d3c2h 
AhJh6h2h2d Td6h5d2d2c Jd9c4s4h2h Qc8d6d3s3d 
Jd7h5c3s2c 7h6d6c3h2h Jh9c7s3c2c Qd9h9c4s2s 
Ks5h4h2d2c Jd9c6h4h2h Kc9c3s3h2d Th6h5h3c2d 
9c8d4s2h2d Js5d5c4h2c 8c5h4c3s2c Kh7d6h3s2h 
Qd9d7c4d2h Tc8h6h3h2s 8s7h5c3h2h QcTs7s2s2d 
Jc5d4s4d3d 8s8d3d2h2d Jc9d7d4d2h Jh9d6s2d2c 
AdTs6s3s2c KhJd6c3c2s Qh9c8s4c2c KcJsJdJc2d 
Qd8d4d3h3c Js9d6h3d2c QcJs7d3h2s Ah8d6s6h6d 
Jc7h6s6c2c Ks8c5c2h2d Ks8s6s3c2d Qs9s4s4c2d 
KhKdKc7h5s AhTd6d3d2c Kd9s9c3d2d Qh9d8c3c2s 
9c6h4s4d2h Kh5h4s3h2h 8c7c5h3c2c Ac9d5s3h2d 
8s7d6d3h2d Qs8s4s3h3d Js9s7d4s2s AsQh7d3d2c 
Js7h6s4s2c 8s7d6h3d2c 9s5d4h3c2d Ad8h5c3s2h 
Kh9c5s5d2s Qd7s6c4h2c Jc7h5d2s2d 8h5s5c3h2d 
Js7d7c2s2h 7d7c4c3c2h Th5s3s3h2s Qc6c4d2s2h 
QsQhQd9h8c 5c4h4d3d2d Qc7d3d2d2c 8c7d6s3d2h 
AdJs7h3h2h 6d4s4c3s2h 8s8h3d3c2h Jc6c4d4c3c 
Ks9d6h4h2h Ts8c6h3s2s QcTh3d2s2d Jd9d4s3c2d 
Qc6s4s4h3s Ah9c4d3s3d Kh9h5h5c2h Ah6s4d4c2d 
Kh9s8c4s2d Kd6d3c2s2h 9d5s5d3h2c 8h8c4c3c2d 
7h5d5c3h2h Qs7d6c2s2h Ts6c5c2h2c Jc8s7s2s2d 
Qs9c5c2h2c 9h6s4h2h2c 9c8c3s3d2h 9c8c4h4c2s 
Td5s5d4d2c Ac8s4d3h3d Jh6h5c4h2h 9c7c4d4c2s 
Qd7s5c3d2h 9h8s3s3c2d Jh6s5d3d2c Jd9c4s3c2h 
Kc7h6h4d2h KcJd4h3h2h Ah8h3d2h2c Qd9c5h3s2h 
Jd9h4h3s2c Jh7d6d5d2d 6s6c4s3s2s AdJc6s6h2s 
Qh6d5c3c2c Ts7d5s3h2c Ah9c7s3c2d Ad9h5h4h2c 
QhJh7h5h2h AcQd2h2d2c 9h7h4h4c2s QsJsJhJd4d 
Kd9h4s4c3c Kc7s6s4h2s Kh5s4s3s2d KhQh7c3s2h 
8h6d4d3c2d Qs9s4s4h2c Kh9d5s4s2s Tc7c6d3s2h 
4d4c3c2h2c Qc7c5c4s2c 9h7c4h4d2s 9s6s4s3s3d 
Js6d5h3h2c AdTsThTc7d Jc8c6c3h3c Qh6s4d3s3c 
KsKdKcQc4h 8d7h5h3h2c Qd6h4h4c2s Tc6c5s5c2c 
Ks6h4h4d2c 8h5d4s3h2h Qs8s4h3s3c KcQsTsThTd 
Td7s3d2s2d Qc8c4s3d3c Ks7s4s4h2d 9d8s7s3s2c 
Qd9h8c3s2c Kd6c5s3s2s Jh9s4c3s2d Jc8h5d3d2s 
Qd8d7d4d3h Td6s4h3c2d Kh9c6s2d2c Kd9h8h4s3h 
Jh8h6h3s3h QcThTdTc8s KhKdKc6h4s Jc5c4c3s2d 
QhQc7d3s2s Ks6h5d3h2h Ah5s5c3s2d Ad9h4c3s3c 
9s6d4h4c2s Ks7d6h6c2c KsJd8d3d2c Qd7c5c4c2h 
7c6d4d3d2s Qc8s6c3d2c Tc5s3s2s2c Qd7h3h3d2h 
Js9h7c3c2d Kd9c8s4c3c Qs9d8d2h2d Qc6d3h2h2d 
9d8s4s4h3s 9h4h4d3h2d Qh7h4s4d3h Js7s6h4s2d 
JdJc6h3s2h Jh6h6d4s2h 9c6h4d2s2c Tc5s5d4c2h 
Td5d4c3h3d Ks9d3s3c2h Ac6d5s3s2s Qd7h3h3c2d 
Kh9s7c4d2s Qd8c7s4h2s Ts5h5d4c2h Tc9c4c2h2c 
Kc8h4s3d2c Qs5h5c4d2h Ks9d5c4c2c Jd7s6d4d2h 
Ah9c5c4c2s QcTs7d3h2h Kh6s4s3c2d Jc5d5c4c2c 
9c6d4s3h2h Jc9h6d4d2d Qs7s4h4d3s Jh5d4h4c2h 
Qc5s4h3s2d AsJh6d3c2h Td9s3h2h2c Qh8h5c3h2s 
JsTsThTc9s Qd9d4s4d3d Kc6h5d3d2d Ts5s5h4c2s 
Tc9h3s2s2d Qc8d5s2s2h Ad9h7s3c2h Jc7h6s4h2d 
Kc9d5c3c2c Qh6h4s3d2h Ks9s9d3c2s 9h8h4s2h2d 
8s5h5c3d2c Js9d6s3s2s Qc9d5h3h2h Qc8s3c2s2c 
Qd9d8d2h2d Jh9d4h3h2s Ac7h5h3d2h Qs8s4c3s3h 
KcQs9s3s2s Ah8s4c3d3c Td5c4d3h3d 9c5d4c2s2c 
Qd6h6d2s2d AhJd7s3s2c Ks9c8c4d4c Th8c6s3d2d 
Qs7c6c5c2c Qd5s4s3h2c Qc8c4h3d3c KdJh6s3s2c 
Jd8s5s3c2h 9h5c4s3d2h Qh9c7d4h2h Js9c7h4h2h 
Th4d3d3c2c 9h5c4d3s2d Kd7h7d2s2d Qs9s4s4d2h 
Qh7s4s4c3d KdQs8d3d2h Qd8d6d2s2d Jc7s7h6c2c 
8h8d3s2s2c Qd8d6d2h2d 9s8h7h3d2h Kc7d4s3d2s 
Kd6c4h3s2s 6d4s4c3h2s Qs3d3c2h2c Tc8s5s3d2s 
Kc8c7d4c2c Jc8d4c2s2c Td7c5d3h2s Qs5c4h4c2d 
8s5c4d3s2s Jh9d7c3s2c Kd8s5s5h2s QsQh7d3c2c 
Kc7d6h4h2h Kh8d5d2s2c 9s8s7c3d2s Ah9c5h3h2h 
Qh8c7s4d3d Kd5c4h3h2h Ah9s7d4s2s Ah9s4s4c3d 
Qc8c5s3c2h Jh9c6s2s2d 5s4h3c2d2c Td4h3h3c2d 
Qh6d4h2s2c Ts4h4c3c2h Jd9d6d3d2s As9h4h4c3h 
Qh7d5c4s2c Ac5d4s2s2h 6d4h4d3s2c 8c7s6c3d2c 
Ks5d5c3d2h 6c3d3c2s2h KdTs7h3c2c Ts7c6h3d2s 
Jd8s8d3d2c AhTc5s3d2d AcKc8c3c2c Qs7c5d4c2h 
Kc8c3h2h2c Kc8h7h4d2h Td9h8s8h8d 9c8s7h3h2d 
Qd7d4c3h3d Kd9s8s3s3h Js9h4h4c2d Jh7d6d4c2s 
Jc7c6c3s3c Qh7s6d4s2c Tc6h4c3d2s Qh9s4s4d3s 
KsJc7d3c2h Jc7h4h3s3d Qh6c5d2s2d As9h3d2h2d 
Qs7h7c6h2h Ad8c5s3h2c Qc7h4s2s2h As9d7h4c2c 
AsJd7c3c2c Qc8d6s3c2h Qd8s7h4c3c Td5h4h4c2s 
Kd9c7h4c2s Td8s6d3c2d Ac9s9h4s2d Jd6h5s3c2c 
5s5h4d3c2c Th8c7h3h2d As8s6h3s2s Qh5c4s3c2d 
Ac5d4h3d2d 9d5c4s3s2h Qc9s7d3h2c KsJs7s2h2d 
Qs6s4c3h2s KsTh5h3h2h AdQc2s2d2c Qc6h3s3h2s 
Qh7c3h3c2c AhQd6s3c2c Td6c5s3d2d AcTd5s3s2s 
Qs8d6c3s2h Ad9h7c3s2h Jc9d7d3s2d Js7s4s3h3c 
Jd6h5s3d2d KcJd6s3s2h Kh9c5s3s2d Qh8d8c4c2c 
Kd7h6c4s2c Jd9h7s3s2c 9c8s7s3s2d Kh7s4d3s2d 
9c8d4h3c2s Qh8d8c4d2d QhJd7s4s2s JsJhJc5h5c 
Jh7s5s2d2c Ts8d6h3s2s As9d7d2d2c 9d6s4h2d2c 
Kd7d6s3d2h Js9d6h3s2s Jd7c4h4d2s As9h4h4c3d 
6d4s4c3h2c 7s6s4s3d2c Kh7s6h3h2c AhQd6d3d2d 
Qc8c7d7c2c Ts5c3s3c2c Ks6d4d3h2c Qh9h7c4h2d 
Jh9s6s3c2s Qd5s3c2h2d Qs8c7d4c3c AcQh2h2d2c 
AsJs9s3s2s Js7d4c3h3d 8c7s7d3d2h As5s3s2s2c 
Jh7s6c4d2s Qc7s7d6h2d KsKhKcQd2c 9s7d7c3c2c 
Kc8c4s3d2h Kh8d5d5c2d As9h5d3h2c Kh8c5h3h2d 
Jc6h6c4c2s Ac7s3c2d2c Kc8c4d3h2s 9c8c4h4d3c 
Jh9d6d4d2d Jd8d8c3d2s KhKdKc7s5d Js9c4d3h2c 
QsTc7d3h2d 8d8c3h2s2h Kh5s4s3c2s 6d3s3h2d2c 
Qd6c4h4c3c Qd9s5c3c2h Kc7s6s4d2s Kh9d8s2s2c 
Ah8h6h3h2s KsKhKdTc2s KhJc7d3c2s 9h4h4c3h2c 
QhTd4h3h2h Ks7d6s3h2s Td5s5c4h3h KhQc8h3h2s 
Kh7s4s4d3s KsJd6h3d2d 9c6h6d3h2h Qc7d6s4d2h 
Jc7h6d4s2h Qh6d4d3s3c Jc5s4d3h3d Ad8h4h3s3c 
8s8c5s5h5c QsJsJhJd2h 8d6d4c3s2d Js8d5c3c2h 
Qs7s4s4d3c 9h8d4d4c2d Kc5s4h3h2h Qc8h6d2s2d 
Td8d6h3d2c Kh9h9c3d2h Ks9d7d4h2c ThTd4s3d2d 
