9d6d3h3c2d 
Ad8s6s3s2h Qc5c3h3c2c Jh6c4d3c2s Jc6d4d3d2s 
Jd7c4s4d2d TsThTc6s5c Ad9c6s3c2h Td9s9d9c6s 
Qh9c7c4c2s Ah9h4h3d2h Ks8d6d3h2c Kd8d4d4c2d 
TsThTc9c5s Ad8h4h4d4c 6s4s3s3c2d 9c6c3c2d2c 
AhKc8s8h8d Jd9h3h2h2c As8s8h8c6d Ah8d6d3d2s 
Tc7c4h3c2s Kh9s4s4c2d Th7c4h3h2s Qd7s4h4d2d 
Qs7h5c3c2c Kh7c6d2s2d Jd7d6d3h2s Qd9d3h2s2d 
8d6h3h2h2c Qs4s3s3h2c Jd8h4c3c2s Qs8h8d3h2c 
9d7h4s3d2d Qs7h5c3h2h Jh8h4h2h2c Qh8c6s3d2d 
As7h4c3d2c 9h5s3c2h2d Qd9c7h3s2s 9h6s4h3h2h 
Qs8d7h3h3c Js7d6s3h2s Kd6h6d6c5c As6d4h3h2h 
Th7c4d3h2h Qd7h7c4d2d Jc8c6c3c2s Jh7s4c3h2d 
Ks8d3s3h2c 8s8h8c7h5c Qd9h7c3s2s 9c7c4d4c2c 
Qd6c4c3h2c 9s7c3c2h2c Ks7s3h3c2d 6h4h3h2s2h 
Qs7c4h3d2s Jc9c3c2h2c Js8d6h3d2c Jh5d5c3d2s 
9s8h3d3c2c Ac8d6h3s2d Kc8c7s3c2d 9c7h3s3d2s 
9d8c4h3h2h 9h8h4h3d2c Th5c4s4c2c Td7h4s3h2h 
Kc7c4c2h2c Jd8s3c2h2d 9c5h4s3s2s 9s9h9d6h6c 
9c7s3h3d2d 9h8h3h3c2h Ts7s6s3s2d Kh9c4h3s2h 
Ac8s6s3h2s Ts7h4h2d2c Jd3s3d2d2c Jh6c4d3d2d 
KsKhKdQc4c 9d7c4h3s2s Ks4c3h3d2d Kc5s3s2s2d 
7d4h4c3d2s Jh6d4c3s2c KhQs7h3h2h Th6d4s3d2d 
Tc7d6h3s2d TsTdTc9h8h 9h8h4d3c2h Qh5h4c3h2h 
Kd8c4d3h2d Tc5c4h4c2c Kh9d6c3c2c Kc8d3c2s2h 
Tc8d3d2s2h Qh8c4d4c3c Jh6h4h3c2d Jd8c6h3s2c 
Tc5d5c3c2h As7h6c3d2d Kd9d3d3c2h 9d7c3s3c2c 
Jh6c4h2s2h Td5h4c3c2c Qh8c5c3s2c Qc6s3h3d2c 
9h7s4h2h2c Td5s5h3d2c Qh9h7h4s2h Qs9s7d3s2s 
7h6h3h3d2h JcTd7s7d7c Kh7s6c3d2c 8h7s3d2d2c 
Qc9h7h4s2h KsKhKd8c5s QdJc7c2s2c Ks8h4d4c2h 
9h5s4s2s2d KsKhKc9s3d Ah8s4c3s2d QhTd7s7h7d 
Kc8d4s4h2d Kc7c6h3c2c Qd9c4h3h2h 9s9h9d8d6s 
Qc8d6h3s2s Qs9h7c4h2h As9h9d9c8s Kc8s6h3s2d 
Td7d5d2s2d QhJh7h2d2c Ac7s7h7c5d 7c4c3h3c2s 
9d7h4s2s2c Kh7h6h4h2h 8h7c3d2s2h KsKhKd8d5c 
Ac9h4d2s2h Js7d4s3h2c As8s3s3h2s Kc7s4c3h2c 
Ad8h4s3h2c QsJc7c3c2h Ks7d4h3c2d Ks9s3s3h2c 
Kd8h8d8c6h 9d7d3c2s2d Th7c4c3c2s Tc6s3s3h2d 
Qc8s3d3c2h Kh9h9c3h2h Ac6h3h3d2h Ad6s6h6d3h 
8s5c3s2h2d Kd5h3h2s2c Qs6s3s3d2h As7s7d7c6h 
Kh5s3d2s2c 9d7c4c3c2s Qs7s5h3s2s Ks7h6s3s2s 
Js6s6h3d2s Jh4h4c3h2s Js7h7d2d2c Qc8c4c3d3c 
Qd7h5h3h2c Ks9d4s3c2s Js7c4d2h2d Qs6c4d3d2h 
8c7d4h3c2s Jh7h4h3c2s Ks8c7s7d7c TsThTd9s5h 
8h7s3d2h2c Qh6h4h3h2d Kd7s7c2h2c KsQc7c3c2c 
Js7s6s4h2s Kd7s4c3h2s Jd8d4d3c2s Ad9d4s3d2d 
Ah8d7d3d2d Th5s4s3d2s Ts3h3d2d2c Ts7d3s3h2c 
7s4d3c2s2h Kc9h8h3h2d QsJd7h3h2c Jc8h7s7h7c 
QhJd7c3s2s 9s5c3h3d2h TsThTc8h5s Kh8s7h3h2c 
8d7h4s3c2s KcQs7h3h2h Kh7c6d3s2d Jh5s5d3d2d 
Td7d4s3d2h 9s6s3s3c2d Td7d6d3d2s Js4s3d3c2h 
KsQs8s3s2c KdThTdTc4h Kd9d4c3d2s 9s7s3d2s2c 
Ts9s9h9c6h Qh7s5d3d2d Jh7h6s3h2d Qd5c4c2s2c 
Ts6h3h3c2d 9d6h3s3c2c Jh7c6d3h2s Qd9h7s2h2c 
JsJhJd6s5d 9c8s4s3h2s Ac9s4s4h2s 9h8h4h3d2s 
Qd7c4s3d2h QhQdQcJh8h 9h8h4h2h2c Qs7d5c3h2d 
Jh6h4h2h2c Qh9c7d4s2d Jc8s6h3d2d Kh8c4d4c3c 
As4h3h3c2d KsQc8d2h2d As5s4s3s2s Jc8s7h3d2h 
Qc7h5c3c2c As7s3s2s2h Js7d6c3h2c Jd8s4c3h2h 
Jh6d4h3c2h Qc8h4d2s2d Jh8s7c3c2d Qc7c6c4c2s 
Qs4h4c3d2h Js8h7s3s2c 8s4s4h3d2c Qc7s6h2s2d 
Js5s4s2s2d Jc6h4h3d2s Tc8c3s3h2c Kh8d5d3c2d 
Js4d3c2s2h Qd9d7d3c2d Qc6h4d3d2d Td8d3s3c2d 
Qc8h6s3d2d Qd5d3h3c2d Qh7h7d2s2h 9h8h3h2s2h 
9h8c4d3s2c 9d7d4s4d2d 9h7c4s4d2c Js8d4h3c2c 
Qd8h8c3h2s Kh7d3h2s2c Ac9h5h3h2h AcJd6s3s2h 
Kh5s3c2d2c Qc8c7h3s2d Ah5s3s3c2s As5c3h3d2c 
Kc8d6d3h2s 8h6h3h2d2c 8d5d3s2d2c Kc8h6d3d2s 
As9c5d3c2c Jd6d4d2s2d Jc8d6h3s2d Qh9s7s4s2s 
AcTd4d3d2d Qc7s7h4c2c Qh8d6d3c2s 7s6s6h6c5h 
Ts7h3d2s2c Qh9s4c3s2d Qs7c6c3d2h 6h4h3h3c2h 
Jd7c6d3s2h KdQc8s3h2h 9s8d4h3h2h 6h4h3h2s2d 
Kh6s4s3s2s Ks9c8c3c2h Qc7c6s3h2c Qc8s6d3d2h 
Jh7s4h4d2h Jh5d5c3d2d 9h9d9c6s6d 9s7h4s3c2d 
Qh8s8h3d2h QsQh4s4d4c Qh9s3s3c2d 7s7h7d5s5c 
Jd4d3s2h2c 8h8d4d3d2d Kc9s6h3h2h Th7s6d3d2d 
8d6d3h3d2d Ks9d7d2h2c Js4d3s2h2c 8s7s3c2h2d 
Kd7h3s3h2s Kc8s6h3h2d 8h7c3s2s2d 5h4h3s3h2h 
Js8d3h2s2c Qc8d6h3d2s Ah9h4d3h2h Th6s3s3c2d 
Qd9s7h3h2h Qc8s3h2d2c 9h7d4d3d2s 9h6h4h3h2c 
Qd8d7d3h2c Ts8c3s3d2s Kc7d6d3s2d 9c8s8d8c6s 
Qd7h3h3d2d Td5h3s3d2c Qc5h3s2h2d 7c4h3s2s2d 
Qd6h4h2s2c 9d7c4c3h2s Js6s4s4d2s 9s8h4s3s2d 
Tc7c4h3c2d Qd8s4s4h3s Td6s4s2s2h Jd8d7d3d2c 
8d5c3s3h2d Jc7c6h3c2s Td5h5c3h2s Ah9s5s5h5d 
Th5c4c2d2c 6s4h3s3c2s 8h7s4c3h2h Tc6c4c3c2s 
8s8h8d7d5s 7d4h4d3d2s JsJdJc9s2d As6s3s3h2s 
Ks8h7s7h7c 9d5d4d3h2d QhTh9h9d9c Td7h4c3c2s 
Jh8s6d3c2d Ac5h3h3d3c Jd7d4d2s2d Kc7s3s3h2h 
Ks7c6d3h2h Ts6h4c3h2h As7d4h3c2c Jc8d4d3d2s 
Qc7s4c2h2c Ac8c4s3c2c 9h7s4h3d2h Qc5s3s3d2h 
Ad6d3s3d2d 8d7s3h2h2c Kh8h7h3h2c Jc9h4s3s2s 
Ts5s5c3s2s 8c7c3h3c2d Jc7h6s3d2s 9d8d4d2d2c 
Qd8s6s3h2c Kc8c5c2s2c Ah6c4d3s2c As4c3h3d2h 
Qc8d6h3d2d Qh7h4s4h2d Jd6h4s3s2s Jh7d6h2s2h 
9c7h7d7c6h Kh9s9h9c6s Jd8s6h3c2h 9d8c4c3c2s 
As9d4d4c2d Kc8s8c3d2c KdQd8d3h3d 9s7h4c2d2c 
Kh8h6d3h2h Qd7d4h4c2d Jh4s4d3d2c Jh5d3h2s2c 
KdQs8c3h2h KsKhKcQh4h Kd7h6h3s2h 8s7s6s3s2s 
Ac7h4h3h2s Jc6s3d3c2h Jc8s7d3h2d 8s7h3d3c2s 
Ks8h3c2s2d Jh7d4h2s2h Tc5c4c3c2s JsJhJc9c8c 
Qh6h3s3h2c As8d6c3h2c Ac5d3d2h2d Kd7c4h3d2d 
Jc8s7s3d2s 8d5s3c2h2d 9s9h9c6h6d 9d5s3h2s2c 
9d3h3d2d2c Jh8s5s3s2s TsThTd9d4s Js8d7c3d2d 
Qh9d7s2d2c Ks9c4h4c2d Ks7d4c3s2s 8c7h4h3d2h 
AsKs5h5d5c Kh6d4s3d2d Jd6d4s3d2d Qh7s4c3d2h 
KsKdKc8s5h Kd8c4h4c2c 9d7h3c2s2h Kh9d4s4c2s 
Jh9c3c2s2d Ks9s7c3s2s 9h7s3d2d2c Js7c4c2h2d 
9h5h4h3d2h Kh4d3c2s2d Js7d4h4c2c Qh7c5c3c2d 
Jc8d6d3d2s Kh7s6s3s2d JhJdJc9c7s Kh6d4c3d2d 
Qh7c4s3d2h Js6d4c3d2h Ac5s3d2h2d Ah8d6s3c2s 
8h6c3c2s2c Jd7c4s4h2c 9s6d4s3s2s 8c5d3c2s2c 
Td5s4d3d2d Qc6s4s2h2d Jh8s8h8c7s Ac7h4d3s2s 
Qd8d6d3h2d Tc6h6c3s2c Qd8d7h4d2d Ks9d6c2h2c 
Qh8s8d3d2c QdTd9s9d9c 9c6d3h3d2d JsJdJc3s3d 
Jc8d3s3c2h Jc4c3h2s2d Qs8d4c2h2d Qh7s3s3h2h 
Qc9s3d3c2c Jd7c6s3h2d TsThTd9h2s As8h6c3c2d 
Jc7d4c2s2h Ks8s3c2h2d AcJc9s9d9c Qc9h7s3d2s 
Ah7s4s3d2s KdQs7c3h2c 9c8c4s3d2c Ts6h5h3h2h 
8d7d3h3d2c Jd7h4s2h2c Kc7h4s4h2d Ac9s4c3c2c 
Th6h3d3c2s KdJc7s3s2s Kc9d8s3d2d Js8h7d3c2c 
Qc9s3s3d2h Kh9d7s7h7d KcQhQdQc3s Qd8d7s3c2h 
7h6h3h2s2h KsKhKcJh3h Qc8h4h3s3h Ac8s4s3h2d 
Ad7c4h3c2s Qs8s4s4c3s Qs6c4c3d2c TsThTd9s8c 
7s7h7c5h4s QsQhQc4s2h Ah8h4d3h2h JcTsTdTc7h 
Qs7h7c3s2d Jc7c4s4d2c 9h8h3h3c2d Kd9s9h3h2h 
Jh7h6h3c2s Jh8h3s2d2c 9d8h3s3c2s Ac7d4d3d2h 
Qs9d4h3c2c Qc9d7d4h2d Ks4d3h2d2c Tc5s3d2h2c 
Js5c3d2h2c Ad8d4d3d2c Qs6c4c3c2d 9h7s3h2h2d 
8c7c6c3d2c Jh9d3s3h2h 8s7s4s3c2d Qs9d3h2d2c 
Ad7h4c3s2s Kd8s4s4c3s Jc7s4s4h2s Kd7s7c4h2h 
AdJd9s9h9d JsJhJdTc7s Jc6s4s2h2d Qh9c7d4d2s 
Kc5c3d3c2c 8s7d4h3s2s KhKdKc7h4s Qd7c5h3h2s 
Qh8c5c3d2c 8s5d4s3s2s Ks8c6c3c2h Ad9c5h5d5c 
Jh7d6d4d2d Kd8h4d3c2d 8s7d4c3h2d Qc4h4d3h2s 
KhKdKc5s2h Js7c6h3s2d Ts5d3s2h2c KsKdKcQd6d 
9s7d3h2s2c Qs6h4d4c2h Td7d4c3h2d Kd7d4d2h2d 
Kh8d4c3h2h Jd6c4h3s2s Js6d4d3c2h KsQc6s6d6c 
Qd8h4h4c2s Qd8d4s3c2d QsQdQc6c3s QdQc3s3h3d 
Ah9s5c3c2c 8c7s3s3h2d 9c7h4d2s2d 9d7s3h3c2s 
9c5d4d2h2d Jh5h4s3h2h As9d9c3c2c Th7c4s3d2c 
8s7h4d3c2c Jc8c3h2d2c Td7d6s3d2d Ks7c6d2h2d 
Jd7s6h3c2d KsKhKdTs3s AsQc8s8h8d TsTdTc5s5d 
Qd7s6d3c2d Ts5d3s3h2s Qc8s8d3c2c 9s6s3d2s2h 
7s4s4d3s2h 9s7h4s3c2s Kd7h6d3d2d Th6s5h3h2h 
Jc4s4d3s2h 9d7d4d3c2h Ah9h8s8d8c Ah7h3h3d2h 
Qd4s3h2d2c Ad8c6s3h2c KcJc7c3c2h Qd6c4h3h2s 
Kd9s7c3s2s Td8s7s7d7c Kh7c4h3s2h QdJh7h3s2h 
Tc5c4c2s2h Ac8h7h3s2h Tc7s4s2h2d Qs8c4d3s2s 
9h9d9c8d6h Kh8s7s3c2d 9c8h4h3h2d Jd8s7c3h2s 
7d4s4c3h2h Qd9h7h4h2c Qc7h3s3h2s Qd7h6d3d2s 
Kc8s4s3s3h Kd7c6h2s2c KsJc7d3d2d Ad9c6c3c2s 
Kc8s6d3s2h 5s5d3s3d3c As9h6h3h2c Jc7s6s2s2d 
9d6c3h3c2c 7h6c3c2d2c Js6d4s3c2s Qs7h4h3h3c 
Tc6s6h3d2d Td7s3d3c2h Tc7c5c3c2d Ad9c6c3s2c 
Kd9d3h3d2s 9d8h3h2s2h As9d6c3d2h Jc8s4d3h2s 
Qc4h3c2d2c Tc7s4d3h2d Qd8s6h3h2c Ks8c6d3h2d 
Kc7h4s4d2h 8h7d3s2d2c 9c7h4d3c2c KhJd7s7h7d 
9s5s4s2d2c Qs6h4s3s2s Qs9h3h3d2c 8s7d3s3c2h 
Js7d4c2h2c Ah9d6d3s2d 9c5s3s2s2d Jh9d3h3c2h 
Jh5s3d2h2c Qs6h4d3h2h Qh6c4c3c2d Ac6d3h3d2d 
8d7c4d3d2s Td8h7h7d7c Jc6h6c3c2d Jh8d6s3c2s 
8d6d3c2h2d Kd9c7s4c2c Kd7c3d2s2h Jd5s5h3c2c 
Qh4h3s2h2c Qd9c7h4h2s Ad9d8s8h8c Ad7c6h3s2c 
Qh4h3s2h2d Jh8c6s3c2d As6h3d3c2h 9s7s4s4c2s 
8d7d4c3d2d 7h6h3s3d2h 9s7c3s2s2h Qh8c6c3d2c 
Ac9d6h3s2d Kc9s9h3h2h Kc7s4d3d2h Th7s3h3c2d 
Js5d3s2s2h Kc8s4d3s3h 8c6s3s2h2d Ks9d7h4d2d 
8d7h4s3c2c 8c7d6d3d2d Js6d4d4c2d Qd9c4s3c2h 
JsJhJcTh7h Jc9c4c3s2c JsTh9s9d9c Ad9d3h3d2d 
Kc9d7h4d2d KsKhKd9c6c Tc7d4d2s2d Kh4s4c3d2c 
Ts6h4d3h2h Ts6d6c3h2c Jd6h3d3c2s Jd8c4s3h2s 
KhTsThTd4d Jh4d3s2h2c 8s7s7h7d6h 9d7s4s3h2s 
Kc9h7s3s2d Tc4h4d3c2s KsKhKc6d5d 9s7c3h3c2c 
Td5d4h4d2d Jh7s4h3c2h Kc8d5s3s2s Qs7h5h3c2d 
Js7c4h3d2s 9s5c3h3d2c Jd7s3c2s2c Qs6d4d2d2c 
TsThTc9c4s Ah7s4c3d2c As6h3h3d2h Jd7s4d2d2c 
9h3s3d2d2c Kc8h3s3c2d 9h7s4c3s2s Qc7s6c3h2c 
9c5s3s3d2s Ks7h4c3c2d Tc7h4d3d2d Qc9h7d3h2h 
Js8h7d3d2d Qs8h6d3h2h Jd6s3d3c2h 9h3h3c2s2h 
7h6s3s3c2s Qc6d4d3h2d 9h8d4c3c2c Qd9c3h3c2s 
9s5d4d2d2c Kd8d4h3c2d KsKhKd8d6d QsQhQd4s2d 
8s7c4s3d2s Jc8s7c3d2c KcQh8s8h8c Qh9s4d3s2s 
Qc8h4c3c2s 8h5h4h3h2s 8h7s7h7d6d Jd8h4h3s2h 
Ac7s7h3s2s As4d3h3c2d Qd7d6d4d2d Qh5s3h2h2c 
6d4h3h3c2h KsKdKcTc5c Kd9d3d3c2s Kd9h7c3h2h 
Ts5s4s2h2d Ah6s3d3c2d 7h4d3h3c2s As9d6c3c2c 
Ts8d4d3d2d Kc9d4s4d2d 9d7h4d2s2c KhTsThTc5c 
Qd9c7s3s2s 9d6h3s3c2d Kd8d6d3d2s Qd7s7h4c2c 
Jd5d4d2d2c KcQh8d2s2d 6s6h6d5h5c 8d4s4d3h2c 
9d7h4c3d2d Js9h3h2h2c Qc6h4h3h2s Th8c7c3c2c 
Qs8c6h3h2h Ah8d4c2s2c Jh8s6d3s2s Kh8d6s3c2c 
Ts6d3h2d2c QcJh7s3d2d Ks9s4d3s2c Jd7d4d2s2c 
Kc8s4c3d2c 9s8d7s3s2s Ks7h6c3c2d Jd6h4c3h2s 
Kh7c4d3s2c 8c5d3d2s2h Td8d7d3d2c Ad5d4d3d2d 
Td7c6s3c2c Kd7s6s2s2h Ah7s6h6d6c Tc5h4d3s2d 
Td7s4c3c2h Kh7h4h2s2h Jh6s6d3h2c 9h5s3d2d2c 
9d6s4d3d2d Ks4h4c3c2c Qd8h4c3d2d Kc5s3s3h2s 
Kc7s5h3h2h 5s4s3s3h2s 9d5c3s3h2s Kc6c3d2h2c 
Qs9h7h2d2c 9c7s4c2h2c Jd7s7c4h2h Ks9d7h3c2c 
Ad6s4s3h2s Jh9c3c2s2c As9d6d3c2d Jc8d4s3h2s 
KhJh7h3h2h Js6d6c3c2h Js7h4d3c2s 9s7s3s3h2d 
Ad4c3h3c2c Ad6h6d6c3h Ad8h5h3h2h Kc8c4d3c2h 
Qd7s7c3d2h Ks7h6d3c2h 8h5h5d3h2h Jh9h4h2h2d 
JdTc9s9h9c 9c7c3h3c2d As7h4h3h2c 8s7c4s3h2s 
QdTd7d3d2d AdJsJhJc4d 4s4h4d3s3d KdQd8d3d2c 
KsQsQdQc6h KsQs8s3d2s 9h8s4d3d2c Ts7c5h3c2c 
Ac9d4d3s2h TsTdTc9s5d Qs8h6h3c2h Jc8s3d2h2c 
Js6h4s3s2d Qh5h3c2s2h 9c7s4s3d2h Qh7d6c3s2c 
Ac4d3s3d3c 9h7c4d3c2s Qd9s7c4c2c Ts6d3h2s2c 
Kc8s4c3c2h 7c5c3d3c2c Kc7s3h3d2c Qc9h7h4d2h 
9s7d4c3c2h 9c6s3s3d2s As7d6c3c2h As4c3d3c2c 
Jd7h6c3s2s TsThTc6h5c KsKdKcQc6c Td6d4d3c2d 
Qc6c4c2d2c 7h4c3d2s2h Tc5c4s4c2c Ks7s3d3c2h 
Kh4d4c3d2d 9d7h4h3s2c Qs7s4h4c2d 9c7h3d3c2s 
Jc6h6d3s2d Ah7h3h2s2h Td5s5d3d2c 9c7c4c2h2d 
Jh8s7d3d2d Js7c6s3h2d 9c6h4h3h2h 9h7c3h3d2h 
Jh6d4h3h2s Kd8h5h3s2c JsJdJc5c4s Qd6s6c3h2s 
9c6c4c2h2c 8h7h4c3s2h Ts8c3d3c2c Qd8h4h3s3h 
Ad9d4h3d2d 8h7d4h3c2h Ah9h4h3h2c Kh8s6c3c2c 
Qs6c3s3d2s 9c8d4h3h2s Jd7c4h3h2s 8c7c3s3c2d 
QsJsJhJc9s Th8c4s3c2c Qc7s5s4s2s 9c5h3d2s2d 
6c4d3d2s2d 7d6h3d2s2d KdQc8s3h2s Qh8s4s4d2s 
9h7s3h3c2d Ks9d4c3d2h ThTdTc9c5h Qc9d7h3s2s 
Kc9h4s3h2d Kd9s7s3s2c 9h7d4s3s2c Jh7h6c3d2h 
Kc9s7s2s2h 7s4s3h2s2d Jh7h6s3d2c 8s7s6s3d2s 
Qh8d8c3s2d Jd4d3c2s2h Jd7s6d3h2d Ks8c6d3h2c 
Qh9d7c4c2c Th8h5h3h2h Ac8s6d3d2h Ad8c4s3h2c 
Ac6d3s3h2d Ah9d4d4c2d Td6c4s3s2s 9c6h3s3h2h 
8h5d3s2s2c Ts5s4s3s2d Kd6c4s2s2h Qs8d6c3c2h 
Jc4h4d3h2s Jc6h4d3d2d Kd8h4s3d2d Ts5d4c3d2h 
Jh8h4h2s2h 8s5s3h2d2c Ks7c6d3h2c Td5d5c3d2s 
Kd8d7h3d2s Qc7s7h3c2d Qs9d4c2h2d 8s7h4d3h2h 
Jd8d4h4d2d Qs4d3s2s2c 7c4c3h3c2d Js6d5d3d2d 
Qd9s3d2h2d Kc8s6d3h2s Tc6c3s3c2h Jh8s6d3s2c 
Jh6h4s3d2h ThTdTc8d5h Jc4d4c3c2h Td8s8h8d6h 
Ks9h9c3c2c Ad7h4c3h2s Qh9s7d2s2c Kh7h4h4d2h 
Jh5h4h3d2h Qh8c7h3h2s Ts6d6c3h2h Ah5c3c2s2c 
Kc8c4s3d2c Ad9s4s4c2s Jc5c4s4c2c TsThTc9h7d 
9s5c3h3c2d Tc8c4d3c2c Qc9s4s3h2s 9h7s4h2h2d 
Ah9s4d3s2c Ks9d7d3d2c Qs4c3s2s2d 9c7c3h2s2c 
Qs6h6d3c2d Kh9d3h2h2c Td6c3s3d2h Js7h5h3d2h 
Jd8h7s3c2h Th5d3s2h2c Ac9d4s4h2d 8h7d4s3c2d 
9d7h4c3c2s KsQd6s6d6c Jh6d4s2d2c Th7d6c3c2c 
Jh6d4d2s2d AhJc2s2h2c Ks9c7d3d2d Ac7d4s3h2d 
Jh7s5s3c2s Jd8c7c3c2s Jc6c4s3h2c Ks7h6h3c2h 
Qs9s3c2s2d Qd6h4c3s2c Qc7c4h4d2s Qs9c7s4s2s 
Kc8c4d3h2c Kd8c3s3h2d Kh7c3d3c2d Qh8s4s2s2d 
KsQh8c3d2c Qs8h4d4c2d Ks4d4c3c2h Kc6s4h3s2s 
8s7h3s3d2c Qc6h4s3d2d Jc9s4h3h2h Kh7s4s4d2c 
9h6s3s3c2s Jh5s5c3d2c Td8h4c3h2h Th5d3s3h2h 
Qd8s7d3h2c 9c7h3s3d2d 9d7s4s2s2h Tc7h4d3s2d 
TsThTd8h7c 8h4s4d3c2s KcJc7c2d2c Kh9d8d3d2c 
Jc7h6c3s2c Jc8d6d3s2d 8h7d3h3c2s Ts8c7s7h7c 
KsKhKdQd5d 9h7d4d3d2c Td5d4d3d2s Ac9d4h4d2s 
KhQsQdQc7h Qh4s4c3c2d Jh5h3c2h2d Ks5s3s3c2s 
Jc6c5h3c2c Kd8c6s3s2h 8h4h4d3s2c Jc5c3s2h2d 
9d8d4h3d2c Qd5c3h2s2c Ad9d4d2h2d Td4h4c3s2h 
KhJhJdJc8s Kc8c4h4c3c 9c8c3h3d2c 9c7h4s3h2h 
JsJhJc9d7c Qh8s8c3d2c QhQdQcJd8d 9d7s4d3d2h 
Ks9c6d3d2d Qd4s4d3h2d Kd7h6h3h2s Ks8c6h3d2c 
As6c4h3h2d Qc6c3s3c2h Kh9h3h2s2c Ah9s9c3c2c 
Jd5d3s3c2d Qh9c7s4s2d Jc8h6c3s2c 8h7h4h3s2d 
Ah9h6h4h2h AcJs7s3s2s 7d4c3c2s2c Jd5c3s3d2d 
9d8s4h3s2s Kd7h6s6h6d 8s5h3h3c2h QhJh7h3h2d 
Kc8s5d3s2s Tc8h3h3d2h QhJh7h2h2c Ts5s5h3s2s 
Ah5d3s2s2c Jd7d6d4s2d Ks8c4d4c2c Jc8d7h3h2s 
Qh7d4h2h2c KhKdKcQs6s Kc7s3h2d2c 9s7h4s2s2d 
AcQs8h8d8c 8s7c3h3d2d Kd8s6h3s2c Jh8c7h3h2h 
Jc6c4c3d2s Td7d5d3d2s Ks8h6c3c2d Ts8s8h8d6h 
Jd6d4h2s2d Qs5h3d2h2c Kc8s4s3h3d Ts6c4h3h2h 
Qc9d7s4d2d Kd9s6s3s2s Jc5c4s3c2c Js5h3c2s2d 
TsTd5s5h5d Th7c4s3d2s Kd7h6c3s2h Qh8s8c3c2d 
Jd8d4d2h2d Js5d3c2s2h Qc6s4d2h2d Qc6d4d2s2h 
Qd9c4s3c2c Kd8s6s3h2s Qh7d4d3d3c KhQh9h3h2h 
Ah8d6s3c2d Ts8c3h3d2d QhJhJdJc8s Qs9s4s3s2d 
Ac4s4h3h2h Kc7s6s3d2s Jd8c6h3h2h Qh7c5s3c2c 
Kd8d4d3c2s KcQh7c3c2c Ac7s4d3h2s 6s6d6c5s5h 
9d8c4h3d2d Kh8h4s3h2d QdQc3s3h3c Qs7s6s4s2h 
Qs9c7c3c2d QhQdQc7d4h Qd7s5s2s2c Jh8c3s3h2d 
Ad8s4h3s2c 8d7c3h3d2s Jc8h7s3s2d Js5d4s3s2s 
Qc8d4h3c2c Js8h4d3h2c Tc8d7h7d7c Kc9d3c2h2c 
JsJhJcTd7h Jd7c4s3h2d KsQc7h3h2h Tc5h4c3c2c 
Qc7d4c3h2s Js8c6h3h2h Kd5s3h3c2s 9d7d4c3d2h 
Qh5h3h2s2d Ac6d4s3s2h Qs9d7h3c2c Jd8s4s3s2h 
Jd5s5h3h2c Qc6s6h3s2s Ts7h5c3c2c Ks6s4s2s2h 
QsJh7d3d2c Kd7d6d4d2d Qs9s3c2s2h ThTdTc9c3h 
Qd7s7c2s2h As4h4c3d2d QsQhQc4h2c Qh8d8c3d2s 
Qh8d4h3h2c Qc9h7s3h2h KdQc8d3d2d KdQc6s6d6c 
Qh9s4c3d2s Kd6h4s3h2h Qc7s5h2s2d Td6d4h3d2d 
Ad7s4s3s2c Qh9d7s4d2d Qc7c5c3h2c Td6s6d3c2d 
Jh4h4d3s2c Qh8h4h3s3h 9d7d4d3h2s Th4d4c3s2h 
Ad6s4c3h2h Jc6s4h3s2d Qh7d5d3d2s Ks7d4c2h2c 
Th7h3s2d2c Tc5s5h3s2d 8d7h3c2s2c Jc5h3s3h2d 
Qs8d4h3s2s AcKs4h4d4c 8d5d3c2s2d Ks6h6d3d2d 
8d7s3h3c2h Ah9h4h4d2h Qc9d7h4s2h Qh6c4s2d2c 
KsKhKdTs4s 7c4s4d3s2h ThTdTc9c8s 6h4c3s3h2h 
Kc9s9d9c6s Td7s4h3h2c Qs4h3s2s2d KhTh8h3h2h 
KhQh6h3h2h Ks8d4c3h3d As6h6d3c2d 9d6h3s3c2h 
KdQhQdQc7s Th5c3s3h2d As9s4s3s2h Kc7d6d3s2h 
AdThTdTc4s Qc5s5d3s2s Ah9d4d4c2s TsTdTc9s3c 
Ts6s5s3d2s Jc5s5d3s2h QsJhJdJc8h Jc8d6h3s2s 
Qc7h4s3c2d Jd4s4d3d2h QhQdQc8s7h 9h7d4c3d2d 
Jh8h3d3c2s Qc4h4c3s2c Tc7s4h3h2d Kd8c6d3d2d 
9d5h3s3c2h Jh4h3c2s2d Jd8d4d3c2h Jh8c6c3c2d 
Jd7d4s4c2d 8c7d4d3h2s KhKdKc6s3h Jh7h5s3h2h 
Ks8s7s3s2c JcTs9s9h9d Jc8h4s3s2d QcTsThTc3h 
Kh8c7h7d7c Kd8s4h4c3h 9s8d3h3c2h 9h8h3s3h2d 
9d7c3c2s2c Qs7d3c2d2c Qc7s7c3d2c 9c5c3h2s2c 
Tc8s3h3d2s Ah7c4d3s2c Kc9c3s3c2d Qh8s4h3h2c 
Kc7h6h2s2h Ks7h6c3d2h 9d5c4s3s2s As7d4c3c2h 
AdJc7c3c2c Kc8s6d3d2h Kd9c6s2s2h Jh6s5s3s2s 
