9d5d4h2s2h 
9h9d8c4c3c Tc8d6d3s3d Qd7s7h5h3h QsJc7h7d3h 
KdTs6s6h2c JsJd6h4d2d ThTd5s4c2c QdJd3c2s2d 
AdQs6h3h3c QhJc4h3d2h Qh9c6d5c2c 9s8h5h5d2h 
Kh9h7d7c2h AsQd4d3c2d Ks8s3d3c2c Ah8h8d8c7c 
QdJd9d3d3c 9s8d6d4d2h Qc9s8s8h2s Ks9s7s7d2h 
Qh6s6d3s3c KsJd5d3c2d Jh6s4s4h2s JdTs7h2d2c 
Jd9c4c3h2h KsKhKd4d4c QhTd5s5c2d Qc7h5d4s3d 
Qd8h7s7c2d KhJs7s6d2s JsJd5d3h2d TsTh6c4c2d 
9s9d8h4s3s KcQs8h4s2d Js8s6s6h3c Ah6c5c4c3s 
AcThTdTc6h KhQc8s5s2s Qd7c5c4h3c Kh9s8d3h3c 
AcJc6c3h2d Td8s5s4s2c Js8d6s4h3s Kc9s7h4s2h 
Ks7s4s4d2d Ts9d6c4c2h Ah9h3s3d2c Th7h7c6d2h 
Ah6h4s4h3h 9c7c5s4h2d Jc9c5s5c2h Jc9h9c4c2s 
Js8c6d4s2h Jc7h7d4h2d Qs8h8d5c2h 7c6s4d4c3c 
KsQh4h3c2h Ah8d6c5c2c AsTc5d4h2h Ts7s4h3h2c 
Ad9h8h3s3c Tc6h5s5d3c Tc8d7c2s2h Kc8c6c3d2d 
Jh9h8h4d3s Kd7h6h4h4c 9h5h5c3c2c AdJc6c4h2s 
Qs6s5d3s3c Qc7s6s4h3s Jd7c5c3d2d Ah9c8c5c2c 
Qc7h7c4s3d Jh8d7d5d3d Ad9d7d3s2h KdTd5d4c2d 
Qh7s6s3c2h Ks7c6c4d4c Ad8s8d3c2d Js8s6c3h3d 
9h8d7h4c3h Kh8c7d5d3d Jh7c5d4s2h Qc9c8h8c3c 
Ks6d3s3d2s TsTd5h4d2d KdTd5d4h2d Kd9s5d4d2h 
8c7s7c4d2c 9c7d4h4d2h TsTc6d4d2h TdTc5s4h2h 
Jc7h4h2d2c Js9s8s4c2d Qs9d8h7c2h Jh6d4h3s2d 
9h4h4c2h2c Js8h7h7d3c Ks9c8c5c3d Kh8s4d3h2d 
Qh9h8h8d3h QsQc8s3h2s Qs8c5h4d3d AcJs6c2h2c 
JhTc8s3s2s Js9c7d6h2h KsTd8d4c2d Ac9c5h3d2c 
QdTd4h4d2s 7h6d4s4d3d Qc5s4d3h3c Ac9h7s4h3h 
KhQs7c4h2h Td9d6d3d3c Kc9s6h6c2c Js9s5h3c2d 
AsKs6s2s2d 7s6c4h4c3c Tc6c5d3s3h Th8h4c3c2c 
8c7s5h5c2c Ah8d4h4c2h Qs6s5d5c2h 7c6h5d3h2s 
Jc8d7d6s2h Kc4h4c2s2c Js9c7c3h3d KdQh8c7c2s 
Qc8h8d5s2d Kc9h6d5s2s KhJd6d4c2d 9s9c5d3s2s 
9d8h5c4s2h KdJc8s3d2h KsJc6c4c3c Js8d8c6h3h 
9d8h3h3d2h KcJd9d4s2d JhTd6d3s2c Js5h4c3h2c 
KdQc7c4c3c Th8s5d4h2h KsTh4d4c3d Jd8d6d4s4d 
KhTs7s3s3c KsTsTh3s2s Js9d7c6h2h JsTs7c2h2d 
9s7d4c2s2c AcJc7c4c2h Qc9s9h4d3h Jc8s6c3d2d 
7h6c3h3c2d KhQh9d3h2c Jh8s8c6h3h As8h7c4h3h 
9h7d7c6s2d KdTh4s4c3s 7h5d3d2s2h 7s7d6c4h2c 
AdTd3c2s2d Js8h8d4d3d KsTh8c3s2s Th7s5s5c3s 
QsQd6c3h2h Jd9h5c4c2s Ah9c7d4c3c QhJd7h6h2c 
Ac9s6h4h2s 9s5s3d2h2d 9h7s4s3d2h Qh8s8c5d2c 
Qs9s9h7d2s Qh9d3d3c2h Ah8h6h4h2d Jd9c5d3s2h 
Jh8h4s3d2s Tc8s7c5c2c 9d9c8h3c2s AdJh5s4s2s 
Ts5c4d3s2c KdJc9d4d2d QhJd8h2s2c AdJh5s4c2s 
Td8d7d5h2d Qd6d5c3s3d Jd8s5c4s2s Qc9s6d5s2s 
Jc9s9h6c2c Ac8d5s5h3s Ad8c7c4s3c QsJc7d5h2d 
Jd9s5h4h2c Ac8s7d6s2s KcQd9d8d2d Qc6s6h5d3d 
Js9s5d3c2h Jh9d6s5d2d Tc9h6s4s2d JsJc7d2h2d 
Qc6c5s3h3c Qh9h7h5d2s As8s5c3h2s Qh9s8c4d2h 
9h9c8d4h2s Tc9c8d3s2c AhQc7d3s3d Ks6s4h4d3s 
Jc8h5c3s3d 7s7d5s3h2c KhQh8s4h4d Jh9c5c4d2s 
Kh9h7h7c2s KdQc8s7s3h Qc9d7s7h4d QsJc7s6s2d 
6c5d4d2s2h Ah8c6s6d3s 9c8d7s3h3c 8c7s5d5c2c 
AcQh9h2s2h Qc7s5h4d3h Qd6c4d3c2c Qc5s4h3h2s 
Ad6d4h3c2d Tc8c7s2h2d Td6d5c3c2c 9c6s3h3c2h 
Th8c4s3s2c Qc9s9d7d2h Ks8c6d5c2c AhQc7s3h2h 
7h6s6c4d2c QsTs9s7s2s KsQs7d4h2s 7h6s3h3d2s 
Ad8h5s4c3h Kc8s6c2h2d Kd8h6c5s2h Qs9s9h7c2s 
Jc9h7h4s4h Kh8d6s5c2d Td9h6c4c2s Ad9c7h4c3c 
Kh6s6h4d2h 6d6c5h3c2c KcJc4h4d2c 9d8s7s2h2c 
Jd7c6h3d2h 7h6s4h3h2s Qd9s8d4d4c Qc9s8s4d3h 
Qh9h6s5h2h Ts6c4c3h2h As9h9c7d2d Kd8d7s5d3d 
AdQc7h3s3h AcTd6d5d2s As8c5d3c2d QsQhQc2s2h 
Th8d6s3d3c Qd6c4d3d2c Ah9h5h3h3c KsKdKc4s4h 
Th7h7c4h3h Ah6h4h4d3h KhJd7h4c2h Qd8d4c3s2c 
Qd8d8c7s3d QsJh6h6c2h Td6d6c4h3d JcTd7h2s2c 
5d4h4d2s2c Jc7c6c4h4d 7h6d6c4s2d Jd8d5d5c2s 
Td9h7c3d2s Jc7c6s6c3h Qc8s8c7h3c Js7h4h4c2s 
Ks9h9c3c2h QdTs7s5s2c Jh7h7c4h3d 7d6c3d3c2h 
TsTc6h4h2d Qh9d4h4d2h Jc6c4s3s2h 9s8h5h4d3h 
As8c7h4h3h KdJc9d6d2d Ks4s4h2s2d Qd7h6s6c3c 
Th6d5h4s2c AdJs6c5c2c AcJh7s7d2h TdTc8c4c2c 
Qd7s5s4c3s Qc6c5c4h2s 9d8s5c4d2d KdJh9h4s4h 
Td8s6c2s2h AcTd3c2s2c TdTc5d4h2d Js8h7h6c2d 
9h8c4d3h2c 6h5d4h3h2s Jd9c6s4h3s Kh6s6d5s2c 
Jc6s6c3h3c 7c5d3h2d2c QhJh6h6c2d Qc9c8h7c2c 
Qs5h5c3h2c Ac6s5h3h3d Kc7s7h4d2c 6s5s5d4s2c 
KdTc6s6c2h Th6s6d3s2d Jc9d7d4h4d Th6c5h4s2d 
QcTd3h2s2c Qh9h7c4h2c Ad9s7c5s2h AsQd6c3h3c 
Jh7h6h4d4c QsTd4s3s2c Ah6d5s3s3c Kc8d7h3s3c 
As5d5c4c3h Ts5s4d3d2c Ts7c6h5h2d Tc7d5c2d2c 
Ah9c6c4d2d 9d8d5h4d2s Ad9d5d4d3h Ac8d3s2h2c 
Js8h8c6c2c Js8c7c6d2h KcJs6c3d2h 7h5c3s2h2c 
Ad9d5h4d3d AcKc8c2h2c Ts7s4c2s2c Qd9c5s4h3h 
KsTh8h4c2h As6s4s4h3s QcJh4c3s2c AcKc8c2d2c 
Qs8h5h3c2c 9s5s3c2h2c Tc7h5d3s3d Td8h5c4h2s 
KcJd8h6d2d Jh9s7d5d2d Td9d5h4c2d Th9c4c3s3d 
9c6d5c2h2c JhTc4s3h2h Jh8s7s7c3d Ks7s4s4h2h 
AcQh7s6s2d Kh9d3h3d2d 7d7c5d3h2s Kh9s8c6c2c 
Jh7h6d5c2s Th9d6c4d2d QcTc6s3c2h Jd8c5s5h2d 
KdQh4d2s2d Jh8s7h7d3h Td8h7s7h2h Qs8h8c5h3h 
Th9d7d4c2s Qd7h5h5c3s Ts9c6h4c2c Js8h5s3s3d 
Tc8s7s3c2c Ah9s9c7s2s Qc7s5d5c3c AsQc7s4s2s 
Jd9d5s5c2d Qd7d7c2h2c AdJc9h4s2s KsJc8h6d2d 
Td8h7h3d2h Th9s6c4c2d AsTs3h2s2c AsTd6c5h2h 
9d8h6d2s2d 5d4h3h3d2c Kd8c6h5s2c Kd9c6h5s2s 
QdTs7h5c2c Kh7d4s4c3h Ts7d5s5c3s 9h8c6c4c2d 
Ks9c8d5d3d Jh6s6h3s2d Qc8h7s2s2h KdJs7s4c2h 
Jh8h7s7c2h 8h6c4c3c2h 9d5c3d3c2h KsQh6c3d2h 
Qh7c6d4c3c KcTd4s4d3d 9s9c8h4s3s Th8d4c3d2c 
QcJs9h3h2d KdQsQhQcJd KcQc7h4d2c Jh8s5d5c3c 
Th8c6c3s3c Ah6h6d3s2h Th8c6s6d2s Js8d8c7d2d 
Ac9h8s4d3h 9d7s4s2d2c JcTd6c2s2h Qd9h5c4s3s 
Jc8s8h6s2d 9h6d6c5h2h Kc8c4h4c2h Ks6s5s3d2c 
Qs7c6h6d3d Ac9c7s3c2d 8c7s7d4c2h Qs8s7c4d3h 
AdQs6c3h3c Ks9c8s6s2s Th6h4s2s2c QdTh7d4s2d 
Ad9h6s6h3h Js8c6s3d2d Ts5d4s3c2d KdQh7s6c2s 
Kh7c5s5c3c 9s8c3s3c2d Kc4h3h3c2c Ah8c7c4d3c 
JsJdJc7s7d Ts8c7h4c2d Ks9d6h6d3d KhQs9h4h4c 
Th8c4d3c2d Ks7s5s4h2c QdJd7s4h2c Kh8d8c6s3s 
As6h5d4d3d Ad8s6h6c2c KhJs4h3h2d 5d4s3s3d2c 
KcJh8d4s4d Ks6s3h2s2h Kc9d8d5d4d 6h5c4h2s2d 
Tc8s7s6s2s Kh5h4h3s2c 9s7h6s4d2c QdTs7d4d2c 
Th8c6s2d2c 9h8h6s4c2h 8d6h5c3s2c 8h5s4s3s2h 
Jc9h7h3s3d 9c8h6h2h2d KcJs4h4c2c Ad8s5d4d2d 
KsTd8c4c3c Ts6s5c3h3d Jd7d6s6d3c Qd7c5d3c2d 
Ts8c7d4h2c Ts6h4s3d2h Qc9h6h5h2s Kc6c5s3h2c 
8s7h5s5c2s KsJd7d4h2c KcJs9d4h2d 7c4d4c3s3h 
7h4s4h3d3c Kc8s6h5s2s 8d6h3s3d2s Qd8h7d3h3d 
JhTd6h6c2h Jd7h5d3s3d Ah8d5c3d2c KdQh6d2s2c 
Tc8c7h3d3c As7d4s4h2s Jd9c4c3s2s Ts6s4h2h2d 
Qd9s9h7h2c KsJd6s3h2c Ts9h6c3d2s Jh8d5h3h3c 
Ks9s7s7c2h Ac6s4d3c2c Jd8s4h3s2d 8d7c5s5h2c 
Kc7s7d6h3h 6s4h4d3d2s Ks8c6h5d2c Qs5h4c3d2s 
AdJh6c5h2h AsTs3h3d2s Ad7d3s2h2c Ks5h3s3c2d 
QdJc3d2s2h QcTc4s4c2d KcJc8d3h2s KhJh8c2s2d 
7d5c4s4h3d Qh9d6c3s2h Qc8c7h4s3d Td5s4s3d2d 
Kh9d5s5c4d KdQh8h4c2s Ts6h6d3h2d Js6d5h5c3h 
Ks9d7h4d2h AdKc9h3c2c QdJd4d3h2c Js9c7h6c2d 
Td8h7h4s2c Jd9c8d4d2h QhQdQc8d7h Qs7c6h4h3d 
JhTh4h2d2c Kh5h4c2s2d AsKd8d3h2d Th5c4h3d2c 
Qd8c7s4h3d TsTc6c4d2c Qd8d5d5c2s KhQd8s4d2c 
Js7s5c4d2h Kc7c6c4s2h QhJs3h2h2c KsQs8s4d3c 
KdJd8h2s2c Js6h5c3s3d Kc7s6h2s2h Kh7h5h4d2s 
KdQh9d4c2d QsJs4s3h2d Qs8c7d4h3s Js7s7d4s2d 
Jh7d6h6c3h Th9c6s4c2c Th8s7s5s2c QsQdQc4s4c 
9s8d7d2d2c Qs7s6h5s2d Qc8h5h3s2s Js8h8d4h3h 
Kc9s5d4h3s Qd9c8d4s4h 7h7d5d3d2s Qd8s5h3h2s 
AsKs6s3c2s As8h6c5c2c Kh9c6c4s3d QdJs7h5s2s 
Js7s5d4c2h Jd6h4h4d2h Js8s7d7c2s As9c6h4c2h 
Kh9h8h6c2h Kc9s8h6h2h Kh9d6c5s2s KhJh4s3d2h 
Qc8d7s4s2d 7d7c4s4h2h 9s5s4h2h2d Ah9s6d2s2d 
Kd9c6s3h2d QcTc4s3c2h KhQh8h4d3c Kc9h7s4h2s 
QsTd8d3d3c QsJc7h7d3d Ks9c8d3s3h 7h6d3h3d2s 
Th5c4s3h2c AcJh7h6h2d Jh8h6h4c3s Qd7s5h4c3h 
Kc8c3s3h2s 7h6d6c4s2c Ks8d4c3s2c QsTd7d3h3c 
KhJd4h3c2h QcTs5c2h2c Ac8s7d4d3h Qc8c7c5c3h 
Tc9d7c6c2c Kh6h4s4h3c Th9s7c3h2d Qd7s6d3s2s 
Qh8d7s6c3c Ac6c4d4c3c KdTd7s2h2c As6h5h4d2c 
KhJd9d4d4c Js7h7d4d2h As8d7d4d3h Kd4h4d2d2c 
Td9d5c4s2d Kh7d7c6c3c Kc9h9d4c3c KsJh6h4c2h 
Jh9c8d4d3s 9s6s5d4c2s 9d7h7c6s2s Js6s6h3s3d 
Td8d7d5s2d QdJc7h5c2c Kc9d5s5h2c Qd7h6c4h3s 
Jh8h6d3s3c Td8d4d3h2h QcJs8c3h3d QcTd7c4s2c 
7h7c6d4c2c JhJc9s3s2s Qh7d5c4s3d Ah9s6d4d2s 
AhQhQdQc8s AdQh4h3c2h Jh9h4h3s2s JsTc6s4s2s 
Qc4d3d3c2s Kh8s6h2d2c AhTsThTd6d KcQd9c4h2c 
Kc8c6h4d2c Tc7s5s5d3s AsTh7h4c2h Td5d4h3s2h 
7s6h5d3c2h 7c6h5h3s2d Kd7s5h3h2s AsQh9s4s2s 
9c6c5c4s4c Js6h6c5h3h KhQc7s5s2s Th8s5c4c3c 
Ac9s3d2h2c Js9c5h4d2c Th6h5h4h3c Jh8h4c3d2c 
Js9s4d2s2d JdTs4c3h2h 7d6c5d3s2h JsJc6h4s2s 
Jh8s5d4c2s Qc6s6d3s3h Th8s4h3s2s 9d6h6d4s3d 
Kh9d5c4d3s JcTd6h6d2d KsTd7c4h2h Ts6d4s2h2d 
Qs9s9c6s2s Ac9c6c4s2d Kc9h7d4h2d Td6h5s5c3c 
Jc8h8d6h2h QdJh8d3s3c Ks8h8c4d3s 7s6d6c5s2s 
9d8s4h3d2s Ks6c5h5c2d Js9s6s5s2h Kc5d3s3c2h 
8h6d3h3c2c Qh9d8s2h2c Ts9h6d3d2c Qh8c7s4d3h 
AdTc8s3c2c As5h5c4h3d AdQs7c3d2d 9s6c3s3c2h 
Ac9d6c2h2c 9s9d5s4s2c KdJc7d4d2s Jd7s5d3d3c 
QcTd7h7d2s 5c4s3s3d2d Qc7d6s4d3d Kd6d4d4c3s 
Jc7s4s2h2c 9h8h8d4h3c Qh8s5d5c2h 9s9d5d4d2h 
9h7c5h4s2d QcJs4c3h2c Qs6h4s3s2h Ah9d7c4d3d 
Js9d5h3s2c 6c5c4s3c2d Kh9c7s4h2d QdTc8c3s3c 
9h8d6d2s2d Td8s5h4d2d Qs8s4h3d2h Qd8c7h2h2c 
9s8d6h4c2c KhTc9c3c2s Jd6h5c3s3d Qs5h3s3h2h 
Qh9h8h8c3h Td7h6s5c2d 9d8s7s2s2c KsQs6s4d2s 
Jd9s7d3h3d 9c5d4d3d2c Kh9s8s5s5d 9h9d8s4d3d 
Td6s4c3s2c KcJc4h3s2c 9s8h8c4d2c Ah9h7d3h2s 
QsTh8h3h3c AcKd8d3s2d Jh9c5d4s2c 7d5c3c2h2d 
As9c7h4c3d KhTd6s6d2c Ac8s7d4d3d Qc9s5c3h2d 
Ad8h7c4h3h Jh8c6h6d3h KhTs8d3h2h Jd7d5c4h2s 
Tc8s6d2s2h Jd9d4c3s3h AhTs7d6d2d Ac9s6s6h3s 
Ah9c6d6c3c QsJh9d3d2c 6c5h4h2s2d Js9c8d4h3d 
Jc7d5c4h2s TsTd7s5h2s Qd8s5c4s3h KsKhKcQc9d 
Kd9d9c8d4d Jh9h8c3s3h Qs7s5d3h3c 7c6s3d3c2s 
Ks9c8c5d3c AhQc7s3s3d Jc7d7c3d2h QdJd4s3d2h 
QhTs7s5s2c 9d6c3d3c2h 9d8d7d3h3c Qc8s7c4h3d 
Jh8s5s4d2c KsJh7s4d2s Qh8c7h4d3s KhJh9h8h3h 
6h5c4s4d2d 6d5s4d4c3d QcJh8s2h2d Qs7c6c3h2s 
Qs7h5s4c2d 9d8d7c4h2s Jd8d4s3s2h Ac6s6h3h2s 
Th8d5s4d2d KsQs8d4s4c Qd6d5h5d4d 9d8c5h4s2c 
Ac8c5c3h2d Kc9h8s8d4h KsJh8d6d3d KhTs6s5s2s 
Qd9c7c3d2d Js7s5s4s4c AdQs6h6c2s QdJh7s7c3s 
Kd9s6c5h2s 9s5d4d2s2d Tc8s5s4s2d 8h7h7d4s2h 
KsJc8d3h2s 8s7s4d3c2d Td5d4c3h2c 9h8h6h4s2d 
KdQs4d2d2c KsJh6h4h2d Jd6d5s4h2d Kd9c8d6d2d 
Td9c6h4h2s KcJs6h2d2c Qd7c4s4c2d Qh9d5s4d3d 
KdTs4s4c3s AcThTdTc8s AhJh6h3s2d Tc7d5h3d2h 
AsQc7h6h2d Ad9h6c4c2h Kc9d5s4h3d 6h5c4h3h2d 
Ts8s6s4s2c QhJh6h4s2h Jh8s4h2s2h KdQd7s4c2d 
Qh8c7c5s2d KsJs8s5s3s Qc6s6c5c2h KdQd8d5s2d 
Qd6c5c4h4c Ac9c8c2h2c Jd9s5c4h2h AsQd5d2d2c 
Ts5h4h2s2c 7c6s3d3c2d Tc9d5h3s2c AhQd7c6c2s 
AhTc8s3c2c JcTh6c4c2c Jh8d8c6c2c KdQc7d5d2d 
Qd5d4h4c3s KsQd8d6d2d 9h7d4d4c2c Qs9h8h4c3d 
Ac8s5d4h3s Jh8s8d7d2d KhJc5c3s2c QcJd8c3s3h 
9c6c5s2h2d 8s7s6s2d2c Tc6d4c2h2d Ts8h5d4s2s 
Kh8h8d4s2c Tc8d7s4h2d 9s7d4s2h2d As9c8c5c2c 
QcJd7s5h2s Jh9h5h5d2s Kd6s6c4c3h Kd7s7c6c3c 
Qh9d7d5c2s 7c6d4c3c2d Ah9h8h2h2c Qc7s7d5s3s 
Kd6d5c3h2d 8c7c6c2s2h QsQhQd4s4h Th8d5d4d2c 
Jh8h7s7c3h AsKc8c3c2h Ah7c4s4h2h As9d6c4c2d 
Jd9h8d2d2c Kd8c5h4s4h AdQd7d3h2c QsTc7c5c2d 
Ac8s4h4c2c 7d5s5h4d3d TdTc6c4h2c Jd8s7s7c3h 
QhJs7c4h2d Kc5c4d4c2h 7d6h5h3s2c Qc8s6h4h3d 
Jh7s7d6c3c 9d5h4c3h2c KsQd8c7c3h Qs7d6d4h3c 
9s9c5h4d2h Td8h7c4s2h Jh7h5d4s2c Qc6s4c3s2s 
Qh9s9d7h2h Jd6c5h5d2s Ts7s4d2h2d KhJs4s4d2c 
Js9c6d5c2c Tc8d7d3d2c 9d8c6s4c3c Ks7h7d4d2h 
Jh8d6s6h3h Jh9d5c4c2s Qd7h5s5h3c QsTc6h6c2c 
Jc5h4d3h2d Jc6c5h5c4c Kc5s3h3c2d Ac9d3s2h2c 
Qd4s4d3c2c Qs9d8c4s2h 9s8h5c2d2c KdTd8h3s3d 
Qs9h9c7h2d Th8s8h7h2h Jh9h6h5h2c QcJd6s6c2c 
9h8h5d4h2s Qh7s7h4d3c KcJh8d6h2h Td8d3s2s2c 
Kh3s3c2s2c KcTs4s3s3h Js6c5s4s2h QhTc7h4s2h 
Ah8h6h6d3h 6s4h4c2s2d 9d6c5s3h2d AhQh7h4c2h 
Js8s6s6c3d Td8d6h3d3c Td8s6h2d2c Kd9d4s3s2s 
Ad8s8c6s2s Js8c6s3h2h KhQh8h4d3s KcQc6c4d2c 
As9s5s4s3h Qs9h7s5d2s Ah8c5d3c2d As8h7c6h2h 
9s8d6c4h2h KdTc6h4h2h 9s5d4s3c2d JcTs3h3d2s 
QsTc3s3d2h Kc6h4d3c2s QdTh7s3h3c Ts8s5s5c2h 
JsJhJd9s7d Th8s8d4s2s Qh8s7s5c3s 7h6d3h3c2c 
AsJs8s6s3s Jh8c6d4c3s AdKd8d2s2d Qh9d8s4h3h 
9d8s5h2s2c KsQs6h3s2c Ts8c4d3c2d Th8s5c4s2d 
5d4s3s3d2h Ts8h5h4h2d Jh7c4c2s2h KsQs8c5s2s 
Kd8d6h4c2d Qc9c8s2h2d Qc5h3h3c2h 9d7s7h6c2h 
KcJh9s3s3d Td8c7d2s2h 8c7h7d4c2s Qd8s6h4h3c 
JhTs6s6c2s KsJs9s8s2s KsQd6s3s2h Kh7h5c4h2d 
KcQh6s4s2s Kd5d4h2s2c AhQs8s8h8d QcTh7h5h2d 
Kh9c5s3d2h Ah9d3s2h2c Kc8d6s4h4d AsQs7s4d2s 
9d5d4c2h2c Jh9s3s3h2s Td9d8d7d2d Kh9d6d4c3s 
Ah8s6c5c2c Ah9s8d4c3d Ks8h8d4c3s 9d5d5c2s2h 
9d8s7s2s2h KdJs9c3h3c KdTd8h4d2d 9h8c5s5d2h 
Td7h7d4d3d Jc6s5h5c2d 9s6s5c2h2d Qc9s8h2d2c 
QsJh7s6s2d JhJd3s3c2c QsQd8d3h2d Qh9d8d4s3c 
KhQh7s4h2c Th7s6h3h3d Jd9h6d3s3d KdQd7h4c2d 
Js8h7h7d2c AhQs5s2s2c Js8s6s6c3h Jc7h6d3c2d 
Ad5s5c3d2d JhJdJc9c7h 9c8d8c4c3s Kc8c6c5c2s 
Kd9s9h3s2h Ad7d5s5d2d Kd7s7c4h2d AsQh4s3s2s 
7h6s6c4d2h Qh8c7d5d3d Qc9d3h3d2c Jc8h5s5c3c 
Jh7s7h4d3h 9s8c7c2h2d AdJc9s3c2h Jh9h8h4d3c 
9s7h4h3d2s Jc8s5s4s3d Kh8c6s5s2s Jh8c5h3s3d 
Qh7s7d5s3s Qh9d7h4s4c KdJs6s4c2s Jd9c5s4c2h 
8h7c6d2s2h ThTd7h5c2h Ks8s4h3s3h 9s8s6s4h2c 
AcQs4c3c2c Qc8h7d3h3d 8c7c5s2d2c 8s6d5s3h2s 
Qs8d7s4c3h Ac9c6s4d2c Th8d4d3d2h Js8d8c6d2d 
Kc6c5d5c3c Ts8h6d2s2c QsQhQc2h2c AsJd6h5d2d 
AdKs8s3h2s Jd8d4c3c2s Jc9d8c4s3c Tc8h7s4h2d 
7s5h3c2s2h 9h9c7d4c2s Kc9d8h5h3h 8s7s4d3c2c 
7s6d5d3h2c Kh7s7h3h3c Jd8s8h4h3h 9d8c7s3h3d 
Kc9c4d3d2d Qc8h6d4d3s Kd9h3c2d2c KhJs8d6s2s 
Th8c6d3s3c Kd9c8h5h3h Jd7h5c4s2d 8c7d5d2s2d 
8s6h5d3c2d Td6h4d3c2h 9h6h5d4c2h Ac9c5s3h2c 
8h6c5s3d2s Kd6d5s3c2d Tc6c4s3h2h QhJc7s7d3s 
Js7s7h4d3s Ac8d7h4h3s KdQs4s3c2s QhJs8s7s3s 
Kd7d6d4h2c Qh8s7d6c3d Qs8s5d5c2h KcJh4c3c2d 
Qs6d6c3h3d Kd6d6c4h2d Qs7c6s3h2h Qs9d6d4h4d 
8d6d5s3h2c Ts6s4c2d2c Kd9s8s7h3s Ts8s6d3s3h 
Jd8c5d3s3d AsQd5d2h2d Td8d6d4d2s Kh6h5h3d2s 
As8h7c4c3c Qc7c6h6d3c Ac6c4s3h2c KdQsQhQd2s 
Qh5d5c3d2c Ts8d7c4h2h As9d7h7c2h Ts8s7d4s3s 
AsJd6c4h2d Kc8d6h4c2c As9h7c4h3h KsJc4s3s2d 
Kh8d8c4h3s Ks9s7s4d4c ThTc7s5d2s 7h7c5c3d2s 
Ts8c6h6d2h 9s5s5h2d2c Kd7d7c6h2d Kd7d6d5d3d 
Ks7d6c5c2h Th7s5s3h2s KdQd6c3s2d Td8c7s3h3c 
QhJc3h2s2h Qs8c7d2d2c Td7h4d2s2h Th9c7d4h2h 
Jc6h6c2h2c AsTh6d5c2c 6s5c4d4c2h Th8h7s7c3h 
6s5h4h4c2d QdTd7d3h3c KsQs6h6d2s Jd7s4s2d2c 
Kh8d6h4c2h QdTh7c3s3h Kh9s6s4d3c Jh5s4h3s2s 
Ks8d6c5d2d Ts6c5s4d2h Kc9c6c5d2c KcQd3s2h2d 
Tc8c7s7d3c JsTs3d2s2h Qh9c7d6h2h 9c6s5d3h2c 
As9c6c4h2h Qs9d8h8d2d QsQd6h3c2c 9d7d6s6c2h 
Jc7d6s3c2s QhTh4h4c2d Ah9d8d5d2d QhJh4h3c2d 
6h4s4c2h2d QcTc4s4c2h 7s6d5h3d2c Ad9h6h6c3h 
JhJc5c3d2c Ks7h7c6h3h Jh7h6h6c3s Qd8s8d7c3d 
Tc7s5d5c3c Qs6s5s5d4s Tc6s4d3s2d Qh9c7c4d2d 
QcJd4d2s2h As8d6d5d2h QhTc7s5d2d AhJd5s4s2s 
Qs9c8d4h2s QhJc7s7d3d Js9h5s3c2d Kc8s6c4c2d 
JdTh7c2s2d 8h7s5d5c2s Qs9h5d4h3h 7h6c3s3h2s 
KhJc8s3h2d KcQs6h3d2s 9c8s3s3c2d Qd9d9c7s2d 
KhQs7s4s3s Th8h5h5d2c 7d5s4d4c2h Tc9s7s2h2d 
Kd7d4c2d2c Kh8h7c4h3d KcJs7s4d2h KdJc7d4s2d 
QcJc4c3s2h Js7c4d4c2s KhJd4h3h2s 9d4s4h2s2h 
8c7h5c4c2c Kc9c5c4d4c Th5d4s3h2d 7c5h3s3c2h 
AhQh7h3d2s Jc6c5s4h2c Th8h7h4d3h AdKd6d3s2d 
Th8d7c4d2s Js8d5s3h3c Ts7s5h3s3d Qd5h4c3h2c 
Jc9d5h3c2s Th9h8d3s2h 9c8h8d4s2d 9d4d4c2d2c 
Qh7d6s3h2d 9d8h6s2h2c 7h6d4s4h3h Ks4s3s3h2h 
Qd4s3s3d2c Qd8s7d3c2s Jc9s6d4h3d Qc9s9d4d3h 
Qd9s5h4s3s Ad5s5h4s3c Ac8h3s2d2c Tc6s5d5c3c 
As8c7d6h2c 8d7h6s6c2c Qc9d8h4s2c Qd7d6s6c3d 
Jc7h7c3h2d KcJd9c4c2c Ks7h7d4s3s Qc9c7h6d2c 
8s6h5s3d2s Jd6d4h3s2s 8d8c4d2s2h Ks9h9d3h2d 
Ad8s3c2h2d Qc8h4d3h2c Jd8d7s7h3d Ts8c6h6d2c 
Ad8h7s4s3s KcQc7c4s2h QsJc7h5d2h Qc5h4s3h2s 
KsJd7h4d2c Qh8s7c3s3c Qs7h6s3h2h Jd5c4s3c2s 
JhTc4s3d2d Ks8d7d5d3h Qc7h7c2s2h KsJh9s4s2s 
QcJh7s7d3d KdJc6c4h2c 9c8d5h2s2h Js7c6s6h3s 
Ac9s5h3c2c Ts6d5s4h2c Kh8s6c2h2d 9h5h4s2s2d 
Tc6c5h3h2h Qc8c6h4c2d Kh9h8h6d2h Qh8c5s4c3d 
KcQh8d4c3c QsTd7h5h2c QdTd7c4s2d KsQh9s4s4c 
JcTd6h6c2c Jd7c6h2d2c Qh9h8h8c4h Qs8d5c3c2d 
Kc7c6c4h2s KsQc8d7c2c Kc8s8d6h3h Jh8h6h4d3c 
