Kh9s9d8s4c 
JsJhJd9d9c Ad8s6h3s3h Jh7s5h4h3c Th5s5h4s3s 
8s7h4h4c2s AdQs8s4s3h Kh9h6s5c2h As9d5h5d2h 
8d6c5s4c3c Jh9h7h6h3c QcJs9d6h2d QhJd7h4h3s 
Qd7d6h6c4d Kc9s8h7h3d QcTs8s4s2d 8h6c5d2s2h 
9c6d5s4s4h Ks8s7d3c2d KdQc6c4h2c Jc9c6h6d4c 
Qs8s7s6d3c AdTh6s6h3c QsQh5c3d2d Qc8d7d4h3h 
AhKhQh6h2h Tc8s4s2h2c AdJd5c3d2h Kd8s6h5h3c 
6d5h3s2h2d Ah7c6c4s2s 9s9d5h5c2c As9d8d6d4d 
Qh8h5c3d2d Th8c5h3c2d Kd9h5d5c4d Qd6s5s4h3c 
Th8s8d2d2c As4c3s2s2c KsQc9c5c2d 9h8s7s3h2d 
Qs9c7h6h3h Js9s7s6s3h Kd9h5s5d4d QsJhJd7d2d 
KhTc8s8d3c 8h7d6s6c3d Jc8d8c5c3h Jh9h7d3c2c 
AhKd9c5s2s 9d9c8s7h2h AcTh6h6d3s AsQh5c3h2d 
KcQs9h6h2d KhJs6h6c2d 6s6c4h4c2c QsQc8h4h3h 
6d5d3s3h2h Td9h6h6c2s Ah9d8s5d2c Qd8c6c3h2d 
Kh6c3h3c2s 9s7s6s5s4s KsQd9d7d4d 9c8h7s4h4d 
Jc8d4d4c3d 8s6c4s3h2h Qh8s5h3d2s KdTc4h2h2c 
Ts8s8d3h3c JsTs6d4s2c 9h9c7c5s2c QcTh8c3d2s 
7d5h5d4s3c 8d6c5h4c3c QcJs5d4h2d AcKs8s4s3s 
Th8c5h4d3s JsJc7s5s2d Qd6s5h5c4h Kd8d7h6c2d 
KdJc6s4h3h Td6c5d5c2d 9d7h7c3s3c Tc8h5d3c2h 
JcTd8d4d2d Th7c5h4d3h QhJc4d4c3c Qd6h4s4h2d 
9h9d4h3d2s Jd7d5h4s4d 9s8h7s5d2s KcTd9d2s2h 
AsJc7h5c2c QsJd7s4s3h 9d7h7d4c2c AdJh8c6c2s 
JhJd6s2d2c AdQh9s4h3h 7s6s4h3c2c Jc9c6d4s4h 
AsKc9d6h2d Ad9h7h6c3h AcQd6s4s3h Ts9h5d3h3c 
Tc9d8c3s3c Th9c8h2s2h Qc7c6c4h3d Ac7h6c4d2c 
AcTc9d3c2c Qs8s4h4d3d Qs9d7d2s2c KcQcJc8c3d 
Ts9s7c3s3d 8d6h5h5c3s KhQhJh8h3d 7s7c6c3c2s 
Ac8s6h5d3s Qh9c8s7c4c Kd8h8d3h2c 8c5h4d3c2h 
9s9c8h7c3c AhKs8d3c2s KsJc6c3d2d Qh8d5h3c2d 
Th9d6h3s3h Qd8h5d4s3c Jd6s5h4s3c KcQc8c7h4c 
Qd8d7d6c3h Qc8h4h4c2d Qc7h6h5h3d Qs9s7h3h2d 
KsTd9d2h2d As5h4s3s2c Jh9s4s4h2s 9s7h5h4d4c 
KcTs7s6s2h Kc9s7c5h2c KdQdJd9d4d 9s6d5s5h4s 
AsKd8d4d3d Kh5s4d3c2h 9s8s7d6s2h 8s7d5s3d2h 
Td9c8s5s2s 8s8d7h4s3c Jh6s6d5h4h Jd9c7d4h3s 
Jc8c5d4c3h Jc9s9c4c3d KcTd8c4h2c Ad9c8h6c3c 
Qc9c7d4d2s 7d6d5d3h3c Js8s8d5s3h Js7c5s4s3h 
Kh6h5s4c2h 8s7s7d5s3s Qs8d5s4c3h QdTd8d7d2s 
KsJc6c4h3c QsJcTs7s2s AcKc8c5c3c QhJc6s6d3s 
Jh9c5s4d3d KhTc7c6s2d Ks6d6c4s3s AdTh7h5c2s 
9c6s5s5d3s AsTh9c6c2d AdKs9h6c2h 9h7c6c3s2s 
ThTc8h4h2s Qc6h4s4c2s KsTc5d4h2c 8s7h6d6c3h 
JhTd7s6c2d Ad7h6d4s2d Ks8h5s3h2h 9c8c7c6d2s 
Ad8s5s4s4c TsTh5c4h2d Kh6c5d5c3s KsTd8c7c3c 
KdTc7c6c2s Ah9h6c3s2d Jc9h7c4s3c Kc6d6c4c3s 
Kd6s5c3s2c KhQh9h7d2c 8s6c5s3h3d Js7s5h4s3c 
9h8s4s4h3d KcQh9h5d2h KhTs8d3d2s QsThTc3h2h 
Qc8h7s3s3c Qd9h8c5c3c AhQs9c7d2c Ts7s5d4s3c 
JsJh7c4c3d Tc9s9h4d2s 8h6d6c5s2d Kc8d6s5s3h 
AhQs8s8c3s KsQc9d9c2c KdQc9h9c2c Th9c8c2s2d 
Kh5s3s2s2h Qs9s7c3c2h Tc7h5c4d3c QdJh9d4d2c 
AdKc7d3h2d Jc5d4h4c2h QsJd7s5c2h AhTd6d4d3c 
Kh4s3s3c2h 8h6s5c3d3c 6s6c4s3s3h KsQc5d4h2d 
Kd7d4c3c2h 9d8s7c4s4h Th9c8d5c2c KhTd7h3h3c 
Qh8h8c5h3d Qc6h4d4c2d KsQsTc3s2s 8h6d5s2h2c 
KdJs4c3s3h Js8d6h2s2h Kh5c4d3h2s Js9s8d6s2h 
KdTh4s2s2h Qc8c5s3d2d Jc6d5s4d3h JsTh5c2s2d 
Qc8d7h3h3c ThTd6h4h3s Qd6c4s4c3s AhTd9c6c2s 
Ts7h7c4s2c AsQc6h4d3d Qc9c5s5d4c Qd9h8s7h4h 
9c6h6d5h3h JdTs7h4s2c Kd4c3s3c2d Qd8h6s5s3c 
KdThTc6c2c Jd8h7c5h3h KsQc6c4c3c Qs9s8h8d3s 
KsQs6s5d2s 9h7d6h4h3s Td9s9c7c2c KcTs8s5d2h 
Js9h4h3c2s Kd5s3s2s2d 7d5h5c3c2h 9h8c7c6s2c 
Kc7c4s3d2s AhJs9s2d2c Ah8d6c5s3d TdTc4s4d3d 
Qh7h6s6c4h Kc6h5s5h3d AdQc8c4c3s Qs8h4h3s3c 
KcQd8h6c2c KhJd4h3c2s Ac8c5s2d2c 8d7h7d5s2d 
QdJd7d7c2c QsTs7s6h2d KhJc4h3h3d QdTh6c5s2s 
9c7s7c4h2h Js5d4s4d2c KdJh8s6c3h AsTd7d3h3c 
9h5d4c3h3d 7c6c5h5c4c Ad8d5c2s2d Ks9d7d5h3d 
Jc9d6s6c4c 9d5c4c3h3d 8d7c4d4c3d JhJd7c6d2s 
8c5s4c3h2s Kh7c5s5c4c Qh7s5d2s2h KhQc3s2h2d 
Jh8h6d5h3c Kh6h5c4s2h AsTd3s2h2c KhQc8c5s2c 
Js7c5d4h4c ThTc8s4h3h 9d7s7h4d2h AdTs6c5c3c 
Qc8s6c5c2d Jh7c5d5c4s Ks9s9d8s4c Ts7h5s5c2h 
Jh9s9d7s2c Qh7s7c5c4c Ad7s7d2h2d KcJc8d3c2d 
KcJd8h5s3h Tc9h8d5d2d Jc7c5s4d4c Js7h5s5c3d 
9d8d6s4c3h Js8s7c4c2s AhJc5s4c2d Js9c8s8h2s 
Ts8s7c6d2s Th8d7s7h2c KdQd7c2s2c Kh7s6c4d3d 
KhTh5c3d2s JsJd8c2h2c KcJh6d4s3s Jc9h8s5d2d 
8d6h5s3s3c Ah8c6d3d3c AhQd8d4c3d Jd7c6h4h2d 
JhJc7h5h2s 8s7s7d3c2d AsQh4h4d2c 9h8s8d5s2s 
QdJh5s5c2d Qs6h4d3d2s JsTc6c4h2d Kd6d5s4h2d 
AhKh8h4h2d AsJc4s3d2s Tc7d7c5h3c KhKdKcJsTs 
Ks9s6s5d2c As9c8d6c3c Qh5d4c2h2c Jc9s8h6s2d 
KcQs3h3d2c Ad7c6c4s3h AhQs7s5c2s 8h7h6h4s3c 
Td9d7d4d4c Qh8s8h4h4d As9d7c4c2d ThTc5s4s3d 
9s8d7s3d2c Ac7h7c2s2c 8h7s7d4s3c Qc9s9h7s4s 
Qh9s8c4s2c As9h9c6c3d KhQhJs6h2h KdTd9d3s3c 
9h8s7h3s2d Jc9d8h6d2s KsQh8c6s2s 9s9d7h3h2d 
AhTs6s4s3c Th9s9d4s2c Jh9h8h6d4h KhTs7s6c2d 
9s9h7c5s2d ThTc8d4d3s JhJd9s7s2s Kc8c6s6d2h 
Td6h5d4d3c AhKd8c3s2d Js9d7s4s2d As9h9c5d3c 
KhTh8h5h5d Js6s4h3h3c 9d8h4h4d3s As9d8c5d2h 
JsTd6d4h2c AdQc4s4h3s KcTh8d7d2d 9s8d7c6s2s 
QsTs8s5h2s AcJd4c3h2c AhKs9h3c2h AhKh8h5h3h 
QsTc7s2s2c Ac9d4c3c2d AsJc6d5d3d 9d7h5d3s2s 
Tc8h5h3c2d Kc8c6h2h2c 9c8s4s4c3d Js9h8c6h2d 
QdQc8c3h2s Jd7d6d5h3d Jh8d6d2h2c Jd9h7s7c4c 
9h7h6d4h3c KsJd9c5h2c KcQh8h5h3s QsJhJd7h2h 
AcQs7h6s2d AhKh9h4h3c Js9d6s4s2d QsQh5d3d2c 
As9h8h6c3d 7h6h5h5d4h 8c7c6c4s3d 9h6d4d3h3d 
Tc7h7c5s3c As8c5c4h4c Ah9c8d6c3c 9c8c7d6c2h 
7c6h5d4s2h AdKd4d3d2h Ks4s4h3h2h 7s6s6c3h2c 
8d7c5d3s2s Td9s9c6d2d Jd9h9c4s3h Td9s3d3c2s 
KcQh9h9d2h 9s6c5s2s2c Qs6h5d4c2s Jd9h4h3d2s 
QsQh9s3d2s QhTc8d4c2c Qd8d7h6s2c 7c5s4s4d2c 
KdQs7s6s3s KsJh8s4s3d Js9c6s4s2c AsTc7h3h3d 
KcJh8c4c3s Ks8h7c6s3s 9s9h7h4h3d Jc8c7d5c2s 
Th5s5h4s2d 9c7s4c3s3c 8c6c4s3h2s JdTc4d3s2h 
Js7h6s6d2h KhTd8s6c2c Th8c5h3c2s 7h6d4s4d3c 
KcTh9h3s3d AcJh8s6s2d QsTs8s7s3h Td6s6c5d4d 
Ah8s8d7c3s AhQd7s6c2d Tc8s4s2d2c Ad8c7s6s3h 
Kh9h7d4s4c 8h5h5d3h3c Jh7s5h5c4h KdQd9s7d3d 
QdTc6c3s3h 9s9c7d6h2c AcKh7d3s2h 8h7d7c4c3s 
Qs9h7s2h2d Tc8d5c3d2s KhJc8d6c3s Ts5s5d4d2c 
Kh9s8d5c4s Tc9h8c2s2c Qh7h5s4h2s 7h5h5c4s3d 
Jd9c8s8d2d Tc5s5c4s3s 9c8d7h5c2c AcJd7s5d2d 
KsJh8s6s2d Td8h8c2s2c AsTs7s5d2s 6h5c3h3d2c 
Kc8s7d6c3c Kh9d7d6d4d 7c6d5d3h3d AhJc6c4d3s 
Js7d5s5h4s 8d6s6h3d2s Qh9h6h5c2s QhTc9c4c2c 
7h5c4h4d2c AhJd9d6d4d 9c5h4h3d3c KcQc7d6s2c 
7s5h5d4h3c QcJh5h3s2d Qh8s5h3c2s QcJs4s4h3s 
QcJd9c2s2c As5d4c3s2s Qd6h6d3h2s QdTc6s5h2h 
7c5s5d4d3h Tc8s7c5d2h KsQd8h6s2s 8h7c5s4s3s 
KdQd7h3h2d Qs5d4c2s2c 9s8c5h3c2h Js9h7s4d3s 
Kh7h6h5c2d 9d9c8s7h3s 7h6h5h3s3c 9s8c7s3c2d 
Js6h5h3h2s KcTd5h4s2d Td9c5h3s3c AhQs8d5d2d 
Jc9h6d6c4c KhQs8s6d3s 6s6d4s3s2d Kh7h4s3s2c 
7d5s4s4c2d Td9s7h5s2c Qs9h8h8d3c JhTd5s5c2d 
Kd6s5s5c3h Kh9h9d8h4c KhJs7s5d2c Kd7d4s3s2c 
Js7d5s4s3h Kd9c6h6d2s 8h8d6c4c3c KcQs7s6d2h 
QcTd8d4d3d 7c6s4h4c2s KcQd7d6h2s 8d5s4d3s2c 
Ah5d4c3c2d AhTc7s3s3d Qs6s6d4d2s Kd6d5s3h3d 
KhTh6h6c2d JhJc6s2d2c Qs9c4h3h2s QhJs6c3s3d 
Kd8d7s7h2c KsTs5s4d3s KsQs9d7s2c Js7s5d4s3c 
Jh5h4c3d3c Qh9s7h3s2d 8d7h7d5c2d Tc7h5h4d3s 
AsKd9c3h2d KdQdTs7d2d QcTc4h4c3d 9h8s7h7d4h 
JhTh5d3s2h KsJc8c5d2c KsJh7d5c2h 8d6d5s5c3d 
QcJc8c7h3d TdTc5s5h2c 9h9c8d5d2d Tc9d8d2s2h 
Tc8d6s3c2s KhJs6c4d3d Ac5c4s2d2c QcJd9c4s2c 
8c6s5s2h2d Th9c6s5d2c QsTh7h7c3h Ks9d8s5s2h 
QdQc9c3h2c JdTc7s6h2c QhJd7d3h2d QcTd7s4s3s 
8s7d4d4c2s 9h9c4s3d3c As9c4s3s2c Td9h6s6h2c 
9d6h5h5c3h Kh9c7c5s5c 7c4h4d2h2d Qh8h6h5c2s 
Ad9s9h8c2c 9s8c7s7h2d 8d7d7c3h2c KhTh7h5d2c 
Jh7d5h4c3h AcJh7s6s3s Ah8s7s7d3c Ad9s6s5s4h 
TsTd7d3s2d 9d7h5d3c2c KdTh6d3c2s AsQh4h4c2d 
Th9d9c5h2h Qd9d8h8c3d KhQd6d4s2d 7c6h4h4d3s 
Tc9c7s6d2c Jh7c6c5d5c 9h8h5s5c4h Qd7d5c4s4h 
AsKc7h3c2d AhTh7h4h3h KcTd8s8h3d KhTsTd6d2d 
Js9s8s8c3h KdJc8d5d3d Ad9h7d4c2d TsTc7d5h2s 
KcJd8s3s2d Jd7s6h6d2s AhKd9h3s2h Jh9s7h4h2s 
Jh8d5s4d4c Js7c6s6d4s Kh8h8d3d2c Th7s5h4d3h 
9s5d4s4d3s Qc6s6d5h3c KsTc8h8d3c AcJs5c3d2c 
9c6s5c4h4c AdKc9s3h2c Qs9h9c7c3d 9c6c5h4s4d 
AhQc9s7d2s 8c5c4s3s2d 9d8h7s7d2c Jh6d4h3s3d 
KcTs8h8d3s 9c8s7h5c2c KcTd8s7s2s Qh8h7h6c3d 
AdTd9d4d3d KdJd8d3c2c 9h9d7c5d2s Jd7d5s3s2h 
KsJs8d3s2d Td7d5c4d2c AcJh5c3s2c QcJs7c5d2h 
Ad8s6c3s3c Ad6h6c5s3c AsKd9c6h2c Js7s5c4s4h 
Qh6s5d5c4c JhTc6c5c2s QsJs7s7h2h Jh7h5d4h3s 
Qh7c6c5c3s Jc9c8h8c3d Jh6h4h4d3d Qd7s5h3s3h 
8d5d4h3h2c QsTd8d4d2c AdKc9s3c2h 8s7h6c3h3d 
9s9h4h3s2d AcQd7s3d2s 7d6h4h4c3s AsTc6h6c3d 
Qh9d7s6s3s Tc9c7h5d2s Qs7s7c6c2s Td7c6c5c3c 
AhJh6h4s2c Kc9h8c7d2c Ac9s7h4s4d Qh7c6s5d3c 
Kh9h5s3d3c Td9s5s4s4h Js6d4s3d3c KhJd7s5c2d 
Qh9s9d7d3c Ts5s5c4c2d 9h9d3d2h2c Jd8h6d5c3d 
Qs9d7c4d2s QdTs8d3c2h Kh9d9c8d4s KcJs7d4h4d 
KhQs8d5d5c Jc9c4s4h2h Kh8h6d6c2s Jc7h5c4c3d 
AsQs4s3s3c 9s6h5h5d3h Jc9c4d2s2d 9c8c4h4d3h 
Jd8d7h5d2c KcQd9h8d2d AdTh6h4h3c Kd8h7s6d3d 
Qd5h5c2h2c AsJh8c6h3h Jc9s9d4d3h AhJs6s5s3s 
QhJs6d6c3c KcJh7d4s4d Qs6h4s4h2h Jd7d5h4c3d 
Jh9h7s3c2c 8h7c5d3h2c 9h9d4h3d2c 9s8s4h3h3c 
ThTc9d4s2d AcTh6s6h3d Ts8h6c4d2s KcQh8d7c3c 
KcQh9s8h2h Ah9s9c8s2s 9d9c3h3c2h Qc9d8s4d2s 
Kh8d6c5c3s KsQh9h5d2h Kd9d6c5h2d Kd8h8c7d3s 
Jc5s4s4c2d KdQc6s5h2s Jc9d7h3c2h 7s5h5c3h2c 
6c5d3s3c2d 8s7h5s3h2c 9s9h7d3d2h Js8s5s5d4s 
9c7c5h5c3s 8s7h5c4d2h Ks9h7d5h3h AsQd6d3h3c 
QsJh8c5c2c KdQs8d5d3d Qh6c4s4h2s AhTc7h3h2d 
AsQc7d3c2d Jd9c8h8d2d Ah8c6d5s3c 9d8c7d5s2d 
KdQs6s4h2s QsQd5h3h2c Js6s4c3h3c Th7s6c4c2s 
Jh9c8d7d3d 9s6h5d4h3h Qc6d5s5h4h Qd9s8s8h3c 
7h5d4s4d2h As9h9d6d4d QsTd8s3h2c 8h5h4s3s2c 
Kc8d5s4h2c Jd7h5s5h4c QsJh4d3c2s QcJh4s4c2d 
KsJc7d6d3d QdTd9d4d2s Jc8s8h5h3h Js9c5h4d3d 
QdJc9d2s2d Qd5s4s3s2d As7s4h3d2c Ad6s6h5c3s 
AcKs9c3d2c KhTc8d7d3d Th7h5s4h2s AcQd5h4s2h 
As9h9c8c2c 7h5s4h3s2h QdJs9d2d2c KcTs8s6h2s 
Kc8c7c5c4c Qs5c4s4c2c Jh9h7h7d3s 8h6s6h3d2s 
Ac9s7h4h2s Tc9c5s3c2s Ks9h7s5c2s 9s9d8h5h2h 
KcJd6d3h2h 8s6h5h2d2c Qc9d6c5c2s Jh6d6c5h4h 
9h8h7s6h2d Qs9d9c8h2d 6s5d3h2h2d Kh6h5c3s3h 
JsJd9h4c2h Jh9h4d2d2c Qh9c8d6s2c 9c6h6c3d2d 
8c5h4s3c2h AdTs8s8d8c Ad6s6c4d2d JcTc8c3s2d 
Ac6c5c4c3h Ah9d7h4c2h QhJh8h7c3d Qd9h8d7d3s 
Jc7d5d4s2s 7c5s5c4d3h Jh9h4s4c2s Ks9d6c5c4c 
Qh9d8h5c2h Qs6h5h4d3c Jh5d4h4d2c TdTc8c4c3h 
Js9h7h3h2s Ks5h4d3c2s 9d9c8s7d3d QcJd8c4c3h 
8d6d4h3c2h Qc9c5h5d4c JhTd7h4h2s 8h7h6h4c3d 
Tc8c6c4s4c 9c8c6c5d2c AdQs6s5s2c Qc9h7s6s3s 
KcTc6d6c2s Ks9h9d5d5c Kd8d6d5h2s Td7s6s5s3s 
KdJc8d6s2d 8c7c4s4c3s KhTs7s6s2d QdJs7s3d2s 
KcTd8s7s3s KsQs7d6c2s 8h5c4h3s2c KcJh9d5s2d 
Js7h7c6s3d AhQs8s5s2s 7s7c6h5d2c AdKs9h5c2c 
Js9s8c6s2h Td8h7s5s3s QcTh3d2h2d Ts9c5d4h3h 
Jc7c5d3d2s KdTh6d3s2c Qh6d4c3c2h 9s9h3h3c2c 
KdTc5s4h2c KdQd9d8c3d TsTd9c4h2c Kc9c7s6c2d 
Td9h9d4d2s Qc8c5h5d4c Qc9c8s4c2s QdJd7s7d2s 
Kc6s3s3c2d Kd9c8s5h4c KhTc8s7s3s 9s8s6s5s2h 
KcJh6s6c2d QsJs6s3c2c As6h4s3s3d 9s7c6s2s2c 
Kd9h7s5h3h AcQh8h8d3h KsJs8h3s3h 7s5d5c3c2d 
9h9d3s3d2s KsQh5d5c2h QsQc8d4d3d Ts6d4d4c3c 
AcJh8s4h2d Jd5d4s3s3c KdTd6d6c2h Jd6s6c5d4d 
Tc7s7c6c3h Qs3s3d2h2d 9d8c7h6d2d KdJs9h7h2c 
KhTh6h6c2s JsJh5s4c2s QhQd9c3s2c Jd9h8h6h3c 
9c8c5h3c2h Qh9s7s4h2s JsTd4s3h2c 8c5d4s3c2d 
Jd9h6c3d2c KcTs7d4d3d Jc6h5d2h2c KsQc3h3d2s 
Qd7s7h6s4s Ts8s7d4c3h Qh6c4s4c2h KhTh8h5s3h 
KdQd5h3d2s 7c6s6h4c3c Ad7s6s4c3h AsTc4h4c2h 
Qc9c7c5s3c 9s7h7c4c2s AcTd9s2s2h AhQd5s4c2s 
KhJs4s4c3d QsJc9s7d2s Jd7d5h5c4d TsTh8d4h3h 
Kd9d6h5s2d Td9d8d7h2d Qd7s5s5c4h JsJd7d6h2c 
Kd7d4s3s2h KdQc6h4h3h KdTsTh6s2s QdTd9h7d2d 
KhTh7h5s2d 9h8s7s6c2s QdJc8h7d2d KcTs8d5s2h 
Jh6h4d4c3d Qc5d4d3c2c 8h7h5c4d2s Qc7d5c4s4h 
Qc8c6c5h2d Kh8s7s3d2h Qc8c7c6s3h KdQc9d3h2s 
Tc8s8c4h3c Qd9d6s5d2h Ad8h6s5c3h As6s4d4c3s 
TsTc4d4c3c 9d6c5h5d4d Kd9d8s5h2d Jd9s9d2h2d 
Kc7c4h3h2s Kd9s9h5s5c 9s8s4h4c3h AsQs5s5h2s 
Td7c6s4d3d Qc6s5h5c4c Td8s7c6h2c Js7h6s6c2h 
Qs9c8s7s3h 9c8d5h3d2h QhJh8h4d3c KdTsTc6s2s 
JcTs7c6c2h KdJc6h4s4h Jh9d8d6s2c Jc5s4s4h3h 
AdKh9d3d2s JcTc5c4h2c QcTh7s7h3h QsJh9s2s2d 
QsTd5h4s2s AdJh8h4h3c Qh6s6c5d3h Qs4s4d3h3c 
Jd8d7h4h2d 8c5h4h4c3h 9h9d8d7d3s Jh6s5d3h2s 
KhTc8d3d2c Js9d5h4c3c 9s6d5s4s4c 7d6d5d4s2h 
Td6c5h4s4h Qd9s9c8d4d AhQc7d6c2s Qs6h4h4d2s 
7s6h5d4c2h Jd6h5c2d2c KdQs8c6d2d QhJh8h7d3s 
Jh9c6c4d2d 7s7h6s3h2h 6d5s3c2s2c Jc8c7h3h3c 
KsJd8h6c3d KhTc6h3d2s KdJs8c6h3s AhQd4d4c2s 
KdJd9s9d2d AsJc8h6h2d Jd8h7c5d2s Td9d8d5s5d 
6d5h3c2d2c Qs8s5d3h2h Js9h7d7c4d Ad9d6h3s2c 
AcKd9c3c2s QsJd5d3h2c Qc5h4h3c2c AsJh9d4d3d 
As9h8d6c3d AcQs7s5d2s Qc7h6h5h3s KdQs8s5s5h 
QhTd8s3h2c As8h6s5s3s Qs6s6d3d2h As3s3d2s2h 
JdTd6c4d2h Ks6s5d3s3h Ad9c7c6h3c Ah8c5d4s4d 
9d9c7c5s2c KdJs4d3c2h JdTh8s2s2c Ad8s7s7c3h 
KhTc8s3s2c Td9h5s3h3c 9d8d7s6d2h QhTs8c4d2c 
Ts6d5h4h4c AcJd5d4s2h KdTs6d3c2h AcJs6c4c3c 
Th9c8c4d4c KcTh5d3s2c KdQh9s6h2h KcQs7d3h3c 
Tc8c5d3d2s AsKc8d3h2c AcJd8s6s2h 8s7s7h3c2h 
As7s7c2s2h QsJc4s4d2h Jc8h6h2d2c JhJc7d6h2s 
8s7c6c5h2c Qh6c5c3h2h QdJh4d4c2s Qs9c7d4s2d 
Kc6c4s3s2c 8d6d4s3h2s 9s7s5s4d4c Ts6h5c3h2s 
Ah7h7c2h2d AcJh6s5h2d 7c6h4h3c2d Qd7s4s4d3s 
ThTd8s4s3c JdTd6c4h2d Qd6h5c4h3s KdJc4d3h2s 
AcKh9s3h2d QdTh6c5c2c 8s8c7h4c3d 8d5c4s3d2c 
9d9c7c5h2c Js7c6c4s2c AcTd6d5h2s Ts8s7s6s3c 
Kd9s8c5c4h 8c7s5d3d2c KcTc5s3h2d Jd9s9h4s3c 
9s7s7d4c2c Qc6c5d4h2s 9c6h5s4s4d 8h7s5h4h2c 
As6h4c3h3c AsQd7d3h2h QsJc4d3h2s KhTd8s7s3s 
AcJh8d6h3h Js9d4d3c2s KdJh4d3s2c Tc7c6c4h4d 
Jd9s6c3d2c AcTh7h5d2s Ah8s6h5h3h 8d5c4d3s2c 
9h5d4h3d3c Kd8c6h4c2h Th9h7h6h3h Ts6c5c3h2s 
KcQs9h8s2s Qh7s7c5s4s AcKs6h4h2h QhTd5c4s2s 
9d7d5h3h2d QdTc5h4s2s Qc9c6c5d2h AsKc6d4d2d 
Ac8s6h3d2c AcTd7c3c2s QhQdJc7s2s QdTc8h4s2s 
9h9d7s6s2c KdQdJd8d3c Jc7h5s5c3d KcJh7h5s2d 
QdTs7c4c3c QcJd9c4c2h Qh9c6s4c2s Ts6c4d4c3d 
7h6s6d3d2s Kd9d7h4c3d QsJh6d3h3c Qs9d7d6h3d 
JsJc7c3d2d Ks8h6d5d3c 9s9d3h3d2h Tc6s5s3h2c 
Tc9h9d6c2c Jd9h7d4d2h Js9d4s4c2c JdTc8c4c2c 
JhJd8c2s2c Jc9d8h6h3h Qc7c5s5d2d QhTc8s5s2s 
KdQc9c8c3h 8c7d5c4c2s QcJd7c5h2s Qc6c5s5d3h 
Ah9s9c6c3d KsQc9h8c2c Qs6c5h5d4h AdQd9d4d3h 
KhQh9d7h2c Td6h5c4s4c Th5d4h3s3d 7h5d4s2s2d 
9h5d4h4c3d Qs8s7d6h2c 9s7c5s3d2d Kd5c4s3d2h 
Qs8s6s5c2h Ts8s5d4c3h Kd8d8c3s2c 8h5c4h3c2d 
8d8c5c4c3c Ts6h4h4c3c 8c7c6c4h3s 9c6d5s5h4c 
AdQh9c5s2c JdTs7h6c2s 7h5s5c4s3d 8d7s5c3h3d 
JhJd8s4d3d Th7h5d4h2d 8d7h7c3h2c KhJd8s3s2d 
TsTh6s4s3c Qc4s4c3h3d KhQs8s6c3s Kh8c6c4d2d 
Ts7d5d4h3c AsQh6d4c3c QcTc6c5c2s Qs7h6d5h3c 
Ts9c6c3h3d 9c8s8d5s2s AcKc8d4c2c AhJc6c4s3d 
Qh5d4s2s2h KcQh8d8c2s 8c7h6d3s3h KsJd8h7c3d 
Jc6s5s2h2c Ac7d4h3s2c JdTs6s4h2c 8d7s5h3h2s 
8d6s5h4s3s Js9h9c7h2d Qd8d6d5h2s Ac6h4d3h3d 
Tc6d5c4c3s Qd9d7d5d4h Qd9s6d5d2h Kc7c6c5d2s 
9d6c5s5c3c QhJd7s4d3c Js9s6s5s5c QdTd7d4d3c 
Ah7h4c3h3d KcJc8h3h3c Jh9s7h4d4c QcTs8h4d2d 
AcTh6h4h3d Td9c3d3c2s AdTh7h3s3c QcJc6c5c2d 
AdQc6c5c2s 9h9d5s2d2c KdTd8d4s2c 9h6s6c3h2s 
6c5d3s2d2c Ad7h6h4s2s AdJh8d4d3d Ad9s5s5h2h 
JsTd4s3c2h AcQh4s3h2d QdJd6d3s2s Jc7d4d4c3d 
AsKh7d3h2c 9s9h7d5h2c AsQh9c4h3h Qd7d6h4d3c 
Js6s4h3h3d 9c7c5d5c3s 7d6d5c4h2d Js7d6s6c2d 
QdTs8c3d2h Js7s5h4s4d Ts8h5c3s2h Ks8s7d6h2s 
Kh6d5s4s4c Qs3s3c2d2c Qh9d7h2s2d Qh9d6h5h2c 
QdTs5c4d2d QhJs7h4h3d AhTh7h3d2s KsJd9d8d4d 
6c5s3h2s2c Th6d5h4h3s Qs7d5h3h3d JdJc8h4c3c 
QhTd6d3s3c JdJc9s6s2s Kd9c7c5s3c AcQs5d3h2s 
9s8s7c6s3s Ah5h4s2h2c QsJh5c4d2d Qh7d5s5d4c 
Qc8s8c5c3h Qh7h6h4s3c Qd9h9c7h4h Js8c5d4h4c 
Qh9d9c8s2d 8h7c6s3d3c Tc9s6c5c2h KsJs8c3s3c 
KcTc9c3s3d Kc9d5c3s3h Qs6d5h5c4c Jc8h8c7s2d 
AhTs8d4c2d Qh8d5d5c4s 9d8h8c7s3d 8d7d5c4h2s 
Qd9d9c7s2h QsTd6c5h2h Ad6s6h4d2d Qc8d7h4d3h 
KsTc7c6h2d KhJs8c6s3d AhQh9h4h4c Tc5s4d3s3c 
9d8d7d6s2c KdJs8s5c2s AsKs9s4s3h As9h4s3c2d 
Jc5c4d4c3d Ts5c4d3s3c Kc8d7s7d4h Tc7c5s4d4c 
QhJs9d3s3c Qd8c5d3s2c Jd9d7h7d3s Ts7s7h3d3c 
Qs7c5d2s2c AsQc4h4d3d Qs7c6c4s2c 6s6c4s3s2c 
8d7d6d4h3s Tc9c8c5c3s Th6c4s4c3s Ad6h4d3s3d 
