8h7h7d4c3s 
8h7d5h3h3c AcJs9h2h2d KhJd7s4c3s 7c6s6h4c2d 
AsTd6c4h3c KdTh7c2s2d 7c4s4d3h3d KhJh6h4d3h 
AsQh8c4h2h 8s7c4s2s2c Jc7d5s4h3h Ts9s4h3h2s 
AdKh7s7c2s As6d5c2d2c Jh7c5s4c3d KcTd8h6h2h 
Tc9d7s5c2h Jc9d8d6h3d 7s5s5d3h2d Qd9d7h6d3d 
Js7s7h6s2h QdJd8d4s2c KcTd7d3s2s KhQh8c4s4d 
9s9d4h4c3d AdQs8d3h2d KhTs7c6d2d 8s7s7c4s3d 
AsQc7h7d3d Kh8d8c7h2s Ks7s7d4s2d 8c7d7c2h2c 
QsJd7d4d3c AdQh8s4c3c Kh9c6s6d4s Js9d5c4h3c 
AhTd7d4c2s KsTd7d5c2h 8s8c7c2d2c JsJc9h3c2c 
9d9c8h7c2c AcJd9h2s2h Qh9h9d6s2h KcTc7c5c3c 
Jd7h5h2s2d JsTd4h4c2s Jh9d8s6c2s AhQs8d6c2d 
Js7d5c4d3h Jh9c4h3c2c KdQc8c7h2s Ts9c8c3h3c 
8d7c5d2s2h AhJd7h2h2c Js9s7s5c2d Td5c4d4c3d 
KhQh8d7h3c JhJc5s3d2c 9h8s7h6d2h Jc6h5c3c2h 
Th8s7c4h3d Qh6d5h3h2d ThTd4d3d3c 9h6s5s4c3s 
KdQs9c7s2h 8s6c5c3h3c Ks9d6s4s4h 8s5c4d3s2d 
KhQh5h3s3h As9c7s2s2h 9s8c7c4h4d 6d6c5c4c2s 
KsTc8h6h2h Ah7s4d3h2c Kd6s3c2d2c JsTs4s4d2h 
KsJc8d7c2c KhJd6c5s2c AcQs8h4s2s QsJh7h4c3h 
9d7s7c4h3s 9h8h5c3s3d Th8c6d5s2s AdKc6h4s2h 
AhTc7d6d2s QcJs5d3d2h Kc9s6c4h3c Jc9c8d4h2s 
QhTc8c4s2c 9d8d6h6d2s AhQh8h4h2s KsJh5d5c3c 
Kd9h6h5h4h 9d7s5s3s3h Qh7h5c4d3h 8h7h5c4h3h 
Th9s9c3c2d Kh7d7c3s3h KcJd8s7d2d QhJh7d3s2s 
Tc6d5d3c2c Jd7h7d6c3d 8d6h6c4c3s Qd8d8c5h3d 
6h5d3d2h2c KhTc7d2s2h AdTd7d6d2h Ts8s6h3d2d 
9s9h5c4d2h Jd8d7d5s2h 8c7d5s4h2c Qh8c6h3c2d 
Ks7c6h4d4c Qs9s9h6d2s Kc8s5d3h3c Qs6s6c5s3h 
9h9c6s5s2s 5d5c4c3s2s Tc6c5s4h4d 8d7h7d3s3c 
QdJc9s3c2h Qc9c5d3h3c Qd8s6d3s2h QdJd6d5s2d 
ThTd8h4s2h ThTd8d5d2d QhJs8c4s3s KsQc9d7s2s 
KcTh9s4h2h Td8h8c7c2c Qs8c6h4d2s QsTc7d2d2c 
Qd6h4d3h2c AhQs8d8c2d KsJs6s5s2h QcTh8c4c2c 
KsTd9h5h2h Kh9d6d5d4d JhTs6s6c2d Qs8c6s3c2h 
KdTs8h5c3c 9s9h6d5d2d AdTc7s6s2h 9s9d6c5c2c 
KhQd4s4c3s 9h6c4h4d2d QdJs4c3h3c Kh9c8c4s2s 
Jc9c8s8h3c AhJd5h4h2h Td9c7c5s2h Ac9d8h5h2s 
JsJh7d3s2d Kh9d8d4c2c AdTh8h2s2h Qc9c7d3d2d 
Jd9c8s6h2s KdTh8c4s4c KhTd7s3s2d Kh8c7h6h2s 
8h7c5s4d2h Qc5h4h4d2d Jc9c6s6h3c Ks9c8c5c4d 
Ts8d6c4d2h KcQs9s4d3s Qd8h8c6d2s QcJd5s3s2h 
Td7d5s5h3c Kc7c6c4d4c KcQc4s4c2d Kd8s8h6d3d 
9c8d4h4d3h Qc8h6h5s2d JcTc4s4c2h Jc7s6h4d3c 
6d4h4d3s3c Qh9s9h6d2h KsTd7c6h2h 8d7h5s4s2c 
Kh7h5s5h4h Ks9d4h4d2s As9d7d6d3d QsJc9c4h2c 
Ts5s5h3d3c QhTc7d2d2c 9s8h5s5c3d QsJs7h4s4d 
AhJd9s2d2c KhQc8h4s2d AcJd4s3h3d 7c6d4h4c3s 
Ah6h5h3c2s 9c8s6h4s3d AsQh8d3s2s Ks7h6d4h2d 
ThTc8h4s2h Td8s7h5d2c Qh9c8c5s3c Ks9c5h4s3s 
Jc9s9d5c2c Ah6h5h3s2c Qh9h8s8c4h Ah7s7c6s3s 
9h6s4h4c2s Jh9h4s3c2c Kc8h7c6c2d JhTd5s5d2d 
8d7c6h6d3d 8d7h7d4c3s JdTd7c4h2d Ts9d5h5d3d 
8s8c7s5h2s JsJc7h7d2d Tc9c6d6c3c As9s6s6d3s 
JhTc5s5d2d KsKhKcQcJc KsQh8s7s3d Qc8d7d4c2c 
Ad8h6s5s3s Jh7h4h4d3d 9s8d7c3c2d Ts9h5h4d3h 
QsJd7h2s2h 9d8d6d4s3c Ad6s5d3d2c Kh5d4s4c2h 
Td6s5s5c4h KsQh9d9c3c AcTh7s3c2c JhTs6d4c2c 
Tc9h5d4d3d Js7d7c4h4d Qc6s5d4h3h Ts8s5s4d3c 
KhTs7c3c2s AdJh8s6c2c 8h5h4d3s2s Ac6c5c3d2s 
JsTd6s3s3c KdJd6d5d2s 8c7h5s5d3h AsJd9h2d2c 
Qd9s4d3c2s 7s5s4d2s2d Kd9s4s3c2d 8d7h6d3h2s 
KsQs7s7h3d Td8h5s4d3c QhQd7s7c2s 9d7h7c4s3c 
Jc8h6d5d2s KhQd8s8h3c KcJs7h7d3s Tc9d6s6c2h 
AsJs5s4s2h AdJd6d5h2d 7s7c6h3h2c 7d6s6c4d2h 
8s5c4c3s2h TsTh6d5s2s Ad7h5h4c3h KdQh7h3c2c 
AsQh7d7c3c QdJd4c3s2h 9s9c8d7d3d AcTd7h6s2d 
Qc9h7s3h2c ThTc6h4d2s Kh9s5h4h3c QdJd8s7c2d 
KhJc8h8d2h 8d6s5h5d2c Qh8s8d7c4s Th8d5d4d3c 
JsTc6s3s3d Js9c8h8d2c AdJs9c6s2h 9h8h4s4c2c 
Ad6h5h4s3c Js5d4s4h2d Jh9d6h2h2d Ad8c7c6s3c 
Ts9s8s8h2s Ad6d5d2s2h Kd6h5c4h3h As8h6h5h3d 
JcTc5s3c2h Qd9h7h5h5c 7s5s4h2s2h JcTd7s4c2c 
KdQh7h4h3c Jh8c4c2h2d Jd9s7s7h3s 8d6s6d2h2c 
Ts9c8h4d2s Kd9s9d7d2h JhTd6s4c2c AhJs8s4s2c 
ThTc6d5c2c 8h5s4s3d2d 8s6h6c4c3d KcJh9h6h2d 
AcQd9s7h2h 8s8d7h5d2d Ac8d4c3c2d KsJc7h7d3c 
Ad8s8c5s2h QcJd7c4s4c Jh6d6c4d2c Qd9d8h8c2d 
KsTd4d3c2c 6d5c4s4c3h Jc6h6d5s4d KdJh9h6h2s 
Qs9d4h2s2d Kd9h4d3c2c 7h5h5d3s2d KcQc8s3s3c 
Qs8h6c5h3d Th8d7h6h2s Ad7c5s3d2d QsQd6c4c2h 
Qd9h8d4s3c KdQd7h7d3s 9d8s5d3h3c QhTs8d3c2h 
KsQc9h9d3d Th9d8s4h3h KcQsQhQc3s Qd6s5s5c4h 
KcQdJd7d2h KcQs7s3d2d JcTh5s5d2d Qh6c4s3c2h 
KhQd4s3h2h 8d7d5c3c2c Qd6h5d5c2s 7s7h5c2d2c 
8c7h6s4s3s AhJh4h3s2c AhTc7s3h2h 7c6h4h3h2c 
8d7c6c3s3h ThTc4c3h2c Js8s7s5c2h KdTc6s6d2d 
Qs9c8c7d2h Ah6c5c4s3d QhJh8c7s2h Js8h7h5h3d 
JsTs7d4c2s Th8h6s6d2c Ad9d8s3c2d Qs8c6d5h3c 
Kc9d4d3h2c Ts7s4h4c2h 8h5h4s3c2s 9s6s5s4d2c 
Ks9c6s4d3s Qd6h5d4s2c QdTh6s6h2c 9d8s7c5c2c 
Kc7h6d4s3h AdTd7d6s2d 9h9c6d5d2d QsQh8h4h3h 
Ac5c4s3d2c 9d7c5c3s3c Kd9s6d4c3d Qc7h5s3c2h 
Ac9s8h6d2h Ks7h6s5s2c KsQd9h9c3c 6s6h5d4h2h 
9d7s5h4h3h Jc9h5h4h3d 5s5h4h3d3c Kh8h6h5h4h 
Ts6h6c5d3s Qc7s7c5d3c QdJs7d3s2s JsTd9s3s2s 
9d6s4s4c2d Qs9h8c5d2h Qc8c7d5h3c Ks9h8d4d3h 
KhQc8d6d2s Qc9s9c6d2c 9s9h8c4s3d JhJc8d4d3s 
AcTs7h7d2s Td8h8d5s2d AcTh6d4s3d 9d7c6s5c2c 
Th9d4d3h2h Ah9h7h4h3d Th6s6d5s4s Th5h5c3s3d 
Ks9c8h4h3c AhJs8s3d3c Qh6d6c5c4c ThTc8c5c2c 
QcTh5d4s2d 5h5c4h3s2s KhJs6c2s2c Ad6s5c2s2c 
8d5h5d2d2c QhJh4d3c2s Th9h6d5h2s Th9d5d4d3c 
8d8c5h4h2h Qd9c6s3c2s Qs6s5h5d4s Kd6c5h4c3c 
KdQc8h6h2s Jh8h4d2d2c Td6s5c2d2c Ks8s7h5s2d 
Kh9h4d3s2s Qd6s6d5d3c Ac9s6h5d3s Qd8s6c3c2d 
Qs9h8h7c2d Qh8s8c4c2s 9c8d7s5s2s QsJs5s3s3d 
Jc5d4s4c2d KcJc8s8c3d KhQd6d4d2c Qc6s5c4d2h 
AdTs5c3d2d AcTs8s5s2s Ks8s7d5s2h KdJd9h4d2c 
AsTs5s3d2h Ah9d5s4s2d KsJd6c4s2s Jc7c5d2s2d 
Kh7c6d4d2c 7d6h6c4d2s Qd8h6s5c3h Ks7d4s3c2c 
KcTh6d2s2c Kh8s8h6h2d Jc9h5c4s2d Jd9s5s5h3s 
Ad7s5s4h3s QcJd9d7h2d Jc9d5c3s3c Tc7c4s4h2h 
KcTc9d4c2c QcTh8h4s2h Kd8s5c3h3d KsQh8d6c3c 
6d5h5d4c2s Td8s6s5s2h Jh9h8c4s2d Jh7s6c4d3h 
Jd9h7s7c3c 8s6c4s3c2h Ah9s6s5s3d AcQc6h3c2d 
8h8c7c5d2c Qd8s8h7c4h QcJc7h5c2d Th8s8d7s2s 
As5c4c3h2h KdTh9s5s2s KcJh8h7s2h 9d7s6d5d2c 
AdJc5h4c2c Th9h4s4d3c Kc8h8c5c3s KsQc8c6c2h 
Jd9d4c3s2s Kc8h5s5d4d As6d6c5h3h Ah7d5d4s3d 
4h4c3s3h2c Jc9s6c5h2c AcTd7h6h2s 9h9c4s4d3h 
JhTs5d3s2s KhTc8h5h2h Jc9c7h4s4c KhQd8c6d2d 
AcJs9h6s2d Qs7s7h6s3c 7h4d4c3s3d Kh9s5h5d3h 
Js7h6d4c3s Td8h6s4h3c Qd6h6d5d3s Js9h8d8c2h 
8h8d6c4s2s Qs8d8c4d2c Jc9c7d3c2d AdJh8h4c2h 
Tc7s6c5c3c Qc9d8s6d3d Ts8d6h4d2c AhJh4h4d3h 
Tc8h7s5h3h Js7c5d2s2d Jd9h6h5c2s Qh9h6d4s3h 
KhThTc7h2h Ac4d3s3h2c KdJs8c5h2c Tc6h5d3c2d 
Qs7d6d2s2h Ts9s8c4d3s AhQd8h3c2h Ks8s7h4s4d 
Kc7d7c4c3s Js7s7d6h3s KhTd7s2h2c Ah8c7c5c3c 
Kh9d8d7d4c 8s8d4h4d3c TsTd4s3d2s AhTd5s3h2h 
9s7d5s3s2d Qs6d4h3s2d KdJs6h4d2d Qc6s6c3d2d 
Js8d5s4c3s 8s8h4h4c3d Jc9h5s4d3s TsTh6c5s2s 
Ts8h8c7c2c QhQc9d4s2s Kh7s6d4d2s Jd8h8d3h2s 
Ah8s8c5s2d Ac7s6h4d3h Jd8c5d4d3s Kd9d9c5d4d 
Ks9c8d7d4d As9h9d6c3d KcQd8s5d2d QcTs9d3s2s 
Qh7h4h4c3c Qh8d6h3c2d Jh8d5h4s3h Td7h7d5d3c 
AhQh3s3d2h QhTh5h4h3h KhTd8h3c2s Ah6d5s5c3c 
QcJd7s6h2c Qh6s6d5s4s 8h8d6s4c2c Ts8s6s4c3d 
Kh8h7c3d2d Jh9c8s7s2s Jc9h8s8d3h QdJc9h7d2d 
AcTs7h7d2h AhTs7s4d2c Jd9s8c7c2c Tc6s6h5d3c 
QsJc7s4h3s Ac8d5s2s2d KdQs6s4s2h 7h6s4s4h2h 
Kc7s6h4d3s Td8c6h4c3c Js9s8s7h3s Th8c7h6h2d 
QhJs7d4h3h AdTh5d3d2s Ts8h5h4h3c Qs6s6d3c2c 
KcJh9s7d2d 8h6h5h5d3c 6d5h4h3s3c Qc9h7d2d2c 
QhJc7c3h2h JsJh8d4h2h Jh8d4h2s2d Js9d5s3s3c 
9d7c5s4s3s Ac5c4d3s2c Kd9c8c7c4s As8d7d6h3d 
KdTs5h4s2c QcJd9d4h2d 7h6h5d4h2c KdQh8d4c2s 
Js8h6d5h2c AcQs6h4h3h 8d8c7d3s2c AcQc6d6c3c 
AcJs6h6d3s QcJs7h6d2c TsTd9s3s2h QsTc7s7d2h 
Jc8d7s5h3s Jh9h9d7h2c TsTd8d4c2d Kd9d6h4d4c 
KsQs8h7s2d 8d5s5h2s2c Th9s9d3s2c Ad9d4d3c2c 
Th5s4s4c2h 9h6s4h4d2d Tc9c3h3d2h Jh8h7h6c3s 
Tc9s7s7h2d Jc9s9c4h3c 8d5d4h3c2c Qd9s8c5h2s 
AcQs9h4d2s Th5s5h4h3s Tc6h5s5h4d Jd7c5s5h4c 
Th8h6h4c3s Td8h8c7h2h 8d7s5d3s2d Js7s7d4h2h 
Jd9d7c4s4d Qc9h7h3s2c 8h5d4s3h2s 9c8s7s4d3h 
8d7h7d4s3c KcTd6s6c2c 7d6h5s5c2s 8s6s6c2h2d 
Ks9d8d4h2h Kh9d6h2h2d Kd7d7c5s2h AcJs5d4s2s 
Kd7d7c5d3d KcQc8d7c3s Ad9c8h6s2s KhQc6c4c2d 
9s8h6d6c2c AsJc5h4h3h TdTc4d3d2c Jh5h5c3s3h 
Tc9c7c4d3c 8s6h6d4h3c JcTc7h4s2c KsJh8h6d2c 
QcTd7h2h2d 7h6h5c4h2d AdTc5s4h3s Th6h5d4c3h 
Qs9d8c6d3d 7h6c4h3s2s 7d6s5c4c2c Qd5c4c2d2c 
8c7s7d5h2h 9s7s5s4s3h Jd9c5d4h2s Jd9d5h3s3d 
8s7h6s6d3s QsJc8s7h2s 9c6d5c3s3c Jh7h6s6c2c 
KdJd5c4d2d 8s7h5c4c2d Tc8d6c4s3c Th8s6d6c3h 
KdQc9s9h2s Js9h6s4d4c KhQd9s4c3c Ts8c6h4c2d 
9c5s4c3s2d As9h9d4d2h Ah8s8d5s2c 9c8h7d7c3s 
Jd7s5c2d2c Kc7d6c5c2h 9c6s4s4d2c Td9s9c4h2h 
7d6s4d4c3h Qd9c7h6s2d Js9c5h4s2d AdKs6s4s2s 
9h7d6c3c2d Ts6c5h5c4d 7s7d5c4h2c AhQh8h2s2c 
7s6d6c3s2c KcQc4s4c2h AhJd8c6d2d QhQd8d4d3d 
AcTd7d4s2h Jd9d8s4c2h AsQd8h3s2s Td8s6c4s3s 
KdJs6c4c3c Ah7s7c6d3d AcTc7s6c2c Ts6s5d4h3s 
8d5d4h3s2h Qh8s6s5s3d Tc9d5h4h3h ThTc9c3c2s 
JhTd6h4h2s AhTc7c3s3c AhJd9s6d2c AhQd8d3s3c 
Th6s6c5d4d 9d8d5s3h3c 9s8d7d7c2h Kc9c6s3h3d 
Qh8s6d5c3s KdJc7s7c3c AsTh7h6d2c QcTh4s3h3d 
Kh6c5c4c3s Ts9h8h7h2h Jc8h7h5h3s As7h7d5d2c 
9c7s6d3s2c Ks8s7c5s2h Jc6s6d5h4s Tc8c6c4d3s 
Ks9s9c7s2d KdJc5s5h3h 5s5d4d3h3c Qh7s7h4c2s 
Qd6h5c3c2h Js9d8h6d2d Jd5s4h4d2s JdJc8d4d3d 
KdTd6c2s2h Ts9d8d3d3c 8s7s4h4d2d Kc9d6s6h4s 
9h9c8d7d3d Qd9c8c5s3c Ks9h7s4c3s 9c7s6h5s2s 
Jc8h8d5c2s Jc7h5d4d3s 9s7c6d3c2s Kc5c4d3s2h 
AdThTc3h2s Ts6s6h3c2h KsTh8h8d2h QcJc6c5s2c 
9h8h6h3c2c Ac9s6d5d3h Jd5c4d3h2h Tc6s4c3s3c 
Jc9d8c6s2c KsQd9h4c3c Th8h5s5h4h 9d7c5c3c2d 
Js9d8c7c2c Td9c5s4h2d 9c8h7c3s2s 9s9c5h4d2s 
Qc9d8s4h3c Th5s4s4d3d QsJh4c3d3c Qd9d6c4s3d 
Kd7s7c3h3d Tc9s9d3h2s Qs6c4s3h2h KcQc9h9d4c 
AdJsJhJd4h 6s5c3c2s2d QdQc8h3d2s Qd9d7d5d3s 
9s7d6h5d2d 8s7d5d3s2d QdJs9h4s2s 5s5h4c3s3d 
Kd7s5c4h3s 9d8s6d4c3h AhTh7d6h2h 9s8h6d6c2d 
Ts8d6d3d2s QsTd9d3c2d Js5d4s4d2s Ts5c4d4c2s 
Kh8d6d5c3s 8d8c3d2h2c Js9c6c3c2s Ac9h8s6d2s 
KhQc9s8d3d AcTc5h3c2s QhJc9c7d2c Tc9c6s5c2d 
Kh5h5d4c3h Ks5s4h3c2d QcJh8d7d3s 6s5s4d3s3h 
Td8c5c4c3s Jd6c5d3d2c Tc8d8c5c2s Jc9d9c7c2s 
6h4h4c3s3d KsQh9c7h2d JhTh5h3d2s Qs6d5h3h2d 
Qc7h7c4s2h ThTd9c3s2s 9s7s5s4s3c AsJsJhJd4h 
7h6d5s4d2d AsTs5h3s2d 7d6s4h4c3c Qh9h7c3d2d 
Qd6s4d3s2c JsTs7c6h2s AsJs4s3c2d As8c6d4h4c 
QdTc5s5d2d TsTh9c3c2d 9c8d5d4h4d Jd6c4d4c2h 
8d7h5s4c2c ThTc4h3h2c Td9d6c5s2d Kh9d4s2h2d 
9d8h7h4s4c Jh9s5h4c2d Ts5h4h4d2s Qc7d5s5c3h 
8h7c5h3c2h AhKs4d3d2c QsTh6h6d2c Kd9h5c4h2c 
Qc8h8c6c3d QdTh7c2h2c Th9h5s5h3c Ks9c8s8d3s 
Kd6s5s4s3h Kh8d7h3s2d 9s7d6h5s2s Qd7s7h4s2d 
Jd8c6h5h2s Td9d8c3h2s Js7s4h3h3c Qc9d7c4h3s 
Th7h4s4d2d Td7d4h4c2h 7s6s6h4s3s Qs6s6c4d3h 
Jh7h5c2d2c Qc9h8d6h3h QsJh7h4h3c Qd9s7d4h2h 
Qh7s6d5d3d KdQs8d7h2d Kd8s5h5c4h Qs9c7c3d2s 
9s9d8h4d3c Qd6s4s3c2d Qs9s8h8c4s Qd9c7d4h3s 
QsJh7s4c3s Jd8s6d4h4d AdJs5h4s2s Kh9d5c4d2c 
Ad7c6s4h3s Qs7h6h2s2d As6d5d4h3c 7c6s5h5d2h 
KcJd8d7d2h AhJd4s3d3c Ks8s5h5d3c Qs8h6s3h2c 
6s5h4h3d2c As9d8h5c2d AhKd6c4s2c Jd8h6s5s2c 
As8h7h6d3h KhQc8c6c2s KsTh6s6c2s Qc6d4s3c2d 
Qd7s6s2d2c QsQd3s3h3d KcTh4h3s2s Jh7h7d4d2d 
9s9c4s3h3d 9d7c5d3c2c AhKs4c3c2d Jd5d4c3s2c 
Tc9h8h7h2h Ah7d7c6c3c Td5s4s4h2d KhQh7c6h2s 
AdTd5d3c2h QhJc8s4c3c Qs9s7h7d4s Jc9h6h3h2c 
7d7c3d3c2s 9h9d4s4c3h AcThTc3c2c Th8s7c6d2d 
Kd9h5s5d3d 7s7h6d5h2h KsTh8d8c2d Jh9h8c4d2s 
Tc9h8h3s3h KsTc5d4c2h Kc8h6c4s3c JcTc5s3c2d 
Kc9h8d8c3c Qc5d4c3c2d Td9d4c3c2d Jd8d6h4d4c 
KhTd8h5h2h Th8s5d4c2h Qs9h6d5h2c Js8d7s4s4c 
QsJs8s8d2h Qs7s5d4c3s Qs9d8d6d2h KsTh7h5d2c 
JcTd9c3c2c 8d7s5h3d2h 7s7d6c5s2s 8h5h5d2h2c 
9s9c8c4h3d Td6d5c4h3d Jd7c5s4h3h QcTc7h3s3d 
AsTd6h4c3h Jc8h5s5d3c QdJc8h8d3d Qs9s8c7h2s 
JhJc5d3s2h Jd5s4c3s2d KsQd7d3h2h JhJd8c4d2d 
Qd9c6h3c2h Qh9h9c6d2h KdTc9c6c2c Tc6h5h5d4s 
Jd8s7s5s3c Qc6d4c3d2s QcTs7d7c2h 9c6h5c3s3c 
AhTc9s4d2d AdJd6s6d2h KcQc7d6c2h 8d7h7c5s2s 
AcTc5c3s2h QsJs6s3h3d Js8d7s4s4h AdQh6s6c3s 
Ac9d5s4s2d JcTd6s6d2h Jc8d7d4s4h Qs9h6s4c3s 
9d8d8c7h3d KdThTd4d2d 9d8d8c7d4d Kh6s4h3d3c 
Kc6d5c2s2h Tc9c4s4d3h 9s8h6h3d3c KdQc9h8h2h 
Ad7s7h6s3s 8s7s7c4d3h 9s9c8d5h2h 9c8s5s5d3h 
Qh9c7h5h3h Tc8h8d5s3s QsJh8c4d3c KdJs9s6s2c 
8s7d6s6c3s JcTd6d5h2d Ks7c5h4d3c AcTs7c3d2c 
Js9c6s5h2s 8h8c3c2s2h AsJh9h6h3h Tc8c6d3d2c 
Js9h7s5s2d Jh7s5s2h2d Jc7h6d4s3c 9s8c5s3h3d 
JhTd6d3s3d Ac9d8s4h4d Kc9c5h4d3c QcJh9d4h2h 
Jh9s9h7h2c Ad8h7s6c3c TsTd5d4h2c Qh9d8s4c3h 
KcTh8c3s2d Kh9d4d4c2h 9d7s6h5s2s 8s5h5c2h2d 
Jd9c8c6h3c QsJs7h3d2d JdJc7s7h2s 7h6c4h4c2h 
KsKhKc9c3h JhTh5c3h2s KsJd8d7d2h Kh7d5c4s3d 
Td9d5d5c3s 8c6h5h3s3h TsTd4h3d2h KcTs7h3h2s 
Kc8h8d6c3c Ac8s7s6d3s KdQc7s4d2h KsJd8h4s3s 
KhTs8c4d4c Js9d6d3d2s Ac8h6h5h3s 9s8s6s6c2d 
Jc5s5h3d3c AcTd9s3h2s Qd9d5h3d3c 8h7d5s3h2s 
8s7h6s3d3c Js8h8d5c2d 7c5h5c3s2h Td8s8c7s2s 
Ad7s5h3d2d JsJc7s7h7c Jh9d5h4c2s 9c8s8d7h3h 
8s8c7h2h2d Kh6c4h3s3d QhJd7h4h4c AsJd9c6d2h 
Tc9c8h3d2s KhJs5h2d2c ThTc8c4d2c Qs6d4h3d2s 
Qs8s6c4s4h AdQh6c4c3c Jc5d5c3d2h QhJd9c3d2s 
Jc8h7c4s4c KcQd9s7d2h Ad9d8h3c2d Ad6d5d2h2c 
KcJh5h3h3d AcTs7d6h2s Kh6c4c3h2h 9s8c4s4h2h 
QsJh7d3s2d Ts7c6h6d3s Jh9d5d4d3s Jc7c6h6d2h 
Ac9s9d4d2s 7h7c5d2s2d AdTc7d3s2d Qd9c8s5h2c 
KhQs9c4d3d Qh6c4s3s3c 9s8d7h3h2d KsKdKc9s3d 
9d8h6d6c2s 8c7c6h3s2s 9s8h6d4h3c KdJc7s6d2d 
Td9h4h3d2d KsQh8s7c3s AcTd9h4s2s AsTc9h4c2c 
AhQh6s3h2d 7s7h3s3c2c Jc8s8d5c2h Jc8s8h6d3h 
Ah9h7h4h3c QcTd5s5h2c AcQc8s3c2h Jd8d7d6c3h 
Th8h6s6c2d Jh9s7s6s3s 6d5c4d3h2s 7c6d4s4c3h 
7c6d4d3s2s Ah8h6c5h2h Qc6c5d4h2c Kh8h5s5d3c 
Ts8h6c4h3d As9d9c6h3d Qd7h4h4d3d Th8s8c5d3d 
9h9d8h5h2h Ts6h5c3s2c QhJc9d3c2s 4h4d3h3d2h 
9s9d3h2h2d Qs6c5d5c4h KhTc5h2s2d Ah9h7h4c2d 
KcTh7s3s2h Td9s6c5s2s QhJc5d3d2s Th8s8h5h2d 
8d7c4d2d2c 8c7s7h5s2s JcTs6s5h2s Jd7d6s6c2c 
Ks6c5h4c3c 9s8h6s4d3c AcTc7c4c2d AdQs6h6c3c 
Kh7c6s4d4c QsJd7h3s2h 4h4c3h3d2d QcTh9d3h2h 
9h8c5d5c3s Ts9h8c4s2s Qh9d7s7h4h 9c6d5h3s3d 
KsJd7h7c3d 7d6h5s5c2c QsQh8c4c2d 9c8d4s4d2c 
Ks9s8s5h4s Jd7c5s4s3h Td6d5d3s2s 8s7s5h4s3s 
Qh9h6s4d3h 9h7c5s5d3h Qh7s7h6h3c AcQh8h4h2d 
KcJh5c2s2d KdJc9s4h4c 9h8c7s7d3d Jc9c7s2s2c 
6s4s4c3h3d KsQs7d6s2c Ac4s3h3d2c 8s8c7c5h2c 
QcJc5d5c2h QhJh8h8c2d QsJd5s2h2c 9h7s5d4d3d 
JsTc8d3h2c Ks8h5c3s3d QcTc9c2d2c 9h7h5h4h3d 
KsQh9s8s4s Qh9c6s3c2s AsQc8h8d2d KhQd8h7s3h 
Qs8h7d5s2c Jh9c6s5c2d Kh8d5s5c4c Qc7s7c4d2s 
9d8h6h3s3c Qd7d7c4h2c Qd7s7d5h3d QhJs7s4s3c 
Ts6s6d3c2d Jc5h4s3h2c 8d8c3d2s2c Kh9s7c6h2h 
Jd8s6d4d4c Qd7h7d6d3s 4s4c3s3h2h Td8h6s5c2c 
KhQh8d4s4c KhKd8s3c2s 7h5s5h3d2s 9d8c7c3s2s 
Kc5c4h3d2s Jd9h5s4c3s AdKh6h4h2h Ah8d8c5s3s 
Qc6h4s3s3h KcJs7h6c2c QsJc9d4c2c QhTd6h3s2c 
8d6d5d3s3c Ac9c7c4h2d JsJd7c6h2s AsQh6d5c2d 
JhJd6s5s2c Th8s8d5c2h KsKhKcTd8h 6c5s4c3h2d 
Ks7s7h4s3d 9d6d5d3s3c Ts5s4h4c3h Jd8c5s5h3d 
Td8h7s5d2c Jd9h5d4c2s Js8h8d6c3d AcJh9d6s2h 
KsQc8s7d3s AsKc3c2d2c JcTh7h6h2d Qs9c8c6c2h 
Qs8s5d3d2d Kh8c7h3s2c ThTd5h4c2s AcQh8s3c2c 
Ks7h6s5s2d KsQc9d7c2h JsTs5h5c2s Jc7h5d2d2c 
Ah7h5s2h2d JdTs5s5h2s Qc7c6d4h3c Td9c8h3s2d 
Qs8d6s6c2h KhQd9d8d4d Ks7h7c3s3d ThTd5d4s2c 
QdJd7c5d2s KsTc9h5h2h Td8s8d5d2c QcJh6s5s2s 
9c8h7s4s4d JhTh8d3s2h KdQs9d7h2d AdKs7h7c2h 
Jh8c4c2s2h Jc9d8s6h2s KdTh8d3s2c 9s9h5d4c2s 
9s9h4d4c3s Jh9s5h3h3d JdTh6d4d2s Ks6c5c4c3d 
Th6c5d5c4s 7h6h4h4c2c ThTc4c3d3c QsJc7h4s3s 
Kh7s4h3c2c TsTh6c4d2h AdTh7s7c2h QhJs9d7d2c 
Qd8h8c7h4h AdQh8s8h2h Th9h7h4d3h 9s8d4d4c2s 
Td8s4h3d2s 6d4s4d3h3c Qh8s8h7c2d KsJs7s6c2d 
Ah7s7d5s2c Ac9s6h5h3d AhThTc3h2h Qc9s7d7c4c 
KdJh8h7s2h QhTh8h4h3d KhTh9s4h2h Qc8s8h7h4h 
KcJc5d4c2c AcQs9d4h4d Js7c5d4h3h JsTh5s5c2s 
JdTd7d6h2s Kc8c7s5c2h Kd7s6d5d2c Jh5c4h4c2h 
8c7c4s4h2s Th7c6c2s2h Qc6s6h5h4h Tc9c6h5s2c 
KdQh9s2d2c 8c5c4h3h3c KhTs8d8c2d 8d6s6c3s2d 
KcQd8h2h2d KsJs9s7d2s Td7d4s4c2s Jh7d5s5c4d 
