JsTh6s3h2s 
8c7s4d4c3d Kh8h7h5c4h 8h7c4h4d3d AcQsJh6d2d 
AhKcJh6h2h 9c8c7s5d3c Td9h9d5d3d 7s6h5s5d3c 
Tc9c5h5d4s Ks8h8d7d2h JcTh8d6c2c KcQs8s5h5d 
QsTd5c4c3c QsTs8s5c2h AsKd7d6c2d KsJd9h8h3c 
Qs8c7d4d4c KdTc7s4c3h KsKd9h3h2h Tc9d6c3d2c 
TsTh8s8h8c AsTd8d6d3h JdTd4d3c2c KdJd9s9h3d 
Tc9d6s3s2c QsTh9h4c2d AsKc7h7d3d Ac7h6c3s3c 
Qs7h7d5s2h KsJhJd7h2c 8d6s5c4h2s QcJc9c8c3d 
QhTh8h5d2c Ks9d7c5h4c AsTs8s4h3s 8s8c5h4d3c 
AdQh7h7c3s AsJhJd6c3c 8c6s6c5d3h Kd8s7d7c4d 
KsTs7h4c2d KdJc6d4s2h 8s7d7c5h3d AhQh9s9h3h 
AsTh6d4h4c KdQh9h6h4h AcTc8d6c2c Kd7c5d4h4d 
QsQc7c4d3c 9c8c6d5c2s QdJd9d8d3h Ts7d6h4h3c 
Jh9c6h4c2s Qs7d7c5s2c 6c5c4s3s2c JsTd6h4h3c 
9s7s5h5c2c KcTd7h4d3s Qc9s9d5h4s Ks9h8s5d5c 
Qd8s6h4d4c QdTh5h4h3c AcQdJs6h2h JsJdJc8s8d 
Qd8d7s4s3s Kd9h5d3h2h 6h5h4d3d2h 9d8c7s4s2d 
AcTh6d3c2s KdJc4h2h2c Ah9d3h2d2c JcTh8s8d3s 
AcJs7c3d2h KdJd6c2s2c Jc9h7h6s4h 9s8h5d3h2s 
Jd8d6d4c3c Ks9h7d2s2h 8s6d4c3s3d 9c7s7d4h4c 
Qd9h5c3c2d Ac9c7c6s3c As8h8c6c4c Js8h8c6c4c 
Kh6c4h2s2c 9d7d5h4c2h 9d8d7s5d3h QcTh6d4s3d 
KhQd9c6c3s 9d8h7d5s5d Jc6h6d4c3h Kd4h4c3h3c 
AdTd8s3d2h Ac9c7c6d2h QhJc7h4h2c Ah7d7c5d3d 
ThTc8s6d2d 9c7h6s6c3d KhTd6h5h3h Qh8d8c7d3c 
QdTh9c4s4c AhQc8d4h2h 9c7d4h4c3d AsKd6d4d2h 
AsTh8s6s2s KdJd6s2s2h Js6d6c4s4h 9s7h5s5d2d 
9c8c6h5c2s Td7d6h6c5d 9h8d7h5h4h KsJc7s6h2d 
Jh8d6d4c3c AcQh4d4c2c Th8c6d4s4c Js9d7h6s3s 
AhKc9s9d3s Qc8s6s4d3d Tc6d5s4c2d 8d8c5c4s3h 
Ah9h5s3h2s JsJh8s7s3c Tc7d6s5s5h Js8h6h4c3c 
Ts7d6h4s2d KsThTd3s2c Kc4s4h3s3h Kc9s5h5c3d 
Kd8c7h6h4h Th7d6d6c2h Ks7h7d5h4c QdJd9d7s4d 
Kc7c6c5s5h KcTh7d4h3s AsKc8d5h2h JhTs6h3s2h 
Ah9h7h3s3c Td9d6s6c3h Th7d7c6d4d Ah8h5s4h2d 
9s9d8h5c2s Qc6c5h3h2s KsTc9d6h2c AhTsTc7d2s 
Jc9s7c4d2s QhJh9h8h3c ThTd7c5h3h Ts9d4s4h2h 
AsQh9c4h3d Js8h7c4c2s KsQdTc3h2c Kc6c4h3h3c 
QhTd9c5d2s Jh8h5d3d2s Td7h6s4d2h JcTh8d5s2s 
Qh6h6d4s2d QdTd8h4c3d KdTd7h4s2c JhTh7h4h4d 
8s7c5c4d3h JsTd8c6s2s Qs9c8d6c4c QcJd9c8c4c 
7s7h5h3d2d KcJc7s4c2s Ac9c7c3h3d Kd9d7s7d4c 
KcQs6h6c3c AhJs9c7d2s AsJh9h4h3c Kh9s9h3s2c 
Th7c6c5h2c Qd9s9h5c4s JsTc8c4c2d 9h8c7h5h3s 
KcJd5c3h2s KdJh7s4h2s AsTh8d5c2h Kh9s7c5s2c 
8d6d6c5s3h QdJd7c4c2c QdJd7c4h3s QsQh7s4c3s 
Qh7s7d6d4c Th7c6h4c2d 9h6s5c3c2s JdTs6h6d3d 
KsJc9c8c4d Qd8s8d2s2c Qh8h8d6s3c 9c7h5c3h2s 
Jc9s8s6d4s ThTd8h7h3s Kh8c6h4h2c Qs9c7h5h2c 
QdTd5s4h2d Tc7h6d4d3s AcQs7h6h3d KhJh4s3s2h 
KsTd7c4h2s Qs6d5d5c2c Qd8s5s2d2c QsJh7d6h2d 
KhQsJs8s2d AcTc7h4c2s AdTc9s7s2s Ks9h6c5h3d 
9c7h5h3c2d Ts9c6h3h2s 8c6d6c5h3s QcJd7h5s3h 
Qh8s8d6d4d 6s6d4h4d3c QhJc3d2d2c QsQh9c3h2d 
Kd9d6c4c2d 9d7d7c6s4d 9s6s5c3h2h Qc8h8c6d3s 
AsJs9s5s2d Qh9h8c7s2d Qc8c7s7d4h Qs8h8d5c3s 
Kd9s6h6c5h AcJc8c6c3h Qs9d8c3s2d KhJs9h7h2d 
AcTh8s8d2h AdQcJd7d2d Tc9d8c7h3c Jc5s5h4s4d 
KcQh7d7c3s KcQc9s9c5c 8d7h6c5d2s AcQd9d8d3d 
KhQcTd3d2s Td6d6c5h2h TsTh8c4d3h Qd9s9c4c2d 
Kc9h9c4h2h 9d9c6s4c3h Jc8h7s4h3s Ah9s6s6c5s 
9h9c5c3d3c JsJd5s4h2c KhQsJd3d2d Qh8d7h4s3s 
9s8s7h5d3s 8d7h5h4s3c TsTh8s7s3d Js9c7d5d3d 
QdTd8d5c2h Ah7s7c5c3c Ts7d7c6d4d Ks7s5s4d2d 
As8s5c3h2d AsTh6h6d4h As8d8c6d4d KsQc9h9c4d 
QcJc9h4d2s 8s8c5c3h3d QsQd8h4d3d AsKsJs7s2s 
9d8c7c5s5c QsTc8s8h2s Td9h9d6c2d 6c5s4s4c3c 
Qd8d5s5h4c QdJh6h4s3h Jd9h7h6c3s 9s9c8s7d3h 
AcJd6h6c3c ThTc8c7c3d Js9h7h6d4h AsTs4s4h3d 
AdTsTc7c2c KhJc9s7d3d Jc6c5h3s3h Ac9s3c2s2d 
Ks7h6h4s2s 9h6h5s3d2d Th9d6s3s2h Qc8d7h4h4d 
Jd8c5h5c4s Js7d5d4s2c Qh8d8c4d2h 9d9c8s7h3d 
Jh9d7d6d4s AsQs7h3s2h Jh8c7d6d4d AdQd6d4h4d 
Ts8h7d6h3c QhJd8s5d2c TdTc9s6s2h TdTc8s6h2h 
Th9s8h7c3h KhTd9h4h3h QdTc8h5c3c AdQh9h8h3h 
Qh8d5c4d3c AsTh8h6h3d KdQd9d9c5d QdJc7s6c2s 
AsTd8d6d3c Qh7h6h5s2s QdJdTd6d2s Ks9d8h8c3s 
KsTs7d4h2c Kh8h6c2d2c KsTsTc5s2h KcTh6d5c2c 
KsJhJd6s2s Kh9d7c6s3c AsQh6s3s3c Js9s9d3d2d 
AsQc7c5d2h Qd9s8c5h2d KcJh9c7c2d Qd9c8h6c4c 
9s8c7h6d3d Jc8s7h4h2c AcTc5s5c4c KdQh9s9c4h 
AdTs6s6c4s Ah9d6s6d5c KsQd7h7d4d 9c8s7h6d3d 
Td8d6c4s4h JdTc8h6d2d Js9d9c7h3c Jh9d7d6d4d 
QhJc9s4d2h Kh9s6d5s3c Ts8d6c4h4d Kh9s8s2s2h 
Tc7s7h6h2s 9s9d6s5s2h Jc8s7s6s4h AhQs8d7s3s 
Tc8c5h4h2c Ts9d6d4h4c Td9h7c3c2d Ks7h5s3d2d 
Qs6d5h3h2s Ac6s6c5c2d JsTh9c6d2d AdJs3h3c2d 
QdJc9s7c2h QcJc9c8d4c Tc9h7s7d4s Jd9c5h3h2d 
Jc9h7h5h5d AcKs9h9d3h Kc7h6h4c2c AcJh8s8d3s 
Kh9d7c4h3s Jh9s9h3d3c TsTd6d3h3c AdKh9d7d2d 
9h8s8d4h2d 8s6d5h4c3c 8d7s4h4d3h KhJd9c5s2d 
JhTd8h4h2c 9d9c7d3c2s Qc9h8h4c2c KhJd8h3h2d 
Ks7d6h6c5d KsJc7h5d3h Qd7s7h6c5s 8s7s5h4c3d 
Js9h7c6s3s Js8d6s4d2d 9d6s5d2s2c 8c6c5s5c4h 
KdJc9h8c2c AsTdTc6h3h AsTs8c3s2d Qh9s7s7c5s 
Tc7c6s4h2h Kh9h9d4d2d Ts7s6d5c3h Qh9d5s3s2h 
Jc9d8d7d4h Ah8s8c6s4s 9d5d5c4c3h Ad8d7d4s2c 
Kh7s6h4s2h KcQc6s6c4c QdTs9c7d2d Kd8c7s6s4s 
Qs8d8c6c4c QcJsJd6d2d KhQh6c2h2c QcJh9c8c4c 
QhJh4s4d3c 9d8s8c3c2d Jd5s5c4h4c Ad9d6h3s3d 
KhTc8d7s3c KhTh5s2s2h Jd5h5c4d3c AdQh8h4c3s 
As8h8c4h4d KsJc6s2s2c Kc9h8c5c4s JhTd8h4c2h 
Js6s5d3h3d 9d7d6s4h3c 9h8s7d6c3c Tc9s5h4s2h 
7s6h5d3s2h QdTd6s5d2h Jd9h8c7h2s Ts9h9c6d2h 
KdQh8c6c4c AdQh9s6s3c QdTd6c5d3d KsQs9s9d5s 
Jd9s8c7s2h 9d7c6d4c2h KsQh9s8s4c Ac9s6s6h5d 
8d7s7h5c3h JhJd8s8h8d 7h6s5s4s3s Qh9s8d6s4s 
Qs9s6s6h2h QhTs5s4d3s KhTs8d8c4s AdTs8h5c2s 
QcTs5h4d3d AhQs6s4d3s 7s7d6s4d2s QhTc8d7d2s 
QdTh8s8h3c KsJs8h5d2s 8d7h7c5c3s Qc8s7d4s4d 
QsTc5s5h3s Th9d7s3s2h 8s7s7d5s3h Ac8h8d4s4d 
Qc6c5h3s2h AsKd7d4d2c AsJdTd3d2d AsJc7d3h2s 
KhJc9s5d2c 9h7d6h2s2d As6d5d4c2c 8c5d5c4d3s 
9s7s5d5c2c Qd9s7d5d2s Js6h5s4h2h JsTs6s5d2c 
9c7s6s6d2d KcTd6c5c2h QdTd8h5s2d Ah9h7c3c2h 
AdQc8c7s2c Ac8c5s4c2h Kc9h9c3h2s As9h9c5c4d 
Td9c8h5s3d QcJs8h5c2c Qc7h5d4d2c QcJcTc6c2h 
KsQh4s4c2d KdJh9c5h2s KdQcJh3h2h 8d5d5c4h2c 
Tc8d4h4c3h KcQs8h7c2d QsJc9d8d2d KdJd7s6c2h 
Jd9s9h7c3h Ac9c7c6c3s Qs7s6s5d2d Ac8d5d4h3h 
Tc5h5c4s4c AsThTd7c2h Qh7d6c4c2h Ah9c7c6d2d 
KsTsTd5s2h JhJc8c7c3s QcTc8c5s2d KcQc9d9c5c 
Ks8d7s7h4s QcJd8h6d3s 7d6d5s4d3d AhTsTd7c2s 
QhTh8d4h4c AsKh6h4c2h JsTh8s4d2s JcTs5s3s3h 
9c6s5d3d2s Jd8c6c3s3d Kd9d7c4c2c JcTc5s4c2d 
As8s7d5s3s QcTc8h7c2d 8c7s5d4d3h KsQs8d4s2d 
KsQh7s7c3d QcTs3s3c2s AcJs7s6s3h AdKc7c4c2h 
Qs7h6d6c4s KdTc9h4s3s QcTh5s4d3d Tc8h7c6c3d 
Jc6s6d4c3d QhTh8d5s2h Qd8s5d4s2d AdKh8c4s4c 
AdKs4s3s2h AhTd7c6d3d KhJd9d6d3s 9c8d8c5s3c 
QcJd8h5s3h QsJd7c6d3h KdQc7s5h3h 7c6c5s3d2d 
Ts7h7c6h4h Qh8s8d7s3d QhTh8h6s2h QdTh8c5d2d 
QsTs6h3s2h 7c5d4c3d3c Td9c6d3c2d JdTd5s4d2c 
8c6c5c4s4d QdTd8d7d5d QcTh9h7h3h 9c8h8c3d2h 
KsJc9s7s2d KcJh8c5c2s Kd7c5h2h2d Ts7c6h5h5d 
AsKd5c4h2h Js6d6c4s3d KhKc8d4d2d KsTh7s5s3s 
Ts8s7h6s3c Kh9h8d5c4h Jc8h6h6d4s Jc5h5d4c3h 
Ah9c7c6s2s Kd9d7h7d4s Jd8d5s3s2h KhTh3c2d2c 
Td7h6s5d2s AcTd7s4s3h QdTd7s5h3d JdTc9h6c2c 
AhJd9d7d2c QdThTc7d2s Kc6s4h2h2c Kd9h9d3h2c 
9d8h7s5s3c AsQh9c6d3c KsJc9c7c4c Jd9s8c5h2d 
Ah9c3h2d2c QdTs5c4c3c TsTh7c5h3h QhJs6s3d2d 
KsTs8c5s3h KhJc9h7h2d Ac9s6c3c2s As7d6s3s3h 
8h8d7s6s3c Kd7h6d4h2d KdQsJs8s2h JhJd6h5h3h 
9s9c8h7s3d Qh9d5h2s2d Kh7h6h6d5h Ah9h7h3c2c 
Kc9c8d5s4c KcQdTh3h2s Js6h5c4d3s AsJd9h7c2d 
Jd7s5h5d2h AcKs5d4h2h Ad7s6s5s3c Tc5h5c4h3s 
Ks7h7d4s2d AhTc7s4s3d Qc9h8d5c2s Td9s5s4s2d 
AhKd7s7c3c Js6c5c4c2s AhTs8d4c3c Qc8s7c6c4c 
Kc9s5h4d3c 9c7h5c4s3d AsTs9s3s3d AsJdJc7d2d 
QhJd9s9c2s 6h5h4s3s2s Qh8s8h4s2s 9d9c7c3d2h 
9s8h7c6d3d Qs8d5h4d3h QdTs8h5s3s KhJd7s4d2s 
KsJhJc7c2d AsJc6h5d3c KhJd9h5h2c 9s6s6d4d3d 
QcJc9s4h2d KhJs4d2s2d Th8s8h6c3d QhTh7h7c4h 
Kc9d7s6h3s Tc8d6d5d4d AdKc9s9d9c KhTs5h5d3h 
JdTd7d6c3d KhJd9h7h2c Jd8h6h6c4s AdQc5d3d2h 
9h9d8c5s2h QcTh7c2s2h Js9d5s5c3h AsTh6d3s2c 
Qh6d5s5d2s QdTc9s4c2h Td9c6s3s2d Qh9s7h4s3h 
AhJh7s4h2d Qc8h8c7c4d KcTh4c3c2h 9d6c5d3c2s 
QsJh8c7d3s Qd9c5s2d2c Jh6h5s4s2h Th9c8d7s2s 
Kc9d8d4c3c KcJc7h3h2d Qc7h5d4h2c Js7s7c4s3c 
QcJh6s2s2c QdJdTh6d2d KhQd7s7d4d Th8c5h5d4s 
Ks7s5h2h2c Ac9s3d2d2c Kd9c7h5s4h 9c7c5s5h2h 
As8s7c5s3s 8c6d5h4s2d TsTc7d6h3h AsKh8d5c2d 
QsTc7h7c2h Tc8d7h6d3s KcJc5h5c3s 9h8d5s3d2h 
Ks8s7s5h4s Ts8h4s4c3c 8c6h5s5d4s Th9d4s4h2s 
9h8s8d3s2h KsTh6c4h3d As8d8c4h4d AdKs7s6h2s 
Qc9d7c5c2d 9c7d4h3h3c 9h8s6s4s2h AhKdQd7d2d 
6c5c4d4c3d 9c8c7h4c3h Js9s6d6c2c QhJhTc6h2h 
8c7c6d2d2c 9h9c8s7c3d Td9h6s6c3d KdTd8d3s2s 
QsJd7c6h3d 7h5d4d3h3d Ks8s8h5d4s Kc8s7d5c2h 
Tc7s7d6c2s Qs9c8h4s2h Kd9h8s8c3d Th8d5d5c2c 
Jh9h9c5d2s Jc8s6s3h3c Ad8s8h4h4c KcJs5d5c3c 
Qc9s8h4c2h QsJs9s3c2c Jh8h8c3h3c KdTd6s5c2d 
AdQc7h6h3s 9s6s5h3c2c 8h6d5c3c2h Qh9d7s6h3h 
Kh7d5h3c2c AhKc6h3d2h Ac8c5s3h2d Kd9s8d5h2c 
KhTd5s5c4d Jc9h4c3h3c AsTd6h6d4d QsJd9c4h2s 
Kh9h8d5c2s JsTs8s5c2s Js8d6h6d5d 9s7s7c4h4d 
Jd5d5c4s3c KcJh9c2s2d Ad9s5d3s2d Th6c5s4h2c 
KsQh6s6c2d Kd9s8d5d4c AhKd8s6c3s Th9d8h7s3h 
JsTs5h4s2c TsTc9h6h2d Qh7s7c5s2h AsJc9c8c2c 
AdJs6c3s3c Ts9d8d7c3d AcTh8d4s3s KcTh7s5d3s 
QcJd8c7h2s Ac8c5c4h2d KhJc4d2d2c KdQh7d7c3s 
AsTc9d7d2d AhJc9c8c2c 8d7s7d5d4d 9c7h7c6d4c 
KsJd6s5s2c KdTd3s2s2h 9c7s7h4d4c KsQc7h4h2c 
KsKhKd9h5s JsTd9c6d2d Qh9d8d2h2d Kh7s6s6d5c 
9c7c6d4h3s 6s6d5d3s2s KdTh6c5d2d 6h5h5d3c2c 
KdJs9s8s2h Tc8c5s5c4h Qc9s8c3d2d KdJc9c6c3s 
KcJh5s5h3d QsTc5c4h3c Qd9s8c5c4h Js8h8d6d4d 
JsTh6d4d3c Kc8s6c4c2s Ts9h8d7s3s Js9d8c7d3h 
KsJh6d6c3s QsJc6c3d2d AsJc9c5c3c AdQd8d4h4d 
Js9d8c7d2h QhTh8s4d3h Jh9d7d6s4d QdQc9h3d2s 
KcJd5h4s4h Td9d9c5d3d Qs8s6s5h3c Qh8h6c3d3c 
8h7h5h5c2c AhTc6d6c4c Ah8h5c3d2s Qs9d7d7c5d 
KcTh9s4s3s Ts9h7s4d3c Th8d5s3s3d QcTd8h4s4d 
KcJs6c4h2d QcTs5s4h3s TsTc9d6d2h KdTh7c4s2d 
Kh7h5c2s2c AcTc4d3s2h Js9d5s5c4h 8s8c6s3h2h 
Td8d5s5c2c KsJd9h6c3h Ah8h5s3c2d KhJsJd7s2c 
8s8d5h4c3s KsQh8d7s2c JsTc6c4h3c 8s8c5h5d2d 
KcJcTc7s2c Qd9s9c5h4s Ks7c6h6d3s 6s6d4d2s2d 
Kd5d3s3c2s 8h8c6h5h3h 7s6c5d3h3d Kc6s6h5h2s 
AdJhTh6h2s Qc9d7h7d5d KdQs4d3h3d 9c7h4d4c3h 
9h9c5s3s3d Qs9d8s3d2c AcKs5h4d2d Ac9c6d3h3c 
AdKs9s4h2c Td8s8d6c3h KsTd7d5h5c Kc7s7d6s5s 
9s7d7c6h3c 9s8h7d5h3h 9c8s5c4s2s Jh8s6s4d3d 
Td9h7h4h2d 9s7s6h6c2c Qh7s7d5d2h 9s9d8s4h4c 
AcQc7s3c2s Js8h8d6h4h Ah6s5d4h2h QdQc8c4c2h 
KhQc6h6d3h Th9d6c2d2c QsQc9c4c2d QcJc9c3s2s 
KdTd6d5c2h Tc8d6d4s4h 9d8h7h4d3h QdTh9h4c2s 
Th8h8d6s3c 9h9d4h2s2d Qs7s5h4h2d KhJh6s2s2c 
9c7s7c6c3h Qh9c8s6h3h Jc8s6s6h4d KhJc5h3d2s 
QcJcTc6c2d 9s9h8d7h3c QsTs9h7s2d Qh9d9c4c2h 
Ts7h5s4h2d Qh9h8s5d2c Ks8d8c6d2c KdQs4d4c2h 
KsTc9s5d2s Qd9s5s5d2s QcTc8c5d2h AsQsJs6c2s 
7d6h5s3s3c JhJd6h5c2s Ah8h5d4h2s Ks8s6h4d4c 
Jc8h8c5d3s AhJc5d4c3s Ts8s7d3s3d Qs8d6s3d3c 
Qd8h7h5s4h 9s9h5c3s2c KdJs9s8s4h QhJd8s5c3s 
JhTc8c6d2c JcTh8s6c2c Th9h7s4h3c Ad8s8c6s4s 
Th6h6d5s2s QcJs5s5h3s KdTs7h5c3h QcTh5h4h3s 
Th7h4s4d3d Td9c8h7s3c QcTd8h8c2c 8s8h6s3d2d 
Kh7s5d3d2h Qd9h8c6c4c AhKc7s7d3s QsQd9d4d2c 
QhJc7s4h3d Td8s6s5s4s Kc8h8c5d3s Ah9d7d7c4s 
Kd8c4d4c3s 7s7c5s3h2h 9s6d5s5d2s Jc9s7d5d3d 
Ac9c7s3s2c QdTd8s6d3d Qs7h7d5s2d QsJd8h5c3h 
9h8c5c4h2h Kh8c7d4s4h Qh9c6h4c2c Td9c8d7d3h 
QhTh5h5c3s KhTs8c7s2d QhJcTc7s2c Js9d7d5d5c 
Kd7h7c5c4s Ac9c5c3s2s Td8s7d6d3c As8h8d4h4c 
QdJc9h7c2s Ks9c6h4h3c Th9s6h6c4h AcKd9h6h3h 
AcTd6h4s4d 9h7h7d6h3s 9s7d4s4h3d Ac9s8c5c3c 
AhJc5s4c3d 9c8s6c5c2d KsQs4c3s3h QdTs8d8c2d 
8h6s5s3c2c 9d6h5s3h2d Js5h5d4s3h 9c8c6s2s2c 
Ts9h6c3c2s QhTc9s7h2h Kd9d7h4h2h JhTs8h4c2h 
QhTh8c5d2h Qc9h8s6h4h AsQs8c5s2s QcTh8s5h3h 
As9s5c3s2c 8h6h6c5s3d As9d7d7c4h Jd9s5d5c4h 
Th8h5c4c2h Td9d8d5c3s Qc8s5d4s3d JhTc6s6h3h 
AhJc9s7d2c Ts7s6d5d2d Qs8c6h4c3h Kd8d5d4s2s 
Kh7c6s6d3h 9c7d6c2h2d Qc9s8h7d2c Qd9h7c6d3d 
QdTs8h8d2d Js9h8c7h2d JsJc8s8h8c AhTh7d4h2s 
Ks6c4d2s2d Qs7s6d5s3c 8s7h6d5s2c Th9d6s6h4h 
KdTd8h5d3s 6d5s5d3h3c KcJd9h8h3s KcJd6s5d2h 
KdQh6s6d3d AcKd6c3h2c Kh7s6h4h3c JcTs6h6c3c 
QhTh7h7d4h KsJd5h4h4c JhJd9c7d2d Kh9s5h5c3d 
Js8c7h4c2s Qc9d8s7h2c AsQd8d5c2d QcTc8s6c2c 
9d7h6h6c2c Qs7h7c6s5s Qh9s6h4s2s Jh9s9c7d3c 
Kh9d7s6d3c KcJd4h3s3c ThTc8s6c2c KhJc7s5d3s 
QhTh6s5h2d QdTd7d6d3s KcQh6s2s2h AsTc6d4h4c 
TdTc7h5h3s Qh9d5d2h2c 9s9h7d7c2d JhTh8h5h2d 
Tc9h8s8h3d Ks8s6d4d2s 7d6s6h5d3c Th8d7h6h3s 
Ad9d7d6d3c KdQs8h6s3c Qc9c8d5s2h Ah7c6c5c3d 
Kc8d8c5h3s AhKd8s4d3d Jd9s8c2s2c Qh9s6d5d3c 
QsJs7c4c2c KdQhTc3s2c Ks9d5s2h2d QcJc6h5d2c 
QcJh6c2h2c Qh7h6d5s3h Tc9s8c5c3h Kh5c4h3h3c 
9c8s8d6c4c 8d7c4h4d3h 7s6c5h3s2c 7s6c5h3h2s 
QhQd8s6c2s Jh9c7s7c2s Qc9d8s6h4h Td7s7h6h2s 
Ts9d6s3c2c Ks9s5d5c4h 8s8c5s3h3d QdTc5c4h3c 
QcJs6c2s2c KcQhJh8h2s QdTd5c4s2d Jd6h5c4s3d 
9s7h7c5d3d AhTd8s5c2d QsQc8h6d2d QcTs9c4c2d 
Ad5h3h3d2d Th8h8d3d2s KsQc9d8h2c KsJh9h8h2c 
Kh8h6h4d2d Ts7h6h5c3d KcJh9d8d3s KdJs6d5d2c 
Qs9h8s3d2d As9c7h5d3h 9c7h5d4d2c Kh8c4h4c3d 
Ks9h5d4c3s Kd9c7s4d3h AsJs9s4d3s QsJh8c5h2d 
Kh5h3s3d2s KdTc8h8d3d Qd9d8c5h2s Qs5h5c4c2s 
QhTh7h6h3d Ts8s7h3s3h 9d8s8c4d2c Qs7h6h6d5c 
AhTh8c6h2h 8d6d5h5d4s KhTh8c5h3s Qc7s7h5h2c 
KdJs6d5d2h Qd8s8h6h4h Kd8s8h6s2h KhQd8c5s3d 
Ad8d7d6c2h QsTs7s7d4s AdQhJc6h2h QhQd9d4d2s 
8d5h4d4c3c Qc7h5s4s2c 8s5s5c4d2c QdTd7d5d4d 
9d7s5c4c2d Qh7s6d4d2h KhQdTs3s2c Kc9h7s5d4d 
KdJd7s3s2c Ts7s6c4d2d Jd8c6c4h3h 9c8h7d4d2c 
Jh9c8d2d2c Kh8h6h5s5c AcKc7s7h2c KhJc7d4c2d 
QsTs7h5c3s JcTd9s4h2h KhJc5s5h3h Kc9d7h6d3s 
Kh9d7d4h2d Ts7c6d6c2s Ts7s4d4c3d QdJs9h9c2h 
7d6s6h4s2d AdQc4s4d2d Tc7s7h6c4c KsQdJd8d2h 
Td9s4h4d2h Th9s4h4d2d KcQc9s7h3c 6c5d4s2s2c 
Js7h5s5c2c JdJc9s7d2d AcQh6c3s3c Tc9d8h5s3s 
KsQd4s4h2c Td7h7c6d4d 9h7d5h3d2s KsQcJc8c2h 
Ts9s5h5c4d Ts9c8d5h5d Jh9h7c6h3s KdJs6d4h2c 
9d8h8c6d4d QcJh9d7d4d Ts8d7h6c3h Kd8s7d6d4d 
QsTh9c5h2d AcTsTd7s2s KhJs8h2s2h Jh9h6s6c2s 
KhJdJc6s3s 9d9c7s3d2c Ac7d6c3s3c Tc7h6h4s3d 
Ts9c8d7h3c KcQs8h8d4c 7d5c4d4c3c Kc9s9d4s2c 
7c5d4d3d3c 7h6s6d4s2h KhQh8c5s3h QdJc8h6c3s 
KdJc6h5c2s QhTd7c6c3c QhTc9s4c2d AsQd8c7d3d 
9c7s7c6h4c QdTd6h5d3d Ts7d6h5h2d Qd6d5s3s2c 
Kh9d5s4c3h TsTc6h6d3h Qh9d5s4h3c Kd9c8d5s2h 
JhJc5s4h3h 7s6h6d4h2s QdJc5d4d2h KdJd4h3h2d 
AhTh3d3c2s KdJh6c5h2s KsJc6s4h2d JsJc8c6h2d 
JsTd8d4d2h QhTh6s3h2s QdTh8s4d3d ThTc6s3h2c 
Kc6s4c2s2h AhTsTd7d2d Qc9h6d5d3s TdTc6c3h2d 
JsTd9h3d2d Qd7h7c5d2h Qh6d5h5d2h 6h5d4c2h2c 
Ad9s9h7s3c KcJc5h5c3d Tc9h5h4h2c QcJh5c3d3c 
QsQh9h4h2d QdJh6h5h2c Qh9d4c3h3c Jd9c6c3d2s 
Ac9c5c3d2d Jd9s5c3c2d KhQdTh4h2h AhTs9c4s3s 
AhQh5h3s2c Td9s9c6h2c TsTc6c3h2s Qc5s5h4s2c 
7h6d5s3h2d AhQh5h3d2c KdJh7d5d3d KsJh9h8h2d 
AhTc6s5s4s Kh8d7s5h2c Th7d6h4s2d Kd8s8h7s2h 
KdJh9d2s2c Qh9d5c2h2d AsTs4s4h3c 9c6s5h3s2c 
Kc7h7c5c3d 9c4h4c3h3d Kh9s7c2s2h KsTd7h5c3h 
8s8d6d3c2c AdKs8h5c2c KsTdTc6d2h AcKs6s4s3s 
Ts8d5c3d3c Jh7s7h3s3h ThTd9c8c3c 9d7d6c4s3h 
Qd9h8c6s4s Td9c8s6d2d 9s8d7d5h5d 8d7h7c5h3s 
JdTh6s4s3c 9d8h5s3h2d KcJs6h6d3c Qs9s5h3s3h 
Js6h6d4s3h Jc9c8d5c2s Kd5d4h4d2h Jh6d5h4d2d 
8s7s5h5d4s QdJs9c8c2c AhJs7h4h3h JsTs8h8c2s 
KcQsTd3h2d 8h7s7c5d3s 9s8s8h5c3s QsQd8h6c2c 
QcTs7c2s2h TsTc3s2s2c Tc9c7h7d3s Js5h5c4d4c 
AcKh9d6s3s AdJc7c6c3h KdQd8h4d2h AdQhJc6s2s 
QsQc5d4d2d Jc6s6h4d4c QdTh5h4c3h KdQc8h6h4h 
QdTc5c4s3c Js8c7h6c2h Qs9c8h6h4h KsJh8s3s2h 
AcJd9d5d3d Th9d6h3d2h AcTh6h6d4h Jd9d6s6c2s 
Ks8h7d6d4d 8c7s7d5h3d Jc8h7d5c3s QsJhTc7h2h 
Js8d7h5s3c KsKdKc9c5d AcQd8h7d3d Tc8c7s6c3h 
9h8c7d5s3c Kd7s7c6c5c Jc8c5h3h2d KhQhJh4h2c 
Jh9s8s7s4c KcJc7d6h2s KcQc4s3d3c KcJh5c3s2d 
7s7c5s3d2d QhJh5h4d2c ThTd6d3c2h TsTc7h5d3d 
Qh9h7d6s3h KsJd7d4c2c Js9s8h6c3d QsJc8s7s4s 
QhJs9h7h3c AhJd5s4d3c KsTd8h7c3d AdQs8s5c2s 
AdKh8s4s4c Kd9s9c4s4c 8h8d7c6c3s Qh9d7d5c4s 
As8s7s6h2d KsTd9h4c3c AdQs8s7h2s Jc8d6s6d4h 
Js7h7c6c5c Jc9h8s7d3c AsQc6c4h3c KcTs6c5c2h 
