Kd8s4h3h2s 
Jc8c4h3d2s KhTc7h7d7c Qs9d8d4d2d Qc6s5s2s2h 
Tc7h4s2h2d Kh8s4h3c2d KsKhKc5c3d QsQhQc6h4s 
Js8h5d3d2d Qh7c4s3s2c Th7c5h2s2h TsThTc7s6h 
Kd7c5s5c2c KsTs3s3c2s 9d8s7c3c2c ThTdTc7c6d 
Kh9c6s3c2c Qs6d6c4d2d Tc6s4s3d2h Jh7s5c3h2h 
Kh6c4s3s2d Ac7h5s3s2s Jd9d4s4d2d 7h6d3h2s2c 
Ts8s5s3h2s Kh9c7s3d2c Kh8c7d2s2c Qd9d4c3d2h 
Qc7c4c3s3h AhTc3c2s2d 9s6s3d2h2c KcTd4s3s2s 
Js6h5h3c2h Kh8s7h3c2h Ks7d5h3d2c Td8s4c3d2d 
Ks6h4c3c2d Jc9c7c3h2c Qh9s4h2h2c Qs7s7d4h2s 
7h3s3c2s2d 7c6c3h2s2d Ks9d6d2h2d 6h4h3d3c2s 
Ts5h4s4d2s 8s7s7h3s2s Ah9d6c3s2s Qd6s6c4s2s 
Kd7h5h5c2h Js7c4h2s2d 8h5s3h3d2h Ks8d7d2h2c 
Qc7h7c4c2s Ah7s6s3s2c KdJs6h2h2c 8c7d6h3h2h 
Kd9c7s4h2h As8c6d3h2h Kh8s8d2s2c Ah8s8c3d2c 
As8d8c3c2c AcJh6d3h2h Qc8d4s4h3s Qs7c6d3h2s 
Kc8d7s3s3h Qh5h3s3c2d Qs8d7c2h2d Th5s4s3d2c 
Jh9c6s3d2d 7h6c3d3c2s JsJhJd8h5s 9d8c3s3c2c 
Jc6s5d3d2d 5c4h4c3c2s Kh7s5s2d2c Qh6s6d4s2s 
Kh6h3d3c2h Kc5d4d3d2d Js8h4s3d2c KhJc6s3s2s 
As8s3h3c2s Ks7d5c3h2h 8s7d6s3s2h Jc9c4s4c2c 
Kd7s5h3c2s As8d4c2h2d KsTd3h3c2d Kh9d8c4d2d 
Ac7d4h4d2d KdQs8s3s2h 7s5s3s2h2d Qh9s9c3s2s 
Th5c4d2s2c KhTd4d3d2d 8s7s7d3s2s KhQh9h4h2h 
Jh9h3h2s2d JhJdJc7d6c 8d7c6d3d2d Tc5h4h3s2d 
Tc7d6d3h2s Kc6h4h2s2d Kc6s4s2s2d TdTc7s7h7d 
QdQc6s6h6d Ks5d4d2d2c Qc9h6d3d2d AcTh4h3h2s 
Ts7h7c3c2d Ts6d4d3c2h 9s7c4s4d2s 9c5h4d3h2h 
As9c6d4d2d Jc8d8c3s2c 9d7s4s2h2c Jd8d6s3c2d 
JsJd7c3h2h Tc8h4s3d2d Ks7s5s3s2c Ks7s4h2s2d 
8h4d3h2h2d Ks8d7d4d3d AdTc6s3s2s Qh9d7h4c2h 
Td5h4c2s2h 9d6h4c3c2c Qc7s5c3c2h 9s7s4h4d2c 
Jc9d3c2s2c Kd9d4h2s2d Js8s7d3c2h AhTc3s3c2c 
Js3h3c2d2c Qc8h5s3s2d AsTs9s9d9c Kd8h6h2s2c 
7h6s3s3c2d KhJh8d3h2h Qh5s4s3d2s Qc7c5h3c2d 
Qh7s7c2h2d 7s6d3h2h2c Td5s5d3h2c Qs5c3s3h2s 
Qh7h5s2h2c KhJs7d3d2c Ac8d7d3h2s Tc5s4s3d2h 
Ac9s6d4s2h 9d5c4s2h2c Td8s5s3s2h Js5c4d3s2s 
Ah9h6h3h2s Th5c4s2d2c Th7c6c2s2c Qh7h6d2s2h 
Qd8s4s4h3c Qc8d7s3c2h Ad8s6s3c2h 9d5s4h2d2c 
Ac9s9d3s2h As7d6d3d2c Kd8d4c2h2d Qc7d5s5d2d 
KsKhKcTd6d AdTc3s3h2h Qd6d5c3d2d Ts6h4s2s2c 
9h7c4s4d2d QdJd7s3c2d Ah9d7s3c2s Qs9s3h2d2c 
Ac6s6h3s2d Qs8s8d3c2h Kh9c7c3s2d Ah9d7d4d2d 
As9d6d4d2h 8d5c3s3d2h Jc7c4s4d2h Qd7d6c2h2d 
Js9d3c2h2d Kh9h6h2s2h Ah8c7c3d2s Qc7s4h4d2c 
As9h7h4h2h Kd9h6h2s2c Qs8c5c3c2d JsThTdTc8c 
As8h5h3c2d QsQhQc4s3h 6c4h4c3d2c Jc8s4d3c2h 
Kd7h5s3c2c Ks9d8d4d2h Ts5c4c3h2d 5s5h4s3s2s 
Qs6s4s3c2h Kd8h8c4s2c AdJc6c3c2s Qh8c7s4c2c 
Jh7d5s3c2d Tc6h4s3h2d As8h8c3d2h Jc6s5d3s2s 
Jd5h5c4s2s As8h4h4d2h AhQs7c3d2c Qh8d7d4c2d 
9d8h4h2s2h Qs9c6c3c2c Ad5h4h3h2h Jd9h4c2s2c 
Kc9s8s4s3s Js7h6c4c2c Kd9d7d4s2d 6h4h3s2h2d 
Js6h4d4c2d 9s5h5d4d2d Kh9h7h3h2d Qd4h4d3d2c 
9d8h3s3c2h Qc9s7s4h2d Kd9h8h4h3h Ac9s9d3h2s 
9s5c4h2s2d 8s7h4s3c2d KdJh7s3c2s Th8h3c2s2d 
Ts6s5s2s2h Qd7d5s2h2d Ts8c7d3d2h Ac9h5s4d2d 
Jh8h7s3d2c Jc9d4h4d2d Qh8h8d3h2s 9s6d3c2s2h 
As9h7d3d2c Jc8c7s3h2d Kh9s3c2s2c Kh9s3d2s2d 
9s8d4s2h2c Ah7d5s3c2c Jd7s7d2d2c 8h7c6h3h2d 
KsKhKdQc3h Jd5s4c3s2s QhQdQc9c3h Qd8h7d2d2c 
Kh9d4s4d3d Kh8c7s3d3c 6s4h4c3s2d QdTc9s9h9d 
Kc9s8h3d2h Kh9s8c3d2d Qh8c5s3s2d Tc8d7h3h2h 
Td8c4d3h2d 9s5d4s3h2s JsJhJc2h2c 9s6c4d3d2h 
Ts7d5d3d2h Kh7d5s3c2c 9d6h4d3d2c 7s6d3s3h2s 
7h6h3d2s2h Qs5c4h4d2c Jc7c5c3d2s Ac9d6d2h2d 
AdTc4c3c2h Ah7d6s3d2c Th8d3c2s2d 7s6h3c2s2d 
Kc7c5c3c2s Jd7s5s3h2c Ts8h4d3c2c 9d6c4h3s2c 
Jh8h6h3c2s QhJh7s3h2d Kh5c3s3c2d 9s9c4c3h2c 
As7h4h4d2h Kc6h4h3h2s Qh8s5s3c2d Jd6d5d2s2d 
QcJc8c3c2c Jc8s6s3h2d 8c6c3h2s2d Qd7d5d4d2h 
As9d9c3d2h Qs5h4h4c2h Js8c4s3d2s Kd9d4d4c2s 
Qd8d7d5d2d 8s8c7c3c2c TdTc4s3h2h Ah7c6s3d2s 
Th7h7d3h2s Js8s4c3d2h QdTs7c3c2c Kh8c7h3d2h 
Ts7c6d3h2d Ks9s8s3c2s As9d4h4c3c Tc7s5c3c2h 
Kh9d4d3s3c Td7h5s2s2c Qs9h4d4c2c Ts8s8h8c7c 
Qh9h7d4s2h AdTc6h6d6c Qc8d6h3c2c 8h7s6c3h2h 
Qh7c6s3d2h Jd8s8h3h2h Qh5d4d3d2s 9c6c4s3c2d 
Qs9h6h2h2d Jh9c7c4c2c 8d5c3s3h2h Jh9h7c3h2h 
Jc9c4c2s2h Js7d4h2s2c As7h4h2h2c QsQhQc8c4s 
Qh6s5s2s2c 9c5s4s4h2s 9d5d4d3c2s Ad8c6h3s2s 
Jc9h3c2d2c 9c5s5h3h2h 9h8h4h4d3h Qc6h4h3s2d 
Ac6s5d3s2s Th5h4h4d3h KhTc9s9h9d Jd5c4h3d2d 
As7h7d3d2c KhJs7s3s2c AhTd3s3c2c Kd8d4s4h3d 
Jh7c4s4d2h Kh7s7h4h2h Kc8h8d8c7h Kd8h8d8c7c 
KcQd8h3h2s Js9c4c2d2c Th7c4s4d2s Qd7d7c2s2h 
Kh9s6c3d2d Kh9d5d3c2d 6d4h4d3s2d 6s4s3h2s2d 
AcQsQhQd4d Th5h4c3s2d KdJh8c3s2c Qd8c7s4c2h 
Td7d6c3h2d Qs9s4s3s3c Ks6h4s3s2s QsQdQcJh8s 
AcTc5c3c2c Qs8c5c2d2c Ac9s6h4d2h Tc7c4c2h2d 
Jd9s4s3s2h Ts7d7c3d2d Ac9s5d2s2h Qh9h7s3c2h 
Qs8c4d3h3d Kd8h6s3d2d Jc7s7h4s2s Js7h6c4h2h 
KsKhKdTc3h Td7s6c3h2c 7s7c4s3s2s 9h6s4d3s2s 
8d6h3s2s2c QsJh7d3s2s Jc8d5s3s2s Kd9h8c4h2h 
Td4c3s2s2c Qh8h7h4h2s Ts7h4s2d2c Kd6d4d3d2h 
Ts8h4d3d2c Ah7h6h3h2c ThTdTc9s8c Qc9c6c2d2c 
As8c5c3c2h Ad7s4h4c2c Kh8s8d4c2s 8s8c4h3s2s 
AsTh4c3d2c Ts5d4c3s2s 9c6s3h2d2c Jc7c5c3h2s 
Jc6c4s4h2c Ad6h4h2s2c 9c5s5d3h2h Ks9h5c3h2h 
8s6d3s3c2s Tc5s4h3h2d Qd7h3d2s2h Td7d4s4c2d 
9h5h4c2h2d Jh9s4s4d2s Ac6s6d6c4s 9c7c4h3d2s 
AcJd6d3h2d 8d4c3h2h2d Qh8s8c3h2d Qs5d4c3c2c 
Ts8d4d3c2d Qs8h6h2h2d As7h7d3h2c Qc6h4c2d2c 
Kd5c3h3c2s Jc8s8d3h2s Qh5c4d2s2c As8h5h3d2c 
Ah9s6d4s2c 9d8h4d2d2c Td5s5h4h2h Td7h4c2s2h 
KsJh8d3c2d Qh8s4h2d2c Tc7c4d3s2h Jd9d6d2h2d 
As5h3d2h2c 5c4c3h3d2s 8d7h6s3d2d 9d6c4s3c2c 
Th8c7s3d2s QcJc7h3s2c 9d5s4s2h2c Qh6c5c2s2d 
Qh8h6c3d2h 9d5c4h3d2d Qd8c4s4h3c Tc7d4s2s2h 
AcTh3h2s2d Qh8s6h3h2d Ah9c6s3d2d Jd6h6d2s2d 
Qh7d6h3c2s Js5d4h3c2d 7s5c4c3c2c Qh8h5d3s2h 
Qd8c5c3c2s Qs8s4c2s2d Js7s6c2s2d Th7d6d3d2s 
9s8d4c2h2c Qh8h4h4c2d 9h5h4h3c2d Js7c5c3h2d 
Kd7c5s2h2c 7c5d3h3c2c KcJc8h3c2c KsTc4c3c2c 
Th7h7d3h2c 7h7d6s6d6c Tc7h4s2s2d Kc9s5s4s2s 
Kc6s4d2s2h 9d8d3h2d2c Ts3s3h2d2c 7c5h4h3h2h 
Td8h4s3h2c Qh9c3s2h2d Qd5c4c2s2h Qd5d3h2s2c 
Ts8c4h3s2s Qc8h5d3s2s Td6c4s3s2h Kh9c5c4c2c 
8h7h6c3h2h 9c8h4h2h2d Ts6d4h4c2d Js8h6d2d2c 
Qs9c7d3s2s 9c6c3h2s2d Th5c4h3s2h Th6h4c3h2s 
9c7c4s4h2c 9s4c3h2h2c Ah8d7c3s2c Th8h4d3h2c 
9d5d4h3d2c Kh6d4s4c2d 8s7h6c3c2c 9h7h5h4h2h 
Kc9d8s3d2h Js7h7d6c2c As9c7d3d2d Qh8c5s3s2s 
8s8d4h3h2h Qs7s6s6c2s Qs9d4d4c2h Td5h4c2s2d 
Qc7d6c3h2s 5d4h3d2d2c Td8d7d3h2s Qh8s7s4d2s 
8h4c3h3c2c 9c5s4h2d2c Th8c4d3d2d Qh8s7s4c2s 
9c5c4s2h2c Qs8d4d4c3h Kc7c5c3d2c Ts6h4s3d2s 
Th5s5c4s2s KsJh7h2h2c 9h5s4d4c2s 9d6d4s2h2d 
Qd8h6s3d2d Jh9s4d3c2c 9d5d4c3s2d Jh8h6c3s2h 
Jd8h5s3s2s Kh6s4s3d2s Jd9s3c2s2h Kh8s4s4c3d 
QcJc7d3s2c Kd8d7d3s2h Qh9h7h6h2h Qh9h4d3c2h 
Jd5s5h3d2c Qc7c6s2h2c Kd8s8c4s2s Ts6d6c3s2s 
Kh4h3s2h2c Kc5h3s3d2s Jd5c4h3c2c Js6d4h4c2s 
Ts8h4d3h2c 8s6c3d2h2d Kd9c4s4c3c Kd7h5c3c2s 
Js6c4d3s2h KdJd7c3d2d Kd9c6s3s2h JsJdJc7s7h 
5d4h3d3c2d Jh7h4d4c2s Kc8s7h3c2c As8s6s3h2s 
Kc9d8d2h2d Ad7d4d3c2d Kc7h3s3c2d QsQdQcJs8h 
QsQdQc9s4c Jd8d7h3s2c Jd9h4s3c2s 9s5d4s3s2c 
AdTs4c3s2s 6h4s3c2d2c Kh7h4h3s2c 7d6s3h2h2c 
Js8c4h3d2s Tc7s5s2s2d Kc8c7c3d2s 9c5c4c3s2h 
Jd8d6h3s2d Qh7c5s3h2h Kd4d3d2h2c 9c6c4d3c2s 
Kh8c7s2s2d Qc5c3s3c2h AdJsJhJc9s 9c4c3h3c2h 
9s5d4c3s2s Qd9s7d3d2h Ks9c6h3d2d Td5h4d2s2d 
AdJh6h2h2c Ad8h8c3h2h QdTc7s3s2s JcTsThTc4s 
Ks9d7c4c2c Ac8s7s3h2d Kh4h3h2s2c Tc6h4h3d2h 
KcQc7c3c2d Jd5s3d3c2h Js8c4c2h2d Jd9s4s4c2s 
7h3d3c2s2h Kd9c6s3c2h 9h7c4d2s2c Th7h6d3h2s 
Js5c4d2h2c Jh6h6c4h2h Td8h7c3h2s Ts7s6d3s2c 
QhQdQcTs8s KsQs7s3s2d Kh9d9c4c2s Ac7s7h3d2h 
Jd9d3d3c2s KhQd8c3c2s 6s4c3h3d2d Td7d6h3d2c 
Qs7h5c4h2h 8s8c7h3c2c JsJdJc9s8h Th8h3c2h2d 
KhJd8h8d8c 9s7s6s3d2s QhTd7s3s2s KcJs8d3h2h 
7c6c4c2h2c Td5h4h3c2s As7c6c3d2h 8d7h7c3h2h 
Qh8s4c3d2h Qh7s6h2h2c Kh9s8s8h8d 8s8c4h3h2h 
9s4s3h2s2h 7d5h3s3c2h Jc5d4s3h2h 9d5c4c3h2c 
KcTd3s2s2h Qs7s6s4d2s Kh7s4h2h2d 8d7d6h3d2d 
Kc7h3s2s2h 9h8c4h2s2h AcJsJdJc3h 9c6s4d2h2d 
9c7s4h4d2h Qs8h4d3s2c As7h6h3h2d Jd3s3c2h2c 
Jh9c8h8d8c Tc7h7c3c2d Ks9c6c3h2c As8h7c3c2d 
9d5h4s3h2h Tc7c5c3s2h Kh9h6s3h2h Qs8c7h2d2c 
9h5s5c3c2d AdTh6c3s2c Ad9d6d3d2s Ah4h3h2h2c 
Js6c4c3h3c Ad9s7s3c2s Th7h6s3c2h Js9s7c3s2s 
Kc8c4h4d3c 9h7h6h3s2h 7c5s3s3d2s Qc5c3s3d2h 
Ks9c8c4c2h Kh8h4s2h2c QhQdQc9c4d Qs7s5s3h2d 
Kd9d8h3d2d Qd7s7h2d2c 6c4h4d3s2c Tc6c5c2h2c 
Tc7h5h3s2h 6h4d3c2s2d Jc7c4s4h2d 8d5s3h3d2d 
Ac9d6s2h2d Th5c4s2s2d 9s5s3s3h2d JsJc7d3h2h 
Qc7d6s4s2s Jh9s7h3h2h Ac9d6h2s2h Qh7c3h2d2c 
Tc6h4d2s2d TsTdTc7s7h Kh8h4d2s2h Tc8c5c3d2c 
Qh8h4s2h2d Qd7h5c3d2d 8h7c6s3s2s 9s6h3s2s2d 
KhJd7c3s2s KsJd8h3c2h Kh9h6h3h2d Th6d4s4c2c 
KcJc8d3c2c Ad9c4c3h3c Kd9h8d3d2d Js9s4s4h2s 
Kh8s4c3c2s Qs7c4h3c2h 6d5d3h3d2d Ad6d4h3d2d 
QsJc7s3d2s KcJh7h2h2d KsJsJhJd9s KhTs3d2d2c 
9h7d6h3h2h Qs8d6c3s2s QsQhQcTc8c Ks9s8h3s2s 
9s5c4h3c2c 9c7c4d3s2h Th7c5s3d2s KsJh7c3d2d 
KsJc7h3c2c Qd9h7d4s2d Ah9c5s4d2d Ks8d5d4d2d 
9d8s7h3c2c Qh8d7c2s2c Jd7d6c2s2h 9h7h4s4d2c 
Kd9s6s2s2c Qh7s6c3d2h Th8h5h3d2h 9h5c4d3s2s 
KcQc7c2h2d Js6d4h3c2s 8s5h3c2h2d Td6h4h3s2c 
9c4s4h2s2d Ks4s3s2h2c Ks8s4h2s2c Jc5c4s2d2c 
Jh5s4d2s2c Ah8s4s4d2s Jc8c6c2s2c Js8c4s3s2d 
Td8h3c2s2h Tc7s6s2s2d Qh8c3d2d2c As9h7c3c2d 
Qc7h4s4d2c 6c5c3h3c2c 9c6d4d3d2s Tc4s3s3c2c 
Qh8s4s4d3c Jc7s7d4c2c Kh9s7d4d2d Qh5h3h3d2c 
Jc8c7c2d2c Js7h6h4d2h Kc6h6d3d2s Jc6s6d2s2h 
Jc8d4h2s2h Qc9c7c4c2s Jc8d6s2s2h Js7d5c2h2d 
Qs6c4h3c2d Td7c5s3h2h QsQhQd9h4s Ts8d3s2s2c 
Kc9d5d3d2h Ts8d4c3s2s Qh7d5s3c2s 9h5h4s2h2c 
Qd9h8h3h2h Ac9c6c3s2c Tc7s7d3s2h AcTd3d2s2d 
Td8d6d3d2s As8c4h4d2d As7d4h4c2c As7s6s3s2c 
Qh6c4d3h2h Qh8d6c3h2h Jc8s5s3s2d 9d6s4s3h2s 
9s8h3h2d2c Qd6s4d2h2d Ts5d4c2s2h 9h6h4c3h2h 
Jd8c6h3d2d KsKdKc4d3h Qc8h5h2h2d Td5c4c3s2h 
Ad7h4s4h4d Tc7s4d3h2c Kd9h7s4c2c KcTd4d3d2d 
Ks9s6s3s2h Kh8s6c2d2c Qs5h4h3c2h QcJc7h7c2c 
Jc8s8h3c2c Jh5c4d3c2s Qd7c5d3h2d Jh7c5s3s2d 
Qc8c5c2h2c Kh6h4h3h2s 9s6h4d3d2d Tc4s3c2s2c 
Td8s3c2s2h Ad6h4h3s2c 9d8d4h4d2d KdTs4c3c2c 
Js9d4c3d2d Js8h6h2h2c Kh7h5c3h2h Qd8h4s4c3s 
Qh7s5d3h2h Qh5s4s3c2s Js5h5c3s2d 8s6s3h3d2c 
8h8c7s3h2h Ts4s3s3h2h Qh8s4d3h2c AsJhJdJc9d 
9c7s4h2s2d 8c4s3d2d2c Jd8h6s3d2d Jh7d6d4c2d 
9c5h5d3s2c 9c8c7c3s2c 8h5s3s3d2c Ah9c7c3s2c 
AhTc3d2s2d Js9s3h2s2c Jh9s9h9c7s Qh7s5h3h2c 
Kd9s9c4s2h KsKhKd5s4s Qh5s4c3s2s As8h8c3d2c 
Ad9d3d2h2c Tc7c5c3d2h Th7s4c3h2d QcTc7c2d2c 
6h4d3s2s2c Ah7s7c3d2s Tc6d4d3h2s 5s4c3s3d2s 
QsQhQd8s4h Js9h3s2s2c Kc7h4h3h3d AdKs5h5d5c 
Js6h4s2d2c Qh8c6d3h2h Jd7c5c3s2h Ts6d4h3h2c 
Jd5h4d3c2d AcTh3s3d2s Qd7c6s3d2h Qd9d6d2d2c 
Jh9h6h3d2h Qh8s5d3d2c 6s4d3c2h2d 8s3d3c2h2c 
Ac5d3s2h2d Kc9d5s3h2h KsJc7h3d2d Qh7h7d4s2h 
KhJh7s3h2h Qd8s7h4s2s Th4h3s2s2h 7d5h4d3d2d 
Kh8s8d4c3c 8s7c6h3s2s KdQh8c3c2s Tc4d3d3c2c 
KcQd8d3d2s 9d6s4d3d2c Qd9s3d2h2c Ah9h6h3h2d 
Qh8h7d2h2c 9d8c3s3h2c Td8s4s3h2s Ts7h4d4c2c 
9s9d4s3s2c Kh3d3c2s2d 9h8c7s3c2c KdJc8s8d8c 
Jd9s4s2s2c Jd7c6s4c2c Kh9s8s3d2c Js7s5d3c2s 
Jh9d7s3s2s Qh8s8h3d2c Ks6s3h3c2s 6h6d4h4d4c 
8d6d4c3d2d Qd8h5h3h2c Kc9h4h4d3h Ah8c4d4c2c 
9c5h4s3c2c Qs8s4d3h2c Ks9h4c3s2s Kc7s3d2s2d 
Jh9d4c2s2c Tc8h3s2h2d KdQs7d2d2c Ks7d3s3h2c 
Tc8s7d3s2h Qc9s7c4d2c AcTh4d3s2d Tc6h4d3s2s 
Jd8h7d3s2c Kd9h6s3c2s Kc7d5s2s2h Jh8h4s4c2h 
Js5h4d3s2s Js7d6h4d2d 7c6c4c3h2c AcTs3s2h2d 
AsTd6s6h6d 5s4c3h3d2h Ah9c6d2s2c JsJhJd7s6h 
Qd9d4d3d3c 8s6d4d3d2d Js7h6h6c2h TsTc7h7d7c 
Ks9s7s3s2h Jc8d4c3s2h Qh8h4s4d2h Qh5h4h3h2c 
7s6s3d3c2h Ah7s4s4d2s Jc8c4d4c3c Ah6d5s3d2d 
Ac7c6c3c2s Jh7d3d2h2d KhJd7s3c2s KhJc6s2s2d 
8d6d4d3h2d Ah7s3d2s2d 8s6c3h2h2d 9d5d5c3h2d 
8d3s3c2h2d Jd9h4c3s2s AhKh7h3h2h Tc7d5d3d2h 
Qc7c6d4c2c 9s5c3s3d2h Jc6h4c3d2s JsJdJcTc8c 
Qd8c7c3h3c Td6s4s3h2s Kd6s4c2s2h 8c7c4h3c2d 
Qh9h7h4h3h JsTsThTc4c Js7h4d2s2c Ad5c3s3h2h 
Qs8d4h3s2c 8d4h3h3d2h Kc9s6h3s2d Jd8h8c3d2d 
AhTsThTd6c 9c6c3d2s2h KcJh6s3s2s Kd4c3d2s2d 
Kc9s8d4d2d Qd9c7d3d2h 9s4c3d2s2d Th5d4s4c2d 
Ks9d8c3c2h Ks9c7d3c2h TsTdTc7c6d Ac7h3s2s2h 
Th8h7s3h2h Kh6s4s3s2c Jh8h4h3s3h Ks6h4d3h2c 
Kh9h4h3c2d Qh9s9d3d2d 9s4d3d2s2d 8s6s6d3s2s 
Ts7d5h2d2c 9c6s4h2h2d Qc8h5h3d2s AhQsQhQd2h 
Jd9d6c3d2d Tc8d4s3c2c As9c7d3h2d 6c4c3d2s2h 
Qh8h7c2h2d Qc8d8c4c2c Jc7h3c2h2c Tc3s3c2d2c 
8c5s5h3h2h Td8c7s3s2h Qh7d6h2s2c Kc8d6s3c2c 
AsJs6s3s2h QdJs8s8d8c Ts6h6d3h2c 6c4d3s3h2s 
Kd8d5d4d2d Qd5h4h3c2h 4c3d3c2h2c 9c7c3d2s2h 
Td8d7d3c2s Qh8s7d2d2c Td7h5h2h2c Ts9s7s3s2s 
9c8c5c3c2c Ts7c5c2d2c 9d8s4d3h2c Ac9d6h3h2s 
9h6c4s2s2d Qh7d5s4d2d Kd8d4s2h2d KdJc8s3h2h 
Tc8s5s3s2h Jd7c6h4h2h Qh7d5s5d2d KdQh7d2s2d 
8d7d4s3d2c Jh6s4c3d2h Qd6h5h2s2h 9h8h7h3h2c 
Ah7d4d4c2d QhQdQc4c3h 9d5s4c2h2d Jc9s4d3d2h 
KsJd6d2d2c Qs8d5d2d2c Ac6h5d3h2h Qh9h3s3d2c 
Qd6h6d3s2d AsTh4c3h2h KdJd8s3d2d 8h5h3h3d2s 
Ad9h9c3s2c 8d5d4h3d2d Qh6d6c2s2d Kh8c6c2d2c 
Tc6c4c2h2d Ad7c4h4c2c QhTh4h3h2h Qh6h4h3s2c 
Kd7c4c3s3h Td5c4c3s3c QsQdQc8s4d KsQd7d3h2d 
Jh6c4d2s2h Kh8h4h2d2c Jd8s8h3c2c Qs5h3d3c2s 
9s6h4d3c2h Tc7d5s2s2h Ad4d3d2h2d Qd9c6c2h2c 
Kh8s8c4d2d 9h6h4h4c2h AsTc4h3d2d KdJd7s3d2d 
5s4c3h3d2c KdQh8h3s3h Ks8c4s3h2d Tc8c3h2d2c 
KsQd8d3c2d 5s5h5c3h3c Td4h3s2s2h Qs8c7d4h2h 
Qc5h4d3d2s Qh9d7h3s2h As8h5h3h2d Kh7h4s3h2d 
Ac6h4d2s2h Jd6s6d4d2d Ac9s6d3h2h 9s8s4d4c2s 
Ac8c6c3h2c QdJs7d2d2c Jh7h4h3h3c Kh7h4c3h2d 
9c8d4s2s2h Qc9h4c3c2d Jh6d4d3s3d Kd5s4c2h2c 
9c6c4h3c2d Qc8c4s4c2h 7h5h3h2d2c Jd7d5d3s2d 
As6c4c2d2c QsQhQc4c3s Kd7s4s3s3h AcJd6d3d2s 
Qh7s6d4d2d 8h8d8c7d6c QhJc6c3c2c Tc7s5s2s2h 
7h6c3s2s2d Tc7c6d3s2c Qs9s7d4c2s Ad9c5s3h2h 
9s8c4d3c2h Ts7d5h3d2c As8h7c3d2c QhQdQc4h3c 
8h8d8c7h6c Tc7s4d2h2d 8d8c7h3h2h Kd8d7d3s2c 
Ts8s3d3c2h JcThTdTc5h Js9d4d2d2c Ah8d6h3h2h 
Ah6c5d3c2c Qh9h4s3d2h As9d9c4h2h Js9d3h2d2c 
Ks9d3c2d2c AcQsQhQc2c Td7c4s4h2s AcTs3d2h2d 
5s4h3d3c2d Td6c4s3h2c As8c5d3h2d Kd8s6s2h2c 
Jd7s5h3h2c 7c6c3s3h2d Kh9h4h3c2s Td7h7c3h2h 
Ad8s7s3c2h AdTh3h2h2c Qd9h7c4h2s Jd6s6d2h2d 
Ad9s6c4h2h Tc5h5d4s2s 7s6c4c3c2c 7h5s3h2d2c 
Kd9h8c3c2c Ks5s3s2h2c Th5d4h2s2h 5c4s4h3c2c 
Kc9s5d3d2d 8d4h3c2d2c Kh9h4h2s2d Ac6h4h2s2d 
Kc9c8c3d2c KcQd8d3h2d Ts7d6h3s2s 9d5h5d3s2d 
Kd5s5h3h2h Jh7s6s4d2s Qd8h8d3d2s 9s7s7c3s2s 
9d6h4h4c2h Kh9c4c3s3c Qd8h7s2s2c Ks5h5c3d2c 
7c6c3d3c2s 9h8h4h4d2h Jh5d4s3d2c Ts7s4h2s2c 
Jd5h4c3h2s As8d7c3h2h Ah8d7c3s2s 8d6c3h3c2s 
Kd9d4s4d2h Kc9c5s3c2c Ad8h7h3c2s 9h7d4d2s2c 
5h5c4c3c2c Ks7s7h7c6h Tc6s6h3c2c 7s3h3c2d2c 
Qc8s4c3d2h Jd9d3h2s2d Qc8d4h3s2c Jc6s6c4c2c 
Tc6s6h3s2d Ks9d7c2h2c KhJd8c3c2c Qc5d4s3s2h 
KhQc7c3s2c JsJhJdTs7c Qs5h5c3d2h Jc6s6d4s2s 
Ts8s5s3s2h Kh8d8c4s2d 9c6c4d3c2c Kd8c7h2s2h 
KhQh8h2s2d As6c5d3c2c AhTd3c2s2c 8c6s3d2h2d 
KhJd8s8h8d Qd5d3s3h2c Ks8d8c4h2h QhQdQcJs8d 
9c6c4c3d2h Kd8h7s4s2s Kh9d4c3s3d 9c7d4h4c2c 
Ad7s3c2s2c Ts8h5h3h2c Jh8h7h3c2s Kh8c7s3s3d 
Qs5s4s4c2s Qh8d5c3s2s AcJs7d3s2s Ks9h7c4c2c 
7s6s3d2s2h As7h4s3s2s AsJsJhJd2c Kh7h4h2d2c 
Qs9s7s4s2c 9h5c4d3c2c Ks8c7h3s2s KdTc7h7d7c 
Th8s8h8d7d Td6c4s2h2c Ks9s4d3c2s Kd9s7c4h2h 
Th6h6c3h2s Qc9d4s4c2c Js8s4s3s3h 7c6s3h3d2c 
Ts5c4h2d2c 9d8d7h3d2d Qd6s6h4h2h KhTsTdTc9c 
8h8d4c3d2d Ks8h7d3s2s Kc8s5d3d2h Qd8c7h3c2h 
Ts5d4h2h2c Jd7h6c4c2c Jh9h6h3c2h KhJc8d3s2s 
Kd9s9h4s2s Qh4s3d3c2h AcTd3s2s2h KsQs9s4s2s 
KcJh6h3h2s Qd8h4d3s2c 7s6s3s3c2h KsKhKdJc7c 
KcJd7s3s2h QhTsThTc9h Qh7h6d4h2h Qd9s7c3h2s 
Jh9c4c3s2c Kd9h8h3c2s Qh6s6c2d2c 8c7d4h3d2s 
AhJc3h3d3c Jh7h6d4h2h Qs9h5h3h2h Qc9d6d2h2d 
Qs9d8c3d2d 8s8d4h3s2s TsThTc7s7d 9c7c4s4d2h 
