8h5c3c2h2c 
KcJc9c4c2c As8h6c3d3c QcJs8h2h2d Th5s3d2h2d 
Ah9d5h4h2h Js8c6h2s2d Qc9s4s3h2h AdJc3s2h2c 
Qh8h7h3d2d Ks8h7c4d3c 9c7h5d4d2d Qc9s4s3d2d 
Jh7s6s3d3c Qd8s8h7s3s Kh9s9h3h2d Kd6h4s3h3c 
Qc9h8h2s2d Qc8s7c4c3h TsTh7c3s2d 9c8s4s3s3d 
Ac9c6c4c2h Qs6d6c4c3c Kh5h3s3h2c Jh8s3s3c2c 
Th6c4h4d2s 8s7h4s4d2c Kc7c5h3s2c Jc8s7d4d2d 
Ts7d5s5h2c AcJs6s6h2s QsJh8c3c2d Qd7d5d4h2s 
Qh7s4h3s2h KcTc6c3c2h Qc9d8s4h3h Qh5h3d2h2d 
KhQs8s8d3s AdJs5h3h2h Ad8s8h4h2h 9h7c5h3d2h 
Jh7h4c3c2c 9c8s7s3d2h QhTh5h2h2d Kd8d5d4d2s 
Kh7h5s3h2c Ac5h4s4h3h Js9s9c4s2s 9d7h7c3c2s 
AsJh4s3s2s Qc7d4c3d2d As6c4c3h3d Jd7s5d4c2d 
KcTd5s3h2h Qh9h5d3c2h 9s9d3c2s2h Td6s3s3d2s 
Td7c5s4h2h Ts9c7h3h2h 7s7d6d3h2d Kc8s8h6d2d 
9s8h7c4h2h Jc5c4h3d2s JhJd6s3d2d Jd7c6d3c2c 
Js9s5s3d2s 7d7c4c3h2s 6h6d4c3c2c 8s7c4s2s2d 
Kc7s7d6s2s Ts6h5c3s2d Qc7d5h5d3d Qc7d4h3s3c 
Qc9s6c3h2c AdTd6d5d2d Ks7c5c4h2d 7d4h4d3s2s 
Ah5c4s3d2c 8d7d4s4d2c Ks5d5c4h2h Qc9d7h4s2c 
JhJd4h3h2h Kd6d6c3d2s Qh8d7s4s3c Ac7s7d4d2d 
8s6h4s3d2c 5s5c3s2s2h Js6s6d4h2c Jd7h6s4c2d 
Jd7c6h5s2h Qc9d4c3h3c Ad9h7h2s2c KcJs9s3s2s 
Th7h6d2s2h JdTc7d3d2d 7d6d4h4d2s 9d7s6c3s2s 
9s7d4d3h3c As9h4d2h2d Kd9s9d3d2c Ks8d7c4h3c 
Jd9s4h3h3c Qd7s7h4c3s Tc9s5h3h2h Tc4h4c3h2s 
Qs8h5d5c2d Ac7h6s4d2h Jh9d6c4s2d Ks6c5s3s2s 
7h5h4d3s2h Qd8h3d3c2h Qc8d5s3h3d Ks5h4d3d2c 
Kc5d4s3s2h QhJh8h7h2h Th7c5s4d2c QdTc6c2s2h 
JdJc6d3d2s Kc9c8s4c2h As8c6c4d2c 9c6d4h4d3d 
Qc8h5h5d3h Qd8s7s7h3s Js7h6d5c2d Ks9c5h4c2d 
Qh9c6s4c2d Qh8c5s5d2s Qd6c4h4d3d Ac6h3d3c2c 
9s8d4c3h3d Td7h5h5c2s Tc7s3d2d2c Ks4d4c3s2h 
Ts5c3s2h2c Qc9d7h7d2s QcTs7d4d2d Kd6s4h4c3s 
KsKhKc7d6c 8s5d4c3d2h Kd9c7d4d2s Jc6s6c4h2d 
AcJd7d3h2s KsJc6h3d2c Jc8d5c3c2s Td6h4c3s3h 
Kc8d7h4d3s Js8h7c4d2h AhKc8d3d2s Qc9s9h4d2s 
Jh8d4s4h2c KcQs9s3s2d AhQc3s2s2d Kh9h5d2h2c 
KhTd6c3s2c Ks9d4s3s3h Qc9c7c5c2h Js7s5h2d2c 
9c8s5s3h2s 9d6h6c3d2s Th9h5c2h2d AdTc5c2s2h 
7s6h5s3s2s Tc6s4d3s3h Kh9s8s5s2s Ac6h3d2h2d 
Ks9h7c4s2s Qh9h8c3h2s As8d6h3h3c Jd8c7s4h2c 
Ks9d7s4s2h Qc9d4s2h2c KcQd7h4h2s 8h7h4d2h2c 
8s5s5c4s3s Kc6c5c3s2c KhQs6s2s2c Tc7s5d4h2h 
9s9d6d3d2d Qh8c7s4s3d Tc7s5d4h2s 9h8s4s3d3c 
8c7c4c3h3c Jh9d4h4c2s KcQc9h3c2c Th7h3d2d2c 
6s6h3h2h2d Ks9s3s3h2h TsTd6h3d2d 7c5d4s3c2h 
Ks8c7d4c3h Ks9s4d3h2c Ks8s8h3s3d 9d7h7c4s2h 
Jc8d6h2s2c Js9s6s4d2h 7c4s4c3s2d Ks9d6h3s2s 
QdTc3s3d2d Tc7c6d2s2h Kc7h7d4d3d Qd9c8c4h4c 
Ks6d6c4h2d Js8c3h3c2h Qh9d6s3h2h Qc9s7h4s3s 
7d6s4d3c2h Jd6h4s4c3c Ah6s6c4d2d JsTs7s3s2h 
Qd8s7d3h3c AsJc5d3d2d Ks8c5d4h2h Kc7h6h4h2s 
Qh8s4h4c2d Kh9d5s3s3c 9s7s6s2d2c KhJs4s2s2c 
7h5h4h3d2c Qs9d7h4s2c 7h6h6c3s2h KcJs7h7d2h 
Jc8c7s3d3c Kd9d8d3s2h As8c6d3h3c Jc8d6s2h2c 
Js8h7s2s2c Jd8c3s3d2c Ac9h8s4d2s Ac6h3h3d2d 
Qd9c5c4h2c Th6s5s5c2s QcJs7d4s2s KhQh6h2s2c 
Td9h7c3s2s Tc7c3h2h2d 9d8c5d4d2d Qd9d6h3d2c 
9h8s8h4h2h Ad8d4c3d2h Kc9c6c4s2c QdTd5d2d2c 
Kh7s7c4d3d Jc9c7c6d2c 8d7s5c3c2h Qc9c8d3c2s 
Qd9c4h2s2d Qh8h3d2d2c 7h5d4s3d2c TdTc6h3s2s 
Tc9h3d3c2s Ts7d5h4c2d Ts9c3s3d2h AsTh7d3d2c 
Kh6s3h3d2c Js5c4h4c3d AsJc7c2d2c 9h7c6c3s2d 
Qd8h4s4d3c Js7h6d2h2d 9s8d6h3s2s KcQs8s8h3s 
AdQc6s6h2s Ad7s4h3s2h Ac8s5s4s3s 7s7c6c3h2c 
8c5s4s3d2h 9c7d6d3h2s Qc9d6h4d2s AcKh7h3h2h 
Qs9c6c4c2h Ah9c5s5c2d QdJc7c6c2c Jc7h5s5h2d 
Ah6d3h2s2h 5s5c4d3s2h 6d5c3s3c2h QsJh7h4c2h 
Kh8h5h2s2c Qc9h6c2d2c Ts9c5h3h2h 6s6h3s2s2c 
8s8h3h3c2d KcQs6h3h2d Kd9s6d3d2c KsTh8h3h3c 
9c7h4h3h3d Jc8h7h4h3h 8c7s4d4c2h 9h7h6h4h2c 
QhJh7h6c2h Ks9s7d4s2c Qs8h7d7c2c Kc9d7h3s3d 
Jd8c5c2s2c Qs9c6d4c2h AcJh5d3d2d AdJs9s3s2s 
Kh7s4c2s2c Qs6d4c3h3c Kc9h6s6d2s 9s8s7c3h2d 
Qc9c7s4c3c Ks7h7d6c2h Th8s5d3h2c Tc9c4c2s2d 
9c6h6d3d2s Ts8c5c2h2d Js8d7s3s3c TsTd5s3s2s 
Kc8c5s2h2c Kd8h5c4s2c KsKdKc5h4c Tc9c5c3s2c 
Qd7h6d4d2s Td9c4c3h2s 9s7d6d3h2c Ts9h4h3c2d 
Ts6d3s3c2d Jh8d7h4s2h QdTd5d2s2d 7c6h4s4d2s 
9c7h6d3s2c Jc7h7c6s2c Tc9s7d3s2h Th9h7h5h2h 
Qd5s4c3h3c 7c6h4h2h2d Tc8h4h3s3h Tc5h3c2s2h 
AcTd5s3d2h QdJc7c4h2c 9h8d7c4c2c Qd8d5s5d3d 
JsJhJdTd6h Jc7c6s3s2s Ah7s5s4c2s Jh7s4h2s2h 
Td9c7s3c2h Kh6c5c3c2s Kh9d7h4h2c Jc8h5c3c2d 
QsJd8d3h2d Js7d4d3d2s Kh7h5d3h2s 9c7s7h4c2d 
Ac9h4s2s2h QhTc3c2d2c Td7c6s6h2c Ks8h7d7c3h 
AdQs7s2s2c AcTs7d3d2h Kh8h6c2s2h Kh5c3h2s2d 
Ah8s6c3d3c 7d5d5c4d2d Qh9s6s4s2d JcTc7c2s2c 
7h6d4c3d2s Ks7s5h3s2d KdQs6c3c2h Qc7d4s3h3c 
KcQs9s4s2s JhJdJcTh5d 9c7s4s3h3d Td9s4c2h2c 
Jc8h4c3d3c Qc9h7h7d2s Qc8c6s4c3c Kd9c8d2s2d 
Js5s5c4s2h Kd6s4d3c2d KhTd7c3d2s Jd5s5d4d2h 
8h5c4c3d2s Qc7s6s5s2h Kc7s7h6s2s Jh7s5s4c2s 
Js8s7s4d3s 9c8h6h3h2s Kh6s6h3d2h Ks7c4h4d2s 
Qh9d9c4s2d Jh8s5d2d2c QcTc5c2h2c AsJh3d2h2c 
Jd5h5c4s2d 9c5d4h4d3s Js6d6c5s2s Qh8c6s3d3c 
9h8c4s4c3d AcQd4s3s2s 9d8h4s3h3c 9h7c5h4h2h 
KhJs8h3h2d 9h4h4d3s2d 5s5h4d3c2h Qs8s7s6c2s 
KsTh8h2d2c 9d9c3c2s2h Th6s5d3h2c Js5s5c4s2d 
Tc8c4d2s2h Ts8s5d3c2h Qd7h5s5h3h Kh4d3c2s2h 
Ks8h5s4s3s Ah7d6s4c2c Jh8d4h3s3h Th7s6c2h2d 
Qs7c4h3s3d Kd9s6h6c2h Th9c7h4h2h 7h6h5h5c2h 
Jh5s4h3d2c QcJs6h3s2s Kd9s9h4s3c Kh6h6c3d2h 
AhTs6s3d2c Ah5d4s4c2d QhTs7s3c2d QdJh7s3c2d 
Jh8s7c4h2h Jc6s5s5h2d Qh7d6d3s3c Ah9h7c4h2h 
Tc9c7s3c2c Qs8s7c6s2s Qs9c8h4d3d 7d6s4d3d2h 
9c4h4c3d2h Qh7h5d4c2h 7d6h4d3s2c QsJd4h3h2h 
Qs6h5d3s2s Jh5s3h2s2d JsJd8d3d2d Ad9c7c6c2c 
AcKs9h3d2d Jc8h7c4c3c AhKd7d3d2d Js9h6h3d2c 
9d6h5h4h2h Qh8d6s3d3c Ac8c7c6c2c Qh9d7s5s2s 
Ts8h6c3d2s Ks9s9h3s2c Td8d5d3h2c Qs8d3c2s2d 
Js7s6s3h2h As6s5c3s2s Kc7c5s2h2c Td5d4s4h3c 
Js8c6d6c2c Kd8h5d4d3d Kh7c5h2s2h Qd9d7d5s2d 
Qd9d5s4d2d Kh5d5c4d2d 7d4d4c3c2h 8s8c3h3c2d 
5s5h4c3d2s AdTs5h2h2c 9d8c7c3s2h Jh6s5s5c2d 
QhJd7d4c2d Ks7h7c4h3h Kc8d3d3c2c Kd9h5s4s3s 
9d7s7c4d2h Td9d5c2h2d KsJc6d3c2h Qd4h4d2d2c 
Qd9c5c4s2c KcTd6h3s2h QhTc6c2s2d Qd9h8h4h4c 
Kh7h5c3d2h Jc7s6h5d2d 7h4h3d3c2d Qh7h6h4s2c 
KdTh6s3s2s Jd9s8h3h2h Kc9d4h2s2c As5d4h4d3d 
8c5h4s3h2d 9s7d6c2h2c Ad5s5c4h2h 9h6c5h3h2h 
Jd8c6c4c2h 9c8d4d3c2c As9h6h3h3d Qc7s6h3h2s 
Js8s4s4c3h Jh6s6c4d3d Tc9h7c4c2c Qs9s7d4c2h 
AsJh7d3c2h Qc8s5h3s3d 9h9c8s3s2s Qd7h6s3s3c 
KsKdKc8s3c Td9c7h3c2s Qh5h5c4s2h Qs8h4d2h2d 
Qs8s7s3c2c Jh8s6d2h2c Jd8c6c4c3c Kh9h6h3h3c 
Jh9h6h4s2d Ks8s7d3c2h Qc6h5s3c2c 9h8d6s3c2d 
Qc9h3h3d2d KdTs8h3h3c Qh8d5d3s3c 8h6c4d3d2s 
Tc9d3h3c2s 7d6s6d3h2c Ts8s7s4s2c KcJs8h3s3d 
9h7d5c3d2s Ac8d6d4d2h 9s8d4h3h3c 7d4h4c3c2h 
Qh9s7d7c2s QsTc6d3h2h Ts9c4d3h2c Qc9h6d3c2c 
Qh8d4h4c3s Ts7c4c3h3d 7h6c4s4d2d Qc6s4h4d3d 
Js5h5d4c3c Kd8d6h2s2d Qc9d7d4s4d Qd7s5s5c3s 
Tc7c5c4d2c AdQc7h4h2h Kc9h4s2d2c Jh6d3s3h2s 
Jc6s3d3c2s Qh6h4s3h3d 9s9c3d2h2c Kc9c6c3d2s 
Qh6c3h3c2h Kh9c5h2s2h AcTd4s4h2d Th9s4c3d2s 
Kc8c5c2s2d Kh7d5s4c2c Qs8c4h4d3s KdJh8s3h3c 
Qs6s4c3s3d Kc7s7h5d2d 7d7c6h3d2d Ks7d7c4d3d 
Jd8c4h3c2h Kh8d7d3c2c Qh5s5c4d2d Jc8h6h4h3h 
Qd8h6d2d2c KsTd7d3c2h 9h8h7h4h3s Qd7c4d3s3h 
Qc6h4d4c3c Qd8s5c3d2h Ks5s3s3d2c Qh7c6c4c3c 
Qh8s3h2s2c Kh7d5s4c2s As7d5h2d2c 8h6h4s3d2c 
Qc7s7d3c2s Qc8c7c6d2c 9h6s4s4d3s Qh7d5c3s3d 
Qc9d6c3c2h AcJd8s3h2h AcJh7s3d2h Ts7h6c4c2c 
Td7h7c4s2c KsJd9d3d2d As6c3h2h2c Qc9s8c3c2h 
9s7c6h4h2h KsKhKd7c6h Jh8d3h3d2h Qc9d7h4c2s 
Kc9h5c2d2c As8h6h4h2d AcTh5d2s2d Kd9h6c4s2h 
9h7c6h4d2h Kc6s4c3h2c QhTh4h2s2h Js9s7d6s2s 
Th6s6d4c2d Tc6s6d2s2h QdTh7d4d2d As5d4h4c2c 
Qh8h7s3d3c 9c7d6h3d2d Qc7h6h4h3h Qh7h7d6c2h 
Kd9c8d2h2d Jd8h3s3h2s Ad9s6h4c3h Js8s7s4c3s 
9c7s7d4h2d 8c7d3c2d2c Td6h3d3c2h Td8h6h3s2h 
Kc9d5s3s3h Jd8d7c2h2d Qc9h7h4s4h Jc8s5h3c2d 
As6c3d2d2c Qh9s9c3d2h Qs8s6h3s3d 9d8s7h4s2s 
JsJc4d3d2d Jd7c6s3s3h Kc6h5h3s2h 9c6h4s4h3h 
AsQd8h3c2h 8h4h4c2h2d Jd6s5h2d2c KdQs3h3c2c 
Tc9d5d3h2d 8h8c7d3h2s Kc6h6d4s2d Jc8c6c4c3d 
Qc4s4c2h2c 7d5h4s4h2h QcJh6h3s2h KsTd8d3d2c 
Qs8s5c2s2h Jc6h5s2d2c As7d4h4d3d Ah9d6s6c2s 
Ts7s4s4h3s Qh5d5c4s2s KsKhKd7h6c 9s7h6c3h2h 
KhKdKcQd6s Kd8d3s3d2s Ad8s4c3d2d KsJs7s3c2d 
Qd9s7h4s3s 8d7h4c2s2c KdTs5h3s2s Ad5h4s4c2h 
TsTc7h3s2d KsQc9d2h2d Jd6d4s4c3h Ac6d3h3d2h 
Qs9c8h4c3c 8c5h4c3c2d 7s5c4d4c2c QdTd6d3h2d 
AcTsThTc2s AsJs7s3s2d Qd7c6h3s3h AdJs7s2s2h 
Js9d4s4h2c AdJc3s3c2c Js6h4c3s3d Jc8d6s3h3d 
Ac9c5d4c2c Ks9h9d4d3c Qd8c5h5c3c Ks8s8h4c2s 
7c6c4h3s2d 7d5s5d3c2h Kd8d6d4d2c AcTc4c3c2d 
Kh9s5d3d3c KhKdKc7d2c Qs9d9c3h2s 9d8c4c3s3h 
Qc9d4h3s3d 9d7s6h3s2s 9h8d6d3d2c Kh7s7c4c3c 
Qd8h7c3s3d JsTs3s3c2s Qs6d5c3s2s Qd9d8d2h2c 
Qd8h8d4d2s QsTh7d3s2s Qc6s4s4d3h Qc6h4s3s3d 
As5h4h4d3h 7c6d4s4h2h AsJh5s5h5d AhTsThTc2s 
Qs8s7d7c3s 6h6c4s3d2d Ks8c5d5c3c Tc5s5h2h2d 
Kd9h9d3d2c 7d5c4s3d2d KsQh3d3c2c AcJh3h3d2h 
QhJc7c3s3c 7d5s4h4d2d KhTc5s3c2c Qs7c5d5c3c 
7s6s4h3d2c 8s5h4s4c2s JsTh6d3c2c Ts7h7c4d2h 
9s7h7d3h2c KcQc7c4h2c Qd7h6s6d2d Qc9s6h4s2d 
QsTc7h3d2c Qd8c7s7h2h JhJc8c3c2c Ac7s4s4d3s 
Kd8d5d2s2c Qh9d8c3s3c QcTd3h3c2c QsJsJhJdTs 
AcTd6c3c2c Th7d5s4c2c Ks9h5s2s2c Jc5c4s3d2h 
Qs8c5c4c2c Js7s7c6d2s Qd6d5c2h2d QcJc5c3c2c 
8c7s3d2d2c Jc7s6c4h2d Td7s7h2h2c Ad9s7h2s2c 
Kh9c7d3s3d Qh9c6s3h2h Kh9h8h5h2h Ts5s4s4c3d 
Ks9c7d3h3c KhQc8h2s2d KhJs6c3d2s Th9d3s3h2c 
Js7s4s4d3h As9s4h4d2s 7s6d6c3h2d Ks5h5d4c2c 
Kd8h8c6s2s Qc9s7h3h3d Td4s4c3d2c 7d7c4d3s2h 
KhTc7c3d2s Th5d3h2s2d Jc8h6d4s2s AdKh8c3s2c 
Jh8d7c3s3c Tc8c7c4c2d Ks6d4s3c2s 9s7s4d3d2s 
QcJs7h3d2c Tc9c5h5c2c Jd8c4h4d2s Kc7h7d5s2s 
Js7d6s4c2h 9s8d4s3h3c AsJd4d2h2d Jc7h5c4d2c 
KhJh7c3d2h 8s8c7h3s2d Td7d6c2h2d KcTc4c3s2c 
QsTh3h2h2d 5h5c4s3c2d 8c7h3h3d2c 9c7c6s3c2d 
Jc9h5d2s2h 9s7s7h4c2s QdTd4d2s2d 9d7d3h3d2h 
Qh9d4d3s2s QhJhJdJc7c AcQsQhQd3c Kh5s4s4d3s 
Ac7s7d6h2h Ks9d4s3s3c Js8c7d4h2c Kc7c4c3s3d 
Jc5d4c3s2h KdQs9h4h2h 6s6d3d2d2c Kd8d6s4d2d 
Qd7d5s4d2h 6d6c4c3c2h Ad9s6h4h3h Kd9d6d6c2d 
Jc7d5c4h2c QdJc4s3s2s Qh9h7h5c2h Kc7s7h4d3d 
7d5c4c3c2s 8s8h6c3c2d 7d4s3s3d2h Qh9h7h5h2d 
KhQc7d3h2h 6s6h3d3c2h KsTd6h3h2h Kc6h6d4h2s 
AcKh8s3d2s KhQd7s3h2h Kd8h7s4c3c Qh7c5s5h2h 
Jc9h4d4c2s 9c8d4d3h3d Ad6s4s3s3c KdTh6s3h2h 
Kh9h7h3h3d Ad6h6c4s2h Qd8s5h5c2c Js8h8c4d2d 
Kh6d4s3d3c KsQh7d3s2s KsQd3h3c2h Ah9d7c2s2d 
8s5h3h2s2h 8h5h5c4h3h Qs9h3h3c2c QcJc7c4c3c 
AcQd6s3d2d 7c5d4c3h2c 9c8s6d3h2h Ad9h6h3s3h 
AdJh5s3s2s Th6h5h4h3h Td8s4d4c2d KsKhKd9d8d 
Jh7d7c5s2d Jc5s5h4d3h KdJd7c3h2d 7s7d3h3d2c 
QsJsTsThTc Kd7s7c6c2c Th9h6h3h2d Th5h5c4d3h 
Qc7h6s3h2s Th6d6c4s2c KcJh9h3h2h Qs9h8d4c3c 
9c7h7d4d2d Kh8h7c3s2d 8h5d4d3s2c 9s8h5s4s2s 
Ad6s4s3s3h Ts7c6d4d2d Jh9d4c3s3c 9d7c5d3h2d 
AdJc5s3s2s Th9d3c2s2h Kh8h8d4h2s Jc5c4d3s3c 
Jd9d7h7d2d KsKhKd8h3s Js7s6s5s2h Jc9c7d4c2s 
9c8h8d4c2c Jh8d3d2h2c Kh9s4h3h3d As8d6d4c2d 
7s5d4d3d2c KdTh8s3s2c KdQd7d4d2s Jd7d5h5d2s 
Qs7s7c6d2s Kd5h4h4c3h Kd5c4s4c3c Ah9s6d4d3d 
ThTc6s3c2c Th6s6d5c2c Qs6h4d3d3c 9d7h5s3c2s 
Tc5s5h2d2c Jh7s7d4h2c Qd8c4s4d2h Js9s4c2h2d 
Ks6d5d3d2c Jh8d7s4c2d Jd6c5s5h2h Js9d9c3s2s 
8h5h4c3s2d KdQh3s3c2s Td9h5d4d2d Jh6h5s2d2c 
Qd9h6c3d2d Ac8c4d3c2s KcTc4c3d2c Qd8s7s6s2h 
Td5s5d4c3d Qs6c5d3s2s Js4c3c2s2d Jh7h6c4s2d 
QsQhQcTs9s Ts9s3d2h2c Td6d5s4d2d Jd8h4s4d2c 
Th5h4h4d3c Kc5h5c3d2c 9d9c7c3s2c Kd8d8c3h3d 
Kh9d7s4h2h Td7d5s4d2h AcJh8d3s2d Kc8h5s5h2d 
Kd9h6d3d2c Kh8d8c4h3h Ah9c4d2d2c Kd8s5s4h2s 
Jh9h7s7h2h Qc7s7h4s3d Jc8s7d4c2c AhQc7d4d2d 
Tc9h4c3d2c AsTd5h2h2c Td8d5d2s2h Qd6c4s4h3s 
Ts8h7h4h2h Jd7s6c4h2d Kd9s7c3h3c 5s5h4d3h2c 
As7h6c4d2h Js6d5h5d2c Tc9h7d3h2s 9c7s6d3c2h 
Th7s5s4s2c AdJh7h2s2h QhJc8c3s2c Qh9h5h4h2c 
Kc8h5s4h2h QcJs7d4d2h Ks7d5h4h2c Qs9d7s3h2c 
KsJh6d3h2c Td8h5c3s2h AcKd9h3s2s Kd7d5s3c2d 
Ac6s3c2d2c Qh7c6d3c2d Js5h3h2s2h Td7s7h4d2c 
Jd9d7d6s2d KsKhKdQs7c 8h6c3c2h2c Tc9c5h2d2c 
Qd7s7d6h2d 7d6d5d4d2d Ad6s3d2h2d Jh9h7s2d2c 
Qs8s7s4d2c 7c4s4c3s2s Qd8d3c2s2c Qc9c5c2h2d 
AhQc6d3c2c Js9s6h2d2c Ad9c6h4h3h 7c6d3c2d2c 
Jc7c4c3d2d 8d5s4s2s2c Th9s4s3c2d Qc9h9d7s2s 
KcJh3s3d2h Js7d6h5h2h Ac6h6d4d2d KhJh4h4d2h 
AcQs6h6d2h Jd9s7h4h2c 7c5s4h4d2c Th7s6d4d2d 
9d5h4d4c3s Jh6h4s4c3d 9h5d4s4c3h 9h8d6s3h2h 
Ks7h5s3s2d Qh9s9c4h2h 9d6s4s4c2h Ah8c6d3s3c 
KhTd4d4c2d 8c7c6s3h2d JdJc6d3d2h 9h8d7s4s2s 
Kd7d5h3d2s QsQh8c3c2c Ks8h8d4s3s 7c6c4d3h2s 
8s4s4h3d2h 7c6h4c2d2c KdQd7d6d2d 7h5d5c3c2s 
Qh9c7c4s4c AdTs5c2h2c 9h8s7s3d2c AhJc3s2d2c 
Ks5c4h3h2d Qs6h6d4d3d Th9h5h3c2h QdTsThTd6h 
9s8h5d3s2s Kc7c5d3h2c Qd5d4c3d2s Td6c5h5c2c 
Td9d3s2h2c KcJh7h7d2h KsJh4d3d2c Js9s8s2s2h 
KsKhKd7s2d Ac9c3d3c2s Jh9s6c4s2d QhTsThTd6s 
Jh7s6d2s2d 9s9h9d6h6d KcTc6c3c2d Jh7h6d4c2s 
9h7d6c3d2d Ts8c6h3s2d KsQd6d2d2c 7d6d4s3c2h 
Tc7s3d2s2c Qh9d8h3h2c Qc6d5c3c2s KcTh7d3h2s 
9s9d7d3d2h Qs9h6h4h2c KhJh7s3d2h Kh9s4c2h2d 
Kh9s4h3h3c 9c8h6h3s2h Qc7h6d3s3d AsJh3d3c2h 
7d6s6c3s2h JhJd7h3c2h 8d7h4s4d2c 8s7h5s3c2d 
Td5d5c4h3d 9h8s5s3s2d Qs7c6h3h2c Qs9h8c4d3d 
Qh9c5d4c2c Td8s5d2h2d Ks8s8d5s2s Kc9c6d3h2c 
9d7d3c2d2c Tc8s6d3c2h Kd5d4d3d3c Qs8d7d4c3h 
As7h6d4c2h Qc9c5c4c2h 8c5d4s4h2c QdTd6c3d2d 
Ts9h7d3c2c Kh9s4s3d2d Th7s3s2h2d Ah7c6c4d2s 
Kd7s5s4s2c Kh6d6c4c2s Tc9c6c2h2c 9d7h5h3h2c 
7s6c4s3s2d Ts7d7c5c2c Ac8h7d4d2d AcQc7c2s2c 
Jc7s6c3s2c Ks5h4c3h2d KcQh8s4s3s KdTh4h4c2h 
Qd6d5c2s2d Qc9s7h5h2h Qh8h4d4c3s Qc9h7s4s3s 
AhJc6s4d2s KcQd8c2s2h KsKhKc8h3c Tc9c5d2h2c 
Qc5h5c3d2s Js8h7d4d2d Kh5h4h3d2h Ks9d8s4s3s 
AsJd5c3c2h Ac6d5c3c2c AhJd7d2s2d Kd7c3c2d2c 
Jh8d3s3h2d AsKh8c3d2c KhTs6d3c2d Jc8c5c2s2d 
7h4d3d3c2h 8c7d3d2d2c Ac9c5c4c2s 9s7h7c4d2c 
Kc8c7d4c3c Js6c3h3c2s 9s8s7s4s3h Kd6s5c3s2h 
Js8s7s7c3s Kh7d6s4c2d 9d8c6h3d2d Ad7s5s5h5d 
AdTh4s4h2h KcQh8s8d3d KdQd6d2s2h Jc8h7h4h2d 
Qs8d4s4h3c KsKdKc6h5c Jc7d6d3c2c AsKd7c3h2h 
Ks7h4d4c2s 7s5s4s4h3s Qh9s8h3h2d Kd9c5s4c2h 
9d4s4d3h2s Jd6h3h3d2s Kh9h6d3s2h KsTh6d3d2d 
8h6h4d3s2c Td6c4s4d3d KdQd7c2s2h Qd7d6d6c2s 
Ts5s5c4h3s Th7s4s3s3d Ah9s8d4d2d Qd9s7s7h2c 
Kd5d4d3h2d JsJd7h4h2h Ad5h4s4h3h KsTh7c3h2d 
Qs6d5h3s2s Qc8h5h4h2h 9s9d5c3c2c Qs8d5h5d2d 
Ts6d5h5c2c 9s7c5s3h2s 9d6s6d4d2c Jh6c3h3c2d 
AsQd3c2h2c KdTc6h3h2s Qd8d7d4h2c Kd8d3d3c2c 
Ts7s7h4s2c Jc4h3h2s2c 8h4h4c3c2s Th7d3d3c2h 
Jh6h4c3s3d 7c6c4d3s2h Ts9c4s3h2s Td7c5h4s2s 
KsJc7h7d2d Jh8c7c4c2d 9c8d5h3d2d 7d4c3h3c2h 
Kc6c4c3s2h 8s7c4c3c2s Jh9h6c4d2h Qh5s4s4d3c 
Qs6s5c3s2d Js8h8d4c2c 9s8h6d3c2h Ah5s4s4d3s 
AhJc4c2s2c Kh9h4s4d3h JsJh6h3d2h Kd8c5s4c2c 
AdTh5c3h2s QhJd7c3s2h Qs6h4d4c3c JsJh8d3c2c 
Td9c7s3d2d Jd6h5d2s2c Qh9d8c4s2d Kh8c5h4h3h 
Qc5h4h4d3s 9h6s6d3d2c Jc7c4s2s2c 9c8c7c4c3h 
KhTd5s3c2s Th9d7s3d2d Qd7s7d6c2d Ac7s5d2s2h 
Qs8s7c4s3h 6h6d3h2s2h Ah9h7h4s2h Qs7s6s6d2h 
9s6d4h4d3d AdTh5h2s2c Qd6c4s3h2d Th6d6c4s2d 
Ad5s4h3c2s Tc8d4h4c2c Th6s5c3h2d Ad9d7h4d2d 
Ah8h4s3h2c Kc7h5c2s2c Th7c5c4c2d Qh7s5h5c2h 
Jd8d4h4d3s Ts8d5s2s2c Js9d6h4s2s AhQh6h3s2h 
Kd8h7s4h3c Kc7s7d4h3h AhKd7s3c2c 9c7d5s3s2s 
Kd8d6d4s2d KcQc8h8c3c 8d7h3s3h2d Js8h4s3s3c 
Th8d6d3c2d Qh9s8s2d2c AsQh7d3c2h Kc6c4s3d2c 
KdJd6s2h2d KhTh7h2s2c Jh8h7h6h2c Kd9h4s4d3d 
AsKd9h3c2c Kc9h7s4c2c Td7c3s2d2c 9h7h6h2s2h 
Qc8h7s7d2h Jd5d4s4c3d Tc5h4d3s3c AsQd7c4c2c 
Jd8s3s2s2d Jc7c6h3h2h Td4s4h3d2s QcTd6s3h2h 
JsJdJcTs6c Jd8c7h4h2h Kc9c4d3s2h 7s6s4h4c2s 
Kd7s5d3d2h Ac9c6c4c2s 7s7d6c3d2d 5s5d3c2h2c 
Td5c4s3h3d Ks4h4d3s2c Ts6s6h4s2c Jc9h5d2s2d 
Kh8d7c4d3s Ah9c4s2s2c Qs6s6c4d2s Jc9s4d4c2h 
9h7d6h4s2h Ah6s3s3c2c 8d6d4d3d3c KdTd8d2h2d 
Qs8c3s3c2h Tc5h5c4s3c Tc7s7d4h2d Th7c3c2s2h 
