AcQs7s6d3s 
QsJsJd4s2s KcQs8h8d5h JcTc9h2d2c Th9c5d5c2h 
Qc9h9c8d3s Jd9c8d7s2h KcJs6c3s2c AdKh8s3h3c 
Th9c8h3c2h Ah9c7d4c3d 9s7h7c6d4s KhJc7c5d5c 
KhJh9h9d2s QdJd7s4s2c 9h9d8c7s4h KcJh6h2h2c 
QcJd7c5c3s Ad7h6h5s2s KcJh6h5d3h Qc8h5h3s3c 
Td9h8d3d2h KhJcTs7c2c 7d6d5c4h4d QhJd8h6s2c 
Ac8c5d5c3h KsQhTd8c2c KhJc9c5d2s Qs7c6s5s4s 
AsKs3c2s2d Th8s4s4h3c QhJh9h6h4s JcTc9h2s2c 
Jd8c6s4s2d 9d8c6s5h3c QdJd7d6d5d ThTd7c5s3h 
AhKc8c6d2c Qh8h6d4h3d Td8d6d4c2c KsJd8d5h3c 
9s6s6c4h4d Tc7d6s3s3d Qd9s9c8s5s Qh9d8d2h2c 
ThTd7s4s2h Js9d8d4h2h Td9d7h5s3d Jh8s8d7c4s 
KhQcTd5d2d QdTc6s4d2h KsQd8c6h4c QdJh9d5d2s 
Kc9h8s4s2c Ad9h8h5s5h QhTc7c5s5c 9d8d7h2h2c 
AcJsTh6h2h QsQh9c4d3c Th7s6s5c2h Ah8d6s6c5s 
9s8s7c5s4s QdJd6c4s4d Td9c6s4d3h AhQd7d6c3d 
JhTs8d5h2h 9h8c7s4c3s ThTc9d7h2s KhTh9h4d2s 
KsTc8c7d3h Ts4d4c3s3d ThTc7s3d3c QdJd5h5d3c 
JdTs6c4h4c QcJs9h9d3h AcKh8d7s2d Ks9c8d6h6d 
7d6c5s5h4s JhJc9d4c3c Ks6h6c2s2h QsJs9s8s4d 
Th8s8c4s4d Qh6c5h4d3s JdTc6s4s4h JsJc8d3s2d 
Qc9d6h4c2d Jh8h5d5c2c 8s8h5s5d3s KhJs8h5h5d 
KdTc9s4s3h Jd7h7d5c2h 6c5h4d3h2d 6s6c5c3s2h 
Ac9h8h5h5d AcJs7d2h2c Qd9s7d5h4d Kd8h6s5h4c 
Kh8s7d7c5c Th9s9c5s3s Kc9d5c3d3c 9c8h6d5s3h 
Ks9s6d5h3s AdTd6c3s3d KsJhJc8d2c AhKdTc3c2s 
Kc9s8s8h6s Ks7d5h5c3s AhKcQd6s2s AsJs9s4h2d 
7s7c6h6d2s QhJc6c4d3s QdJhJd5d2d KcJhJd8s2d 
AhQd6s3h2c Kc9d7h4h4d Td9c6s5d3d Ah9h9c4h3s 
9s8h8c4h2c Qc8s8c7s3c Th9c8h8d3s Td9d7c5s3d 
Qd9d8s2s2c Kh9s8h5d4h JsJd6h5c3c AhQs8h7h3h 
JcTd7d5d3d QhThTd5s2h QsJd9s9h3s Ts6c5d3s3c 
Td8c7d6h3s AsJs9s4h2c 9c8d5d5c2c Ad6s6c4c3s 
Js8h6h4s3h Jc9d5h2h2c Jh7c6d3h3d Kh6h4c3s2s 
QsJhJc8c2c AhTc7s5d3d JcTd8s5d2d Qs8d7c6h6d 
As8d6h6c5c Ac8s6h6d5h 5s5h4h2s2d AsKh6c4d3d 
7c6c5d3d2s KsJcTd3c2c Qd8s7c6s6h KhJhJd6h2s 
7h6h5s3s2c Jd8s6h6d5d JsThTc6s2d AhJh7h3d2d 
QhJc8s8d4c As8d6d5d4c 9d6s5s3d2h 9h8h7s4c3c 
QdTc4c3d2d Ad8c7d4h3d AdKs9c3s3h KsQdTd3h3d 
JhTd9c7d2d KdJsTs7h2s Qc9h7c6c4d JsJd4d3h3d 
QcJh9s4c3c Ah8d6d5d4s QcJh7c5d3c 9s6d5d3s2c 
KdQh8c6s4c Kh8d6d2h2c QcJc5c3d2d As8c6h5c4c 
QdJd7s4s2h Qd8h8d7c4s 9d8d6c5d4d Ks9h6s3s3h 
Th9d8c5h3s KsTs5d5c4s JcTc5s2s2c Qh9c8c6d4s 
KhQdTs5c2c Ks8h8c4s3c 9h8d5c4h2c KsQcJc3h2c 
AsTh7h4d3c JhTs9s3d2c AcJs8c7c2c AcKs8h7d2h 
Qh7d5d3h3d KsJc5d2d2c KcTs8d6c2c Ad9s7h4s3h 
Jd9h5d3c2h Ts9h8s7s4s Jc9d7s5s5h AdQh9h4s3c 
7s6c5h2h2c QdTc7d4s3h Ts8h5d3s3h Qc8s7d6s6h 
QdTd9s5c2d KsQcTc3d3c KdTd9s4d4c AcJcTc6c2s 
Qh9s7h6h4c Qh8s7h7d2d 6c5d4s3d2s AcTh9h7h2s 
AcQs9d7s2h QcTc9h7s2c JcThTd6c2s QsTsTd5h2s 
QsTh7s4d4c AcJc9h6c4c KsTh6h5d5c Jc6c5h4s2s 
QsTc6d6c3h QdJd5d4d4c AcQd9s7d2h Jh9d6s5d4c 
AhQs6h3d2c AsQh9c4d3h Td8s8c4h4c QhQc5d2s2d 
JsJd9h6s2c KcTh9s4s3d 8h8c6d5s2d KsTs6c5s3s 
Ks8h6c2s2h 7h6c4h4c3h QhTd8s3d2s ThTc5d3c2h 
KcJs6d4s2d AcJs7h4d3s 9s7c6c5c4c Jd9h5h5d2h 
KhTh8s6h2d KsTd8s5s3h QhJh9h6s4h 6h6d5d4d4c 
KsTd9h4h3c Jd9d6s4s2c Qs8s8h4h3c As7d6s5c2s 
Jd9h5d2h2c 9d9c3s3c2d 8c6h4h4c3s QsTh6h4d4c 
Ts9d9c4d3h AdQs9c8h2h KhKdKcJc3h Jd6h5d4c2c 
AdQh9h9c3h Tc8d5d3h3c KsQhTc4d2c Jc9c6d4d2h 
QhJh7d3d3c Jd7d6d4h3h AcKhTd3d2s AdKcTd3d2d 
Qs8h8c5h2c Jd6d5h4c2c AsTc9c4d4c 9h8h6c5h4h 
QcJc9c6s6c AsQcJc6c2d KdTs9h5h3h Jc9d7c5c4c 
Td8s6h6c4d QcTh5d4s3d KhTh9h4c2d QcTh7s7d4s 
Qs9c8s4h2c QsJs9s8s4h KdTc9s8s2s KhQcTc6c2s 
Kh7c5c3h2d KsTs9s5s3d Qd9s9h8s5s JhTc9c6c2s 
Tc8c7s2s2d Jd9c5s2d2c Jd9h5s3h2d KcQh8h8d3d 
KdTs9s4c3h As6s4d2s2d Jc9d7d6s4h KhQhTh4s4h 
AhTc8s8d2d AsJc9c5d2h AhJc5h4s2h Jd9c4d3h3c 
Kh6h4s3c2s Qd9c8s2d2c QdJs7d5d3h Qc8d7h4c3h 
QsTc7h6h3d KcQd5c4s2c Qs7s7d5d2c KdQhJh6s2h 
Qs9d8s4c2d AdJh6d5d2s Js9d5c3d2s 7c6h6c4s2h 
TsTh8s7d2c AcKs9h5h3d Ad9s9c6d3d QcTh9s3c2d 
KsKhKcJs3h Kh6c4d4c2h AhTd9d7c2d QcTs5s5h3d 
Qc9h9d4c2h Ks7c6h5h4h Th9s9d4c3h KsKdKcJd3c 
KsQc8d6h4d KsTh9c5c3c Ah9s4c3c2h Qs8s6c4s3c 
QhJh8s5c3h Tc8h5c4h2c KcJd8h7h4h Td7s6h5h4h 
Kc9d7d6s6d AhJhTh6h2d 9s9c8h7d4s KdTs9s5s3c 
AcQc8s3d2h QdTc8s5c3h Kc9c8h4d2h QhTs5s5d3c 
TsTc8s7h2d Ts8c7d6h3s Kc7d5c4s4h KcJs9d8s4h 
QsTdTc6d2h QsTs8h4s3d QdTh5s4c3s Ad5d4s4d3h 
AsJc6h4h2c As9s9h7s2d QhTd6h5c2s Ks8d6h5d2h 
AhTh9h4h4d Kh6d6c2h2c 8s6s5d3h2h Ts9c6c5h3c 
7d6d5s5c2c Jh8d5s4h4c Jc9c6s5h4c Js9d7d6h4c 
Jh9d7c5s5c 9s8s8d6s4c AsTh9h4h4c Qd9d8s5c4d 
AdTh6c5c4s 9s8s6c4h2h Th9h7c5d3h Jd9d4s4h3s 
Qd9h9c8c5c KhTc9c4d3s Ts9c6h4s3d Jc8s8d7h4d 
QsQd9d3h2c JcTd9h4s2h Qc9c8s3d2d Qh8s7c4h3c 
Qs8d5s4d3s 8d6s6h4h2d KsJc8c6h4c As9d7d4c3c 
Jd9h8d3s2h QhQd9h3s2c Kc9s7s5d4h Td7d5s3s3h 
AhKc9s7d2s AhKs9c7d2c KcQs8d6h4d Jh8s7s6c2c 
9h8c6h5s3h Jh8s8d7s4c KhJc5s5c4c AhKcQs6d2d 
QdJh8h6h4h Jh8s5h4s2h QhJc9h9d4h AdJd6d5c2s 
Qs7c5s3d3c 9d8d7h7d6d AhQs6s4d3c QsTc8s4h4d 
JhJd4d3s3d QcJc9s7d3c JdJc4d3d2c AcQh7s5d3s 
AdKd9d3h3c Th8d4h4d3s Js8d6s6c5s AsKdQh6c2c 
QcJh8h5h3d As8h3h3d2s KsTc8h7s3s QsTs8h4s3c 
Qc8h7d6h3d JdTh9c7h2h Ts9s8d3d2s Th9h8c5s5d 
Qs8c7s5h4s Kd8s7d4s2s AhQdJd6d2s KsJcTc7d2c 
7s7d6d3h3c QsTd8d7c3h KcQhJh3h2s AcQc8c4h2s 
Qs5d4s4c3d As7s7d5s2c 9h8s5s4c2h Ts7c6d5s2c 
Qd5h4s4d3h Kd5d5c3s2s Qh8c7h5s4h QdJd5d3c2c 
TsTh7d5c3s Qs8s6s6h3h QhJh7h5h4h Qs7s5s5h3h 
QcJs8c6h2d JsJcTd3h2h KhTd9d4c3s Jh9c8d6s4c 
KsQsJs8s5s AcQc6d3s3c KhJh8h5d4h JsJd8h6s2c 
Qc9c7s3s3h Js9d4s4h3d AhQc9s9d4d 9c8d7c4s3d 
As9h5s4s4d 8s6d5s3c2d Qh8s8c5s2c QhJd8h5h2s 
Ac9h8h7s4h QsJs9s6s4h 8s8h6c3h2s KsJhTh4h2h 
Ts9s8s6c4s Th9h8h6c4h JhJc8d7s2c Tc6d5d4h2c 
KdQd9h7d3c Qc9d8s6c4c Th7h5h5c3c AsQhTd3h2h 
ThTd8d7s2c Kc5s5c4s2c Jd9c8h3h3c KsJd9s5s5h 
Ad9s9d4d3c JsJh9d4h3h AdKd7d5c2d 9c8s8h5c4d 
QdQc6h4s3h Tc9c7d2h2d Tc9h7d5d3d QhTsTd5c2s 
JsTs8s8h2d Qh9h6d4s2s Kc8h6h2d2c JsJd9c4s3s 
JdJc6h6d3d 6c5c4d3h2d 8h6s6c5h4h Ah7c5h3d2s 
QdJh7h5h5c QsJsJh5s2s AcTs9s4s4h Ah7c6h5d2h 
KcQd7s7c2s 8h8d7s7c3d KsTc4h4c3h QcTd9h6h2h 
Jh9c8s3s3c KsQcTh4d2h Ah9d6h4d2h Ts9c8h7s2d 
QsTh9d4h4c Js9h8d3h3d Th7d6h6d2c KdJd5d3c2c 
QcJd6s4c3c QhJd8c6h2s AdKhTc3c2s QhJh9h6h4c 
QhTd5h4s2c AsJd9d5c2h Th9c4h4c2d KdJcTh7c2c 
KdJc7d4d3h Kc9d9c8s3h Jc9h4d4c3h QsJs7s6s5s 
As9d8d8c3h AhJs9d6s3c QcJc9c7s3d AsJs3c2h2d 
QhJc9s5d2c Ks8c7h7d5h 6s6h5h4h4c KsTc9h8d2d 
Jh9c6h5s5h QsJh9d9c3d AhQc7s4c3d QhTc7s7d4d 
AhQc9s6c3c Jd7d6d6c3c KsQcJc3c2h Ts8d6h6c4s 
Ts9h7s4h2c Td9s9h5h3h AdKh6c4s3s Td7d5s5d3s 
Qd8h7s5h4c QsTh5s4d2c KcTh9d8s3s Jh8h7h6d2d 
AhQc6s3h2d KdQdJh8c3d KdJs6c4s2c KdQs9c5h4h 
QsTh9s5c2s KdQd7c5h2s Kh5h5d4c3s QdTh6d5c2s 
Jd9d8d6h4c KhQh5h5d3s Ad9s6d4c2h 9d8c6d5d4d 
AsKdTc6c2c 9s7h5h4d2s KsTh9h5h3c AcKc3s2d2c 
QcJh8h5s5h AcJh8c7c2c QdJd6c4h4d AdTh6s5h2s 
Ts9d6s2d2c Qs7s6d6c4h QdTc3s2s2d 7h6c5s5d4d 
6s6h5s4s4d Js8h6s5d5c KhTc3h3c2c 9c8c6c4d3d 
QdJd7c4c2s Tc9s8d8c2h Qs8d8c5d2c Jd9d4h4c3c 
QdJd5d3s2s 9c8d6s5h3s ThTc7s5d3h 9d8s5s4c2d 
JhTc8s5c2c AsKh6d5c2c Js9h9d7d3c AcKc3s3c2d 
AcKd7h5s2s TsTc6d5h3d KcQd9h8c4c AhTs9s4s4d 
KcJc9h5d5c AhKcTs3s2d Tc8h7s6d3c AcJd8s5h3h 
AcQs7s6h3s Th7h5h5d3d KhQc9s5d4d As7h5s3c2d 
Ac9s7d3s3d Ad6h6c4c3h Jd7d6c5h2c 9s9d6d3h2s 
KdJc6s6h4c QhTc6c3s2s Jd9h9c8d4s Jc9s9h7c3d 
QcJd9c5c2s 9d7c6s6d4h JhJd8c6d2s AdTc5s5c4h 
Jd9h8d7s3c 8h6d4h4d3s Jc9s5s4c2c TsTd8d7h2c 
9h8h6c4s2s KhJs9c8s4d 8h6s6c5d4h KcQh3h3d2d 
JcTsTh3c2c As8c7s4h3s KsJc6s3c2s Qc9c5h3s2h 
KcTc9c4s2d JhTd8s5d2d Js7s5c4c2d Qc8d7h6s6d 
AcKh9h8h2h AdJs9s5h2c AhQh8s4h2d AhQh8s3h3c 
QhTh8d4h3s Ts9s8c3c2s Tc8s7h6c3d KsQdJd6d2h 
Qd9h8d6s2c QsJs6c4s4d KcQh9h7d3s KcJh7h5d3h 
9s9h5c4d4c Kh8s8c4h3c AsJs9s4d2h Jc7s7c5d2s 
As9s9c7s2h Th8c5s3h3c Jd8d6s6c5d KdQhJc8d3d 
Qc7s6s5s4h Js9d8s3h2d KcQc7h5s2d KdTs9h8c3c 
JsJc4h3h2s 9d7s6h6d4c AcJd9c4s2c ThTd8h6h3s 
KdQs8h8c5h KhTh9h5h3c AdQsTc3s2s KsQs5s5d3h 
Ks6s4c3h2c KsJs8c3h2c Jd9s5c2d2c Qh8s8d7c5d 
Jd9s7s7d2s JsJcTd6h2d 5s5h4s2h2c QhJc9s9h3h 
QcTd8d5h5d AcKd8h6d2d Qh9d6d5c4d QsTc6s5h2d 
QcJh9d5s2h 9h8d6s5s3s 9s9c8h6c4c QhTd7s6s3c 
QsQd9d7d2c Js9d9c7h4c Qd9c6d5h5d Ah7h5s5h4h 
Kc6d5s4d2s KdQdJd4s2d Qd9d7s3s3h QdJs9h7h3c 
Ts6s5s5c3c Kc8d6h5d4s 8h7c5h2s2c Js7s5c4c2h 
9c8h5h4c3h Ks9h8h8d6h KcJhTh6h2d Kd9s8d5h4d 
Jh9h8s3s2s As9c7d4c3d JhJd6c5c3c Ah9d8s7s4s 
Ah9s8d5c4s KcQd9s8h3d Jh8d7h5h2d Th9d7h4c2c 
Js8s7c6h2c AsTc6c5h2h KhThTc7s2h Ts8c7d3s3c 
9d9c8d5h4d AdQh9s7s4s KcTc9h4d4c Ks6c4h4c2s 
KsJh8s5s5c KdQs9h7d2c KsTh8h7d3c Jh8s6s4h3s 
KsQd6h6d3c QsQd8d2d2c QdTc3c2h2d 8c7c6s6d5c 
9d8h5c4d2c Qd8c7d4s3c Qs9d9c7h4s KsJc7s4s3d 
QdJc9d5d2s AsQs8c4s2d 7d6h6d5c3s Qh7d6h5h2d 
AcTc8d8c2c AcQc8s3h3c KdQs9h8c3s KhJs8c7c4c 
KdTd8s6d2h QsTc7d6h3h Tc8c7h2s2h AhQc8c7c2d 
9c7s7d5c4h 9h8h8c5d4h JdTh6s3h2s KsQsJc8s4s 
As7s5s3h2h Qh7h7d5d2c QdTh4d3c2c KcJsTh7s2s 
JdJc6s6c3c Jd8h6s4s2d AsKs3d2s2h JhTs9d3s2c 
Td9h6d2h2c AhQs6d4c3s QhTsTd3c2h Jh9h6c4c2s 
JhTdTc6h2s AcJh6c5c2d AcJdTs6s2s Tc9c7c5h2h 
KdTd7c6d3d QdTd4h2s2h As9h7h5h4c KdQd6d5h3d 
KcQs9d7c3c 6h4s4c2h2c 7h6c5c4d4c 9h8d8c4c2d 
Th8s6c2h2c Kc8h7s5d4s AcQh6s4d3h TsTc7d4d2c 
KcQh5c4c3c 8c7c6h4s4c Ad8h4s3d3c KhJs9d7c3d 
AcKh9d8s2s Kh6h4d3c2d KhTsTc8d3c TdTc7h4h2d 
KdTd6h5d3d 9s9h3h3d2s KhTc6c5s5d Th9h8c3c2h 
Ah9h7h4d4c Tc8s8d7c4c 7s7c6h4c3d KdJd9c5d2h 
AsTc6s3s3h KsJs6d3h2h Js8s6h6d5s Ac8d3s3d2c 
QcJd7d5h5d ThTd9d6d3d AhKs8c6s2s KcTc7s4d4c 
AhJd7c6d3s KcQc5c4h2s TsTd6c4d2c Ts9h8d5s3c 
QdTh7d5d3s AcKsJs7s2s Ac9h7c5c2d QhQc7h3h3d 
Qd8h5h3d3c QcJc7d4d2s Kh7d6h6c4h Js9d6h5d5c 
Ks9h7s3h2d 9d9c5c3d2d AcJd6s4c3c QdJs7d7c2s 
QdTs9s5s5h Kd8h7c5c4s AsTc6d5h5d KcQd7s3s3d 
Kh9s8s8c6s 9h9c6c3d2h JcTh9d5c2c Kh9c7c5d4s 
8h7c6d2h2c JcThTd3d2d AcTc8c4c3s 8c6c5s3h2h 
KdQhTh7h3h AcJc9s6c2d KdThTd7s2d JdTh8s8c3h 
AcJcTc5c2c Kd9d6d5c3s KhTc7h5d2s KcJd8c3d2d 
AhKc8s6c2c KhKdKcJh3c As7c3d2s2c Ts9d6c4s4h 
Qh8h7s7d3s QcJs9d8s3s KhTc5s3h3d QsTd5s4h2c 
AsJh7c6h3d KsTh8s3h2s Ts8c7s5s2c As8h7s4s3c 
QsTd9c3s2h 7c6c5h4d4c Kh8d6h5h4h 7h7d5h3s3h 
AdJs9c6s3h QsJs9s7d3c KdTc9d8d3d Ad9h8h7s4h 
7s6h5d2s2h QhJd6c4s3d Th8c5h4c2h Kd9d7h4h2c 
KsJh9d8c2h QdJd9d6c4d Jc7s7d6d5h QdTd7d7c5d 
Ad8s6c5c2s AcJd9h6h4s 9s7d6s5s5h Td8d7s7c4d 
Td8h8c4s4h 8d7d6s6c5d KdQsJc8d3d 9d8c5s2d2c 
Qh7h6s6c4d JdJc4c3h3c KdJc8c2d2c KhJs6h3c2c 
JsThTd6s2c TsTc9c5d2h Qs9s9d8h3c KsTd8s7c3s 
Ts9d6h5s3s KcQsJs3d2s Ac9c7d4s3c Ad9c5h5d2s 
KsTc9c4d3h 9h8s8c6s3d QhJh9h6h4d Qh7d6h5h4h 
AhJd9s9d2d Qh9s8c4h2s Kd8d6h6c5d Tc8d7h2h2c 
KhJsTd7s2s QcTs6h4c2d JcTh8s5c2c 9s8h7d6s3c 
Ks8s6h6d5s Td9s6d2s2h Kc9d6h6d5s QhJc6h3s2s 
Ts9h7d5d3d Jd9c8h3c2d KhQd9s8s5s JhTh6h4c3d 
Qc9s8h2s2c Js9c8s7s4d QsTh7d7c4c QcJc9c8c4h 
KcJs7d6h3s Jd8d7d6s2s Jh9d7h6s4h JcTd8s5c2c 
JdTd8c5d3d Js9c8d6d4h QcTd5c4s2h Jc9d8s6s4h 
AdKdTd3c2d AcTs8c5c3c JhTh6h5s5h KcQd6c5h2c 
Qs8c7h4s3h Qc8s7s7h2c As9h8d8c4c QdTs9h3d2c 
QhTs7d6d3c Jd9d6h5s4d 9h9c8c6d2s Ah9h7c4s3h 
8h6s6d4s2h Ts7d6s6d2h Ks9s6s5c3d KdJc9s7h3s 
KdQh9h7s3c Qh8c7s5d4c Jh9d7c5s3s JdTd8d8c2s 
Qd9s9h6s4c AsAhAc9d3d AsJh9h6h4d KdQs7c3s3c 
Qc7d7c4s3s TsTd9h7s2c KcQdJs8c3c Ac9d8d7s4d 
Qs9c8c6h4d QdTs4s3d2d KsJs8h3d2h QsTd5h4c3h 
Ks9h4s4h3c AhJh9h4s2c AhJs6h5h2c Kh8s7d5d4c 
KsJc6h5c3c Th9s9c8d2c KcQdJd6d2s Kc6d5s4c3c 
6h5s5h4h3s Ks9c8h6d2s Qh8s5s3h3d KhJd9s7c3s 
7s6s6h4d2h Ah8s3h3c2s Qc8s7h6s6d Th9c7d5d3d 
8h6d4h4d3c Jd9s9h7h3c AhTc6d5s5d Ah9h9c7h2s 
Kh9c8h5d4h 9d6d5h3h2c JsTd4c3c2d AsJc7d2s2h 
Kh9c4h4c3d AhTc5d5c4s QdTd8c4d3s KcQcJd8c4c 
Th9s7s7d3c KsQc9d8d5d JhJc7h3c2s KcTd9s4c2c 
Kc9s6h6d3c AhQd9s8c2c JhTh8d5h3h Js7d7c6d5h 
Jc8s6s4c3s Qd8s8h5h2s Qd9d5s3h2s 9c7h6h5h4h 
QdJs9h9c3c KdQsTd3c2d Qc8s8c4s3h QsTh8s7s2d 
JsTs6s5s5h ThTc9d7c2s Kh6c5d4h2s Kc8d6s2d2c 
Jh9d8h7s3c Jd9d6d5c4s QhQd8s5c3c KhQdJs8c3s 
Tc7s7d6d5d 8c6h6d4d2c QcJh5d4s3d QhTd7s7c4c 
KsJhTd7h2h JdTs9c7s2s KhJh6c3s2s AdTh7s6s3c 
9h8d6c5s3d KsTs7d4s4h Qs9d9c4s2d Ac9h6c4s2d 
Jd6s5s4c2d Js8h8c7h4d QsTh5d5c3s Qh8s6d5d4d 
AhJc9s6s4d Td8h7c4h2c AcQd9s8s3s AsTd8h8c2c 
Ad8c7s7h4c TsTd9h7c2d Tc7d6h5h4h KhQd6d6c3s 
KdJh9c7s3c Tc9s5s5d2c Qs9s7c3h3c AcKh8h6d2h 
QsQc8c4h3c AsQd6h3s2c Th7d6s3s3d KcQd7s7h4d 
9h8h6d5h3s Jh5h5d2s2d KdQd8d4s3s Ac8s7s6h6d 
AdJh8d7d2d KdJc8d5s5d 7s7c5c4c3h Js7h7c5s4d 
9d7c5c4h2d TsTd8d5h3c KcQc6c5h5c Qc6s4s4c3h 
Jd9s9c8d4h Kc9d6s6h3c JhTdTc3c2c QdQc9c7c2h 
Qd6c5d4d2c KsQh8d5c4c Js8h8d5c4c Kd9h8s6h6c 
9h9d8h5s4h KsQs7h5d2c Ks8s8h7s4c AdQd9d5s2d 
6s5c4d2d2c QsTc8h6d2d AhJc7d6c2d 8c7s6c5d2h 
9h8h7d4s3s Td8d7c5d4d KsTc8s4h4d 9c6c5h5d2h 
Qc5c4d3h2d Kh8s6s2h2d TsTc8h6s3s Qc8d5d4c3c 
Td9d7h2h2c QhTd9s5c2d Jd9s8d7d4c Ks8c6c2s2d 
KhQc3d2d2c AcJs9c4d2c KcQh9h8s4d KcJh9h5s2d 
KhQdJd7d3s Qd8d7c4s3s KhJs8s6c4s Ad8h7d4s3d 
AhJd9d5c2s KhQdJd3d2s Kh8c6s5s4d QcJc7h4h2s 
Qd8d8c4c2s KsJh6h2s2h Qs9s7h5s4d Jd9d7c6c2c 
Qc6s5s3c2d Jh8s8c7d4c 8h8d7s6d3c Jc9s9h8c4d 
Td9h9c5c3c AsQh9h5h4h Jh9c8c4d2d 7s7d5c3d2s 
JsTd7c6c3c AsKc6h4h3d KsJc9d8c4h Kd8s8c7h5s 
Qd7h6d5d2h QdJd7s3s3h JdTs7h6h3h QhTs7d4s2d 
Kh9c8h3s3c 9s8c6h5c2d KhJh6h5s5h Jd5h5d2s2h 
9h8d8c4h3d Qd8d7s7h3s JsTd7h6h3h 9s6s5h5c2h 
JsJc8h6c2d AcQs9d8h2d 7h7c5c4c3s JhJd6h4c3s 
JhTh5c4s2h AsTd7h5c3c As8s5s5h3d 9c8h6d5h2s 
Th9s5s5c2h Th7h7c6h4s Ts7d6c5c4c Ks9s5d4d2d 
Ac7h6d5s5h 9c8d6c5s3c 9s8c6d5h3d AdKd3h2s2d 
Ad8h5s5h3s 9h9d7d6d4d 9h8s8d4s2d QsTc8h3h2c 
Kc9c7d6s3c JdTd9s2d2c KcJc9h5c2s 9s9c8d6c4c 
Js9c8d3c2s KsJc8h7h4h QdTc7c5s5c KsJc5h2h2c 
KsJs8c3d2c AdQd9s9d4d Jc9c8c7h4d AdQc3d2s2h 
AsQs9s9c4s Ah9s8s8c3d QhJc8h5h3d KdJd8h3c2h 
Js8s6d4h2h 9c8h7c4s3h Jh9h6h4s3s JsJd8c6d2h 
JsJd9h6h3h Ts9c8c6h2d 8c7d6d5h5d QdJh9s9d3d 
KhQsJd8h3h Js8s6d6c5s Kd9d8c4h2c AhKd7s5c2c 
KhJc6s4c2s AhJc8c7c2d Qs9d8d4d3s JhTc9c3s2d 
9d7h6d6c2c AsJhTd6d2d AcQdJd6d2h Td6h5d4h3h 
KsQd7c3d3c 6s4d4c2s2d QdTc7d4s4h Th9c8s8h2d 
Tc8s7h3s3c 9d8d7c2h2c Ks9s6s5c3h Jh8d5h4h2d 
KhJh7s4s2h 7s7c5s4s3h Qc7s5s3s3c As9s7c4h3s 
KsQsJs4s4c 7h6s5s4s4c Td8d7h2h2c QhTc9d3h2s 
Qh8s8h7d4c Qd9c6d3h2c Td8c5c3s3d As9c8h7h4h 
Jh8d6s4s2h Td9d5s3c2s 9d6h5h3c2d Kd6s5h4d3d 
AhJs9d4s3c Kd7s7h6c5c Ah9c7h5h2d QhTh8s4h3d 
AsTh8d8c2d Ah9c8c7d3s As9c8c7d3h AsKdQc6h2h 
Jh9s9d8h4c Qh7d7c5s4h JhTd9c3d2s Jc9s6h6c2h 
Ts6c5c4h2s KsJcTc7h2c KcJc9d9c2s KsJh9c8h4d 
KcJc8c5d4c 9h8c6s5s3s KdJs6s5h3s AsQs5h5d2s 
Kc7c5h3h2s Ac7d3d2s2c QcTd7d6d3s Th9c8d5h3s 
Tc8h7d2d2c QcJh6d4c3c AdJc9s7c2h AdJc5s5h4s 
JsJc6d5d3d KsTc7h5h3d AcQsTh3s2s QhJdTc7s2c 
JsTd9c4c2h AhKc6d4d3s Ks8s6d4d3s KsQs8c4s3c 
Kh9h9c4h3c 9s8h7s6c3s KhJsTd3s2s 9s8s8d5c4s 
KhTs8h7d3h JsJh4c3c2h Ac8s7d6c2c AdJd9d4c2h 
ThTc5d3h2c Qs9s7c3d3c Th7c6s3s3c AhQs9c8d2c 
9d6c5c3d2h QcJc5d2d2c QsTh8d5h3c Ks9s6h5d3s 
Jh9h6s5d4h JdTd7c3h2h Ad9d4c3s2s Td7s6s4d2c 
QhTc6h5d2s KcQc9d7h4c AhQd9c8s2s Jc9d5c2h2d 
AdTc9c4s4c KhJh6h5h5c Tc9c7d2s2d AcQd6d4h3s 
QdJs8s5s3h Kh9s5d3h2d Kc6d5s4c2h Td7h7c6s5s 
Jd9c8d7s3h 9c6s5s3h2c 9d6d6c5c2c AsAdAc9h2h 
JsJc8d3c2d Js7h7d5s4c AdQs9c7s2h Tc7d7c6c4h 
Jc9s5d2d2c AhQh8h4s2d AdQs7h5c3h KcTc8c6c5c 
QdTd9c5h2d KhQdJd6s2d Kc7s6h6c4c JdTh9s5d2d 
7s7d5d4d3h 7h6h6d4c2d JdTd9s2h2d Th9c8d7h2s 
QdJdJc5d2d 9s8c7s4d3c JsJh4h3d3c Qd7d7c4s3s 
Qs7d6h5h4h KhKdKc5d3c KcQcTh8c3c Td7s4s4d3c 
KhJs7s5s5c Ah9h6h5c2d KhJc9s8s2d Jh9c8h7h4d 
KcQh7s7d4h QdTh7h6h3c Tc7h6h6c2d JhJcTd6s2d 
QhJd9h5h2s Jd7d5h5d3h KsTh6h6d4h As8d5h5d3h 
QdJs8c5h2s Qs9d8c4s2d Th6c5h4c3c Qh7s6h5h2s 
Kh8h6s6c5h AsKd8c7h2c Kc8s8c7c4h AdJd7s3s2d 
KsQhTh7h3h Kd5h5c4s3d As9d8s5s4s Tc7s6h5s2c 
JdTh6c3h2c JdJc6h5s3s Td9h8h7c2s KhJd9s8c2d 
Kd6h5s4d2c Qc9s8s6h4d Kc9d9c4c3d KhQh6s5d2h 
