Jd9c8d3h2s 
Ad8c7s5h2s 8h6h5d2s2c 9h8s6c4d3c KhTh7h3s3d 
Jc9s9d4c3c 8d7c5c3d2d Jc8s6c2s2c 9d5h4d4c2c 
Kh6d5s5h2h TsTh4d4c2h Th9s6c5c2d Ah9d5s5d4c 
Jc6c5d3d2d Qh9d6s6c3s Qc9d8s7s2h Kc9s9c5c3c 
QhTc8d4d2d Kd9c6c4h2h AcJh7s5d2d KdTc3s3c2s 
KcJs9d6h2d AsQh5h4h2h Js9h9d6s2c AdTh7s4h2c 
9s7s5s3c2c 5s5c4s4h3s 8h8c4s4h3h 8s6s5h2d2c 
QsTs9c4s2s Kd6d5s2h2c Kd5s5h4d3d Ah7s6d4c3s 
JdTh6h4h2c Ah7s7d3s3c Ts5h5c4c2s Tc8d7s4d3h 
Qc8c7d6c3h Td8h4c3c2d 7h5s4s4c3d KdTd5h3d2s 
QsTc7s5h2s Qc9c8h3c2h KsQc8c7c3d KcQd7d6d2s 
Qs9s7h4d3c Qs9d6c5h2d QcTs7s5h2d Kh8s7h4h4c 
9d8h6c4s3c Qc8d4h4c2h Ks6d4h4d2h 9c8c7h7c4c 
Kh9h4s3s2d Qd9c4d3h2h Qh8h6s3s2s AdKs7s7h7d 
As6d4h4d2h 8s8d4s4h3s Ts8s4h2s2h Kc9s9h4d3c 
As9h8d6h2c Jc8s8c3d2d Tc6s6h5c3c 7c6s4d3h3c 
AhTc6s6d3d AcTd7d5h2d Qc7s6d2s2c 8d6s6c2h2c 
6h5d4s3s2c QsJd9s3s2h KcQc9c6c3c AhTh4s4c2h 
Jd9c7s4s4h 8d7h6h3c2d Qc8d6s4s4h JcTs7h6d2d 
Qs7s6s6c2c KhQs5s5c2s Qc6c5c4h3c 8s7d5h4d2d 
KsQh7h6h2d Ac7s6d4h3h Kh7d5h5c2s Qs7s7d5s4s 
8c7d6d3s2c KdQhJh7s2h 8c7h5c3h2h Kc9s8d4s4d 
Qh6h4s3s2d KhTc8s3h2d 9h8c4s3s3c 8s7s4h2s2h 
JdTh5c2s2h AhQs7c5c2d Qd7c5c4h2h 9h8h7h7d2c 
AdQh9h2s2c 6d5d3s2s2d Js7h5h4h3d Ad8s4h3c2d 
KhQc5d2s2c KcQd7h6d2d Jh6s5d4h3h KdJc8h7h2s 
Qs8s8c7d3h 9h7c6c5d2c Ks7h7d3h2s Js8h7h6c3d 
JsTh6h4h2d Ts9h3s2s2h QsTs7s5h2d Ts6d5h4d3d 
QsJs6s4d2h Ad9c6c5s3c Ks9h6h6c4d AdJs7h5c2h 
Td8s6d4d2h QhTd9c3s2s Tc8h4h3c2c KsQc7c6c2h 
Ts8d5h4c3s QhJc9s7c2c 7s7h5c4c2d Jh9s9c4h3h 
KcQc8h6c3c KsQc8c3h2h Qd8s8h6s3c QhTd8s3d3c 
Qh9c8d7d4d AcQd8s4s3h QsJc9d7c2c Qd9c6s6h3s 
Qc9d8h7c2c KcJs6d4s2h ThTdTc9d8h KsJs5s5h2d 
5h5c4d3c2h AcTc8c2d2c 8h8c4c3s3d KsQh8c6c3d 
Tc7c6h3d2h QhJh6h4c2s QsTc4d3h2s Th8s7c6h2h 
Jc8h8d3d2c Ac4c3s3h2d QsJs5c3d2s Kh6s6d2s2d 
AsKc9c4h2c Ts8s6d4s3c Jc8s7h2s2h Qs9c5s5d3s 
7h6c4d3d2h Ks8c6d5h3d Tc8h5s5c3d KcJc8c7c2s 
Ks7s5h3s3c Qc9s5d2s2d Kc6c4h3s3d Ts8h4c3c2s 
KsTdTc4c2c Kh6c4s4h2d AcQs7h4d2s As8d7h7d2c 
QdJd6c4h2d Qs9s6s4d3c Js9s7c4s3d Qs8s7h5s3c 
Qc9c6s6d2h KhQh9s9h3h QcJh5h3d2h 9c6h6d3d2c 
Qc9d5h5c3c Kd4h4c2h2c 7h7d5h4s2h Kc8c5h3s3d 
AdQd8h3c2d 8s7h5h4h2d Kh9c7c5c4c Qc5s5d4c3h 
Jc8d6s5d3d Qh9d6d5s2c KhJd8s7s2c Qs9s5c4h3s 
KhQd7c4c3s JhTs7c6d2d Qs8c7s6h3s QsJh6s6c2d 
Kc8d6d5d3h Kh8s7h3c2c Ah4s4d3s3c As9c6c5h3c 
KcQc8d7s3c Ah9s7s4c3d Jc7c6h6d3s Kh9h8s8c4h 
Ks9s7s3d2d Qs6c5h4d3c AdKs7h4c2c Jd7h6c4s4c 
Ah8d6s2s2d KsQh8d7c2h 7h5s5c4d3h 7h7c4c3d2h 
As8c7h7d2d KcJd7d6h2s Td9d8d6d3d 8s8c4c3h2s 
AcTc6s2h2c Kc7d4h3c2h AsTd6c4c3h 9d8d7h3h2d 
Kd9c5h4h2c 8d8c3s3d2s KhTc8c4d4c JhJd5d3c2s 
JdTc5h3s2h Qc6d6c5s2h KhQh9h5h5c KdQd9s3h3c 
Js7d5h3s3c 9s9d7h6c2h Js7d5d3c2s KdTh8s3d2c 
Kh9d9c2s2h Tc9c7h5s2c QsJs6h4d2s Kd9d6c3d2c 
KcTsTd3h2d JhTc7d6s2d Ts7h5d4h3h Ts8h6c4c3d 
KcQs9h6h2h AcTs3s3d2d 9d7h7d3d2h Ks8h6d5c3h 
KsTc8d3h2s Td9s8s4h2s AcKh7s7h7c Jc9c8c5s2c 
Jh9d5s3d3c As5s4d4c2s Jc9h9c5c2c 8h7s6c3s2c 
KdTd9d4s4d Qs9d5c4h4d 8s8d4h4d3d KhQc9d6d2d 
Ks6c5s5d2s Kh6s3h3d2s 9s7d7c4h3s Qh9d9c3s3c 
Jh7d7c6c3s QsJc7s2s2c Ks9d5c4c2d Td9d6h4s2c 
Ks6c4h4c2h 6h4d4c3s3h AcJh4h3s3d Qc9c5h5c3s 
AsKd8c4c3c Qh8s4h4d2d KsTd7s4h2s AcQs7d4d3d 
Ts6d5d4h3c 7s6c4h3h2s KdQs5c2s2h 8h6h5d2h2c 
9s8h7h7d3c Ks9d4c3s2c 8h8d3d3c2c Td8h7c4h3s 
9c8s7c4d3h 7d6d4s4d3h Kh8d7c5d3s Js7d6s4c2d 
9c8c6s6c4c Th8c6d6c2s Jc9s8h6h2d KcQs4d3h2s 
Td8h5d4c3d Th8h4d3s2s Th8c7s3s2h AdKs9s6s2s 
Td4h4c2d2c Ks8d7h6c3h KdTs9h4h2h KdJh6s6c2d 
7s7h4s3c2c 8s6s5c2s2h 8c7h5h2s2d Ac6c5h3c2s 
QhJh8h6h3s QcJh9d4s2d Td7h5h3c2d KcQc9s9c3c 
8d7d6c3s3h Th8d8c4s2d Qc9d8d7h4d Kh9s7s7d4s 
8c6h4c3d2h AdQs4h2s2c 9c5s4d4c2d KcQh5h3h2s 
Qc7d5c3h2h Qs9c8h5c3c Ts7c6d4c3c Jc8h7d5c2c 
AcThTd6s2s Jd9s5h3s3c 9h5c4c3h2d Ks7h7d6h3c 
9h6d4d3h2c 7d7c5h4s2c Qc8d5s5h3c Qc9h4d3c2h 
8s8d6d4d3d Js8s5s4d2h KhTs8d5d3d Qs9h9d6s2s 
Tc9s8h4h2d Kc8d6h3h3d Kc7s4s3d2c Kh8c7h5h3h 
Jc6d5h4s3d Qd8d8c7s3h Js6h4h3s3h QsTs5s5h3s 
AsTs6s2h2c Jc9d6d3c2c Kd8h6s6d3d Qs9h7d4s3c 
Ac8h6h4h4d Ah8d7d7c2s Jh7c6h5h3h QsTs7d3d2s 
8h8d3h3c2d Ks9d9c4h3s KcTs8s4h4d AcJh6s5d2s 
Qc9s8s5s5h 9s9h7d5c2c 8h5d4h3s2s Jd7s5c3h3d 
Th6c5c4s3c QsTc4h3d2s Js7d5d4h4d Qd9s4c3s2d 
Ks8d6s6c3s KhQh3c2s2d QcTh7h5d2s Ah9s8c3s2c 
KhTd8s4d2c 9h8d4s2h2d Qc9d5s4h2c AhQd9s6c2s 
Jd9h6s6c3c Qc9s9h8h4h AhTs4h3c2h JcTc7s5c2c 
Kc7c5s5d3c Qs9d8h7s2s 7s7h4s3d2d Ks8s7c5h2s 
Ac7c5h3c2s KsQs8c7h2s AsJd7h5c2c Kc9c7c6h2d 
AsQh7d5c2d Ts6h5h4d3h Qc9s4d4c2d Jc9d9c7s2c 
Qc9h8d3d2h 8h8d4h3c2d Ac9c7d2h2c Ts9d6h5s2s 
7s7c5c2d2c Kd9s7h7c4h AsQc7d7c2h QsJs9d2s2h 
7s7d5c4h2d AsJc4d4c3c Qc9h7c5s2d QdTd5h5d3d 
AcQc8c5c2c Qc9c7h4s3d KdQh9c4h2s AdJs9d6d2d 
Th8h6s4h3c Jh8h6d5h2s QdTc4s3h2d KsTs6h6c2s 
Js9c3s3c2h 9c6d5d4h4d 5s5d4h4d3d 8s7h5c4h2h 
QcJc5s3d2c Kh9s6c4c2s 9s6h5h3h3d Th8h6s3s2s 
Ad9h8c5s2s JdTs6c4d2d QsTs7c3s2c AsJd4h4c3d 
8d7h6s3d2h 6h5s5d4c3h Th7d6s6d3d QsTh5d2s2c 
Kc7s5s4h3s QhTs5d2h2c Ts8s7s5d2h KhTd6c4d2s 
9d8s4c3s3c As6d5d4d4c Kc9h7s7d4d KhTs8s4s4c 
9h8s3h3d2s Qh8h7s6h3d KdQc5s5c2c KcThTd5s2s 
QsTs5s4d2s Ad9s4h2d2c Th9s5s3d3c Kc7s6d5c2c 
Ts6d5c4h3d 9h8s8c7d2d AsKd8h4c2h Kc8h5d3h3d 
Ad8s4h4d3d 9h8h7h7c4h AsKd9d2d2c AcJh8d4s2s 
8d6s4c3c2d Ts8s7c5s2h Qc7d5d2h2c 9c8h7h3c2h 
QdJd8h4c2d KsJh3s3c2d Qs9d5h4d4c AhQd7c4s2d 
Ts9s7c5d2s JcTc6c4h2d Jh7c6s4s4d Jh9s9c4s3s 
Kd9c6s6c4h Jh8c6h2h2c QcJc5c4c2d Ac9h7h4d3h 
QhJs4d4c3c Qh9h8d3h2d AcKd9d4s2d ThTd4s4c2h 
Kc7h6c4d2s Kh9h7h6c2d AdKh7c4s2c Qd8c5s4s4h 
KcTd7c6c2c QsJh9c4d2c Tc8s5d4h3c JcTh7d6s2s 
Jh7d4s3s3d Jc8h8d7s3c 9h8d6c4s3c KhJd9c6s2c 
Qs8c4d4c2s 7h5s5h3s2s Kd9d7d6h2c 8s6s5d2s2h 
AsKc4h3d2h Ks7c6h6d2s 7h7c3s3h2c Tc8h4h3s2c 
Ts6s6c4h3d Jc8s6c5c2d KcTs8s8d3s KdQs8s6h2s 
Qd6s6c4c2s Qc8s5d2s2d 8c7h6d4d2s Jc8s7d6d3d 
Th9d8d4c3d 9d7d5s5c3d 8h8c4c3s2h TsTc7c5h2d 
Th7d5d2h2c KsJs9s7s2d As9s5d4s2c Jc7h5h4h4d 
AdQs8d3d2h Jh9h7h3d2d KcQs4h3h3d AcTs6h4h3d 
Jh7d5d4s3d 8h6c5s5d2d KsQh8d6d3c 9s6h6d3d2s 
Kh9d7h6c2h KhQh9h6h3h Ks7h7d3s2d KdTd6s5d2d 
Jc9c8s4h4d TsTh7d2s2c AcKd9h3s3h Kh9s9h4h3c 
KdJd8d6d3h JhJd6c4s2d Ts8s7d3c2c AhJh6h6d3h 
Ks6h5c2h2c Ah7c6d4s3c Tc9d8s4s3s Qh8h5s4d2c 
Kc8s6h6d2c KsQd8c4h2s KsJh7s3d3c Qs7h6c2s2h 
Kh9d4c3c2h Td8d4h3c2c Ts8c7h4c3d QsJs8c4h2s 
Qs6h6c3c2s KcQs7d4d3h Jd9s7h5h2c Qs9c7h3h2s 
Ah9c7s4d3c KhJs6d6c2h QcJc9c3s3d TdTc6s2h2c 
Kc9s9c6h2c Js9s7s4h3c TsTc8h4h2d KsKhKcQdTd 
8s7c6d3s2c Qd5s5d4c3h 8d7c6s3d2c Qh6s6d4s2d 
QcJsJh7d2d AcQh7s7h2d KhJh5h5c2s 7d6s4c3c2d 
QcJd9d3h3d 8c7h6d3c2h AdKh7c4c2s Qc7c6h4h2c 
Qh7c5h2s2c Ac7d5c3c2s Ts6h5s3h2h Kd9d7d5s5d 
AhQd4c2s2d JsJd5d3h2c Jd8s6d6c3h AcTs4c3h2c 
Qc8s6d5h2s Qd7c6s2s2d AcKh8s4s3s KhQd5d3s2d 
Th9h3c2h2c JdJc7c5s2c KsTs4c3h2d Th9s6s4c2d 
Js8h7s7d3c Ad9h8c6s2h AsKh8d4d3d AdJd7d3h2c 
AcJc9h4c2c Ks9d7s6c2s KhTc8c4c3s 9d7d6d6c3d 
Jc7d5d3s2c ThTc4h3d2d Qc6c4d3d2s 8d7c6s4s2h 
Kh7d6c4h2s Qs9s5h4d3s KcQh5d2s2h Tc8s5h5c3d 
Kd8d6d4c3h Ts9h8h4d2h AcKs9h6d2d 8s6h5h5c2d 
KsTh4s3s3d QsTsTd3s2s Js6s5h3h2h 8h7h5s3h3c 
Qd8h7s7c4c Qs6c5d4h3c AcKh9s3s3d AhTd6s6c3s 
Td9d6c4s2h Js7h6s6d3c QdJs3h3d2c KsQh5h2d2c 
9c8d7d3c2d QcTc7d4s2h Th6c5d4h3h AcTs7s5d2s 
Jd9h7h5h2c Ah8s4h3c2d 6c5h5d4s3c AcTd5s5h3s 
KsJc8d8c3h Kd8d6h4c3d Ac9c4d3c2d AsJs7s4s3s 
9h8s8h6h3h 7h5h5c4h3d AdTd4s4c2d Ac9s9h7h2d 
Ts8h5h4c2d QdTs4c3h2d KsTh8h4h3c Tc9s8d4s3s 
8c6s5s5d3s 9s6d5h5c3s Jd6d6c5s3d Kh8h8d6s3h 
9d8d7h7d2s JsTd8d3h2d Jd9h7s6d2c Js7s5s4h4d 
Th9s8s4c3s QdJc5c3h2c 6s6h5d4c2d Qc8d4s4c2s 
Ts8h7s4d3s 9h8c6s6c3c QhTh7h5c2s Kh8s7c6c3d 
Kc8c5d3s3h Qs9h9d3d3c 9c8s7s3c2s 9s8h6c4h2d 
7s7c5h4d2s KcTh8h4h4d JdTd6d4c2s Qh9d4s3h2d 
Kc7h7d5s3h Qs8c5d4s2s Ac8d6d5h3s AdTc7c5s2c 
Ac5h4c2s2c Jh8c7h5h2s 9s7d6s5c2s Jc9h7s4s4d 
Qd8h8d4s3c QdJd9d3s3h Qd6d5d4c3d AdQh4s3s3c 
Ad8s6s4s4h Ts8d8c7d3d Th7c6s4s3s QhQdQc9s9d 
AhTd5h3c2h KdJd8c4d3s Qh9c4h3s2s 9d9c6c5c2c 
Ts9d6d5d2h AsTh6h3d2d Jc6d5c4c3s Jc6h6c5s3c 
9d8c7h3s3c Ah8d4h3s2c Js8s5d3d2d Tc6c5h5c4d 
Jh9d5s4d3d Jh8h8c3c2c KdQc8c4s3h Qh8d6s4h3c 
Ah5d4h2s2h Td6d5h4s4d KcJd6s6h2c JcTs7d6s2s 
Js7h7c5s3s Tc6s5d4s3h AhKc8s8d2d QhJc7d3d2h 
AcJc6h6c3c Jd6s6d5c3d Td8d5d4d4c KcQs7s6s2d 
Qc8d5d3d2c Qd7s5s4h2h 8c6h5s5h2d Kc8s7d6d3h 
AhTs7s6s2d Qs7d6d5h5d AhJsJhJc3c QhJd4s3h2c 
Ah9s9c6d4d KcQd4c3s2c Kh9d4c3h2c Qd8d4s4h2h 
Jd9h6h3d2d AdKc8s4s2s Ah6d5d4s4d Qd6d4d4c2c 
Jc8c6c5c2d Jd8d7s2s2d QsJd6s5s2s QsTh8d3h3c 
Jd7h7c6h3s Qs6s6h5d2c Kc7h5h4s4d Ts8h8c4d2c 
Qs9s7s6s3c Ad9s8h5c2c KhTc4h3s3h KcQsQdQc6d 
JhJd7c2s2d Ts5h4c3h3c Td8c6s6h2d Th6s4s3h2d 
Qs7d5h4s3s KhJc7h3s3d QcTd6h4h2h Qd8c6h5s2h 
8h6h5c2s2h 9d6s5s4s4c Jh7c4s4c3s JhTc6c5c2c 
KsQs9s9c3s KcTd7h6d2d Jh9d4s3s2d Jd8c6d5d2h 
QdJd9d6h2d Kd7s7h4s4c As9c4h2s2d JsTs7s5s2c 
JsJh5s3d2c Qd8d6h4s2c Qc9h8h5s5h Qd9d4c3h2c 
8d7d6h4d3d TsTc9s9h9d 9s8h6d6c3h QdJh7c3c2d 
8c6c5d2h2c AdQd5s3d2d Kc8c5c4h4d Js7d6s4h2d 
Kc9d5s4h2c Td8s4s3h2d 9s8h7s4s4c KsQh9c6d2d 
AcQs9d4h3h Ad4s4c3h3c As7d5s3c2s Ad8h8c7h3h 
KcTsTd3h2s Th8d6s4s2c Kh9s9c8c2d KdQc4d3d2s 
Qs9c8h7h2d Kc8h7c4d2s Qd6d4s4d2s QdJsJc7h2h 
QhQd7s5c2c KsTs8h7s2s Ts6s6d2s2d Kh6d3s3h2s 
Th8s6h4h2d AhTc6d4d3s QcTh4d3s2c Qh9s9c8c4c 
7c6c4h3h2c Kd6s3d3c2c 9h7d6d5c2d Qh9d5h5c3h 
QsQc7d5h2h Ks7d6h4s2c As4s3d2h2c TsThTc9c8h 
AdQc7h4h3h KhTc7d4h2h Ah8d6d5c3s 7s6d4c3s3h 
KhJh8s7h2h 6d5s5h4c3s Qd9c8c5s5c Ac8d6s2s2d 
Js8h8c6d3s 9h8d6d4s3c Qc9s9d8s3s Qc8c7s5c3h 
QsTc7d3c2d 8d5c4s3s2c 5c3s3h2h2c Qs8h7h5h5c 
Tc8s7h5s2d Td9c8d4h3d JdTd7d3s3h Kc8s7c5c3c 
Ad5d4h4c2d Jd9h3h3d2c 8h8c4c3d2h KcJc7c5c3c 
QdTs7c5h2s Ah7s5c4c3c JcTd6c4s2c Jd7s7h6c3d 
8d6d5h3s3d QhTs4h3c2d Kd9d4s4h2s JhJc7s2h2d 
Tc7d6s4d3d 7d5d4h3d2h Jh8d6h5h2c 8d5s4c3s2d 
Js9s5s5c3s Qh9s8s8d4s Kh9h4s4d2d Jd9h6s6c3s 
Jd9s6d4h4d Qh9d8d7d4d QdJh8d4d2c AcQh8s4d3s 
Td5c4c3d2s KsJc6d4c2h AcKd7h4h2s Kd7s7h3s2d 
JsTc4s2h2d KhQc7s5c2c 9c7c5c4s4c Qs9h5c4s2d 
Ah7s5d4d3d 9h7d6h5s2h QdJh3s3d2c Jh9d7h4s4h 
Jh9h8c5h2h QhJh8c4d2h KsJh8h8d3c Ac9d8c3h2c 
AsKd7c4h2c KsQc8c6d2c Th6s5c4s3d JsJd6d4d3d 
Ks9c6d6c3h Qd9d7h4c3s Qd7d5d4s4c KhQc6d6c2s 
QdTh4s4c3h AsKd8s4s2s KcTh7c4s2c KdTh7d4c2d 
9d7d5d4h3d KhQsQhQc6s Kc8s6h5s3d Kc6s3c2s2h 
9s5h4s4d2d QsQh7d5d2d Td5d4s3s3c KhQc3h2s2d 
Kc8c7s5h2c 9c7h7d4s3c AcKh8s4s2d QsTs7s5h2c 
JsJh5h3c2d JcTd5s3h2s Th9c6s6d2d 8s7c5d3c2s 
Tc8h7h5s2d KdQs8h4s3c Kd6c5h2h2c Ah9h7d2h2c 
Qc9s9d4c3h Ad9c5h5c4s AdJh7c5s2s KcTd8s8h3h 
Jh8c6h5h2d Jd6c5h4d3d JsJd6h4c2s KhJh8h6h3s 
Ah7s5h3h2d As9d5s4s2h Ts8h8d4c2h KhJh9h6h2s 
7d5s5h4c3d 8h6d4c3c2h KdQs7h2s2h JsJh5h3d2c 
Td5s5c4c2d QdJs7d2s2d QhJh9h2d2c Td6h5c4s3h 
Qd9s6h5c2c QhJs4d3h2c QhTs8d3s3c Qs7c5c2s2h 
7s7d5h4s2s Qh6h5d2h2d Kh8h6h4s4d Kh9s4d2h2d 
AhKd4c3s2c Qh9d8s6c2c 9d7d5d3s3c Ad8s7s7c2h 
Kh9d8c6d2s Tc8c7s5c2d KhQd7c5d2d Qd6s6c5s3h 
Kd9s4c3d2c KsJh8c6h2d KhJh9d4h3h QdTc6c4c2h 
Qh5s5h4c3d Qc6s4s3c2s 9d6h5h4h4c QsTc7h3h2c 
Ac8s7d5d2h Qc6h5s4d3h Kd9d7d5h2s 9d8s6d3h3d 
Kd8d6s4c3d Js9h8c4h4d As8d7h6c3h Kc9s4d3d2c 
AsQh7h7d2c Ac6h5s4d3h Th8c5d4s3s Kc4d3d2d2c 
Td9s8s4c3s Jd8d5d4s2h 8h6h6d3d2d Qs9h4d3s2h 
QdQc7h4c2c KdJs8c6s2h Qs9d5s5h3s Ad8c7s6s3s 
Qd8h8c5s2d KhJd7d5d2c 8d8c4s4d2h AdJh7s5c2s 
Ts8c7c6c2d AsQc6h6c2d KcTd6s5h2s Js9s8c6s3s 
Qc8h6d4s4h QsJd9s6s2s Td9d7d5s2c KsTh9d4d2d 
Qh9s7c4h3d Th8c7s4d3c Js8s7s5h3s Tc6s6c3s2d 
6d5s4c3h2d Ad7h6s6c3c QcJc6c4d2h As8s4h3s2h 
Kd8d7h2h2d Qc9s8d7c2c Td6c4c3d2h AcKs9s6s2s 
9h7h5h4s4h Td9s7s5s2c Kd9s4c2d2c 8h6h6d5s2h 
8d7h6h3s2d Qc6h6d4s3c Td6h6d2h2d 8c6c4s3s2s 
KcJh8s5h2h Qd8h6c5s2h Tc9d6h5c2c Jd6s5d4h4c 
5s5c4h4c3c Ad9c8s6h2c Ks8c7d3s2d Tc8d5s4h3c 
Ac8s8d7d3d QdJd9d2h2c Ts8h7c5d2h 5s5h4d4c2h 
Jd8d5d4h4d Kh6s4h4c2d Qc8h7s6c3c 6d5h4c3c2s 
Td6s5h3d2s KhTs9s4s2d Kd7h7c6h3s 9d6d4c2s2c 
QcTd7d5s2h KdJs7s3c2c QcTs8h4h2h Qh9s7d3d2h 
KcQc8s8d4c Ah8d7c6s3c 8c6c4s3s2c QdJc7d5d2h 
QdJd4d3h3d Ts8s7s5s5h Th8c5h4d3h Qs7c5c3d2s 
Qh9d9c8c4c 6h6d5c4s2c JcTc6c4h2s KdQd6s4d2d 
Ac7s6h6d3s Td7s6s6c3s Jh8s7h4c3d 9h6s4s3h2d 
Qc7d6s5d3d Qc6h5d4s3h Ac7s6h4s3d Js6h5s4s3d 
KcQs8s4d3h Tc9h7d5c2c AcTc6c2s2h JsTs6s4d2c 
9c7h6h4h3h Qd9h6h5s2c 8d7h6h3c2c Td6h4c3d2c 
Qd8c6s5h2s Td5s4c3s3c Qd6d5d4s3d QhJc9h3h2d 
6d6c4d2s2h Kd6s5s5c4s 8d8c4c3h2d KsTd6c4d2h 
Ad4s4c3s3h Jh9s7d6h2c KcTc9c4d4c KsQs9c4d2s 
6s5c4h3h3d KhTh7h6h2c QhJc7d5s2c Th8s8c7h3h 
Qc7h5c3s2s QsJc9d7h2d QcTs7d3s2d Ah8h5h2s2d 
As7c6h6d3c Qs9h7s5d2c KcQh8s3h2s Qc9h6s6d3h 
Jc9h7d6c2s AdTh5s5c3s Th9s7c5c2d KcTd3s3d2s 
Qh7d5h2d2c Tc6c5s4h4c Qs7d5h3h2s AhTc7c5d2c 
Kc9c4h3h2s Jc9h7s6c2d Kd7h4h3s2d Kh9s8d7s3c 
Ts8s6c4s3d Qd8c6h5c2s KhKdKc4h2d AhJhTsThTd 
7c5c4h3c2h KhTd8d4d3s Td6d6c3s3d AhJs4s4c3s 
Jc9s4h3c2h AhTc4s3h2h AsTs6c2s2h AhKs5d3d2d 
JhJc7d5d2s As6c4h4c2h Ac9s9h7s2d KcTd8s8h3s 
Qd9s9h8s3s 7c6h4s3h2c KdQd3h2s2c KsTs4d3h2c 
Ks8s6s6c3d KcQs6h6d2s Qs9c6h6d3c Qc8d8c4h3s 
Kh8d6s3s3d 8s5d4h3d2s Ad7h6s4c3h AhQs9d6d2c 
AcTd7s5s2h 8c7c5h3h2c 5s5c4d2h2c Tc5c4s3s3d 
Js9s5d5c3s JdTd6d5d2c Tc8d4h3h2c AhQd6h3c2h 
Td8d6h3h2h 8c6s6c4h2d Ac9s8s6s2d Ac8s8d7h2s 
Qs8c6d5h2d 8s8c6s4s3s KcQh9s6d2d KdTs8c3h2d 
Jh6s6h5c3h KhQc8s7h2h Js7c4h4c3h Jc9c8c5c2d 
Tc9h5h3s3d QhJd8c4c3s Tc7h6h6d3h 8c7c5h4d2c 
AcJc7c3d2h Qs6s4s4h2h QdJd6d4c2h Ks8h6c3h3c 
Th6h5d4s4h Ac6c3d2d2c 9d8h3d3c2h 9c8h7c4s3d 
QdTd5d4s2d Kd9d5s4h4d QhJd9c4s2c Tc8h6s6h2d 
9d8h7s3d2h Jh8h8c7s3h Kh8h8c6s3h KdQd8d5c3d 
Tc6s6c3d3c KsJh5d3s2s QsJs5h3c2s Ac7s7h3s3d 
Jd8s8c3s2d 7s5d4h3d3c QcJs4h4d3d Kd9s4h2h2d 
Kd8s6s5s3c AdQc9c2s2h 9s9d6s5s2s 8h6h5s4h2h 
QsTh9c3d2d KdQh8h3c2c QdJd5d4d2c KcQd9s6h2h 
AhQh7s7d2h Td4s4c2d2c KhQc7s4s3d Jc9d9c4c3c 
QhTh4h3d3c Jh9d9c4s3s Ad6s5c4h3s TdTc8s4h2s 
KcQc9s2h2d KcQh4s3d2h Ad8d7d2s2c QcJc9s2d2c 
Qd8d6s4h2c Ts6d4h3s2h Ac6s5s4s4h Kh9h7d7c2s 
QsTh6h4h2c Js8h7s4d3c 9h5c4c3h2s KhQd6d6c2s 
Qc9h8s7c2c Jc9s9c5c2c 5h5c4d2s2c Qd7s5d2s2c 
QsQc7h5h2h AsTh5d4d3d Tc6h5h4s3d Qs9d8d6h2d 
Qh9s8c5d2c Js9c5d3h3c Qd9c5s4d2h Ks9h6h6d3c 
9d8s7h5s2s 6c5d4s3s2h 7s7h3d2s2h Qd9h9d5d2s 
QdTc7s5h2c QdJh8h7s3h AsTc5h5d3h Qh8h6h5h3s 
JhJc5c3d2s QhTh7c3h2c As9c8c6c2h Qd6c4c2s2d 
KcQs9d5h2d Jh9c7c5c2s AdJsJhJd3s Qh7h7d4h4c 
Tc8d5c4h3c Ts7h7d6c3c 9c8c6h6d3c Th6s5s4c3s 
KhJh8h4s4c QdTh6c4c2c Qs8s4h4d2h 8s7d4s4d2s 
Kc9h4d3c2d AcKh8c4c2c JcTh8s3d2s Jc6h6c5d3c 
Kc9h9d6d3d KsJc8d5c2c KcJc8c4s4h AsQc8d4h3d 
AsQh7d4d3d As7d5c4c3c 7h7d5s4c2h 9d6s5s3s3c 
KdQc7h5c2c Td8h7c4s3h Jd6h5s4d3d 9d7s7h5c2s 
Ah8c4h3s2d Qh8s5d4h2h Kh9d8c6d3d KhTsTc4s2s 
AdKs9s2s2h Qd8h4h4c2d 8s8d7d4d3c KsQd6d6c2h 
KdQcJs7s2s As7h5s3s2d Ts9h5h3d3c KdQsQdQc6s 
Tc8c4d2d2c Th8s8c3d3c QhJh9c3d2h Kh9c6d4s2h 
Qh7c5h3s2s Jh8d6d2h2d QhJh9h8h4h Kd9d4h3h2s 
Tc8s8c4c3h 9h6h4c2d2c 8h6h6c4d2s AhKc8c2s2c 
Jd8d6d5d2h Kd7d5d4d3h Ks9s5c4s4d Kc9c6c4d3h 
Th6d5c4d3s Jc7c5s3h2s Ah7c5d4d3d Jh6d5c4s3d 
Qh9h4d3h3d QsJd7h3h2s AdTh9h4h2c QhJd7h5h2c 
Ts9h7h5h2c Kd8s6h3s3h Kc7s6c4d2h Js8c7s2s2c 
Qd8s7d6c3d AhTs4c3h2h JhTd5c2s2d Qs9s6c4d2h 
Tc9c8s8c4c 9h8s6d4s2c Js9c7c5c2d Th8h7d3s2d 
QcJs7d3d2c Tc8s8d7c3c TsTc8d4h2d Qs8h5d5c4h 
Qh9h4h4c3c Th6c4s4h2c KcQh9s4h2d Kc6s5d2s2d 
KcTh4s3c2d 8s7d6c4d2h Tc8c6d3d2d KdTd7c3h2s 
KsJs8h4s3c KhQs7d5s2s KhTh5d3h2s Kh9c7d7c4c 
