Kd8s3s3d3c 
9d5c4s4d4c Ac7s7h7d3s TsThTd6h2s Qd7d3h3d3c 
TsThTdTc2c QsQdQc4h2c Tc9s9h9d2d JdTs2h2d2c 
Ah4h4d4c3h Jc9h7s7h7d 7d6c4s4h4d KhQd7s7d7c 
6d4d3s3h3c 9h4s4h4c2c Tc9h9d9c3s Td9s9h9c2s 
AcTc3s3h3d Kh9s9h9d3c 6s6h6c4d2s 9s6s6h6d5s 
8s6s2s2d2c Js8h8d8c4h Js8c4s4h4c Tc6s3h3d3c 
9h3c2s2d2c 8s8h8c6s3s Td8s8h8c5c Kc9h9d9c5c 
Jc9s9h9c6d Kd9s9h9d2c Qs3s3h3d2s Qd9d6s6h6d 
Qd5s5h5c2s QhTc3s3d3c Qc9s9h9c2d 8d7c3s3d3c 
8c6s6h6d6c JhJdJc5c2c 9s5s4s4d4c Jd7s5s5h5c 
Th6s2s2h2c 8h8d8c2s2d Jc6s6h6d4d Qd8s3s3h3d 
8d5h5d5c3s QsQhQc9c2c Ks3c2h2d2c Ks9d4h4d4c 
AsQs6s6h6d Ac8s8h8d5d KcQc4h4d4c Th6s6d6c2c 
Ks9s4s4d4c 8s4d2s2d2c 9c7h7d7c2c QcTsThTd4s 
Qd4d2s2h2d 9h9d9c2s2d TsThTd7c5h Qs7h7d7c6d 
7h4s2s2d2c Qs8s8h8c2s Kd8h4s4d4c Js9c2s2h2d 
QsQhQd4c3d 7s7h7c4h2h 7h6c2s2h2d Qd5d4s4h4d 
Qh4s4d4c2c 7s4h2s2d2c TsThTd8h3h Tc9s9h9c4c 
JsJhJc9d2c QhJs5s5d5c Jd6s6h6c4s 6s5s5h5d3c 
8s8h8c4s3s Qc7s6h6d6c 9s4s4d4c3c 9h5c4s4d4c 
Qc9s4s4h4d Tc5h5d5c3c 7c5s4s4h4d 6s6h6d4s2c 
Kd9d3s3h3d QsQhQdQc5s QsQhQc9d2c 8s8h8c5h4h 
6s6d6c4d2h Qh9s3s3h3d Th5h4h4d4c 8s8h8c4c3c 
8s8h8d8c3h QsQhQd3c2s ThTdTc7d4s Ts8c4s4h4c 
8h6s6h6c2h Qc5h2h2d2c 6s6h6d3c2c Kh3s3h3d3c 
Qc3d2s2h2d Td5s5h5c3c Js6d4s4d4c 3s3h2s2d2c 
9h9d9c6h4h 9s9d9c5c2s 8c6h2h2d2c KdQd6s6h6c 
5c4s4h4c2h 5d4s4d4c2h 6c4c3s3h3d KcJs4h4d4c 
Tc8c3h3d3c QhTsTdTc4c Kd6s3s3h3d Qc8h8d8c7c 
8c5h5d5c4s Tc3s3h3d3c 9d8h2s2h2c 8s8h8c6s3d 
9c6s6h6d6c TsThTc3s2h 9d8s8h8d2d Kh9d2s2h2d 
Th4s4h4d3h Tc9d6s6h6c 8h7h5h5d5c Qd6d2h2d2c 
Jh8s8h8c4h Th9h9d9c5s Kh3h3d3c2h Kc4s4h4d3c 
JhJdJc7c2d Ah6d3s3d3c TsThTc8h5d QdTsThTc4c 
7s4s3s3h3d AhJd3s3d3c 7d4s4h4c2d 7d3h3d3c2h 
8s7s7d7c5s Jh7c5s5h5d QsQhQdQc7h Kh4s4h4d2s 
As7d3s3h3c Kh8d5s5d5c Qs8s8h8c2h 8c7s7h7c5d 
Tc6h2h2d2c TsThTd2s2c Qh7h7d7c3c 9c7c4h4d4c 
As5s5h5d2s Ah8s8d8c2c AhQh6s6h6d Th8d4s4h4c 
9h7h3h3d3c Js9s9d9c6s Kd8h8d8c5d Jc5h5d5c2s 
Ts8h7h7d7c Ts9s5s5d5c Qd9c4s4h4c Ts8d5h5d5c 
8s7s7h7c2d Qd7h7d7c5s JcTh3s3h3d Qd6s3s3h3d 
Qs9d3h3d3c Jc8h8d8c6s KsKhKd6c2c Tc8d7s7h7d 
QsQhQc7h2h Qc7h2s2d2c KcJc5s5d5c Qs8h2s2d2c 
Tc8s3h3d3c Kh6h6d6c4s JhTh5h5d5c Jc5c2s2d2c 
Tc6s4h4d4c KsTd2s2h2c 6s6d6c4c2h 9s8s8h8d3c 
Kd9c6s6h6c 7d5s5h5c3h 9h7s7d7c2s Jd9s9h9d3d 
Kh8s8h8d4c Js5s5h5d3d 6h4c2h2d2c Td4s4h4c3c 
9s9h9d6c4h Kd9s9d9c5d QdJd3h3d3c Js3h2h2d2c 
Kd6s4h4d4c Ad7s7h7c2h Kc6s2s2h2d 6s4s2h2d2c 
Kd8d6h6d6c 9c4s4d4c3c 8s4d3s3h3d Ah9s9d9c4h 
8d6h6d6c3s JsJdJc7d4h 7d4h4d4c3c 8s8d8c3h2s 
6s6h6d4c3s QsQhQd5c2s Td7d3s3h3d Jh9h5h5d5c 
9s6s6h6d2s Kh9s9d9c6d QsJs2s2h2c JsJhJc5d4c 
8d7c4s4h4d Td7h7d7c3s 9h9d9c8s5h Jh5h4s4h4d 
KhKdKc8d3d 4s4h4d3d2s JhJdJc7h3h JsJdJc8h3s 
Qc9s9d9c3c 7s5s5h5d2s 8s6s6h6c2h 9c4h2h2d2c 
Th6s3s3d3c 8c5s5h5d4c Qh4h3s3h3c 9c5s5d5c4s 
JsJhJd3h2h 8c5s3s3h3c TsThTc7h2h Td9h9d9c5d 
Tc7s7h7c6c QdTsThTd3d Ad7h3s3d3c Ac9c6h6d6c 
Qc8s8h8c7c KsThTdTc4s 9s8c3s3h3c TsThTd8d3c 
Jc6s6d6c3s 7d5s5h5d2h 8d3d2s2d2c Qh5s4s4d4c 
Qs7s7h7d5c 9c7s4s4h4c 9d8s8d8c2c Kd7s7h7d7c 
8d7c2h2d2c 8s8h8c7c2h Kc9d6s6h6c Qh6h6d6c5h 
Ts4h4d4c2d 8h8d8c7s4d 8d3h2s2h2d Ac9s9h9d4c 
QsQdQc7s3h Qc6s3s3d3c 9d7d3s3d3c Ks9c4s4h4c 
8d7s3s3d3c 7h5h5d5c2d Td5h2s2h2d 9h9d9c7s2h 
Kc7s7h7d2d JsJdJc6c4h Ts7s6s6d6c Jc8c6s6h6d 
8c5s2s2h2d 9d6s4s4h4d 8s8h8c4h3d Jd6s6h6d5d 
Th4s4h4d2c 9d5s5h5c3d Kd7h7d7c5s JsJhJc6c4c 
KdTsThTc4s Qd8s5s5h5d Qd8s8d8c4s 9s9d9c8h2h 
8c4s3s3h3c 9s9d9c4c2d Ad9s9h9c5s 8h8d8c5s4c 
Jc4h4d4c3c As7c2h2d2c Qh5h3h3d3c Kc6s6h6d2c 
KdTc4s4h4d 8s8h8c7s4s Js7c3h3d3c Jd9s9h9d2c 
TsTdTc5h4h QhQdQc7h2h 8d7s7h7d3s Qs6d2s2h2c 
Jd6s3h3d3c Tc5s5h5d2d QsJd4s4h4c 9c6h4s4h4c 
Ks5d2s2h2d 3s3h3c2h2d Kc9c5s5d5c 9h7s2h2d2c 
Qd5s5h5c2d 8c7d3h3d3c Tc9h2s2h2d Th5c4h4d4c 
ThTdTc4d2c KcQc3h3d3c Kc5s5h5d4s Js7h7d7c6s 
Kd3h3d3c2c Kd7s7h7d2s Ad8s8h8d2d 7h4h4d4c2s 
AcTsThTd4d 9s9h9d4s3h 7d4s4h4d3d Td3s3d3c2d 
6s6d6c3s2h Kd5s5h5d3d 8d4c2s2h2d Kc7s7h7d4c 
Tc5h5d5c2h 9d5c3s3h3d Th8d5s5h5c Tc8s8d8c4c 
KsQc2h2d2c Qs6h6d6c5h 8c7h7d7c4s 9c7s7h7d5s 
Ks9s3s3h3d 7s3s3h3d2c 5c4s4d4c2d Qd5d4s4d4c 
9d6s6h6d5d As7h5h5d5c Tc9s6s6h6d KdJs6s6h6c 
Kc7s7d7c3h 8c7h7d7c3h TsThTd3c2c 8s6s6h6d2s 
Ac6s6h6d2d JsJhJd5h2h 9d8s8h8d3c 8d4d3s3h3c 
Jh7h3s3h3c 5h4s4h4c2c 5d3s3h3d2s Qs7c6h6d6c 
7h5h5d5c4s 7d4d3s3d3c TsTdTc6c4h 7c4h3s3d3c 
9s4d2s2d2c 6s6d6c3h2c Js5s3s3h3d Ts7h7d7c3c 
9h7c4s4h4c 8d7s3h3d3c Tc3d2s2h2c QsQhQc6d2h 
Jc9s9d9c5h Ks4s4h4c3s 9h9d9c5s3h KsKhKd8d3d 
7s7h7d4d3c TsTdTc5s3h Kd4c2s2h2d 7h7d7c4s2c 
7s7h7c6c2h Jc4s4d4c3d KsQc2s2h2d 5s3s3h3d2h 
9c7s7h7d2c 9d7s7h7c6d Tc9h5h5d5c Qc5s2h2d2c 
JhTc6s6h6d 9d7h7d7c4d 7c6s3s3d3c Qs6h4s4h4c 
6s6d6c4h3d 7c3s3h3d3c KdJd7s7h7d Qd7h7d7c2c 
TsTdTc8s3s Kd6s2s2d2c Jc9c6s6h6c JhJdJc7s3s 
Qs8s8d8c5h Jd6d5s5h5d 9s9h9d8h3h AhTs5s5d5c 
8h8d8c3s2c Qc3h2s2d2c QcTd4s4h4d Ks7s5s5h5d 
Jd8s5s5h5c Th8s8h8c3s 8c6s6h6c2c KsThTdTc3h 
Qd7d3s3h3d Qd8d6s6h6d Ac4s4h4c3c QsQhQd4c2h 
6h5s2h2d2c Qh9s9h9d3d 9s7s2s2d2c 7d7c2s2h2c 
9h9d9c5s4h Qs7d2s2h2d 8h4s4h4c2h 7s7d7c4d2h 
9s8s8h8d8c Tc5s5h5c4c KsTs6s6h6d Qs7d4s4h4c 
Kh6s5s5d5c Js6h6d6c2c 9s9d9c4c3c 7d3h2s2h2c 
KhQh4s4h4d Th8h2h2d2c KcQc5s5h5c Kd9s5s5h5c 
Jh8c7s7d7c 8c4s4d4c3d Jc9s9h9c4c 9s5s4s4h4c 
9s9d9c8c3h 9h4d3s3h3c KsKhKdKcQc ThTdTc9h4h 
Td7c5s5h5d Ah8s8d8c3c Jc6s6d6c2s 6h6d6c5h2s 
Jd5s3h3d3c Ks8s5s5h5c 9h9d9c4s3s 9s9d9c7h2h 
JsJhJd6s4c Kh8c5s5h5d Ts7s7h7c2c Qs4s4h4d4c 
Tc6s6d6c4c Kc6s6h6d5d 5s5h5c4d2s Jd8d6h6d6c 
8d5h4s4d4c Jd9s6s6h6c Jh8d3s3d3c 8h6s6h6d2s 
8s4d3s3h3c 6d5s5h5c3h TsThTd3h2d Tc7s5s5h5d 
TsThTc7c4d Jd4h4d4c2c Tc6s6h6d5h QsQdQc9h2d 
Jh9c2s2h2c Jc9s9h9d9c 8d4s3s3d3c Ac7s7h7d6s 
Js9h9d9c6d 9h3d2h2d2c JsJdJc6s5s Qc8d2s2h2c 
Jh6c5s5h5d Jh5s5h5c3h JdTh5s5d5c 8c4s4h4d3d 
Ah9h3s3h3c Ks6h6d6c2d 8h7s6h6d6c AdQd2h2d2c 
Th6s6d6c2d KsJh4h4d4c Qc9h4s4d4c Qs5s5h5c3s 
8s5s4s4h4d Kd4h2h2d2c KdThTdTc3d 9s3s3h3c2s 
Jc6h5s5h5d Qc7s3s3h3d 9h6s6h6c2s Jc7d5s5h5c 
Qs7c5s5h5d 7s7h7c3d2d Qd8c6s6h6d Ad7s2h2d2c 
8c7d2s2h2c Ts9d5s5h5c Jh7s4s4d4c Kd9d5s5d5c 
Qc8c7s7d7c 9c8h3h3d3c JsJhJd4s3s Kd5h5d5c2d 
Ac9s9h9d3c 7c6h5s5d5c Th7s5h5d5c 7h5s3s3d3c 
Ad8d6s6h6d Qh9s9h9c2h ThTdTc4c3h 5h4c3h3d3c 
TsThTd8c2c 8s8h8c7d4h Th4s4h4c2h 8d6c2s2h2d 
Tc6s4s4d4c 8d7c5s5h5c JsJdJc5s4s Ts4c3s3h3d 
Td3h2s2h2d Qc8s8h8d3h ThTdTc6s4h 6d4h3s3h3d 
AsQs7s7h7c 7d5s5d5c4d 9d8h5h5d5c KdTh7s7h7c 
AsJs4s4d4c 8d4s4h4d2h Jh8s7s7d7c 9c3s2h2d2c 
Jc7h7d7c4c Kh8h4s4d4c Td5h5d5c3s 8d3c2h2d2c 
8d6s6h6d6c 9s9d9c5s4s JsJdJc6c4c Th4s3s3d3c 
4s4h4c2d2c Jd9s9h9c2c Kh7h2s2h2d Kc9s9h9c3d 
Qs9h3s3h3c Ad8h4s4h4c QdTd4h4d4c Qc9s9d9c7c 
TsTdTc3h2d Qc9h9d9c4d 5s3s3h3d3c Jd8d7h7d7c 
7d6d5s5h5d Kc8h8d8c3c 9s9d9c8d2d 7d5s4s4h4c 
6d5s5h5c3c 6h4c2s2h2c Tc8c2s2d2c 5d3d2s2h2c 
7h7d7c5s2h Js4c3s3d3c 6s4s4h4c3s Js8d4s4h4c 
Ts8s2s2d2c 7h6s6d6c4h 8c7c6s6d6c Js9s3s3d3c 
Jc8h2s2h2d 8d7h2s2h2d Qh4h4d4c3d Qh7s3s3h3c 
Jh8h3h3d3c Kd4d2h2d2c 7c5s5h5d4h Ts9s9d9c3h 
9h4s4d4c3s 8d4h4d4c2d 5d4s3s3h3c Qh4s4d4c3d 
QsJs8s8h8d Js7s7h7c3d Qc4d2s2h2d 7h7d3s3d3c 
KdTs6h6d6c 6s6d6c4s3h 9d5s5h5d4h TsThTd3s2d 
9d8s8d8c3s 9c7h5s5h5d Tc5s3s3h3d Jh9c3s3h3d 
Ah4s4d4c2d Qs7s7h7d2h Jh8s6h6d6c 9s8c2s2h2d 
ThTdTc8s2d Td7s7h7d3s 8h6s6h6c2s Kh7s7h7d3h 
TsThTc4h2d Td2s2h2d2c 4s3s3h3d2h Qc9s6h6d6c 
8h8d8c7h3c Tc9s3h3d3c JsJdJc8d4d Qh4d3h3d3c 
Jc5d3s3h3c QhTsTdTc3s Qs7s3s3d3c 9s8s8h8c2h 
KsQh4h4d4c Jd8c6s6h6c Jc7s7h7d5c 9s9h9d5d4d 
AsJc7h7d7c Tc8h5s5h5d 9d7d2h2d2c 9h9d4s4h4c 
Ac7s2h2d2c Ts5d3h3d3c Ad9c2s2h2c Jc8c7s7h7c 
Qc7s7d7c2c 9s9h9d6h4c 5s5d5c4c3c 9h6s6h6d4c 
6h5h4s4h4c 8h8d8c4c3d Qh6s6h6d5c 9h6h6d6c2h 
8c7s4h4d4c KhTsTdTc3h Ah4s4d4c2c ThTdTc5s3s 
Qh6s6h6d3d 8s8h8c4d2c Js5c3s3h3c 7h6s3s3h3d 
9s9h9c6d4d 8s5s5h5d2d 9d7s7h7d3d Kh9s9h9d6h 
Th3c2s2h2c Ts8s8h8c5s 7c4s2s2d2c 6d3s2s2d2c 
QsQhQc7d5d Tc9c7s7h7d Jc6s2s2h2c Jh6c2s2h2d 
7s6d2s2h2c Qc5c4h4d4c 6d4s4h4c3s Ad4s4h4d2c 
Kh8s8d8c6h JsJhJc8d2s QsTsThTd4s 7d4s4h4d4c 
Js9s4s4h4c 7h5c4s4d4c Kd9s9h9c2d Ks5s4s4h4c 
Qc9c5s5d5c As5h5d5c3d AdTd3h3d3c Kd9h4s4h4c 
JsJhJc6s2h Ts5s5h5d4c Js9c2s2h2c AdQs7s7h7c 
Ac6c3s3d3c Ah7s7d7c4c 7s5s5d5c4h Js4s4h4c3d 
7d4d3h3d3c 9s6s6d6c4h 9c6c4h4d4c KsJs8s8d8c 
JdTh3s3h3c Kd9d4s4h4d KhKdKc7h2h Qh5s5d5c4d 
Ah5s5d5c3c 6c3s3d3c2d TsThTd7s2d 8h8d3s3d3c 
Ks9d2s2h2d Ad6h3s3d3c QcTs2s2h2d Ah3s3d3c2h 
8d7h2h2d2c KhTd2s2d2c Td6s6h6c3c Qs4s4h4d2s 
Tc6h3s3h3c AdJh6s6h6c Ts6s5s5d5c As6s3s3d3c 
9h4s4d4c3h Kd9s9h9c2h Td8s4h4d4c 8s6h3s3h3c 
9s9d9c5h4d Kd9h6s6d6c As7h3s3d3c Td9s9h9d2c 
Ks8s8d8c5h Qh9h8s8h8c Ac3s3h3d2c ThTdTc8s5s 
9d7s7d7c2c 9s9d9c4s2s Tc4c3h3d3c 9c8s8d8c6c 
Kc6h3s3d3c KdQh6s6d6c ThTdTc7h3s 8s8d8c3h2h 
Ks4h4d4c3c 6s6h6c3c2h 8s8h8c7c2c Ad4h3s3h3c 
JcTh6s6h6d Qc6h6d6c4s Qs9s9h9d7s KhJhJdJc2h 
Qs8h4h4d4c Ks9s4s4h4d Js6s2s2h2d Kd9d6s6h6d 
9s6d3h3d3c JhJdJc9h2h Js7c6h6d6c 9s9h9c6s2s 
Tc4s2s2h2c 6h6d6c4s2d KsThTdTc4h As9s5s5h5c 
KsQh6h6d6c 7h3s2s2d2c Jd4s4h4c2c 7s7d7c3c2h 
Qs5s5h5d2s Ac9s9h9d9c Kh9s4h4d4c 4s4h4c3s2c 
9c4s4h4d3s Th8s8h8c5d 5d4h4d4c2h 8s8d8c6s3h 
9s7d5h5d5c 8h4s4d4c2s TsThTd5h4h QcTsThTdTc 
8s7c2s2d2c Qh6s6h6d6c 9s9d9c6s4h Ad4s4h4c2d 
8s8d8c3s3h QsQdQc8h3s 8s8d8c7s3s 4h3d2h2d2c 
Js9h9d9c6h 8h6s6d6c5d Td8h5h5d5c Td8c6s6h6d 
Tc5s5h5d3d JsJhJd9c5c 9s5s5h5d2s ThTdTc8s3s 
Th8h3h3d3c QsQdQc8c2h TsThTd4c2d Qs8s3s3h3d 
Tc7s7h7d3h 9s4s4h4d3h Jc8s8h8d2d JhJdJc4s2c 
6d5s5h5d4c Qs8s4h4d4c 6s6h6c4s2d JsJdJc4c3h 
8d7d5s5h5c KsQd4s4h4c Kd5h5d5c4d 4s4h4d4c2h 
6s6h6c3s2h QhQdQc9d2d Kh6h6d6c2c 9h8c6s6d6c 
Kc9s6s6h6d 6s4s4h4d3d 9h8h8d8c5h Td6c5s5h5c 
9d4s4d4c2h Jc3s2s2h2d KcThTdTc4c 6s6d6c3h2s 
Qh5h3s3d3c ThTdTc9c2c 5s5h5d4h2c QsQhQd9d2d 
Kc7s7h7c5c 6d3s3h3d2c Th9d6s6h6c As5s2s2h2d 
8s5h5d5c3h Qs6s6h6d2c KhJs8s8d8c 9s9d9c4c2c 
Ac4d2s2h2d JsJdJc7s5s 9s9d9c7s2d Kd9c3h3d3c 
7h3d2s2d2c 9c8c3s3h3c 5s5d5c3s2s Qh6h2s2h2c 
Qh9s9d9c2s Jc9s9d9c5c Ts6h6d6c4h 8s4s4d4c2d 
Qs3h3d3c2c 7s7d7c4d3h Ks8s5s5h5d Td7s7h7c4h 
8d8c3s3h3c Ts9c3s3h3d 9s9d9c3c2s Td5d4s4h4c 
Tc9s9h9c4d 9c7s7h7c2h 7h4h3s3h3d Js9s9d9c2h 
8h6h2h2d2c Ad9s9h9d3d Kc7s2s2d2c 5d4s4d4c3h 
7d6s6h6d5d QsQhQc4d2s QhQdQc5s2c JhJdJc8s4s 
9d4h3s3h3d Td8h4s4d4c 7s7c3h3d3c JdTd4s4h4c 
7d5s2h2d2c Qs8d4s4d4c Ad8s2h2d2c 9c8s8h8d2h 
7h7d7c4d3s 8s8d8c7d3s Th9h2s2h2c Qd7h2s2h2c 
9s5c2h2d2c Js7h4h4d4c 6h6d6c5h4h 9h9d9c7s4c 
8h8d8c4d2h 8h7c2s2d2c JdTc6s6h6d Jd4h3s3h3c 
Th7c5s5d5c Ac3s3h3d3c Ad6s4s4h4c 7s7d3s3h3c 
9s9h9c3s2d 8s8h8c4c2s Kh8c2s2d2c QhQdQc8d3d 
Jd9s4s4h4c 9h3h2s2h2c KcQs7h7d7c 9s9d3h3d3c 
Qd3c2s2h2d Tc9h2s2d2c 9h9d3s3h3c 8s4c3s3d3c 
Jd9s9d9c2d Jh9h3s3h3d Ah7s7h7c2d Tc3h3d3c2h 
QhTh4s4h4c Ts4s4h4c3c 4c3s3d3c2s Qh7s7h7d3c 
7s4s4d4c3h 9d6c5s5h5c Jh9c4h4d4c JsJhJd7c2d 
JsJhJd7c2s Qh8h2s2d2c Tc5s5h5c3s Tc5h3h3d3c 
9d8s8h8d2c 5s5d5c3c2h Tc8s8h8c2s 8s3s2s2h2d 
JhTc4s4h4d QhQdQc8h2h Js9h9d9c4c Jd6c3s3h3c 
Jc8c3h3d3c Th7s7d7c6c JdTd6s6h6d Ah6s6d6c3s 
Jd7d2s2d2c 8d6d5h5d5c Ts5s3s3h3d Kc9s9h9d6h 
Jh6h6d6c5h 6s6d6c4c3h JsJhJd5s2c 8s7s5s5h5c 
Jc6c4h4d4c Qs8s8h8c4d AcJc2s2d2c 7s7h7c4c3d 
8s5d2s2h2d Kd7h2s2h2d 9d6s6h6c3d KdTs4s4h4c 
Kc6h6d6c5c Kc6h3h3d3c Jc4d3h3d3c 8h4d2s2d2c 
TsThTd9d2d 9s9h9c8s5s QsQhQc8h3h 7d4h3s3h3c 
Qh8s8d8c2c Jd6c5s5h5d 7h7d7c6h2c Kh3d2s2h2c 
8d7d4h4d4c 8s8d8c5d4d Kc6s6h6d5s Ts7s7h7d7c 
9s8h8d8c4c Jh9s6h6d6c 6s4c3s3h3d Ac3h3d3c2s 
9h4s3s3h3c Kc3s3d3c2h Qh7d3s3h3d Td6h2h2d2c 
9c5c2s2d2c 9s9h9d7c3c Jh6d3h3d3c Js3s3d3c2h 
8c6c5s5h5d 9d4s4h4d3h Js5s4h4d4c JsJdJc9s3s 
QhJd2s2h2c 5h5d5c4h3s 7d6h6d6c4d Jd5d4s4h4c 
9h7s7h7d2h 8d6s6h6c4d 6h4s4d4c2s QhQdQc4s2d 
9d3d2h2d2c Qs6s3s3d3c JhJdJc4d2d Th7s2s2h2d 
6h6d6c3s2d QsQdQc6c2h Jd9c6s6h6c Th8h4s4h4c 
Th6s6h6d2s Jh5h2s2d2c 9s7s7h7d2d 5s5h5c3s2d 
TsThTc7d2h JsJdJc9h4h 9h5s5h5c4c 6s5s2s2h2d 
9s9d9c6h2c Td6h6d6c5s 9s9h9c3d2s Kd2s2h2d2c 
7h3h3d3c2s 8s5h5d5c2d Kh8h7h7d7c 6h5d2s2d2c 
Td4s3s3d3c Kd6c2s2h2d 8c7d3s3h3d Ah6h2h2d2c 
9s5s5h5d3c Qs6s6h6d3s Kc9s9h9d4h Ks4d2s2d2c 
3s3h3d3c2h 9c5s3s3h3d Jh8h7h7d7c TsTdTc8h5h 
Ts6d3h3d3c TsThTd7c5c Td7h5s5h5c 7h7d7c2s2d 
8d6h6d6c3d JhTc4s4d4c As8h5h5d5c 4c3s3h3d2d 
Ad8s6s6h6c 8d5s5h5d5c 8d4d2s2h2d JhJdJc3s2s 
Kc7h7d7c2s Jd4c2h2d2c 8h6s6h6d2c JdTs4h4d4c 
Tc4s4h4c2c 9c7c5s5h5c 6d3d2s2h2c 7s7h7c2d2c 
8c6s4s4h4d Kh4s4d4c2s 8d7s7h7c3s TsTdTc7h5c 
Qs7s7h7d2c 7d5d4s4d4c Td6h6d6c3d TsThTdTc2d 
KdJs6h6d6c Js7c2s2h2d 6d6c2s2h2d 9d6s6h6c3s 
7h6h2s2h2d 9h8d5h5d5c Jc8s3s3h3d Jc9s4s4h4d 
8c4h4d4c2d Th5s5h5d3s TsThTc5d2c Js7s7h7c6s 
9h7h3s3h3c JsJhJc5d2s JcTs6h6d6c Th9h5s5h5c 
Qs4s4h4d3c Ts7c6s6h6d Qd7s7h7d3d Jc5c4s4d4c 
9h7d5s5d5c 6c4s4h4d2h TsThTc4s3h Tc9c4s4h4d 
9d6s6h6c3h Js6s6d6c3d Qd8h2s2h2d Qd2s2h2d2c 
Kh7s3h3d3c 8s7h7d7c3s 9h7s7d7c4c 5c3h2s2h2d 
KsQs4s4d4c 8c7h6s6d6c Jc6s6d6c3d As7c2s2h2c 
6c5c3s3d3c Ts8h3h3d3c Td9s9h9c5h KcQd7s7h7d 
Jh8h5s5d5c KhQc6s6h6d 8s8d8c6h2d 9h7h4s4h4c 
Kh5s5h5d4c Ts4s2s2h2d 7d4s4h4c2c 6s6h6c5d3d 
9h7d4h4d4c Qs8s8h8d8c QsQdQc8h5h Td9s9h9c2d 
Qh4c2s2h2d 5s4c3s3h3d 9s3s2s2h2d 8h7h4h4d4c 
7s7d7c6s4s Kd8d5s5h5c Ac9s7s7h7d JsJdJc4s3h 
8s8d8c7s2d 8h8d8c3h3d TsThTd6s4s Kh4h2s2h2d 
Kc9s9h9d6s Kc8s8h8d6s Kd6s6h6c3h Qh8s8d8c4s 
Th5s2s2h2d Tc4c3s3h3c Kc9s9d9c3c 9d9c2s2h2d 
Kd4s4h4c2d Ah3h2s2d2c Ad5s5d5c3d 8d4c3s3h3c 
6h6d6c4d3s JsJdJc4c2c 8c5s5h5d2c 8d4s4h4c2h 
9h8s8d8c5s KhTs5h5d5c Th7h3s3h3c Ad7h2s2d2c 
Jd7s7h7d2h KdJd3s3d3c AhTc4s4d4c KcQsQhQdQc 
8s5s5h5c2s 9s9h9d9c5h 9h6c5s5d5c 8s8d8c7s2h 
Tc8s8h8d3s Td8h8d8c4d Jd6d2s2h2c Th4s4h4d2h 
QdTs5h5d5c KsJh7s7d7c ThTdTc8s3h 9h9d9c4s2d 
Ks8c2s2h2d QsQdQc5h2h 7s7h7c5s2s 8d5s5h5d4d 
Kd3s2s2h2d 7c5h3h3d3c Ad8s8h8c6s 7d4c2s2h2c 
Jd6h6d6c3c 8s6h3s3h3d 8s8h8c7d2s 9h9d9c6s3c 
Kc4c3s3h3c 8s6d2s2d2c KdQd2s2h2d KdTh6s6h6c 
Tc3d2h2d2c 9c5h5d5c4h Qd8d2s2d2c Td5s5h5c2d 
QhQdQc7d3s 9h8c5s5d5c 8h5c2h2d2c TsThTc9h4h 
Ah3s3h3d2c 5s5h5d5c2h Jc9s9h9c5c Qh8h4s4h4c 
Th6c5s5d5c Jc8s8h8c3s Th6h6d6c3h 9h7h2s2d2c 
9h8s8h8c5h QsQhQdQcJd Td7h7d7c2c Js7s7d7c3c 
ThTdTc6d2s Qd6s6d6c2d Td6s4s4h4c 8c4h4d4c3c 
8c7s2s2h2c TsThTd6h3c Kh9d4s4d4c Ks8c4h4d4c 
9s9h9d5s4c Jd8d7s7d7c AsTs6s6d6c Jc6s6d6c3c 
9d3h2s2d2c KsQc5h5d5c As9h9d9c5d TsThTd9d3d 
7s7d7c6c2s 7s6s6d6c2h 9h4s3s3h3d Ts7s3s3h3c 
Qd9s9d9c2d Jd8s8h8d3c 9d6s6h6d2h ThTdTc7c2c 
KhJd4s4d4c TsThTd4h4c Jc9h6s6d6c KdJh3s3d3c 
Ad6d2h2d2c Qc9c6s6d6c Ks7s7d7c2s Jd5h5d5c3d 
AhQc3s3d3c 7s3s2h2d2c Js8h8d8c2d Kc9s9h9d9c 
KdJd2h2d2c Qs6d4s4h4d Kd7d6s6h6d 8s8h8c6d3h 
7s6s6h6d2c 7h4c3s3d3c 8c3s2s2h2d 9d5s5h5d2c 
Th4h3s3d3c Jd5h2s2h2c 9s5h3s3h3d 7h7d7c3s2s 
Js8c6s6h6d Js5s5d5c3s Qc8s8h8d2h 7h5h2s2h2c 
Td7s7d7c3s 8s8h8c7d3d KcJs3h3d3c 6s3s2s2h2c 
5s3h2h2d2c Js7h6s6d6c Ts7h7d7c5d Kd8s4h4d4c 
4s4h4d3h2d 8c7h5s5h5d Ks8c5h5d5c 6h5s4h4d4c 
QcTsThTc5c 9c7s7h7d4d Tc9d5s5d5c 8h8d8c5d4d 
Td6d5s5h5d Qs9s9d9c7s Kc5s5h5c4d Qh7s7h7c6h 
QsQdQc7d2d 9d7s7h7c3s Th5d3s3h3c Qd7c4h4d4c 
Th8s8d8c4s 7c6s6h6d5c 6h3s3h3d2h Qd4d2s2d2c 
QhQdQc5s2s KcJc2s2d2c JhJdJc8s3c 7s7d7c3s3h 
KsTd3s3h3c Jc7s7d7c2h Qd8h6s6d6c 8d7h7d7c3c 
TsThTdTc2s Tc9c6s6h6d Kh7s7d7c5h As6s6h6d2s 
