Qh9s7d5s2s 
AsTc5s3s2s AsTs4s4c2s 8d5c4d3s3h Qh7c5s3s3d 
Tc9d7d3d2s As7h5c4h2h Kh7d5s4c2d Jh4d3d3c2h 
Qs8s8d4h2s Jc5h5c2s2d AcKs6h2h2d Ks9s8d2s2c 
Td8h5s5h2h Jd7c4s4h3d QsJs8d3s2h AdQc7h3c2s 
8d4h4c2s2h Kd8s4d3h3c KhJd5d2d2c Jd9d5d4d2c 
Kh9h8h3d3c AdTc6s6c2c KsJd7d4h2d Ad7c5h4s2c 
Th5s5d4c3d Kd8d8c6d2d 7d5d4s2h2d Ad6d5d3h2d 
Kc5h3d2h2d Kc8s4h4c3d Kh8d5s4c3c 8s6c3s2s2c 
Ad7c4c3s3c Th5h5d2s2c Kd5d3h2s2c Jh7s7d4d3d 
9s7c4h3c2h Tc8h4s4d3s Ac9d6s3s3h Th5d3s3h2d 
8s7d3h2s2d AsQs8s3h2s Ts8d4h4c3c Qh8c7h3c2c 
9d7c6c4c2s Jh8d3d3c2h Jd8s7d4d2h Kh7h5h3c2d 
AcJh8h3h2d 9d8d7d2h2d KhQd9d3s2d QhJd8h3s2h 
Js5d4s4h2c Jh6s6h4d3h Qd9h8s4s3c Jc9c6s4c2h 
Qc8s5s3s3h Qs6d3d2s2c As9s4s4d2c Kc9c5h3c2d 
Th7c6d4h2h Qh8d6d4d3d Th9d7s4d2d Jh7h5h3s3h 
9c5h4d3s3c Tc9d5c2s2c Qh7s7h4d3h 5d5c3h3d2d 
Ac8d6h4s2d 9s6h4s4c3s Qs9d6h6d2d 6c5s3d3c2h 
KdQc7c4s2c QdTc3c2s2h 9c7d6c2h2c Qd8s6d3h3d 
Jh5c4s3h3d Ah7d4d3s2s KdQh8s8h2h Ts5h5d4s3c 
Qc7c4s3h2h Ks7d7c2d2c KdJd6h3s2d Kh5d3c2d2c 
Kc7d7c4h2c Td6s3s2s2d Kh8s5c4d3c AsTh6h6c2h 
Jd9d5d4s2d Jh9d9c3d2d Jd5h4d4c2s Qs9c5d4h2d 
Jd8s8h4c2s Qc6d6c2s2h 9d5s5d4d3h AhKd9s4s2s 
8s5d4c2h2d Td7d5d3h3d 9h8h8c3d2h Ks9h7h4h3d 
Td7h6h6c2s Kd9h6h3s3h Jd6d4h3d2h Js8s4d4c3h 
Qc9h8c4c2d Kd8s8h5h2h Th6s5s5c2d QsQdQcTd2s 
Qs9d5c4h2c Jh8h7d2s2c Qs5c4s3d2s Ts6h3s2h2c 
Tc7c4s3s2s Tc5h5c4d3s 8c7c3s3h2h AhJd5s2s2c 
8d7h5s3c2d 8c7h4c3s3d KcJs4s3s2h JsJh4d3d2c 
Kd9d5h3d2c Qc9h7d5s2s KcTd3c2s2c Kd6c5h3h2s 
Js7d6d5h2d 7d4s4h3d2h Js9h9c3h2h AhQs9d3c2d 
9h7d6c4s2s 9s7c5c2h2c Kc6d5s3h2h JdTs7h3s2s 
Qh4h4c3h2c KhJc7c4s2c JcTc4c3c2d Jc7h6d3h2d 
Ts9c5h2d2c KdJh8s4c2c 9c7d5d2s2h AcQd7h3d2s 
Qd7h6s5c2h KcJc8c3s2h 9s8s7c4h2s 9c7s5d4s2s 
Qd7c6s5s2h Js9h8h4h3h Qc6s5h4d2s Qc7s4c3h2h 
KcQsThTdTc Qh7s5h4h2c 9s5s5h4c3s KcJh9s3d2d 
Js9h4h4c3d Qd5d4d3s3h Jc8s7h4s3s Qh8h7d3d2h 
7h6s4c3h2d Ts9s4s3d2h Qs9h7h4h3d Tc6c5s3h2d 
Jd6h6c5s2s 8d8c7d3s2h Th9c4h4d2h Qd9c6c4h2s 
Qc8s4c3s2s KsJs6d3h2s Ks7c6d3s2h QhJh8s3h2c 
8s5c4h2d2c Kh8c5c4c2d QdTc7s4h2s 9d6d5d3d2s 
7h6c3c2h2c Js9h8h4c2h 8d7h4d3d2h 9h7s4d3d2s 
Kd8c5c4h3c Qd8s3h2h2d Tc9c5c3h2d KsJh8c4d2d 
Th9d7c4d2d Qs9d6c4c2h Ks9s8s4h2d KhTs5h3h2h 
KdQd8d4h3d Ks7h6d3h3c As7h4d3h3c Ah9h6h6d2h 
Qd8d7c3c2d QsTh6h3h2c AsQh9d3d2c KdTs6h3c2s 
Qs4c3s2s2c 9h8h7h5h2h Qd7h5s3s2h Qd6d4d3h3c 
9s6h4s4d3s 9c7d4c3s3h JdTc6d2h2d Kd9d8c4s2d 
Jh9d4d3d3c 9c8d4s4c3h Qc9h9c4c2s Ad6s6d6c5s 
9d8h4s4d3c Ad7h6s6h6d Jh5s5h2h2d Jc9d6c4c2h 
7d5c4c3s2h Ah5c3d3c2d Jc5h4s3d3c Kh8d6d4s2c 
Th7d4s4h3h 8d7c5d3s2d KsQh8d4c3c Qs9c5h4d2c 
8d6h4s4c2s KhJh6c3s2h JcTd6h3c2c As7d6s6d6c 
QhJh8d3s2h 9h8h7h4c2d 9d7c5c2s2c Kh8h5s4h3h 
QsTh5c3c2c JdJc7h3s2d 7c4d4c3c2d 9d8d8c3d2h 
7s6d4d3h2c KsJd7c3h3c Td7c6c5h2c QhJs8s3s3c 
Qh9h5h3h3c 8s8h8d7d7c Kh8s8c6s2s 9d7s5d4d2h 
Js7s4h3h2d Kc9h9c4c2s Ac6c3s3c2d Ks9s9h4s2d 
Qc8d7d6d3d As9d5d4c3d As8s6s3s3d Th7c4d3s3c 
KcJh6s4s2s 9h8s7d4c2d 8h8d7h3c2s Ad9c4d2s2d 
Ah8h7h4h3h As9d9c3s2s 9s7h4c3h3d 8s7s3h3c2c 
9s8d7c4h2c JsJd5h3h2h 9h7h5d3c2h Js8d7d6c2d 
Jh8c3s3h2s As9h6c4d3d Jc8h7d4s3s Qh6s5s5d2c 
Th8c4d4c3c 8c5c4d3s3h Ad7s6c3c2s Qs9s9c4s2d 
9h8d5s3d2c 7c5s4d3h2s Td6s6h5d2d Kc7d4s4d2s 
Jc7d7c4c3c Qd7h7d6d2s 8h8c6s3d2s Td7s4d3h3d 
Qd7h6c5h2h 9c6s4h4d3s Qd6h5h3h3c Kd4s4c3c2s 
Qs8d5s4s2s Qs4s4d3s2d 9s9d7c3d2h Ah9s8c4d2s 
Jc6h6d3d2h QcJs6c3c2h Ks6c5d3h2d JhJc4d3s2d 
AsJs4s2s2h Kc8h7s6h2h 6h5h4s3h2h Js4h3s3c2c 
Ad7s6s6d6c KsJh6h3d2c 8h6h4h2s2d Qs9c7c6h2c 
8h6h4h2d2c Jd8c4c3d2d AdTd5d3s2d Kh9h5s3h2d 
9d5c3d3c2c 6d5d5c3s2d 8s8h6c3h2h KsTc5d5c2c 
As8c6c4c3h 8s6s4s2d2c AcQh9s3d2s Qs8d6c4c3c 
Kh8c7s7d2d 8s7d5s3h2s KdJs7c4s2s 9h8s6c3s2d 
Th6d5c4c2c QsTc6d3d2h 9d7d5d4d2c 8c6c4d2s2c 
KdJc4h3s2s Kc8h6h4d2s 9h9c8h3h2d Jc6h6d4h3s 
Qs9h8s3s3d Qc8h8d7h2h JsTc6d2h2d Td5s5c4h3c 
Ks8s7s7d3s Kd8d8c3c2d Ad4s3c2s2c 6s5d4d3d2d 
9s5d4c3s3h Kc8d6h4s2d QhJd6h2h2c Th7d5h4h2s 
AhKs7d2d2c Jh5s3s3h2s Ac9s5s4h3s Qs9s7s4s3h 
AsTh7c2d2c Qs9s6h6d2s AhKs8d3c2c Ac7c4s3c2d 
Ts9d7c4d2d QhJh8d3h2c Tc6h3d2h2c Kc8h7d4c2c 
Td6s6h5c2s 7h4s3d2s2d Td9h4c3s2s Qh4s4c3c2s 
9d6s3h2s2h As9d7c6c2c QdTd7d3s3d 8d7h5h3c2s 
KhJs6s6d2s Qd9s8h4h4c QsJd7h6c2h Ks9s8h4d2s 
Tc9s7h4s2s QdJs8s2s2c 8s5s4d4c3h Jh7s5c4h2h 
9s8d8c4c2c Kd8d7d5s2d Td9c5c2s2c Js5s5d2s2h 
Jc8h5c2s2c 9h9c8s3h2h Td9d4h3s2d 9s7d6d4h2d 
QhTd7c4s2s 9c7s5d2s2h Kh7h4c3c2h Jh9d8d4d2d 
7d5d4c2s2d Js8h7s3d3c 9d6d5d4d2d KcQs9d3d2h 
Qc7h7c3s3c Kd9c4s4d2h Js7h7c4h3h Th9c6d3s2d 
8c5c4d4c2h Kd6d4s3d2h Kd8c6h4s2c Jd8d6d4s2h 
Jd9h8h4h2h Ad8h8d8c6h Ts7d6c5h2c Js7s5s3h3d 
Qd8h6h4h3h Kd7c6s5h2s Jh9s6h3d2c Jd7h6s3h3c 
Jd8d5h2d2c Qh7s7h6h2c 9h8s7d4h2h QsJd5d3d2d 
9s8d7h4c2c Ks8d4s3s2d Qc8h5c3d2s Jd6s5c4s2s 
Qh8d4d3d2h Kd8h5h4h2c AsJs6s5s2s 7c4s4d3c2s 
KhJh9h3h2c Qc9s7d6d2d Js9d8h3c2c As7d5h4d2d 
Kh7d6c3h2s QcJh8s3d2h 9d7c4d3d2c Ts5d5c4h3d 
KcJs5h3h2h Ah8h5h2h2d 8d7s5h3s2c 9h6d3c2d2c 
KdJs8d3c2d 9s9d8s3s2c Qh8c4h3c2c Qh8s7h4c3h 
KdQs3s2s2c Tc9h5c3s2c QdTh3h3c2s KhTc4s3c2d 
Kd9d5s5c2d 9h9d7h4s2h Ad8c6c3s3h As5c4c3h3d 
ThTc8s8h8d Jh9c6d3s2h Kd8c5s3c2s 7s6d3d2s2d 
QcJd7s6h2s Qc8c7c4d3s KcTc5d3c2c QsJs8s2d2c 
Jd6s6d4h3d Jd8s6h4s2s Jh5h4h4d3c Js9d7h7c2d 
8d5h3d2h2c Qc8d7h5s2d 7d4s3c2s2c 6s6c3s3h2s 
Qc5h5d2s2d Tc7d4s4d3d 9s6h6d4d2c Jh8s7c4s3s 
Jd6s4d3s2d Jd9s6h6c2h Jd7d4s3s2h AhJc8s3s2d 
Ks7d6s2h2c 9h8h8c3s2h QsTsThTc7c Ac7s4s3h2h 
Ks6c5d3h2h Qc6d5d3h3d 6h5h5d3s2h Qd8h6c4s2s 
AcQd8d3d2h Th7h4h3s2s Ts7s6d5s2s Ks8c6h4d3h 
Th6d6c5c2c KhJc4d3c2c Kd8s5d3h2c 8h5d5c4d2d 
Qh7h6c4s2d Qs8h8c4s3s Td9s5d3h2d Ks8s8h4c3s 
Kc8c5s5d2c 9d5s5d4d3c AsKc7d3d2h 7s5d4c3c2h 
9h7c4c3h2h Qd9d8c2h2d 9c8d7s4c2c Js6h5h3h3c 
Kh8c6d3s2h 7c6c3h3c2h QhTs8c3c2c Js5s4h4c3d 
Qd9d7h3s3d KdQc8c4h2c Td9h6h3c2h 9h5s4d4c3c 
Ah9c7c6d2c Qc5s5d2h2d Qc8d7h5h2h KhJd7h2s2c 
Ac8s8h8c6s Qc6s6h4d3d Td6h5h4s2h Th7d5s5c2h 
Js7s5c4h2s Qh8s8c7d2s KsJh6d4d2d AcQhQdQc9c 
Qh9h4d3s3c 9c5d3c2h2d Qs6s4s3d3c Td9h3s3c2h 
9c6c3s2s2c 8c5s4c2d2c 9s8s8d3s2c AdTsThTd3h 
Jc6s4s3d2d Td7s5h4c2h JsJd8s3s2c ThTc8s3s2s 
Jd7s4h4c3d Ks8s6s6h3s Kh8c5s4d3d KsTs7h2s2c 
Jd7h6d3s3d 9d7d6s3h2c AhJd8d3s2d Ah8c7c4s2c 
QcTc4s4c2c 9d7s4d3d3c Td8d4d3h3c Jh8h6s3h3d 
Jc9d7d4s2h AsJc4h4d2h Tc5d4s4c3h Qc9h6d4d2s 
Kc8h6s6d2s Jh5s4d3h3c KhJd9d4d2d KcTs8d2h2d 
6s5s3c2h2d Td9h5c3d2d Kd8h7s5s2s 9c7h7d4d2s 
6d5h5d3d2c AdQs3s2s2h Kd4c3s3d2h 8s4h4d2d2c 
Jc8s4s3c2c KcJh7c2s2d Ac7h4s3h3d Qd9h8d3d3c 
9h8s6h3h2d Ah8s7c4s2s 9h8s7h4h3h Kh8h7s3h2s 
KdJhJdJc9s 9c8h4d4c3s 9c7h6s4s2d Js8c6h6d2d 
Kh8s5c3s2c JhJd8d3d2c Qc6s5c4c2c Tc5d5c4h3s 
7h6h3h3d2d 9h7d4d3d2h QsJc7h4s2s KsJc6c3h2d 
Js6h5h3d3c Tc9s4d3s2h Qc7h5d3s3d Ac7h6s3s2h 
Qs9h5s3s2c JsJc7h3d2s 9s7d5s4s2c Qd3s3d2h2c 
9h7s4h4c3h Tc7d5h4s2h KhTd6d3c2s 9h9d6c3s2s 
Ad8s7c2s2h 9s7s6d4s2c AhQs9c3d2c AcTs6h4h2h 
Ks8d7h6d2d Jd8s5c3h2d Qs8h5d3c2s 8d5h4d3s3c 
Jd8d7s4d3d AdJs6c4c2h Tc5h3s2h2c As7s4d3s2c 
Js7h7c5c2c Ks7s4h4d2c As5h3h3c2c Jh7c6d5c2c 
8d5s4d2h2c Js5s3s3d2d JcTs7h3h2h 8d5h4s2d2c 
Ah9s5d4d3d QdTs6s3c2s Js8s7h3d3c Ks9s5h5d2s 
KdTh7h4h2h Ts7c5d4h2s Qd6s5h4c2s Ks8h7h7c3h 
As7d4s3c2s Jc8c7h4s2c 8h6h6d3s2c Qs9s8d4h2s 
AhTh4h2s2h Qc6c5c3d3c As8h8c4d2c As8d6c4c3c 
Qh9h3h3c2c Kd8d6d3h3c AdTh7s2s2c As6c4h4d3d 
Td6s5c4h2c Jc9d4s4d3d KhJc4s3d2d JsJc5d3d2d 
Tc7c5d4h2c 9h8s6d3s2c Ks8c5s3d2h Qs9s9h4c2s 
Ad8s8d8c6s Qc8h3s3h2c Ah8s7s2d2c 9s6d6c4d2h 
Th8h4c3h3d 9h8s8c3s2s QsJh8d3s2s Js7h6d4s2c 
AdJc4s4h2h Ks8h4s4d2c KcQc8c4s3c KsTs3c2s2h 
9d8h8c3h2h Ah7c6h6d6c KsTs5s5c2s KdJs3c2s2h 
Kc7h6c2s2d Ts7d6d4c2d KdQh9c4s2c Kc8s5s4d2h 
KcQh9d4s2d Ac7d5h4s2d Jh7d6s5d2d AdTs7s7d7c 
9s7h5d3s2s Ks8c7h4h3d KhJs3d2s2c JhTs7d3d2d 
Ac5h4h3s3d Ah4s3c2s2c 9c8d7s4h2h Td7s5d4d2c 
Qh8h7h4s3d KsJs5s5d2s 9h9d4d2s2d Jc7c4d3d2s 
Qh8s7c6d2c Qh8d7h3d2d Qc8c7h5c2c Qh8d5d3s3d 
7s4d4c2h2d Ac9c4s4c2d Ts8c4d2s2h KcQh9s4d2s 
Ts6c5c4c2h Jd9d7d4h2s 6s5s3d2h2c Th6h3s2s2d 
Ks8c5d4d3d JdTc6h2s2h Qs8c7c5c2h Ts6h5c4c2c 
Qs7c6h5c2c QdTc6h3h2s Kd8h6c3d2s 9h9d8s3c2s 
KcTc5s3c2c QsQhQcTc2h Jd6h6c5s2c KhTd8c2s2c 
8c5s4h2h2d Td9h5h2s2h Jh9c5c2s2d QsJs9s6s2s 
AdQc5c3c2c Jc6s6h3s2h 7c5d4s3s2h Qd7h7d3d3c 
Kd8d5s4d2d Ks9s5c3d2s KcJc6s3d2c Jd8s7h4h2c 
Ts7c6h6d2s Kh8c7d5d2d Kh8s4h3d3c Ac9c8c3h2c 
KsQc9d3h3d KsTh5s3s2s KdQs9s2s2c Ts8h4h4d3h 
Ks8d6d4h2c 9c8s4d4c3h QcTs7c5c2c Ks7d7c6c2h 
Qh9h7h7d2s KhTc6s3d2c Ts9d5s3c2s Jd9d7d4c2s 
Kh9h5h3c2s 8c5s4c2h2c Th9h4c3d2h 7s5c4d3h2d 
Qs9h7c5d2d 9c7d5h3c2s Th5c3h3d2d Jc4d3s3c2d 
Kd5s5h4c2h KcQd4s2s2h KdJh7c4h2h 9d7s6s4s2c 
KhJd4s3c2s Ac9c6h6c2c KcQc7c4c3c 9h6h6d5h2h 
QhTc7s4d2s 8s7c4c2h2d Qd9c6h4h2s Kh8d7s6d2d 
AcQs7h3s2d Kc7c4s4h2d 9s6d6c3h2c AcQh8d3h2h 
KdQd8s8c2d 8s5c4d3h3d JsTh7d3d2d Js7d6c5d2d 
Kd8d6h6d3d Jh9c8c4c2c Qd8c5d3s2h Tc9c4h3c2d 
9h9d7s3d2c 9s9h8c3d2c KhTh4h4d2h 7s4h3d2s2h 
Jc6h4c3h2c Jd6s6h5c2s QsJh7h4h2d As9d6h5h2h 
AdQs3h3c2h 9d8h5c3h2s AdQh8s3h2h Js9s5d4s2s 
Js6d5s3h2c KsJc7s2h2d Js5s5h2d2c As7c6h3s2s 
Ad9c4d2h2d Qd7s5s4s3s Jc9s4s4h3d Qh8c7d5d2d 
Kd8h4d3d2h Kh8d6s4c2d KdQd4s3d2d Tc8d4h2s2h 
Js6d5d3h3d KdJs9c3c2c KsTd7d4d2d Jh7c6c5s2c 
QsTs4s4h2s 6h4d3h3d2h Qs6h5s3c2s QcJc4c2d2c 
Jd9d7d4s2h Td8s4s4c2h Qc8d6s4h2s Jd6s5h4h2h 
8c5h4s3s3d AcJh8s3s2d Qh8d6c4s2s AdTs6c4c2c 
Jh8d8c4c2c Qh9h8d3s3h Qc9c7d6c2c Jh4s3d2s2h 
Th6h4c3s3d 7s6c4s4d2h Kd9c8d3s3d Td6c5s3s3h 
9c7d6d4d2s QhTd6s3c2s TsTd8h3h2c Kc8h5d4s3d 
QsJc8d3s2s QhTc3d3c2s Qc9s8s4h4d Qc9s7s4d3s 
Js7c5h4d2d Kc7c5s5h2c 9h6s4s3d3c Kd8c4d3s3h 
Jc8s7c3h3d 9h7s6c4d2d Ts6h5h4h2c Jh7s7c4s3s 
Qs9d5c4c2c Ks7s5s3d2h KcQd8h3c2s 9h8d4c3s3h 
Qc8h7h6h3h Qh9c7c4c3s QhTh4h4d2h Js7d4h3s3c 
Kc7c4s3d2h QcTs4h3h2h KdJc8s4h2s Qs8h7h5h2d 
JsJd8h8d8c Qc6h6d5h2h Ac4s4d3c2c Kd5s3h2s2h 
9s7s5h2s2d 9h7d5h4h2s 9s7c5h5d2c Jc9c7s3h2d 
Jd5d4d4c3s KhTc4s4d2s Qd4c3d2d2c AsQh3h2h2d 
Kh7d6c5c2c Kd8c5c4s2h Ah9h8h3s2h Ad8d4d2h2c 
KhJh9h3s2h 7h5c4s4d2d 9s7d5s4s2h 8h8c7c3s2d 
Qc9h5s5d2s Kc8c5d4c3c Js7h7d5d2d Kh8s3s2s2h 
QsTh7d4h2h Ad4h4c2s2h Jc7h6c3d2d Th7s7c6d2d 
AcQs7d3s2h Kh8d7c4c3s Ac6s6d4s2h Qc9s8h4d3h 
7c6s4d2h2d Kd9d5c4d3d 6h5c3d2s2d Qd9h8c4s3c 
Jc7d5s5h2c KcQh9s3h2h QsTh8h3h2h 8d7d3s3h2h 
Ac7h6s6d2s Kh8s6d6c2d Jc9c6h3s2d Jc9c5c4d2c 
6d5h3s2s2c AdJh5s2s2c Tc9s5c3d2c As7d7c4h2c 
8h8c6d3c2c Td7d6s4d2h Kd7c6d3h2s Jh8h5c2h2d 
TdTc6s3d2h Ts5d3s3c2d Kh8d5d3c2c QhThTdTc7c 
Jh6s6c5d2c 6s5h3c2s2d Ks7h6c3d2s 6d6c3h3c2c 
AhJd4d3s2d Th6d6c4d2s Ah7d6s4c2s Kd8d6d6c3d 
8s5c3s2d2c Kh8s7c4h2h As9d6c3h3c JdJc8c3c2h 
KhJs7d4c2c 8c7c3s3d2s Ah7d6d6c2s AdTd5d3c2d 
9d8h7d4s2d AhJh4h2h2c Ac9h7s6s2s Kc9d8h4c2c 
Js8d5h2d2c QsQh7s3s2d Qs8c5c3d3c Qs8d8c7h2h 
KsTd5h5d2d 8s8d7s3h2c AhQs9c4c2c KdQh8c4s3s 
9s8h5c3d2c Jh7s7d5c2c Qd7d6s4c2h Jh8c3h2s2c 
8c7d3s2d2c Kd5c3h2h2c As9c7s7h7c 9d8s8c4c2c 
Qd9s6d4c2d KcJs4d3s2s Ks7h6s2d2c 9d8h5d3s2d 
Ah9s6d4d3c AcKd9s3s2h Ks8c6c4d3c Jc5c4d3s3h 
9c7h6d4s2h Qd9s7s6h2s Ks6d5c3h2c 7h5h4s2d2c 
Qc9c7d7c2s Kc8s5s4s2h Tc5h5d4s3d Tc7h6d4s2h 
AcQs9d4d2d KdTs3d2d2c KcJd6h6d2d 9h5c3s2s2c 
Jh9h6c3s2d Ks7s7h4d2s Qs9s7c3s3h 9s9d5h3c2h 
ThTd6c3d2s KhJd8c4s2s Qd7c4c3d2c Kh9c6d6c2s 
Jh8h6c3h3d Tc6c5s5c2d KsQh7h3d2c KdJc6c3s2h 
Ks7h6d5d2d KcTc5c3c2s Tc9h5c2d2c Jd7h5h4c2s 
Ac9s4c2h2c 9s7h6c4d2h Jd9c8h4s2s Jh7d4h3c2d 
TsTh5d3c2h 9c8h7s4d2s Jd9s5s3c2s 8h5s5c4s2s 
Tc9c4d4c2s Ks8d5h4d3d Qh8h5s2d2c Ks7s7d4h2s 
Jh7c6d4h2s 9s7c5h3s2s Qh9s5h3h2d 7s5c4c2h2d 
Ts8d4h4c3h Qh8c6d4d3d Ah9h8h3d2h 7c5h4d3d2s 
QdTs3s3c2h KsJc5d3d2d Jd9c4c3h3c Jc7d5h4s2h 
As8d6h6d2d 9s7d6c4s2s Qs9c5c4c2c Qs9s7s3h3c 
9s7d4s4c3s KsQs6c3s2s Qs8h8d7c2h Tc7s6d4h2d 
AcQd8s3d2d Td9c5h3s2s Js9d6h6d2d 9h6h3s3h2s 
Kd8c7c4s3h 9d6d3h3d2h AsJd5c3h2c 6h5s3d2d2c 
QhTc6c3s2c Qd9s8d2d2c Jd7h5s4c2c KdJd6s3h2d 
Kh8d7s4s3c 9s9d6s3h2s Kc8s5c2d2c Ad9c5c4c3s 
Ac4h3d3c2c JcTs6c2h2c Kc7h6d3s3h Kh9s7d4d4c 
Qc7h7c4s3c 9s8d7d4h2d KdQc9c3s2c QhJh8s3c2h 
QsTsThTd7d Qd8d7c4s3d Jh9s8s4c2s Ts5d5c4h3s 
Ac8h6d4s2d 9h7c5s3h2d Kh8h6h6c3h Qc7h4h3d2c 
9s5d5c4d3d 5s5d3d2h2c Jh6c4c3d2d Jd8h6s6c2h 
As8c6h4d2c Th6h5c3d2s Js9d8c3d2h Jd9h8h3h2c 
8c7d3d3c2h KhTd4s3d2c Kh9h5s3h2c Kh8d7s4h2h 
Kh8s6c3d2h Jh9d8d3d2c Qh9c7d6s2d AcQs8d2h2d 
Jc7h4c3s2h Qs7d4h3s2d JdTs7h2h2c Kd8h6h4c3h 
Jh7s5c4c2d Ts6s5d5c2h Qc8h6h4h3h Kc7d6s3s3h 
Kd9c7h4s4h KdQd8d4d3s Th7c6c4c2d Td6h6c5s2h 
ThTc3h2s2h AcKh9d4d2d Kc9c8c4s2d Td9c5d2s2d 
Qh9d7s6d2d Ac7s7h6h2h Qc8h7h5h2d Tc6c5d3s2h 
Tc9c7h3c2s 9s6s4h3s3d As7d4c3h3d QcJs6s2h2d 
9s5h4s3s3d Js9s6c3h2d 9c7d4s3h3d JdTs7c3h2h 
KhQd8d4d3d 9c8s8c3d2c Ad5c4h3h2s AcJd6s4s2h 
KhTs8c2d2c Td6h5c4h2h Qs8d7d4h4c Tc6s6h5s2s 
QsJs8d3h2s JsTd7c2h2c QhQdQcJd3h 6s5s4s3s2d 
8d5c4d2s2d KcJd7h7d2s 9c5s3s3c2s Kd8c6c4h2s 
Qc9d7d4d3s Jc9c7h3d2s Qs8c4s3c2c AdTd5d3d2h 
Ks8s7s5c2s Jc7h6h5d2h Jc8c6s6c3c Ks8h3h2s2h 
Kh9s9d7c2c AdQc3c2s2c KcQs9h4d2h KsQc8c4c3c 
7c6c5d3c2c KsJc5c2d2c As7c5s3s2s Kd8c6s6h2s 
Ah9s8d4s2s Qs7s7h6s2c 9c8c7h4s2c As6c4d3c2d 
Ts7s5s3s3h Qh6s6d4h2h Kh9d5h3h2c As9s7s4s2h 
Kh9d7c4c3c Qh8c6s4c2c 9c3s3c2s2c Qh7d6c5c2s 
AdTd4d2h2d 9s5h4d4c3d Ad8s8c3d2d Qs9h5d5c2c 
Ac9d8s4d2d Td7h6c4s2c Qh5h4h3s3c QcTc4c3s2c 
Tc9s5d2h2d KcJs7h4d2d Qs7s7h3h2h 6c5c4c3c2s 
Qd9c5h4s2h ThTc7s3d2c Kd9h9c7s2s Jc8s4d4c3h 
JdTs7c2h2c Js7c6c5h2c Ts9d5c3h2h Th7s5d5c2h 
6d5h3c2s2c QdJh7h4h2s 8c7d3s2s2d Jh7c4h3s2c 
Th7s7d5h2h Qc8s8c7c2c Ts7h5c4d2s Kd6h5h3s2c 
Jd4c3s3d2s AhQs3d3c2c QsTd6d3d2h Js4s4d3s2d 
Qs8h8d7c2d 9d7h6d2s2d Qd8d7s7c2d 7c5c4d3h2s 
Jh8c3h2d2c Qh8s5s4s2d Qc9c8d2s2c KcQs9d3s2s 
6d6c4d3s2d AdTd4s4d2d Qc9d5d4d2d 9d7c5h4c2c 
JdTc7s2s2h Qd9d7h5d2d 9h7c4s3d3c Ts6h5d4h2h 
AcQsQhQc9c JsTc7h3h2d Jd6h5s4h2h Ks9s5d3s2h 
Th6d5c3s3c Qd9d7d4d3c Td7d5d3d3c AhTsThTc5s 
KcQc6h6c2c Ah9s7d6d2d AsTs7h3s2s Js8s3h3d2d 
Qd9d7d4h3d Ad8s7s2s2c Th9d4s3c2c Kh8s5s4d2c 
9d8c6s3h2d Td6d5s5h2c 6s5h3d2h2c Qh7h7c3h3d 
Js8s7c3h3d Td6h3c2h2d 8d7c4c3d2c 8s8h7h3c2d 
Qc8s7s5s2d Qd9d7h3d3c Qh8s8c7s2s Ks8d5d4h3d 
Ac8h6d4d3d Jc4h4c3c2h KcTc7h2s2c Tc7h5d4c2c 
Ac9s7h6h2h Qc8h6h4h2d Qd8s5s4s2c Ah7s4s3s3d 
8s6c4c2d2c Tc6c5s3d2h 9c7s7c6c2c KsJs8s3d2c 
As8h7h2h2c Qs6c5h5c2d Kh7h4d3d2h Qh9d8h3s3h 
AdTs6h6c2s Jd9h5d4d2d Ts9c6d3h2d As9c6d5d2d 
Qc5s5h2h2d 7s6d4h2h2c Jd7d5h4c2d Qd9s8c4h4c 
Kd8s6s4h2c QcTd4d3d2s QsQhQd6s5h AdTd7d4d2d 
9d7c4d3s3h Ah9s6c4d3d Th8d4h2s2c Js9d5h3h2c 
Jd8c6s6h2s Jd9s7s4h2c 9d8c6d3h2d Qd9s5h4c2s 
QhTc4d3d2s Qc9d8c2h2c Ac8h6s6h2h 9d9c6h3s2h 
Tc6c3s3d2s AdJc8h3h2s 6h5h4h3h2d Ad8h6s4s3s 
Js8s3h3d2h Qh6s6c5s2s Kd8s6h4h3c Jh8c6s6d2d 
KhQd7d3c2s 8h8d6s3d2d Qc8s6c2h2d 9c7c5c4c2h 
KcTc4h4c2c Qs9s6d6c2s Qh9h8h4d4c Ad6d5d3c2d 
QhTc6c3c2s Qs3s3h2d2c Th9h6s4h2h Js6s5s5c2h 
9d8s7c4h2s KcJd6h4h2h Qc5s4h4d3d QsQd7d3d2c 
QdJh7h7c2s Tc9c4d4c2h Jd5h4s3d3c Ah9c6d4d3s 
JsJhJcTh9d Jh8s7h4h2d QhTd4d2s2d Jc8c4h4d3s 
KhJh8h8d3h Ks8s7s7c2s 9h8h7c4s2h Jd9d8h4d2d 
Js9h9d3d2d KhJc3d2s2c Kd8h5c4c3c Ad6h6d6c5c 
QsTd4d4c2d Jc9c5c4c2h Kc8h6d3c2s KhJd5d2s2d 
Kh9s7s5c2s Kd9s6d2h2c AdKs7h2h2c KhQs8s4d2s 
Kc8d5s4h3h KcQc4s3c2c Th5h5d4h3c Ad8c7s4h2s 
