Jc8c6c5c3c 
Td9d6c2h2d KsQc8d7d3d Jh9c7s7d2s Jc6h6c3s2s 
9d6s6d4c2h Qd8d5s5h2d Jd7d5d4d3d Jd7s5h3h3c 
8s6h4c2h2d 5h4s4d2h2c AhTc6c4s2c 8c6s4h2h2d 
8h6h6d4h3h 9d4s4d3h3c Ks9h7h6c2h KcJs7d6h2d 
Ac9h8d4h2s Js4s3h3c2c JsTd6d3d2h Ah8s7s3s3c 
KhJc7s4s2d 8c7c5c2h2c Jd6h5c4s2c Kh5s5d4c3c 
Qs7s7c3c2d QhQdQcJh6d AcJh6h3h3d As9s3d2h2c 
AdQc7s6s2s Kc8c7c6d2c Tc8s5c2h2d Ac9h6s5d2d 
Ks8c3d2s2d Ts7d6c4d2h QsQhQcJc2h Ah9c4s4c2s 
QdJc7c6c2h QsQd7c4c2c Qh9d7s5s2c As5d5c4d3d 
KsTs7h3c2s AhQs7c2s2d 9s6d5c3d2d Tc9h4c3s2d 
9d7s6c2s2h KhQh6c2s2h 9h9c8d4s2d 8s5d4c3h3d 
Qh8s8h3h3c QcTc6c3c2h Qd9d7d6d2c Td8h6h2s2h 
AsTh5d5c2h 7h7c5d3d2s Ah7d6d3d3c Qc8d7h7d2s 
6s5d4h4c2d KhKdKc8c7s Qd7c4h3c2d AhQs8s2s2d 
Qs8h6d6c2d 6h6d4s3c2h AhJc5c3c2d 7d6h4d2s2c 
9c7d4h3h2c 9s7d4c3c2s JdTc6h2s2c Ts8d6c2h2c 
AsQc7h4d2d Ts8s8d3s2c Qd8c7h7c3s Jh8s6s3c2c 
9h8s8c3d2d JsJdJc8h8c Ks9d5h5d3d Qc9d6c3s2h 
7c5h5d4s2h Th8d4s4c3h Qc6s3h2s2c JdTc6c3c2h 
8c6s4d4c2c 7h6h5s3d2h Ks8c6d4c3h Js7h7c3s2c 
AsJd6d4c2d Jc8s6d4h2d 9c5h3h2s2c Th6s6d5s2c 
AhTs6c4c2d Td5c4c3d2c Qs5s4c3s3h KsJd7c6h2h 
Ks5s4s4h3s Qs8d7s4c2h AsQd7c2h2d QhJc3s3d2d 
AhQc7d4s2d KhQs6s3c2s Ah8c3s3d2h KhJh7s7d2h 
AcJh5d3h2h KsQh9c4h2h Kd7c4d3s3d Qc9h7h6h2d 
Qd6c5s5d2d 9c6s6h4d2s As8d5d4c3d Td8d5s5c2d 
TsTd6d4d2d 6c5h5d3d2s Kc8d5h4d3s As8d3h3c2s 
Th7d6h4s2c Tc9s7s2s2h TdTc7c3h2s Ad8d4c2s2d 
Ts7s5s3h3d KsTd5c3d2h Ts6d5h4s2s Qd4h4c2s2d 
JdJc7h3c2s Js9s5d3c2s QcTh6s2s2d Ks5h4s2s2d 
Jc8d7d3c2d Kd5h5c4h2s 9c7s4s3h2h Kh5d5c4h2h 
JsTs7d3h2s QsTc7d5d2d Qh9d7s4d4c KhQd7d3s3d 
KhJd8s4s2s As6c5c4c2d QsJd7c6h2h Js7c5h3h3d 
Kd8h8d4d3c Qs5c4h4d2s Js8s8c4h2s As6h4d3d3c 
Jd6s5s4s3s Ah7c6c3d3c 8d5h4s4c3d 8h7s4d3h2s 
Jd7d4c3s2s Jd8c7s3h3d AsKh9d4c2c AhQh5h3h2h 
JdTh7h2s2h QsQhQcTh3s QcTs8c3c2c 7d5c4d3s2h 
Ts9c5h3d2c Jd9d5h3d2s Jc8d4s3h3c Js9c5d4c2c 
Kd9d7d4h2s QcJsJdJcTh QdTc7h5h2h Ks8d7s4s2h 
AcJs9h3h2h Qc9h5d2s2c Jc9c8c4c3s Th9d7d2d2c 
Qh9h8s4h3d Qh5d5c4s3d Js8d6c3c2d Qc9s5h5c2c 
Jc9c6s6d2c 8c7c5s5h2c Qc8s5h4h2d Qs7d4c3s2c 
JhTd6c2s2d 9s4s4d3h3c Qh7h4c3c2d 8d7d5s5d2d 
QcTc5d3c2c Jd9h7c2s2d Qd7c6s4h2d Kd9c7s2h2d 
Kd7h3h3d2h Jd7h6s3d2h AhTs6c4d2c Qc9s5d4s2h 
KdTh4h4c2s Ks9h9c7c2c Th7h7c5d2h 9d7s4s4c3s 
Qc7h7d6s2c 9h7c6s4d2h JcTs6h2s2d Js4h4c3h2s 
8d5h5c4s2c KhJh5h3d2h Td9h6c3c2c KsQd8c4c3h 
Ac9h4s4h2s 8d5d4c2s2h Jc8d5d3s3h 9h7c6s2d2c 
Jc6c4c3d2d 9d6d5s3d2c AsQc6d6c2c Kc5s5h4s2d 
9h7c4d2d2c 9s7d5s3c2h 8c5s4h3s3d 9h9c7c4c2s 
AdJc5c2s2c KdQc9h4h2s Qc9d4s4d2s Qs6h5s5d2s 
AsJc7h6d2d As6c5h5c2c Jc6s5h4h2d AdKc9c4c2c 
Qd6s5d3h2c 9s6d5c3h2c Ac9s6h5s2s Kc8h7d6s2d 
9c8d5d3s2h Jc9d5h3c2c AhTc6s4s2d JsJd6c3s2h 
Qd7h4d4c3s Qs5d5c4h3d Ks8s6c3d2h Tc7d4h3h2d 
Ac9c6c5c3c Qc9d7d3h2h Ac6d5h4h2h Qs6s6d5c2s 
KdQc3h3c2c 8s6h4h4c2h Kd9d8d4s4h KsQs6h2s2d 
8d5d4s4d3c Ks5d3d3c2c Td8s8d3d2h Qc8h6s6d2d 
JsTh6h3h2c AdKc9s3h2s KcJc3s3h2c AsJc5c3d2c 
Tc9s5h3h2d KsQc8h4h4d 8d6d4h4d3d Qc6c4d4c3h 
Ac8h6s4s2s Kc9d7s3d2s Ac9d6s5h2h Kh8s3h2s2c 
Js8d6c3d2c Qc9h7h5h2s KhJc7d6s2s Qc7h5s2s2h 
KdJc3s3d2d Qh9c7d3d2c 9h6s5c3s2s 9d7h3s2h2d 
Ah7h5h2h2d AdQs7c6c2c AdQs5h3h2h QsQhQcJs4c 
9s7s6h2d2c Jc8d6d3h2h As8d5h4h3h Jd7h6s5h2c 
As7d7c6d2h Kh6d5s5c2c Tc7h6s5s2s Js4s4d3c2d 
Ks9d5c4h3h QsTs5s5d2s Kc9c7c6d2c 8c7h4d4c3s 
7c6h4s2d2c Td7c6s4c2h 9h9d4d4c2d 7c5s4c3d2h 
QsQhQdJhTh Ah5d4s3d3c Qh8c5s4d2s Jh9h9d3c2h 
Ac7s4c3c2h Td7c5d4h2s 8s7h4d3h2s 9c7h5s5h2h 
Kd7h3h2s2d Kh8s3s2h2c Js8d5s3h2c Jc8h7d3h2d 
Kd9h9c5c2c Kc7h3h3d2c Qc9h5d5c2c Qs7h4s4h2s 
Qs7s7h5s2d 6c5d4h4c2c Kc9s9h3s3d Td3s3d2s2d 
Th9h5c3s2h Jd7s7c3s2d Jc8h7h6h3h 9h7d6s4d2d 
Tc5d4d3d2c Ts8d5h2s2c Th9d7h3h2c Ts7d6c5h2d 
Qs9d4h3h2d Qc9d8h4s3d Qs8d6d5d2d Ts6h6d5h2c 
9h8c7s4s2d Ks9h5c3s2s 8s5h4d4c2c Ad4d3c2s2d 
9d8s8h3d2c KsTc6h6d2d 9d8h5h3s2c AsTc7h3c2d 
Jh7s5d3d3c QdTd5d3c2d KcJd8h4h3h Qd7h6h3d2d 
Jd7s6d3s2h Td8d4h4d2s Ac9s9h6s2s Kh8s8c7d2s 
9c7c5s4c2d 8h8c7d4d2d 9s7h4d3d2s QhQdQcJh2d 
8h5s5d4c2d 9d6d6c3h2s 7d6d5h5c2d Ts7h6h4c2d 
Td8s6s4s2s JsJh4h3c2h AcTd6s6h2s 7d7c6c4c2c 
Js6c5h3d3c Jc4h4d3d2c 8s5d5c4h3s Jc8h8d4c2c 
Qd8s7s7c2h Qd6d6c5s2d KdTd7s3c2d QcJc4c3s2c 
QcJc5c2s2c 9s8c4c3s2c AsQc7h4h2d Ts6s5c4d2s 
Qc8h8c3d3c 9d6c5h3s2h Kc9c4d3d2c Qh9h5s4d2h 
8h6c5c3c2d 9s8d7h4d2c Th9s5d4d2d Ah9d8s2s2c 
7s5d5c4h2d Qs7h4s3h2d Js8d8c4h3h KcJc6c3d3c 
9d8d7d7c3d 9s6d3s2s2d Kh5s4s4d2c As9h8c2d2c 
Ad9h8h4c3h KdQd4d2s2d 9d6c4c3c2d 7d5h4h4c2s 
JdJc6d4d2d KhJd7s4s2c Tc7h4c3h2h AcKc8c3h2c 
Ac6s6d4s3s KdJs7c4c2h 9s8c4d3c2s Jc7d4d2d2c 
Qd6s4c3h3d Ac7s7h3s2h AsTd5h5d2d As9c6d5h2h 
QhQdQcTc5h Kh8c7d6d2d Qs7h6s4d2c Ts6c3s3h2h 
Qd6h3d2h2c Td7h6h4s2c Jd8c3d3c2h Jd8h5c3s3c 
9c8s5h4s2s Kc9c6s4c2h 9h6s6c4h2d 7h6d5c3d2d 
Kc9d7d5d2s Td6s3h3d2h 7d6s4s4h2c Ks7d4s3d2s 
Ks9d5c4d3d KcTh7c3c2d Td7h4h3d2d 9d7d4h3s3c 
Ks9c5d4c3c Th7c4s4d3h Qh8d6s6d3d Qc9c5s4h2c 
Ah9c5s4d3c Ad8c6s3d2d AdTh7d3d2d JhJd6c3s2h 
Kd9h9c3s3c Jh7c4s3s2h 7s7d6s4s2s Jd7s4s3d2c 
QsTc7h5h2h Qh7d6s5c2s Th7h6h4d2c Jc9h8d4d3d 
8s7s4s3c2c Ad9h9c5h2h QhTd7h2s2c QcJh3s3d2s 
Kd8c7h6h2h Kh8d7d6d3d Ts8s4s4h2c 6s6h4h3c2d 
9h6h4h4d3s AhJs6s3s3d 5h5d3s2d2c Ah7s5s5d2c 
Jc9d5h4d2d Qs9c5h4c2d 9h9c4s4h2h QhJc6d3h2h 
Ah8h6h3d2s Ac9s8h4h3h Jc9h7s7d2d Js8s7s4h2d 
Jd9h7h6c2h Qd6s6h5c2s Jd8d7d7c2d KdJd6d3s2h 
Kc6c4d4c2h Kd8s7c6h2c Jc8s6c4d2c Kd8h6h5h3h 
QsQh6s3s2s Ts9h5h3h2d Td9h8h3h2h Th6s5h4d2h 
Tc7h6h4d2s Qd9s9d3c2d QsQhQcTh5c Ad4c3d2s2d 
QsQhQcTs5c 8c6h4h4d2h Qh9c8h3s2h Qh9s7c6d2s 
Qd6d5s5h2d JhJdJc8h7d QhTs4c3d2s Kd9s7d6d2d 
KhQs7c2h2d Jh7h7d5h2c Ah8d6h3s2h Ad9s8s4c2h 
Kh8c7c6c3c 7c4s4c2d2c 8d5s5h4c2c 9s7c5s2h2d 
Js8c5s3h2d KcJsJhJdTh AcQd8d2h2d Ad9h8s4s3s 
Ad8h7s4c2h Kh9h7s3c2d Qs7d5h2h2d Td6s5h5c2d 
Jd9h5s3c2c Qs9s7c4s4h TsTc3d3c2c Tc9c6c3h2s 
8c7h7c4c2c 7h7d4s2s2c Ah5c4d4c2s 9c8h5h4h3h 
Qd9c7c3s2s Kh9s9d3s3c ThTd5s3d2c Qc8s5d4d2h 
As7h5h5c2h AdKd7d3c2d 6d5h5c3s2d 9h6c5c2s2d 
JdTs7d2d2c AcTs6d4d2h QdTs4s2h2c JsJh7c3h2d 
Qc5d5c2h2c Kd9h7c2s2d Tc9h7s3d2h Jd9d4d3s3h 
8c6h5h3h2s QdQc8s3h2s Jd8s8c4d2d As8s7s2s2c 
9h9d8d3s2d 9h6h5h4h2s Kh8s7h6h2h Th8s8h3h2d 
Jd8h6c4s2c Kc8h7c4d2c 8h5h4h4d3c 9d6s3d2s2d 
Js8c6c4h2d Js9d8s3s2h KdQc8h7h3h Kh8h5h4s3h 
QsTd4d2h2c KcQc7d3s2h KcTd7c3c2h KcQc8d3s2h 
Jh6s6d4c3s 9h7c5h4d2h Tc6h6c4d2c Tc8h5d2s2h 
Th9c4d2s2h KhTc5s3d2c 8d7d4d3h2h Kh5s5c4c2d 
8h6h4h4c2d 7h5s5c4d2c Qs6s5h5d2s ThTc8s3d2d 
Qh7s7h3d2s Kc9h5s5c2c Qh9s3s2s2h KdQs4c3h2c 
9h7h5s4h2c Jh7c5d3s3d Jd8c4d3c2c 9d8s5d3h2c 
9h5c3d2h2c Kc7s7h5h2h KsTc7s2s2d KcTs5s3h2s 
KsTh7c3s2s QsTh7d7c2d Qh9h5s5d2h Ad7h3s3c2d 
Kd8c3d2h2c Jd7h6d3c2h 9s5s5d4h3c QhTh5s5h2h 
AsQc8s3s2s Qd9c4s4c2s QsQdQcJs4d Th7s6c4c2d 
9c7d4s3h3c 8h5d5c4s3h Jh9d7h4c2s Qd8h8c3s3d 
Qs8c5s5d2s Th6h5s5h3h Js8h6h4d2c QsTh6d3h2h 
KsJs6h6d2s Ts8c5d2h2c Ac9s9d5d2d 6h5s5h4h2h 
Ks7h6h5h2c KsTc7d7c2c Qh8h6h4s3h KdJs9s3c2s 
AhTd5d5c2d Jh8c5c3s3c 6s6d4s3h2c 9c8c4s3s2c 
Jd5s5h2d2c Jh8d7c3d2c 9s5c3h2s2c Qd9c6h2s2d 
Qd8h6c4h2s Ad8h6c3d2d KsJc7c3h3c Kh9d7d5d2s 
Td8d5h3s3d Js7h4s3c2c Ts9c7c2h2c QsTs3h2s2c 
Ah8c6d4d2d Qs8d6c2s2h Kd7s6c5s2s Kc5c4s4c3c 
Jd4s4d3h2s Qh5s5d4c3d Ts6h3s3d2d Td7s6c5h2s 
Ac9d6s5h2s 8h7h5h2h2c Js8d5h3d3c Jc6h4h3c2c 
AsQh7c4c2d As6h5d4c2h 9h8h7h4c3h Ks8s7s6s3s 
QdJd7h4d2c Ad9h9c6c2c Kh8s4s3h2h KdQh9s9h9d 
Kd5d3s3h2c Js7s6c3c2d QhJh7h4c2s JsTs6s6h2s 
7h6s6h4h2h Ks9h9d6d2d Ts9d6c3h2h Js6s5s5c3s 
Js9h8s3s2d Td8c5h2s2d Qd8s8h3d3c Tc7s4s3s2c 
Kc6s5s5d2s KdTh7s7h2h 8d7d6d2d2c Qs8d8c5d2d 
Jh8d7s6d2d Js9h7s4c2d Kh7h4s4h3c TdTc7d5d2d 
Tc9c7h3d2c AdTh7h4h2h KdJh8h6h3h Qh8s7d5d2c 
KhTs8s4s2s Td7d5s5d3d Ad9s7c6h2h As7h7d3s2s 
Kd9d4h3d2h Kc7c4s3c2s Qd9h5c4h2s 9c7d5h4c2c 
9d6h6c4s2c 9h9d4s4h2h 7d5d5c4d2s Qc7d4h2h2c 
7d5d4d4c2h Kc9s9h5h2h Qc9s8h4d3s KdQc8d3h2s 
5s4d4c2s2h 8d6s4d4c3d Td6d4h4d3c AdJc4s3c2h 
Kc8c5c4s3c Kc6s5s3s3h 8s6d4c2h2d Ah5c4s3d3c 
Ad9h8h2h2c 8h7c4s4d3h Tc7d7c5h2c Qc9h7s4s3d 
Ac9s6d5h2h 9d5c3c2h2d Js9d6h6c2d Th9s4h3d2c 
Kd6c4d2s2d Jh7c4s3h2s 6d5s5h3d2c Qh6c5c4c2d 
Kd7d4d4c3s Qs8c5h5d3c As9d8h4d2c 7c5s5c4c2h 
Kc6h4s4c2c KdTc5h3s2c Kh6d5d3d3c Jc7h7c5c2s 
Qs7h7d4d2h AdTs6h4h2c Js4d4c3c2s JhTd7h2h2c 
Ks8h7h5c2h 9h9d7s4s2c As9d9c5d2d As8d6s3c2s 
Qd7d7c4d3s 7h6h5d3s2h KdTs5h3h2c KdTh4s4h2c 
Qs8s5d3s3c Js9h6s4c2d Qs9h7s4s4c Jh8s6s3d2d 
Tc9s5d4d2d 8h7h4c3h3d Js9h9c4d2d QhJd7h4s2h 
8d6d3d3c2c 9s7h6c4h2d 8s8c5h3c2c Jc9c8c4h3c 
Ks9d9c6h2h Jd8s7s4c3s Ts7s4d3h3c JsTd3h3c2c 
Jh9s6d2h2c Jh9h6s6h2d KcQc8c7h2c Td8d8c3d2s 
Ad9s9c6s2s Ts7c6d5h2c Qh5c4s3h2d AdKh6h3h2h 
Qs8d7c4h4d Ad9s9c4h3h Kh9h5h4s3h Kc8s3s3d2c 
KsKhKd9c6d Jd4d4c3s2s As7h6s3d2s 8d6s4s4h3s 
QsQd6c3c2c Kh5s5d2s2c Ts9h6d3h2h Kh9d9c5s2c 
JdJc8s3c2c 9d8c4h3c2d 7h5d4s4d2c Kc6s4h4c2c 
QcTh6c2d2c Ts6d5s4c2s 7d5d5c4d2h Kh9c5c3s3c 
Qs7c4s3c2d Tc6s6h4c2d 9s6c5d5c2c Qd9c3d2d2c 
7d5s5c4h2s Js6s4s3h2h Ac6h4d3d2h Tc9c7d3s2c 
Qc5h4d2s2c 9d7s5c4h2s Qd6c5c4c2h KhJh8h7h2h 
Ks7c4s3s3h 9h8s5s4s3s Qd8s7c5c2h AhTd6c4c2s 
As9s6s5s3s Ts8d5s2h2c 9h7s3c2s2h Qh8d7c4h3h 
QcTh7s7d2s Jd8c4s3h3d AdJs9h3h2h Jh9h5h3s2c 
Ts6c4h4d3s AcQd6s6d2d Qc9c6s4c2d Kc7s4c3h3c 
Ac5h4d3s3d Tc9s6h3h2h Kd9d6h4d2s Qs7c5s3s3h 
9h8d6s3h2c Qs8d8c3s3h Js7c6d5d2h Jd8s7c3s2c 
Kc9c7c4h2d AsTc7c3d2h JsJc4s3h2s 5c4d3d2d2c 
Jd8d5h3s2c QsJd7s3s3h Jh7h6h6d3h Js6s4s3d2d 
Qc7s7h6h3h 9d6c4h3s3h JhTs7s3s2c As5h3c2h2c 
9s7d5c3h2s QcJd7s7h2c 9s6s6h3c2d Th5s4s3s2h 
8d5d4h2s2c Th7s6c4d2d 7s6s5s2s2h Th9s5c3c2d 
9c5h3h2d2c Ad4h3d2d2c Tc9d6d2s2h QhJc7d6h2h 
Tc5s4s3c2s KcQd8s7s2s As7h7d6h2c Kh9s7c3s2c 
Jh6h5d3s3h AhQd3d3c2d Jd9s5s5h2s Td8c5s2h2d 
KdQs9h4s2s Ks9s7d3h2c Ad7s7h6c2h 9d7h5s5c2c 
Kc8d6s4d3h Qs8c7d4h4c Tc9d4h4d2d JhJd7s3d2c 
Kh9d9c3s2h KdJhJdJcTd TsTc7h4h2d As5d4c3h3c 
9c7c5s4c2h Jh7s6d5d2c Tc6s6d5s2h KsQd8h4h3c 
Ac9d8s4d2h Ah7d5c4s2c Qd9d5s5c2d Qd9s8c4h3s 
9h7c4d3s3d AhKc9d3s2d Js7s6s4s4d 6d4h3h3c2d 
KdQh6h3s2h Jh9h7s7d2h Js8s5s5h3s 8s7h4c3s2h 
6h5s5d3h2c AhKc6s3d2s Qd8h8c4s2d Qc8h7s4s4d 
TsTc7c5c2c 9c7c6c4c3c Jc9d8d4d2s Kh9h7c3d2s 
JdJc7h3d2s Kh5d5c4c2s Ad6h4c3s3c Jd9h8d3d2s 
Ks9d7h3h2d Jc9s5h4s2s AsJd7h6c2c 9s9d8c4h2c 
Kd9h5h4s4h Th9s7h2h2c Qs9s7c4s4d 8s6c4s4h3s 
Jh9d6s6c2d Tc9h7d3s2h Td8c4s4h3d Js8h5s2d2c 
Tc8c4d4c2h Ah9s9d5c2c Ac6h5d4s2h Kh8c5d4s3c 
Qc6s4h3d3c AsJc7d2h2c 8s5s4h2s2d Td6s3s3d2c 
QhTs7d7c2d KdJc8s4s3s 9h7s6h3d2c Ac9s8s4d3s 
8s5s4c2s2h 9h8h5c3s2h Ks8s4h3s2h Qc9s7d4h4d 
Jc9d7h2s2c Qd9d8c4d3h Qs9c8d4s2s 9d6h5s2h2c 
AcKs9d4h2h Qs7d4d3d2s Jh8d7s7c2d Qc9s8d4h3s 
Kh9h8d4s3h Ah9d8d4s3d AsJh6h3h3c KcQc7s3d2h 
Td8s6h2h2c Qd8s7s3d2s Ac9s6d5h2d JhTd7d3s2d 
9h8h5s4d2h Qh6h5s5c2h Jd8d7d4s2h Td7c6s4s2h 
Kh8h7s5h2h 8s5d3s3c2d 8c6h4s4h3h Ks8d7d5c2d 
9d8d4c3c2c Qh5s5h4h2d Th9s7s3c2s Qd6d3c2s2c 
QhJs7c6d2d Ts7s6h6d2c Ac6d5s4s2s QsJs8s6s2s 
Qs9c7h4d4c Tc9h4s4d2c 8s7d3s3c2c Jh8h8c7h2h 
Jh7s4s2s2h Jd6c5s5d2d Th5c4d3c2d QhTh8h3c2h 
Qs7s7h3c2h KdJh7h3s3h 8d6h4s4c2d 8c7c4s3h3d 
8d5s4d4c3d Jc9c5h3c2d Qh6d5h3s2c Ah9s9d5s2s 
8d5h3c2h2c 9s7d4c3s2d 9h8s8d3c2c 9d6h4c3s3h 
KsTc7h3s2s Kh9h6d4h2s KhQc8d4s3d KsTd5h2d2c 
Js9h5d4h2h Ks9c7h5d2h 9s8s3s3h2h 9h6d5c3h2h 
Td9s5s3s2h QdTd8c3d2d 5d5c3h2s2c Jd8d5d4s2d 
Js9s8s4d3s Qc9h7d3h2d TdTc5h3c2s Kd8s7h6h2h 
7d6c5h3d2d 9h8h5d3s2h KsJd9d3c2d QhJh7d3s3h 
Ts5d5c3d2c AsQh9c3h2h Tc6s5h4c2c Ts7s5s3h3c 
Tc7d4s4h3s Tc7s4c3s2s Td9h6d3d2c As9c6d5c2c 
KdTc8c4c2c Tc7d6s4s2h Jc4s4c3d2s 7s5s4s4d2c 
9h8s5s3d2c Qc8s6d4h2s Kc8s8h5h2d JdJc7d3h2s 
KdTd7d7c2d Ts9h5h3c2d Ac7c4s2h2c Jd7s6d3c2s 
8c5d4h3s3d Ks8c5h5c3d Qc6d4h2h2d Jd4s4c3s2d 
QsJh8s2s2c Jd7h5d4d2s Qd5s4h2d2c 8d6h4d3s3c 
KcJc6d3c2h 8s3h3c2s2h Qh9s8h3c2h As7s4h2s2d 
Ac9s9d6h2s Qh6d3h2d2c KcQc4d4c2c Td9s6h3c2c 
Th7h6c5s2h Qd7d6h3h2h Qh7s6h3h3d 7h6d5s3h2h 
AdQh7s4c2c Th9c7s4d2d QhTd7d7c2d 7s6s5s2s2d 
8d5d4c2h2d Ac9c8c4c2h Td7c6h4s2s JsJh6d3s2c 
Qh9c5d5c2s Js8s7s7h2s Td9s4d3h2c 9s6h6d4s2c 
6s6h4s3c2d Js7c4c2s2c QdTd5c3d2d Kc8d7d6d3d 
As9h5c4h3h JcTs3s2s2d AsJd7c6h2h Qs6s4s4d3c 
Qs7s4h3h2c KdTd8d3h3d 9c6d5d3h2d Kd7s6s5s2h 
AsQc7h2d2c Qh5h5d4h2c 9s6h5d2h2c Qc7s7c3h2s 
Ac7h5d4s2d Ks9s7c3d2h Jd8d4d3c2c Ks9h9d5d2d 
9s7h5c4d2h QsQhQdJs6d Qc9s7s5s2d Qs6c5c3h3d 
9c5d3h2d2c Kc9c6d4h2c 8h5s3s2h2d Kd9c7s3s2c 
Js7d6c5c2h Ac8s6s3d2d JsJhJd8h7s Tc5s5h4h3d 
9s9c6s3s2h Kc7c6c5s2c Ts8h4d4c3s Kh8s8d6c2d 
Ah5d3s2s2d Kd8c4c3d2d KcTs3d3c2c Qs8d8c7h3c 
Jc9c4c3s3h AhTs6s4c2s Kd5s3h3c2d Ad6h4c3s3h 
Jd7c5s3s3h Qh7s4c3s2h Ac6h5d4h2h Th7s7h5h2d 
Qd7s7c6d2h Ts5h4h3h2s Qs8c7h4d4c Kh8d3h2s2d 
QdJd7h7d2s JcTc7h3s2c KsQs8d3h2c KcQd7h2s2c 
Qs9d8s3h2s QcJd3s3h2h 8s6h4d4c3h Kh9s5h5d2h 
Kh8d5h2s2c 9s7d4d4c3d QsJs7c3s3h Qs7d5s3s3h 
Qd6c3h2d2c 7s6d3c2s2c Jc7c6d5s2c Jc7s6d5d2h 
9h7d5c3s2h Kc8h7c4c2s Qd5c4s3d2h Ad7c5s4h2h 
Qc9h8s4c2c Jd9s8h3c2s KcTc7d3h2c Js8d7h7c2d 
QdTd3s3d2h QcTc5c3c2s Qd9c5h4c2s Kc8h5h4h3d 
Kc9c7h3d2s QsJc7c6c2h KdTd5d2s2c QhJh6s3h2c 
5s5c3h3d2d Qs8c6h4c2d Jc8s5c3d2h Ac6s5h4d2s 
AdQh7h3c2s Kd9c5c4s4c Th5s5d3s2d Kc8c7c4s4c 
9h7c5h3d2s Tc5s5d3s2d Kd7c3s2s2d Qs7s7c5s2d 
7s4s4c2s2h KsQs4s3s2h 9h6s4d3d3c Jh4h3s3c2c 
Jc9c8s3c2h Tc7c6s5h2c KhQc9d4s4d KdJs3d2h2d 
Ah6d5c4d2d Ks9s5s5d2c Js9h8h4h2d 8h5s4d4c3h 
Qd6d5s3c2h Jc8s8c6c2c AhJc4c3s2d Jc4h4c3s2s 
Ts8s5h5d2s Jc7s5c4c2h Jc9d8s3h2d 8s5h4d4c3s 
Jc8d6h3d2h Jc7d4c3s2s 9s8s6d4s2s 9s5h5d4c3c 
9c7d5d3s2h Qd9d7s4h4d Jc8c5d3h2s As9h3s2d2c 
Kc8d7s5d2d Jd9d8h3d2c Ts7s5s4d2h KcJs7d6h2h 
Ah9d9c6c2c AhJc5c3s2c QhTs4s2d2c 7s6h5c3s2s 
Kd7d6c4s2d KhJh3d3c2h Js8c7h3h2c Kh9c7c4s3c 
Ad6c5s4h2c Ts9s6s3h2d KcTh5s2h2d 8d6d4s4d2h 
Kh7s4h4c3h QhTs6c2d2c Qc9h8d4h3s JhTh4h3s2h 
Ah7s7c3s2c 9c7d5s5d2d As9h6h5h2d Ts6c5d4c2h 
9s8h4h3c2c As7d5h5c2h QhQdQcJh4c 9c8d4d3c2d 
Ac9d6h5s2h Tc9h4s4h2h 9s7h5h3d2c AsJh6h4d2h 
Ah7d6d4d3d 8h5h4s2d2c Th5h5c3h2c 9c8h7s4h2d 
Jc9s5s5h2s QsJh6s3d2s 7h7c6d3s2c Ks9h7d3d2h 
Jc8s7h3h2s KhJc8s4s2s QsQhQcJh6s KcQh8d4d3s 
Ac8c4h2s2c KcQd8d7d3d Jc9h7s7d2s Td7h7c5s2d 
8h8c6h3d2h Qd7h5d5c2s Qd8s5d5c2d KcTs5d3h2s 
Qs7d6d5h2c KhTc5s5d2d Jh9s5d4d2d Qh7c5s5h2d 
9d6s6c4h2s Th8s8d3c2h Ac9d6d5d2h 7s6s6h4s2s 
JsJd6c3h2d Ks9s5s5h2c KcTh7d3c2c KcQc8h3s2d 
Kd8s8c7h2s JsJhJd8s8c Js8s5h3c2d Tc7d6h6c2c 
KcTs5d3s2h Th9s7h2h2d Ad9c8c4c3h Qs9s8d4s3h 
AsKc9c4c2c 9d7h7c4s2d Kd8s3h2h2d Jc9s5h3d2s 
KsQs9s8s3s Ac4c3s2d2c 9c7h4c2h2c QsTd5d2d2c 
Jc8c4c3d2d Kc9s7s6d2s As8h6d3s2s As5c4h3h3d 
Ks8d5c4h3d Kh7s7c3s3d Js9c5h3s2s As9h6d3h3c 
Th7h7c5h2s Ts7s6d5c2s Jc6d5h4h2s Th5c4s3c2s 
Qh7h6h4s4h 7h7d6s3c2h Ad9h8h4h3c 7s6s5d5c2s 
8h5d3h3c2d QhTs6s3s2s Qs7s7c3h3d KcTc4c2s2d 
Jc4s4c3s2d KhJd7d3s3d Js8h7h3c2c Ac8s5s4h3s 
Kc9s6h3s3d KdQd8c3h2s AsJc7h6h2h Ks7d7c3h3c 
8c5d3s3c2d Ac7s7d6h2s Js6c5s5h2s Th8s7c2d2c 
KsQd3h3d2d Th9d5s3c2d Js6h6d4c3h 8c7h4s3s3d 
JsTd7d3c2d Th8h4h4c2s 7c6s3c2s2h Qc7s7c3d2s 
9d8h4d3h2c KcQd4h3s2h Td9s6h2h2c QsQhQdTs5h 
9s6c4h3h3d Qh6h5c3d2s Kc9c8c4h4d Kh9h7h4d2c 
Qc8h5s4d2s KsTh5c3h2d Ad6s5h4c2s As9c8c4h2d 
Qh6s6c3c2s Qs6c5d4h2d Qc4c3s2s2d QcJh7h6h2s 
Tc8c6s2h2c Qc8d7d6h2d Qc8c5c4s3c Jd9s5c3h2h 
