8s6c4d3s2c 
Qd8h7c5d3d Qs9s9h4d3s Jd8c4s4c3s QdJh6c4c2s 
Jc9d8h6c2c KcJd8h3s3c Ts5s4s4h2h 9h8c7c3c2h 
TsTc7s6s2d QsTd7d3c2c Td6s6h3h2d JsTh5c2d2c 
Tc8h8d4d2s Qc6c4d2s2d Qd8s8c5d3d Qd9s8c7s3h 
AhQd9s5s2s 8d8c7c4h2s KcTs6h5d2d 7s7c4c3c2s 
Tc6s5h3s2h 9d8h6c4d3s KhTs7c5s2d 8d7d5d4d3c 
Kc9s8c4d2h 7d7c4h3d2h Jh8c5d4h3h Ts8c6s6d2s 
Ts9d8d3c2h Qd6c5c3h2h As9s5s5c4s Td8s6c4c2c 
8d7s7d3s2s Ts8h6s3s2h Qs8h5d4h4c Jd9d7c3c2d 
Ad6c5h4s3s 8c7h6h4h2d Ah8c6d5c2s Jh9c8d6s2s 
Tc6d5c4h4c Qd9h6s3s2h 8h8d7s4h2c Kh8s7s3h2s 
KdQs4s2h2c Ah9h5s5h4h Qs9h8h5h3h QsJh7d4d3c 
Tc9s9c3h2c Kd9d7d7c4d QdJs4c2h2d 6h5h5c4h3d 
Qc9s4c2s2h Qd8h8c5s3h Qd8s5d3s2d Jd9c6h4s3c 
Js7d6c4h3c 9d9c8c4h2s 8d6s5s2s2h 9s6h4s3h2d 
As5s5d4s3s As9s5s4d2c Kc9s6d4c2h 6d4d4c3c2h 
Qc8h8c3h2d 5d4s4c3d2c Js9d7h5c2d Td6d5s5c4d 
JcTc4s2d2c Qc9d8d7s3h 8h6h5h2s2c AhTs9c4c2c 
Ts8h8d7s2s 8s7s6s6h2c Jc8s6h4d2c JsTs7h7d2s 
9h5s5h3c2s Th7h5d3c2c Qc8h8d5s3h JcTd7c6h2c 
Jh9c6h3c2h JsJc9s4s2s Kd7s4d2s2c As9c6h6d4h 
AcJh6d4h3h Qc6c5s5c3h Jc9c7d3d2c Jd8d5d4c3s 
Jc6d5s5h4s AcJs6d4s3s Ks9s9c3s2c KsJd9s2s2h 
Ts9h8s4s2d KsTsTdTc8d 7c4s4d3h3c Js7h4s4c2c 
KdTs3c2s2c Tc8d6d4h3d AcQh5d4d2d Jh5d4s3s2h 
KsTh9c4d2d 8d7h6c3c2d KdJd9c3h2d 9s9c8c7c3c 
9c8s6c3h3d As6c4s4d2s QhJd9d6d2d Th6h4s3d2s 
Kh9h9d3h2d 8h7s5s4s3s 7d6c5s2h2c Ad9s5h4h4c 
ThTc6s6d2d 7d7c6h4d2s Ac9d6h5h3h KdJd7s6h2d 
9d8c5c3h3c Jd9h4d3c2c KhQh7s7c3h Jd8s5c4d2d 
Kd9h9c5s3s Kd9s9d5d2c 9s6c5s4d2h 4s4d3h2s2d 
Kh5s4d3s2d Tc8c4d3s2d Jd6s6c5c4c 9h5h5d3c2d 
Th7h7d3s3h Qs9d7h7c3c Jd9h6h3c2c QsTh4d4c2s 
Td9d8d3d3c KdTd5s2h2c 9s8h6d3d3c Td9h6c5c2c 
Jd9h8d4c2s Ks5h4c3h2c Jd8s4h3s3h AdKc5h2s2h 
As8c7h7c2c Qc9h5h4h4d Jc8d8c7c3s Qd9h9c8s4s 
9c8h5d3s3c Qc8d7d5s3h AhTd9d3s2d Ts7d5c3d2s 
AcQd9d3h2s Ah8h6s2h2c KhJh7s6d2h Kh9c8s4s2c 
JhTc6s4d2s Jd8h7d6s3d Qc9s8d7c3c 5s5h4h4d2h 
KcTs7s6h2s 6h4h4d3d2c Jd7c6s4h3s KsJs9s3c2h 
Ks9d8h4h2d Kh8s6d5c3c Ks5s4s4c3d 9h8d7s4c3s 
Js6s5s3d2d Kd8h7h5s5h Qc9s8s7d3h QdJs8s7c2s 
Qh7c5d4s4c Jd7d5s3c2c KcQc9c8c2h Qc9d9c7c2s 
Qh7h5s4h4c Ts5s5c4c2c Qh7h5c4s4h 9d8h7s7c2c 
Kh8c7c3h2c Qd7h6h5h3h JdTd7d4h2d Kh8h8c4h4d 
9c6h4s3c2h Kd7h7d3s2s 9h8h6d6c2s KhTd6c3s3d 
QhTd6h5h2h Jc6d6c4d2c Qh8h5d4h3c 9s6c5h4d2s 
QdTh6d5d2d AdJc9c3h2s Js6h5d4c2s Td9c7h5s2s 
Jh5s4s2h2c 9s8h7d4c3d Ks5h4d3h2d Qd9c4h3d2h 
KsTs8s8d2s 9c5c4s4h2s Ts9s8c4s2h QdJh5s3h2h 
8s8d7c4h3c Td8d4s3s2c 8s8d7h6c2c Kd7c6s4s3h 
Jd7h5d3c2h KdTh8h5s2h Qc9c6c4s4h Qc9d7s3c2s 
9s7s7c5s2h AhTd7s5c2c Ah9h7c4h3h AdJc4d3d2s 
Qc9h6s3s2h Kc9d3d2s2c JsJh6h4d2h KsJs9c3s2d 
Jd9d9c7d2d Jd8s5c3h3d QhJs8c4s2s Jh8d5d3c2c 
Jd8h5d5c3s JcTc9c4c2c Kc6h6c3c2h Jc7h5h2h2c 
KcTs4c2h2d KcJc9d2h2c Td8d4c3s2c Ks8s5s4c3h 
Jd8h4s3s3h Tc7c5d3h2h 7c6c5h5c3c Kc8s6s5h2d 
As8d3s3d2s QhTc6c4d2c Qd7s5c4s2c Kc8h7d5s3s 
AcQs7s6s2d Qs7h5c3s2c Tc7h6h3c2d QhJc5s5d2d 
Jc8d7d6d3s Jd9c7d4d3h Jc6h6d5h4h KhTs7c3s3d 
8d7c5c4h2c Qh8h6d4s3h KhQs9d4c3d 9s8c6h6d2s 
9s8h5c4d3c Jc3s3h2s2c JhTs4c3c2d Kc7h7c3d2d 
7c5s5c3s2c Tc9h8d4s2h Qh9d8s5d2c QdTh4h4c3h 
Tc7c5h3s2s AsKh4d3c2c AhKd8c4s2s 9s8h5c4d3d 
9d8d6s6h2c 8s8d7d6d2h AdTh8c2s2c 8s8d7d4h2c 
Tc8s7h4c3c 9d5d5c3h2c QsJd7h4h3c QcTc8c2s2d 
KsTc9c5c2c KcTc8c4s4c JsTd6h6c2d 7h6s6h5h2c 
Qs9s7c3h2c Ad8h7s5c2c Tc8s6h4d2d Js6h5d3d2h 
Jh8h7s7c3d 8h8c7c4d2s 7s6s4d4c3h 8d6s6d3s2d 
As7d5d3h2h JdJc7c4s2h JdTh9h9d9c Kd7s7h5h3h 
9h8d5s4s3c KdJd6d3s3c Ts9h8d3s2c Qc8c4d4c3d 
KsJh8c4d3h Qd4h4d3s3d KdJs5d3d2c KdJd8c4h2d 
Qd8s8h3d2s Ks8s6d4s3c Ts5h4s4d2h 9d8d6c4s2h 
Td8c6d3d2c Qs9h9c7h3h 8h7d6c4s2h Ts6h6d3h3c 
9c7d6h6c2s 6h4h4c3c2d Td8d7h7d3c Ks8h5c4s3s 
Jh9d6d4c3s Td6d5s2s2c Js5h5c4h2c Th6d4h4d2d 
Js9h3h3c2s Ts8d5c4d3h Td9c4d3s3d QsTs7s3h2h 
As9s6c5s2s Js6s5d2s2d KcTh8d4s2h AcJsJd6h2h 
QsTc7d4h2s Ts7s7c4h3s Jh6s6h2s2d AsQc5c2h2d 
Qs6h4h3h2s AdTs8s2h2c AhTd4h2s2h QsJs5s3d2c 
Kd8h4s3d2h AsTd6h5h2c AdKc9h6h2h Js7d6s4c3s 
5h3h3d2d2c Kd8c7s5h3c KdJh5s5h2c 8h7s5c4h2h 
Ac7s6h4h3h 7h6h5s5d2c Tc9s6h5h2h Kd6d3h2s2h 
Ah7d5c3s3c Qd8d7d4s2s Qh9c7h3s2s KcTd5d4d2s 
Kc5d4h3d2h AdQs3s3c2h Jh9h8c2s2d Tc9s8c4h2c 
Kc5s4s3d2d Qs8h7s6d2c Tc9s5s4s3s 9h8s6c4d2h 
Qh6s6d2s2d Jh9h9d6h2c Th9h8s4c2h AhQd5d2s2c 
KsJc5s3s2h Kh7s6c4d4c 9c8h6s4c3d Jh6d5d3h2h 
Js8s5c4d3s QdJs8h7s2s JdTh6s4s2c Jd6c5c3d2d 
Jc5c4h3h3c JcTs4d3d2h Jc9h7c4c3s KcQd9h4s3h 
Ac6h5d4s3d 6d5s5d4d3c Ah8h5h5d2h QcJd6d3h3d 
QsJc6d4d2h Td8s7d3s2h AdJc9c4c2s QcJd5h3d2d 
AcTd6h3d2h Th7h7d6s2c 8h8d7s6c2s JsTd9s9d9c 
Js5s4h3h2s Kh9s4h3s2s 9d8c4c3d3c Th9d6s5c2c 
9s9d4s3h2d QhJh8h6h2d Qs9h6h4d3c Kd8s7s5s5c 
KdQd8d6d2h Jd8s5h3d3c Tc5s5h4s2h Ks9s5s4c3h 
Qc9s6d4s4h Kc5h4d3h2d QcTh4s4d3s Kh8s7s5s5c 
Js7h5h4d4c JhTd7s7c2c Td8c7s4h2d Jh9s4s3s2h 
Kc8c5c4d3h Ac8c4d3h2s Js9c6c4d3h Ts7s5s5h2h 
8d8c4s3c2s KcQc9s4c2h Qs9h7c4s4d 8s8c4d3s3h 
QsTc5s2h2d Jc7s7h4c3d 8h8c7d4c2s 4h4d3h2d2c 
JhTc3s3c2d 9c6d6c5c3c Tc9h7c5d2c Jd7d5h5d3c 
Kd5s4h3s2h KcTh8c2s2d 9c5h5c3s2h Td7d5s3s2h 
Qc7c5h3h2s 8d7s6h4d2d Tc8h8d4s2c Js7d5s2h2d 
KcTc8c7c3c 9s8c7s3c2c Ts9d6s6h2s JhTc6d4d2s 
Js7d5c4h3d Ah9h4s4h3c Jc7h6h4d2d 6s6c5h4h2h 
Tc9s6h5d2d KcQc8c6c2s JhTh7h3h3c Kc8d6c3s3h 
As7s6s3s3h Th8c7h3s2s Th8c6c4d3c KhJs9c3s2d 
KdTh9c3c2s Qd9c5s5d2h KhTs7d5s2c KhJd8d6d2s 
Kh8d4s3h2d Kh7d5s5c4d 9c8d5h4s3s Ts8h8c7d2d 
JhJd5d4d2d Td8s5d3d2s Qh9h9c7h2d Qs9c5h4c3d 
QhJc8c7d2c Jh8s7d4d4c AsJc6c5c2d JsJc6s2s2h 
9h5s4d3h2d Qd9h8c5h2s KhTd6c5d2d Qh6h6d2h2d 
9s8d6c4h3d QdTc4s4h2d Qc6c5d3s3h 8c7h6h3c2d 
Jh6h5h5d3c Kh9h8h5h3d Qs8d5s4h3s QsJd8h7c3c 
KcJs8d5h2h 9c7s7d6c2h Td7s5c3c2d Jh9h9c7h2h 
9h8h8d6h2h 8s7h5d5c3s 8d7h5c4d2d Kh9d8s7s2c 
Ad7c6s4s3h KhTc9h4h2h Qd6c5h4c3c 7h6h6c5h2d 
5s4s4d3d2c Js9h4s3s2h Tc8s5c4h2d Tc9d5c4h2s 
AdTs9s3h2s Qd9h8c7s2h Jc9c6c4s3d Kh8c7c5s5c 
9c8h8c4s3c 9d8d4c2s2c JsJhJdTd7h QhJs8h7h2h 
Jc9d7s3d2s QhJs7c4c3d 7s6s6h4d2c JsTc4h4c2c 
JcTh4s3c2d AcTs7s6d2s 7h7c6d4h2s Jh8h7h5h3d 
Js6h5s5d4s 9c7c6c3h2h Jh5c4s2h2c AcKd2h2d2c 
QdJc5s5h2s Kc8s5c3s2c Qh9s8c7d2s KsJh8d7h3h 
JcTh4s4h2h TsTd7d4c2h Js8d7d6d3h QsJc5h3c2c 
Th8h4d3s2d Tc8s5d4h3s Tc8d6d4h2s Jc7s6c4c2s 
9h9d4h3s2s Js7d6h4s3s QdJh8s7c3s Kh5s5h3c2d 
Kd8s8d4d4c Ac7s7c5c2c AcTd6h4d3d AcQh8d6d2d 
JcTs4s4d2s Ts8d6s4h2s KdJh7s7c3c 9c8c7c5c2h 
Kd7d7c3s3h QsJs5s3h2c Qh9c4d4c3d Qs7d5h4d4c 
KdTs8s5s2c KsTc6d5c2c Qd8h7d6s2c Qd8c7s5d3d 
Qh7s7d5h3h 5s5h4s4c2s Th7d6d3c2h Td6c5h3c2h 
7h5d4s3h3c 9c8s4s4c2c Qc6s5c2s2c Qc9d8c7c2h 
Jc5c4d3s2s AhTs5c4s2d Kc9c7s5c2d Qs9c7s7d3s 
Kh8h5h3d2d QsTh7s5s2d AhTs6c4s3s Jc8c6h3d2h 
Js8h7c3c2s Ad9s7s5c2h AdKs6s2s2c Ad8c7s7c2c 
QdTd7d3h2h JsTh7c4c2c Ks9d8s4c3h QcJh5s5h2h 
Qh8h6h4c3s 8h7h5h4h3s Tc6h5s4d3s 7h5d4d3h2d 
Js8s7s5s3h KcJd6s3h2c AsTd9d3c2d Jh9d6d3s2s 
Kd8s7s3d2s As8h7h7d2h KhJd5s5d2c KsTc8h4d2c 
KhTc9d4s2s Jc9s8c4h2d Ts8d8c7h2h Qd8d7d5c3h 
Js5h5d4h2d Ts9h6c4d2s QcTs6h3h3d AsTs8s4s3s 
Qd9c8h5h2s 8h6c5c2s2c KhTd4s2h2c 9s8s4s4d3d 
Ts9s5c4h2d Jd7h6d4c3d 9c8h4h2s2c Th8s5h4h3c 
QdTd9d6d2d Ts9s8s5h2s KcJd9h4d2s 9h5s5c4h2s 
Th8s7d6d2d Kc8d5c4c2s 7h6s6h5d2h KhQh5d2s2h 
Qc7d6c4c2d Jd6h6d2s2h Tc8s6h3d3c Qc8s5d5c2h 
KcJd8s4h3d Kc9d9c5c2h JhTh6h3h3d Td7c6c3h2d 
As9h6c5h3h KcJs7h3s2h Jh9s6s3d2d Js9s8d7s3s 
Kc8s6s5d2h Ah9d7d4s2s Ts9c7h7d2h 9h5s4s4d2h 
Tc8d7s7h3s KcJc9c4h4d Qh8d7d5s5c Ad6s5c4s3h 
KcJsJhJcTd AdKc6c3c2h Th7h5c3c2d Jc8s5d5c3h 
Ts8c5d4h3c Jh7s4h4d2d KsJs9s4h4d JsTd7s6c2s 
TsTh7s4c2d Qs9c7c4s2s Ks8s8h5c3s Js9s9h6c2s 
Qc7h5d3c2d 7d5s4c3h3d Th8s6s4c3s Jd7d6d5h5d 
Jh9h8s7h3h Ts8c6d3d2c Ks8s8c7s3d KdTs6h5s2s 
KsJsJhJcTd Jd7c4s4d2s JsJc9d3d2h Ts8c7h7c2d 
Ts7s7d6h2c 8d6s6d2h2d QhQd9s3s2c Kc8d7h6d3s 
TsTh7s6c2s AsQhQdQcTd Jd8s6c4h2d QdJs8h4h4c 
JdTd7h7c2d Kh8h5h4d3s AhQd6h2s2h Qs9d5s5c2h 
8s7h6h2d2c Th8d6h3d2h QsJs4d3h2s Jc9d6h4s4d 
9h9d4h4c3h Qc9s9d8h2h QhTc7c6c2d Th9d8d2d2c 
Qh9h8h7h4d Jc7s7d4c3h 7d7c3s2s2d KhJd8s6c3s 
KsQh4c2h2d 7d6c4s4h3c JdTd3s3c2h 9c8c5d4h2s 
Jc5h4d2h2c JhJd6d4s2d KdTc8c5s2c 9s8d6s3h3c 
QcTh8c3c2s Th9c8c2s2c Jc8d7h6c2s Qd7s5h5c3d 
Js7c5s2d2c 9d8h7h4s4h 9s9d4d3h2s Jd6h5s4c2d 
Th8d7c4s2h Kd9s8d4c3h KsTs5h2d2c Kd8s5h4d3d 
Jh6d5h5c3s 9h8d5c4s3c Jd5h4s3s2d 8d7s7h6c2c 
Ad9c4s4h2d Qh8h7c4c2h Jd9h8c3s3c Js6d5s5h4s 
ThTc5h2s2d KsJc5s3h2s KcTs7d5s2h Qc8s6c5c3c 
QhJc8s8h2h QcTs5c4c2c AsKh9c4c3c Kd7d6c5s2d 
9c8s8c7c3c Qc9s9c5d2c Qc9s7d3c2d 8c7h6s6c2d 
Kc8h4d3c2h AhQs7s6s2d Qs8s5c4s3d Tc9s8h4s2d 
Js8h5d4s2s As7s5s3d2h AhTc7s5d2s 9h7s7d6d2c 
Qd6c5s4h3s Kd7h6s4s4c 5h5d4d4c2d AhTs7s6d2s 
KdJs8c5h2h Td9d7s5d2c 8d6s6c4c2h Th6s5s3s2h 
Ac8c7h6c2c Tc9d8s4h2s Ad7d6d3h3d QhJh7d7c3h 
8d7c5s2s2h AsJhJc6d2d QsTc4h4d2s Jh9s4h3c2c 
Qd9s7h3d2h AsTh9c3d2h Jh5h4s3s3h Tc8s5s5h3d 
Th9c6c5s2c Td7d5h3c2c Jd6s6h5s4s Jd8d6c4s3h 
KsJd8d6d2h KcJd5h5d2s KcTd9s3s2h KdTd7s6d2d 
Kd9c8d4s3h 9c8d5h4s3h KsTh8c5d2d Ah8d6s5d3d 
JcTh7d4h2h Jc9s9c6h2c KhQd9s4s3c Ah7s5d3d3c 
KcTd5s5d3d KsTc8h5d2d QsTh7h4h3h 7s6s4h4d3c 
QhJs5d3s2s Kh9h7h7c4h KcTc8c4c3s Js8d7c4s3h 
Kc8h7h3c2h 9d8c6s4h2d KdTh7h6c2h Qc6c4s3d2s 
AsTc9h4h2h QdJs8h7c3c 8d7d6d4d3h 9s6d4d3c2s 
KhTd9d3s2d Qh8s8d5c3s KdJh5d3c2d Qh7s6s5s3s 
Ts8c7d6c2c Td9h5d4s2c AsQc8d6d2d QdJd7h7d3s 
Qc7s6c5d2h 9d8s5c3h3d 8c7s6s6d2h Kc8d8c5c2h 
Jh9s7d4s3c 9s7s7c4s3h Jd7s6s4d2d KdJc8h6c3c 
Jc9c6h4c3d QdJc7h6d2s JdTd6d4d3d 8c6s6h4d3s 
Qd8s7s5c3h 7s7h4h4c2h Kd9s8d4c2h AdTd7c4d2d 
Jd7d5d5c4d AdTh6s5h2c QcTh4h4d3h ThTc8h7h3h 
Kc7c6h6d2s Ah9d6s5d3d 9d8s8h7h3h Th6h4c3s2c 
KdTs6h3s3c Js7h5s2h2d Js9s5d4s3s Qc9h9d7h3h 
8h7h6h4h3d Kc9h9d8s4h Jd6d5h5d3c Kd7s5c4s4h 
Jc8c6s3d2s Td8h6c3c2h KsQh8c4d3h Ts7s7d6c2h 
Jd8h7d6d3s Tc8h5c4s2d QsJh8c4d4c JsTd7d4d2h 
Kd6s5h5c3h 9h9c8c7c3c Ts8s7s4s4h ThTc6s5s2d 
Tc6c4d3d2h KcQh8c4c2s Ts9d8d2h2d 9d8d6s6c2h 
Td8h7c4d3d As9s4h4d2c 9c8d6h3s3h Kh8s5h4h2c 
Ks5d4c3c2d Ah8d7d7c2d Js9c8s4h2d 8d6s5d2d2c 
9s5d4h4d2s Qd9c5s5c3h Th6s5h4h4d 9c6s5c4h2d 
KdJsJhJdTc Jc9d7h4d3s Ad9d5c4h2d Kh9d6s6c2h 
Tc8s5h4d3h 7s6s6d5s2h Jd9h9d6d2s Ts7c5s5c2c 
KhJhJdJcTs 8c7h5s5c2d Qs9c7c5c3c AdTh7h6c2h 
Tc9c3s3c2s 8c7h6h6d2s Qh4h4d3s3h KdTs7c5s2h 
Tc6h6d3h2c Jc9c5c4d3c Qs9h8d6d2d Jh7s6s6c4s 
9d8c6h3s3h Ad6d5s4d2d JhTs7h3c2d Kc7h4h3h2c 
JhTh3s3c2d Kc8h8c5s3c JhTh7s7c2h KcTd9d3h2d 
7h7c3d2d2c Js8h5s5c2d Qc9h5h4s4h Jh6h5h3c2c 
AhTc8c2s2d Jd3h3c2h2d Qh5d3h3d2c Ac8c7s6c2c 
Td8d7h7d3s AcQc7c6c2s Jc7s6h4c3c Qc9h8s8d2d 
Jd6h5c3c2h KsTd7c5d2h Tc6h5d3h2d 8d5s4c3s2c 
8s6h6c4h2d AhQc6h2h2d KdJs4s3s3h Jd7h6h4c2c 
KsJs5d3s2h 9h9d4h3s2d Qc8s7d7c3h 9h8s8c7c3c 
7h6d4h3d2h Qs9d6c4h3h KdJd7c6h2d Kd9d6s4h3d 
Kd8c4h3d2c 9h5s5d3d2s Qc9d8s5d2h AdJs9s3h2c 
JcTc5s2h2c QsTh7h3c2c Ts7h6d3s3c KsTs8s8c3s 
ThTd7d6s2d JsTs6h3c2d Js8s7c6h3s Ah9s8c5s2s 
6h5s4d3h2c KhJh9s3c2h Js9d8c6h2h Th8c7s4d3s 
Th9s9h3h2c Kd5c4s3s2c 9s8c7s7d3s Kc9d8d6h3d 
8s8d4c3d2c 9c8c7s7h2c Ts9h8c4h2d As8d4h3s2c 
Jc8s5s5d3h Ad9h8h7h3h Ks5c4c3d2d Ts7s7c6d2h 
Js9h6s6d2c QhJh5h3c2d AhKh3h2h2d Td8h8c4h2s 
Qc9s9c4d3c Tc8d8c4c2s Kh9c8d6s3s Ah8s4c3h2d 
Js8h5c4s2s 9c7s6s5s2s As8s6s3h3c KsJd8h6d3d 
KdTd6d5s2d KsJs7c4s3s KdTd5c4d2d Jh8d7c6s3c 
7s7h6d2d2c QcThTc7c2c KhJc8s6c3c 9s7s7d5s2c 
Tc9h9c3d2c 7s6c5c4c2h KcTs7d7c2c KcJc8c4d2h 
As8d4h4d3h QdJh4s4h2c Jd7c5d3s2c Jh7d6h4s3h 
JhTs3c2h2d Jc7d6s4h3s Qh9h7d3c2d Kd9h8d4s2c 
Td7h7d3d3c Tc9d8c4c2h Jd9d8d7d3h Jc9c5s5d2h 
9c7c6s4c3c Td7s5s4s3c Jc7s7c2s2d Qh9d6s4c3c 
Jc8s5h4c3c Js5h4c2s2c KcTd4s2h2c Tc7h5h4h4d 
AcTs6h5h2d JdTh6c4h2h Jd8h7h6h3c Ts8s4c3h2c 
8c7h6s3s2h 9s8h5d5c3c AdJh4d3d2s 9c6h5c4c3c 
8c6h5h2h2d Ks8h7c4s2d KcTs9c4c2c Kh9h9d5h2c 
Qs9s7s7h3d AdQs9c7c2c Th8d6c5c2c QcJd9d6d2d 
Qh9h9d4s3h AcJc6c5c2h Ah7s5s3c2c Jh8s5c3h3d 
KsQs7c3h3d 9c5s4s4d2c Kc8s8c5c2d Ts7h6h3d2s 
Tc7h7c4s3c Qs8s7c4s2c Qh9s9c8c2c 7d6c5h2s2c 
Qs9h4h4d3d Ts6s4h3c2h Js6h6c5h3d Jd8d6h3h2s 
9d6d4c3c2s 9s6s4h3h2d JcTd5h2s2h Ah8h5h4d3h 
Jh9d5d3s3c 9s9d4h4d3d 9h4d4c2h2d Jd7d5c3s2s 
6h6d4s2h2c KsJs5c3s2d Qc9c6h2h2c Kd9d7s6c2d 
QsJs6d4s2h 7c5d4d3d2c KhJc8s6d3s Jc8h4h4c2c 
QsJs4h3d2s Qd7h6c4h2c QcJh6c3s3c Qh8h5s4h3d 
9c5c4h4d2h ThTc7h6h2d Js5c4h2s2c 6d5c4s3c2h 
KdJc6s6c3c Qd6h5c4s3c Td8s7c4h3c QdJh9s6s2s 
Jc5s4s4h2h KhJc5d5c2s 7s7d7c6d6c KhQhQdQc5c 
Qh8h7h5c3s 8h7c6c4c2d Js8h7h6h3d AdJs5s3c2h 
AdJs7d3c2d TsTc5d4d3d Ah6d5s4s3c JcTc3s3h2d 
AhJs7h3c2h AdTc7h5s2s JsTc4c3h2d Jc7h5s3c2h 
KsQs9s8s2d Qd9h5h4h4c AcJc7c2s2h 9c8h6h4d2s 
9c8c7c4s4d Qd9h7h5h3h Qh9s7h7d3h Js9d6h3s3c 
Td8c7s4h3s Qs8d8c5h3d QdTs4h4c3c Ts9s4c3h3d 
AhQs7s6d2s Ks6h6c5h3h 7s7d4h4d2d Qh8s8d3h2s 
Qh5s3s3d2h Ks9h7s6s2d QhTs6d6c2s 8h7d5d4s2d 
Qc7c6h5d2s Qd8h5s3d3c AcQs4s3d2h Qc9c6d2d2c 
AhKc5d2s2d Qs9d6c4h3c Js7s7h2h2d Kh8d8c3h2d 
KsJd8h7c3h Qc9s6d4h3h Qh6d5c4d3d 8d7s5h4h2h 
Td9s9d3h2d Kc9d8d6s2h Td9h5d3d3c Ts6s4c3h2c 
QsJh8c4s2s QsJs9d3s2h Th6c5d4s3d QcJd4s2h2c 
Ks9c8d7c2h Js9h7c6d2s As7h6h4h3d Kh7s7h3c2c 
7h6s5c4h2h TsTd8s7s3s Jc6s6c4s2c KsJs5c3s2h 
Kh8s6h3d3c Ts6d4s4d2s KsJd7d5c2d KcJsJh7d2d 
Kd8d8c7d3s TsTd6h5h2c Td8s5c4h3s AcQsQhQdTd 
8s6s6c4s3d Ts9s7h5s2d Qd8s6d5d3d AhTd5s4d2c 
Ts8d4s3d2c Ah7s6s4s3c Qh9h9c7h2s AcJh8s4d2s 
Ah5h5d4h3h TsTh6d6c2d Kd9s6h6c2d 8s7d6d2h2c 
KhTd7d6s2d Tc8d4c3d2h AsTd4c3d2c Js7d5h4d3d 
Tc7s5c3d2s AdQh9c7c2c QhJh6d3s3h KdJd7d6d3d 
Ks9s8s5s3d Tc7s5c3d2d Kc8d7c5s2c JdTc4s3s2h 
Ks9d5s4s4h JdTc7d4h2d Qd9h9d4d3c KsTc7c5c2d 
Qh6c5h2h2c AdTc7h5s2h 9c8h5c3d3c Ad9d7c4d2h 
KsQd8c5h2c Jd7s5s5c3h Th6c5d3c2d Qs9s8s6s4s 
Jc5s4h2s2c Qc9s7d4h3c Jd6d5h4s4d 8h6d5d2s2d 
JhJd6s6h2h As7d6c4c3c JhTc9s9h9c Jd9h9c6c2s 
Ts8c6h4h2h Th8s7h5h2d 9d5d5c3c2s 9d8s7d3s2s 
9h8c6c4s2d JhTc7h3s2d KcTs4d3h2c Qd9h7c3d2c 
QsTd6h4d2d Ks9d8h7h2c Kh8d5d5c4s KhJc7d5c2c 
KcJs9d4s2h 8d7s6s4s2c KsTh9h3d2h Td9c6s5h2h 
Td8d4h3h2s KdJs9h7h2h Qc7h6c2s2h Ks9h8d6c3c 
Tc9d5d4d3d AsKh9d6d2d KcJs6h3c2d KdTc7h6h2h 
QhTs4s4c3s Jd9s9c6s2h Td5h5c4h2c Tc8h6s4s2s 
As8s5c4s3s KhJd5h3c2h AdQh7d6d2d 9d7d6d4s3d 
Qh9c8d5d2s Ac7d5s3s3h Td9d8s4h2d QhJd8c7s3s 
Kd7s7c5s3s 9h8h8c4s3h Qs8d6s3c2c 7c6h6d5s2c 
Ks7s7h3c2c TsTc7c6c2h 6h5d4s3h2c 8h7d6d3h2c 
Jc7s6s4c2c Ts9h8c4d2c Qh9s9c8s2s Qc9d5h5d3s 
QcJh8d7s3d Ts9s8d4h2s Ad8c4h4c3h 8h6s6c4d3s 
KsTh5h4h2d JcTd3h2s2c QsJh5c3s2s AcQh7d4h2s 
KcQc9c8c2d Jd7h4s4d2s JsTc5d2h2d Js7d5d3s2c 
Jc8h7c6d3c KcTh8s4s3d Td7s4d4c2s KdTs7h2s2h 
Js6d5h4c3h Jd9d6d5s2h KdQd9d8d2c 8s5s4s3d2d 
KcQc9d9c2c QdJs5s5h2s 8c7c6s6c2d 5d4s4h3d2h 
AdKs8s4s2s 8c6s6c4c3h KdQh9s4h4c KhTd8s4c3c 
Tc8d4s3c2s Kd7c6s4c3h KdQh8c6c3c 9h8h6h4h4d 
As9d8d5c2d KdJs8h7c3h Jh7h7d2d2c Qd8d6h6c2s 
Tc5d4c3d3c Js8h7d6s2c 9h8h7d7c2h Tc9s5c3d3c 
9h7d5h4h3h QsTh4h4d3h Ts8s8d7h2s Td8c6s3s3h 
7d7c6s4c2h Jd7h7d2s2h Qh9c5d4s4d As7h3s2s2h 
Ts8c6d4d2d AhQs9s4s3s 9c8d7d3d2c JsJhJdTs7d 
Qh8s8h5h2d KsJd6h3c2s 8c6c5s5c2h 9c4s4d2d2c 
Jd9c7s6h2d Ad9d4c3s2h JhTc7c4c2s Jd9h6s5c2h 
7h7d7c6d6c JhTh5d2s2h Jh7d6c4h3h Kc8s6d5d3d 
Qs9d5s5h2c AhQd9c7c2c QhJc6h3h3d AsJh8c2h2d 
JcTh4d3d2s Ac8d4h4d3h AsTc6d5c2h AsQd9c5c2c 
7s6s4s3c2c Jd9d7h3h2h Qc8c7s6h3c KhQd9s4c3s 
Qc4h4c3s3c KhJd7d5c2d Tc8c5c3h2h As9d8d7d3d 
As9c8d5d2d Js9h7c4s3s KcTs8s5s2d AdQc8h6h2h 
Jc8c7c4s4d Qd8d7d6d4d 8d8c7c6c2s Jd8h5c4d3d 
