KdQsJs8s3s 
Ac9d6s5d3h Tc6h4h4c3h 9h7c4d3d3c Kd9h7s7h2s 
KcQh7c4s2d KcQh6s6h3h AdTc7c4c3c 9h7h6d4s3h 
QhJh4s4h3c QcTc5c3s3d Ts8h6d5d2c Ah7d5c4d3s 
AcTh9d6s2d KsTs9d5s2s 9d7d6c4h3d 9s8d6c3c2d 
Td9h3s2s2d Qh9d7d5c4d 9h7d6s6d3d AcJh4h4d3s 
QhJd4s4c3d Jh9c8c5d2c 8h6d5d4c2d Ad9s8h5c2h 
QcTs8s6s2s Ts7h6h4h3d Ad8h6h6c4h Qc6h5s5c3d 
Ks5s4c3h3d Ad5d4d4c2s Ac5h4c3s2c AsTc8c5c3c 
Jh7h6d4c2c As6c5s2s2h KhQc7h4h4d Jh9h8d6c3h 
Tc9s3h2s2c KsQh9d3c2s JsJd8s4c3s Kh9s9h8d4h 
Ts8s8h5d3s KhJh4s4d2c Ts6h5c4s3d Kd5h4c3h3c 
QhTs8d4c3c Qd7c6s6c4h Qd8h8c7c4s Td7c5c4d2c 
QcJh4c3s2d 9s7h5s3s3c 6s6h5h4d2c Qc9h8d6s3d 
9s8d5s4s4c Tc9s8c7c3c 9d7s6h3h2d Kc9h9c4d3s 
9d8c4h3d3c AsJd6d5c2h QdTh8s4c2h Qd8c6s6d3h 
Kh8h7d6s3h JdTh8d3s3d Ts9s8c5s3s KcTd6s2s2d 
TsTd6s5h2c Kc7d5s4d3h Qd8s7d4s3d 9s6d5c4s4h 
Jh4h4d2d2c KsQc8s8d4s Jd7d5c4d2c QsTh7h6c2d 
Qd9h8h6h3s KcJhJd6d2d KhJh8h6s2c QsJsJdJc9d 
Qs7c5s5h4s TsTc9d4h2h 7h5h5d4d2d AhKd7s3h2h 
Td8s8h5c3s Qh8h5h5d4c KcQc8c5s2d Kc9s6s3c2c 
KcQh8d7s3h Ts8c7s5h3s Js8h4s4d2d Tc7d5c4c2d 
KsTs8s6h2s Ks8h6c5s2s Kd7d5c4s2h 9s9h8s2s2d 
QdJs8d7d2h QsJs9h2d2c 9d9c7d5d2h Kc7c6d3h2h 
JdJc8s7s3h Th8d8c7d2s Th9h9d5h2s 9c8s8c4d4c 
9c5d4d4c3h KcJs8h5s2d QdTd7d5s3d KdQh9h7c3h 
KcQh8d5h3h As4s3s3d2d Js6d5h5d2h AdTh5c4h3s 
Jc9h8h5s2h Td6s6d5h4d Js8s6d6c4s QcJh7s5d2c 
Ts8s6d3c2d Td9c5s5c4c 8h8c7d6s2h Kc7c6s3d2d 
9c7s5s5c2s Js9h6h4s2h 9c8h7c6c2d Qd9h7s5s3c 
TdTc8h6h3h Js6s5d3d2h Ad8c6h6c4c JsJd5s4s2h 
8c7s7h4d3h KhTd8s2h2c 9d9c7s6c2h Kh6c5d3h2s 
Th9c3d2h2d KsQcJd8d3d Js9c5s5d3s Kh6h6c5h2s 
9c7c6c5h2d AcTd6s5d3d KhJh4d4c2s JsTs6d5h2s 
Kh7c6h3d2c 9h9c7d5s2c 9c5s5c3h3d 7c6s5d4d2h 
Tc8d6s4c3h Ks9d9c3s3h Ts9d6h5d2c Js9d9c4h4d 
Jd7s6h6c4c Kh7d6s6c4d Qc9d4h4c2d AcKc9c5h2c 
9h9c8d7s2h AhJc5h2s2h 9c7c5h4c3d JcTc8s3h3c 
KhQs9h7h3h 9d8h8d6d2s Ac9d6h3c2s Tc9h7d6s2h 
Kc9c8c6c4d As9c8c5c2h Th9h9d8h2h Jc9h5s4s3d 
8h5s5c3h3d Js9d8h5h2h 9c7d4s3s3d KdTh8c6h2h 
9c7d5h4s3s JhJc6s4d3s 9d7s6s5h2c AcQh8s4h3h 
9c6h5s4d4c Qc8h7c4h2h Qs8h4s3h3c Kd8s6d5c2d 
8h8d6c4s2d Kc5c4d3s3h AsTh6d5h3h Td9d3s2s2c 
AsTh6s6d2s Jc6d5s5c4h Jc9c5d2d2c Tc8s8c5h3c 
QhJs5s5c2d KdQd6c3h2s Kh8h8d5h4h Jd9d8h7s2d 
Qh9d7d5s3d KdTd6d4h2s Js5h4h3s3d AsKs7h2s2d 
KcTs5c3h2d QhTs9c3c2d Tc9h7c3h2h 8d7c5c4c3s 
KsJs8s8d4s 6h4s4d3d3c JsTh6s6c2d JhTh8d3h3c 
AdTs8h6h2h Jd7d6d6c5d 9h9d8d2d2c KhQsQd7c2c 
AdJc6c5h2s Qc9c8d8c4s Jh8d7s5d3c JcTd7d5d2s 
KcTs6h3s2h Jc9d5s4h4d KcJc8s6d2c 8h7s6c5c2c 
Td7h5h4d2h Kc8d6h5c2c As9h8c6c4c KcJsJh6h2h 
Jc6s5s5d2d Qs8s8d4h4c AcQd9h5s2s JcTd7s7c2h 
Jd9d6h3s2s Tc8h8d7s2h Jh9h8s6c3h Jh9h7s2s2c 
Jd8h4d3s3h AdQs9c7c2h Qc8s8h7s4d TsTc9s3d2s 
AcTs8s3h3d QcTs4s4h3d Kh9d7d5d3c Th8s8c7h2d 
8s7c5c4c3h QhTsTh6h2h 9c7s5s4s3h Qs9h8c6h2d 
9d6h5h4h3c QsQh9d3s2s Th9c5c4s3d AcJh5s4d3d 
QhTd7s4d3d Jd7s6c5h3h Kd6c5d4d3d QsQd9d3d2c 
Ac7d5h5d3s 7s7d4s3h3c 8h7h7c5s2d AsTh7h4h3h 
QdJd7c3c2s JsTc7d6s2h AsTs7s7h2s QcJs8s6d2s 
Ts9s7s7c4s 9h6d5s3s3c AcTh8h3s3d AhJs8c6c3d 
AsQs9s2h2c QhJd4h3s2c Qh9h8d4d2h Jh9h5d4s4h 
Kh8c5s5c3s Ks9c8h7s3s Jh9d5s5c3s Qc8c7d7c4h 
AdQc9s2h2c Js8c5s3c2d Tc8h8d7h2s Ad9s6s5h4s 
Qh9s9h8h2d Qs5h4s3h2s Th7h6s4h4d Jc9s8s7s4s 
Jd7c4c3s3d ThTc9d3c2c Js6s5h5c4d Jc6h5d4c3s 
KsQsJs6d2s Ts7s6s5s3h 9h8h7s5h2d Jh9h8h5h3d 
Js7d6h4d2s Th5s5d4s3d 9d8h7c5s2s QdQc8s7s2s 
Tc7h5h4d2d AcKc9c5c3c KsTs4c3h3d Ks6d5s4c2s 
KsQs6h3d2c 9c7s6d4c3c 9d8s6c3c2s Ks8h8c7d4h 
Qh8s7h4d2d AdJd5d3h2c AdJc7h4s3s Ks8d8c6d4d 
QsTh9d7c2c Th7h6h5h3d AsJc3h3c2h AcJc8d3c2h 
Kc9d8s5d4h AdTc6h4s3c Kc7h5d4h3s JdJc5s5h2s 
Ts5d5c4c3d 9s7d6s3d2c JsJd9h6c2h KsQc4h4c3c 
Jh9d6h3s2d Ks7d6s3c2d AcQh6d3s3h Ts8h5c4h4d 
Kc9s9c4h3d 9c5h5c3s3d KhJd5d4d2s KcJc4h3s3c 
KcJc7d5s2c TsTc7s4d3s 9h8h8c6s2h KhQh6h5h2s 
Ks9h6s3h2s AsJh9c5d2d Ac9d8s5h2s KsJs7d5s2c 
KsTc9h3h3d 7h7d5s2h2c Ts8d6s4h3c Qc5s5c4c2s 
Ts9s9d3h2c QdJs8c4h2s Tc6h6c5d4c Jc8h6d5h3s 
KdTsTh7h2h Kd8h7d4c3s AdTc9h5s2s KdTd8d7h3d 
7s5d4d3h2s Td8s6d4c3h Js9d8h6s3s AcTh8s6s2s 
QdJd8h7s3d Jh9h5d3h2d QsJd6h4c2d KdQc9s4h4d 
Ah8h6h5h3d Tc9s7d4s3s Ah9s8d5c2d Ts9s7s6h2d 
Th7s7d5h3c Qs8s8d6c3s JhJdJcTd8c Jd9d6h4s3c 
Jd9d4c3s2c Qd8h6c4h2c AsJs8c3s2h QcJh5d2s2c 
KcQd8h7s3d 9s8s7d4d2s Qs9d7d5d4d AcTh5h4d3s 
9s9c5h5d2s AcTs6s4d3h Qd9d7c3d3c Kc6s4h4d3c 
Kc7h7d5h4h Ks8h6s5s2c Ts6c5d4s3h Js6d5c4s3h 
9c8c6d4s4h 9c8d7h4s4c QsTs7s5d3s Th7h6s6c3d 
KcQcJc9c3c QhQc8d7s2s Kc4d3d3c2s Qc9h9c8c2d 
Qs8h6s6c3d Ts9s7s5s5d Qc9s9h7d3h 9s8c6c3s2s 
Kh6h5c3s2d Ks8h7d5d5c QsTc6h4h2d Ah9s8c5c3d 
KcJc9c5c2h Jd9c7d3h2h Ts8c7s4d3h Th7s7c6c3c 
9s8d7c4s4h Jd7s5s4c3h KcQc8c5h2d AhTh5s5c2h 
Ks9c7c4s2s 9c5s4h3h3c QsJh6c5d2d 9s8d4h3s3h 
AsQd9s3c2s Ks6s5s4h4c QdTd9d7s2d Td8h8c7c3s 
KhTc9d3s3d Kd9s7s5s3s Jh6s6h4s2d QdTd5s3c2h 
9d6c5s3s3h KdTd9d5h2d Ah5s5d4h2h AcQc9h3s2c 
Qh8d7c2h2d Qd9s7c5s4s QdTc7h4s3h Jd6s6d4s2c 
Kh9d7s6s3s AcTd8h3s3d Ah8h6h5h3c As6h6c5c3d 
Qd9c7c5c3s Ts8d7s5c3s KcQs9h4d4c Kc7d6d3d2c 
AsKs4s3h2s KcQc7s7c4c KhJh8s6h2d Qc4d4c2d2c 
AsJd8c6c3h Jc9s9h6d3d 9s7h5c4s3s Js9c7h3s2c 
QhTh8c5h3h KsQc8d4h3s Jd9s8d3s2d 9d8s8d6h2d 
Qh9s8d7h4h KhJh8s8h4h KsJs7h5c2s Kc8h4d4c2h 
Ah9d8c4c2d As7s6s6c3s Qs9h5h5c4d AcQd6h3s3d 
Qh8h6d5s3h AdQd9h3d2c 9s9c7c4h3c Kd9h8c7h4s 
Ks8s8h5s4s AhJd6h4c2h AsQc7c6d2h JdTs7h5h2c 
Tc8c6h5d3c Ah7d7c4c2d 9d8s8h6c2s AdKhKdKc7d 
As9d8c6h3h Jh8s4s3s3h Jc8s7h5s3d KdQd6d4d3c 
QsTd8c4h3h Qc9c5c4h3s AdJs8c6c3h QsJd5c3d2h 
JhTd5c3h2s Tc7s5h5c4c 9c7s5s4d3s QcJd6s5h2h 
Ks9c7d7c2d 9c6h6d4c2h Js7c6d4c2s Js9c7d3s2c 
QdJc9h3s2c Jc7h6d4s4c Td9s7h6h2c 7h7d5c4d2s 
9d8d7s5d3d Ts6d5h4c3s Ts7s4h3s3h Ts9c6c4d3c 
9h7h5h4d3c Jh9h5h4d3c KsJd9h4h3h QsTd6s4s2c 
AhQh9h2s2c Ts8s5d3h2d Ad9c8h5h3s Ks9d7h6h3h 
8h7s7d6d3d Qd9c6c5c3c AdKh5s3c2c AcJs8d6h3d 
8s4s4h2h2c Ad7s7h3d2c 9h9d8d2s2d KhQc8c6c3s 
Jd9d8s6h2d Jd9h4s4h2d 9c7c6d4s3c AsKh5h3h2h 
As7s6s6d3s Jd8d5h4c2s 9d8h7s5c2s Jh7s7c6h2c 
KsQd9c4s4h QcJd7s5h2c Ts9s7s7d4s As9d8h5c2h 
9c8s6h6c3d Th9c7h6h2s 8d7d6d4d4c Ad7d6s6d3d 
QdThTd6d2d QhTc4s4c3d Qs8c6h6c4c QdJs5h3s2c 
KhJs8s6c3d Th8s8c6h3h Jc6s4s3d3c Tc8h6d4c3c 
Td6d5c4s3h Td7h7c5d3s Tc9s3c2s2h Qc6c5s4d4c 
QsQd7c4h2s QdTd8d6d3d KdQs9h4c2d KcQc7h7c4c 
8d7c4d2h2c Ac7c5s5h2c AdTd5h5c2d Qh9c8d6d2s 
Tc9s5s5h4s Ks9h8d5h4c 8s7h6h4h3c AsTc8h4c2c 
Ks9s9h4d3c Jc9h8d6c3c Qc9d6c3d2c KcTh6h5d2s 
QsQd7h4c2s KdQd6c5d2d 5d5c4s4d3h Td9h7d3d3c 
AhTh6h4d3h Jd7c4h4c3d 9h8h8d6h2c 9h6h6c5d3h 
AsJs8s3c2d Kh8c7c5s5d Qc9d8s8h2c Jc7d6h4s4c 
Jh6h6d4d2s Th8s5h4h4c Qc9c7c5s5d Kd9s7h3d3c 
Td8h6s4d3d Kc9d9c4s4h AsQs9s6s2d KsJs9s8d2s 
QsJd5c3h3c 7s7h4s4d3s Jh7h6s6d5h KsTd8h8d2c 
KsQc6d4c2c ThTd6s6c2d QhJh9s9h4h KhJc8s8d2h 
Kd8s7c4h3d 6h5s3s3h2c KcTs8s6s2h 9c8c7c4d2d 
Js9c5d3s3h Ks9h6s6c3s KdQs3h3d2c Kd9h8c7d3d 
Ts9d4s3c2c Qs9d8d5h4d Jh6h6d4d2c Th9s8h5h3h 
Qd9d6h6d3s Qh9s8c6s2d Th7s6s4c3s QdJh9c3s2h 
9d7s5h3h2s KdTh7s6h2c Qh9h8h8d4c 7d7c5h4c2s 
9s9c8h2h2d AsKsQs8s2s AdJc8d3s2d 7h7d6c3d2c 
AhJs6h4d2h 9d7c5d3h3d Jh8s5h3s2c QcJh8c7d3c 
Ks9s6h4s2h 9d7s6h4d3d KsJh8h5h3c AcTd6d4h3s 
Kh6s6d4h2c TsTd9c3s2s 8s8h6c2h2d Qh7d6s5c3c 
Jh7d6s4h4c 5s5d3s3d2s Kd7s7c5c4c QhJd6c4h2h 
8s7c5d4h2d JhJd7s3s2h AdQs7s6s3s Ah9h8s4d2h 
QsQh9d4d2c KdQd6s4c2d KsQh8d4c3s KsQs6s5s2h 
AhJc8d6s3d Ad7d6s6d2h AdJs8c6h3c Td8s5h2s2h 
KdQs4s3s3h AsJh8c4c3d Ac9d7s7d3d Jc8c6h3h3c 
Jc9c8c5c3d Ks6s5d3h2c Th9h8h7s3h AcJd6c4s2c 
7s6h4d2s2h Kc9s6h5h3d Qc5d5c3s3c Qd9d8s5d2c 
8d7c4d2s2c Ad9s6h4d3d AsJd8h8d2d KdTc9h3s3h 
As5d4s3h2s TsTd7h4c3c Th9d7c6c2s Kh8s4h3s3c 
JdTs6c5c2h Tc7h6c4s3c Td9s5c4c3h KcJc4h3d2s 
Kc7d6s6c3c KhTs8c5d2s KcTh6s6d3s As9h8h5h2c 
Kd9s4d3s2h QcJs6d4h2s 9h8d5s5c4h 8h6s5s3s2h 
Qc9c5c4h3d KcTh9d5h2h Ks9c4s3c2d AhTh5s5d2h 
8h7c5d4h2s 8s7d7c6c3c 9s5s5h3d3c Qs7h5s5c2h 
Kc9d7s3h3c Ks5h5c4c2h AsTc8d4h2c Kh7d4h4c2d 
Jh5d4d3h3c 9d6s5h4d3d JdJc8d4s3d Qc9d8c6h2c 
QdJc8c4h3c QsTc7c2s2c Qd9c8h7d4d AdJh7h5h2s 
Js6h5s5h2s Ts8h8c7c2d Jc8s6h5s3d Js8s6h3s3h 
Ad9s8h5h3c Jd8c7s5h2d Kh9h9d8h2c Qs8c6d4d2c 
Jh9h7d2s2d KsQc8h4d3s Kd8d7s7c3h AsQh5h3c2d 
Qd9d5d4s3h Td8d7d6s3d QhTs4h4c3h AhQh7s7h3h 
Qc8s4d4c3s JsJd4s2s2h KcTd9h5h2s Qc6h4d4c2h 
Qd5s4d2s2c Tc8s7h5d3d AhKc5d3s2s Jc9c5d3c2d 
AcKs3s3h2s 7c6s4d2s2d Ts9h8s5s3s 7h6s5d4c2c 
Jc9c5c4s3h 9c7h6h4s4h AhTd8s5s2s 9h6c5d5c4c 
KcTd8c4c2h Ks6c5d3h2s Tc9h5h4d3s Jc9c6s2s2h 
QsJc8s7d3s Kd7s5c4s3h AdTs6c4h3s 9s9h8h7c3h 
9s7h4s4h3h Qd9c8h5s5c AsJd8h4c2d KhTh7d7c2s 
AdTs9c5h2h Tc9s8s5s2d Ts7c5c4s2c Kc6h3h2d2c 
Qd6s5h5d3c Qh9d6d6c4s Js8d4c2s2d ThTd8c5s2c 
9s8h7c6d2d Jc7h6d5s3h Jc7s7d6c2s KsQh9c4d2s 
Kh7d6h3c2d AsTh9c5c2d Kh9d6h3d2h TsTc9h3c2c 
Kd6h5d4s2d KdQh6c4h2h Qc9d8c5c2s KdTc6s2s2c 
Jh9s9d5s2s Qc6c5h3c2h Tc6h6d2d2c QcJc6d3s3h 
Ac9d8d3s2s AsQc9c6c3c KdJdJc6d2d Ks9s9h8d4s 
Qs9d7d5h4d Ah9d8s6s3c QhJh9c7h2s Kh9d4h3d2c 
KsTc6h3c2h QsJc8c6d2c Kh8s8d7c4d Ts7c6s4d3s 
AcQh9d5s2s Qs7d5s5c2d Ad9d8d5h2d KdQsJc8c3c 
Qh9h8d3h3d AcTs8d5d2d JdTh4d4c2s Kd9d8s7h2d 
QsJs9d7s3s AcQd8h7h2h 9d7s4h3s3h Jc8s5s5d4s 
Kh8s7h4s2h Td9c5c4s3h AdJc9s9d9c Jd4h4d2h2c 
KhJc8c6d3s 9c8s6d6c3h Jc7h7c4s4c 9s7s5s4c3d 
Qc8h5c3h2d Js8h4d2s2h 9c8s7s5s2d TdTc6c5h2s 
JsTd7h5h2c Td9h8d7d2d JhTd4d3d3c Js9s5h4s4d 
Qd7h7d4s4c 8d7s6d4h3d AcJh8s4s3d AhQd6s3d3c 
Js9s8s3c2c 9c7d6d5d2s Kd9h6h3d2d KsQc5s5h2s 
KsJs4d3s3h Qd9s8h5s3c AdJd4h2s2d Qc9s9c4s2c 
Td8d7s5h3d KsTd8h6d2d Qh8s8c4h4d KhTc8d5s2c 
ThTc6c3s2s Ac7d6c3h2s Ts8h5s2s2h Qh8d6c4d2c 
Kh9h6s5h3h KcQd9d7s2h Ks8s6s5s5h QdJc9h6c2c 
KcTd8s6d2d AsJd7d5d2h Kc4h3d2h2c 9s5c4s4c3d 
8d7c6h5h2h 9d7c5h5d3d Qh9d6s6d4c Tc9s3h2h2c 
JsJd6h4c3h KcJs6s4s4d Jd9d6c3h2h Js9s5c4s4d 
KhQs9d8c2c Td8d7d5d4d Kh7d7c5d4d Kd9c7h7d3d 
Jh9s8c6h3h Kc8s8d5h4s AdTsTd4d2d 9h7c5c4d4c 
Kh8h6c3h3c Kc6h6c5c2s Ad7d4s3d2s QdTc6c4c3c 
ThTd4s4c3h 9c5s4s4c3d 7h7c4h3s3h KdQd8s5d2c 
AhJc9d4s3s AsTd6d4c3h QdJs8d5d3d Qd9s8c5d2d 
AhJh8h4c2h Th9h5h4s4d QsTc9h4h2h Qh8h8c6d3h 
KcJsJd6s2s Qc9d8s6d3h KsJs7h2h2d Kd7h6s6d3d 
Ac9s6s5h4s 8s6s5s4s2c Kd8h6s5s5c KcQs8s6s3d 
QsJh9d3c2h QsJh4s3d2c 9s8h8c3d3c Qh9h8c5h2s 
7d6h4s4d2s Kh9c6s6h3h Js8h5s3h2d JhTs4h4d2c 
Qc7d7c4s4h Qc9s9h6d3d Jc8s8c7c4c 8h8c7c3s3d 
Qd9s7s6s4s Td9d7d6c2h Ks9d4s3d2c Kd9d8c7s2d 
Qh5h5d3h3c 9d7h6h4h4c Td7c5s5c4h KdQcJh8h3h 
AhKd3d3c2d Kc8s7d6c2c Td9s8s5c2s Qh9h5h4s3d 
Qh8h6s5c3h AhQh7h7d3h KcTc5h4c2s AcJh8s6s3d 
Qh7c6d6c4s AsJd8c3h3d KcTs9d4s2h QhJs9d4d3d 
Kc6h5s3c2d 7d7c4s4c3c Kd9d8h6s3d AcTs9h5h2h 
AhTh7h3s3h JhTh8h3s3d Th8d5d3s2h Qh7d6d5c3d 
Kd8c5s5c3s 9h8h7d6s2h 8d8c7s6s3s KdJh9h6h3h 
Jc8s7h3s3h Jh9d8h6h3s JcTh8c2d2c AhKs9h6h2h 
Ts6s5h4d3c AsQd9h2d2c AsJs6s3h3c 9s9h8h7d3h 
7s5h5d2h2c Td6h5c4s3d Ks9h7h3s2s Qc8s8c6d3c 
9h7s7h3h3c Jc8c5d4h2s Ts7c5d5c4h KsQs5s4d2s 
Js8s5c3d2d Tc8d7h5s3s AcJh9s5s2s QhTh7h5c3h 
9s8c7h6d2d Qs8c6s6d3h 7c6s5h4s2d 9s7s5s5h2h 
9d6s6c4d2s AsTs9s7s2s Qs8s5d3h2d QsJs8d7c3s 
Th9s7h3s2s KcJd6d5d3d AsKc3s3h3c 8s8d6h2s2c 
QcTs6s4h2d 7c5h5d2s2d Qs8s6d3h2h KhTh8d4c2h 
KcQs7c4d4c Kd7h5h4c3s ThTd7h4s3h Jd9h5s5c3c 
AdJc8h4s2c 9s8s7d5s3s AhJh5h3c2s Jc9c8c6d2s 
Tc9d8c4h4c Th8s6c4h3d 8s7h6d5d2d Tc9h5h5d4h 
KsJhJd6h2h Ts9h3s2h2d Qd9h8d5d2s 9s8h7d4s4c 
9c8s7d5h2d JhTd6h6c2s QsJsTc7s2s Kc9d8h7c3c 
9c5d4s3s3c Ac7h7c4c2d Qd8c7h2d2c Th9c8h4s4h 
Qh8d5h3d2c Tc8d6s4c3c Qc9s6c3s2c 9c8c7h5c3c 
Qc9d8c6s2c Ac7s7h6d3h Ks6c4h4d3s QsTh8c4d3d 
7s6h5d4h2c Jd9h8d6d3c KcQd9s3h2c AdQc8s7s2s 
Jc9h6c3d2h KsTs9c5s2s KsQh8s4c3d Jh9h8h6c2s 
QcTh8s4d3d 9d5s4c3d3c As5s4s4c2d QhJc9s3d2c 
KhJc8c5s3c AsQd8h4c2d Kc7h5h5d4s Kd9h8c6h4h 
9h7d6h4h4c Kc8s6d6c2h Jd9d7c2s2c 9h9c8c7s3c 
Jc9h5h5d3s KsQh3s3c2d Kd6s5h3d2c Jd9d8c7s2d 
AsTh8d4c2h Jd9s9c6h3h KcQs7c4h2d Jc8h4s4h3c 
Jd9d5s5h4d Ts8h7h3d2s KsJc6c5c3c KdJs7s4h4c 
8d8c7h2s2d AdKd8d4c3d Kc9c8h8c4d 9c7h6h4h3s 
QdTh4d4c3d AhQd7d6c2s AcTc6c4c3d KdJc8c5s5c 
Th8h6d3c2d Ts7s6c4c2s Kd9d8h6c3d Tc9h7s6s2d 
Th8s7h4c3d 9d8c4c3h3d Qs8s6h5c3s Jc9s8h8d3h 
9s7c5c4d3c Kh8s8d5s5c 8h6c5c4d2c AsJd7h4c3c 
9d7h5h4c3h As9h6h6c2c KsTh6c5h2d Qh7s7c5c2s 
Jc7s6h6d5s Ks8d6c5h5c 9d6c5c4c3s Ks8c4s4d2d 
9s7d5s5h3s Th8s8h5c3h KcQc8s2s2d KcTc5s4c2d 
Th8h8c7s3h KsKhKcJc9d QcTs5s5h3s JsJd8s4h3s 
Ad9c7h7c3c 8d7s7d5h2c JsJd9c4d2d JcTs6c4c3c 
QsTd5c4c2h QcJc9c7h2d 6h6c4s4d2s Qs9s8c7s3d 
KcQd6h6d3d KhQc8d7s3c KhTc7h4h3h 6h5d3h3d2s 
KsKhKd6s3h 9d6s5c3h3c Tc7c6h4s4c Kc7c5s4d2h 
Jc9d7h3c2d KsTsTd3s2h Qd8h8d6c3d JcTc7d4c2h 
QhTs4s4d3c Th7s6s4s3d Kc8c7h6d3c JdTd6s6h2c 
Js9c4d4c2s Kh8c6h4s2d AcJs5h4d2s Ks9d6s6h3s 
Qh8h6s5d3h Jh4s4c2s2h Kh6h6c4s2d KcJc8c4d3s 
Kc9h9d3s3c 9c8d4h4c3d AhTh9d4h2h Js9s8c3s2c 
Jd7c5c4d2d Kh8s4s2h2c Ts5h5c4h3c ThTc6c3c2h 
KhTc5d2s2h JsJc4c2d2c JsJh6s3h2h Qd9c8s5d2d 
AcQd8s4h2d Qc9h8s5c2c 9d8c4h4d3c Kc8s6h6d3c 
QdTs6s5c2s Js8s5h2s2h AhTd5d4s3c Jh4s4d2s2h 
KcTc8h6c2c KsQs8h6s2c As9h6d3s2c Ac9c8s4d2c 
QsTs5s3h3c Tc8h7d5s3s 9c7h6d4d3d KcJh6h4h4d 
Th8s6d4h3h AhTc5d4c3s JdTd6c5d2h Jd9d8d6s2h 
9s8c7c5c2h 9d8s4d4c3s Qc7h6h5d3s Qc9s5s4h2h 
Js9c8h5d2h Jd9h8s5c2s 9s7d5d4d2s JsJc6h6d2c 
QcJd9s7h2d Th9s8c3h3d Jh9c8s5d2s Tc6d5s4h3c 
Ks7h5h3s2s KsTc9d4c2h KdTs6h2s2h AdJd4s2d2c 
AsTc9d6h2d 9h6h6d4d2h AcTs9d6h2d 9d8h7s6c2h 
Jd8h8d7d4d TsTh6s3d2d Kh4c3s2h2c 9c7s5c3s2c 
9h6h6d4h2d Ah9h8h4d2c QdTd7c3c2c TdTc9h3d2d 
Js7h5h4d3c KhQhJh6d2h 9h8d6h6c3s QcTd5h4h2s 
Qh8c7h4s2s Ks8d6h4h2d KdJh8h7c2s KcTh6s2s2h 
Th6c5d4s3h KsJh8h5d3h Jc9c4h3d2h Th8h7s5c3h 
JdTh4h3s3h Tc8s7s5d3s KsQc9d4h2s 7d6d5d4s4d 
Qc8h6h6d4h AsQd5d3h2c JsJhJcTs8h Kc9c8s7d2c 
Tc9d7h6s2h JsJc9h4s2s 9d8h8c6s2h 9s7c5s3h3d 
9c7c6c5h2s Tc5h4s4c3s AsTc6c4d3h KsQd3s3c2h 
Qd8h8d6s3d KdJs9s6s3s KcQc5s3d2c TsTd8h5h2h 
Jc6h5h5c2c Tc9s9c5c2h QhJh8d7s3h Jd7c6h6c2d 
9d6h5d5c3s JsJh9h6h2h 9d9c7d4h3d 9h9d8c5h2h 
8s5s4s4c2c Jd9h7c4s4d Ts8d8c6s3s Kc7d6c3s2d 
Jd9d5h4d4c AsTc6d5c3c Kc8s4c3s3d Js9s8s5s3c 
Qd9d8s3s2d Jd8h6s5h3c Ks9h8s4h2s QdJc9h4c2s 
9h7c5s5c3c AcJd8c3h2c 7d6c5d4d2s Js9c4s4d2c 
AsTd8c3h3d AsKs8d3s2h KhQs9c4d2h Kc7s7h6c3c 
KdTc6s5c2h TsTc6c5h2d KhJs6s5d2s Ks8d4s3d3c 
AsQh6h4d2c Kc6c5c4h4d AdQc9s7s2h Jd8h4s2h2d 
9s9d8s2s2h Kh9h9c8s4h Kh8h7d7c3s AhJs9s9h9d 
Td7d6d5d3c 8c5c4s4c2s AdKd7s2d2c Qc8h5c4s4d 
QsJd8c4h2d Jd7s4s3h3d AsJc6c5h2d 9h7d6c4c3c 
Js8c4d4c3s AhTd6d4s3c 8d7c6d4h3d Td7d6s6c3h 
7c6s6c5h2d Ks8h7c5d5c KdTh6s6c3c Jh9h4d3s2d 
Th7h6d4c3h 9h7s6s2s2h Qh5s4s4d3d JdTc7h7d2s 
Jd9d5s4h4d Ts9d3s2d2c 9d8h5s4h4c 9h9d8h7h2s 
AdQh9d3c2d 9d5c4d4c3h QcJh9s4h2d 7d5h4s3d2s 
9h7d5s5d3d 8d7h6d4s3d Ks8h6d5d5c Kc8s6c5h2c 
Qd9d5c3c2d Kd7d5c4h2s Ah9d8c6s3s Td8h5d4d4c 
KsQh7s4s4d QdTh8h7s2h QcJc9h9c2c Kc9c8s5d5c 
Qh9c7c5c3s Ts7s6s6d3c AcJd5h4s3s Th9h8c5h3h 
8d7s5h4d2c Jc7h4s4h3c Qs9s8s8c2d Tc9d4c3s2s 
KdJd8d5d5c Ks9s8s6s4c QhJc6d4s2c QcJh8c7c2d 
Ks6s4h4c3d Kc8c6c5h5c AdQc4s4h2c AdJc9h5h2h 
Th8s8c7s2d KcQs8h8c4c Qh7s7h4d4c Ks9c8h5c4d 
QhTd7s4c3c Ad7h6d2s2c Ad9h7s7h3h Kd9s7s3d2d 
Ts9h7s3s3c Qc9h9d6s3s Th7s5s5c4d Jc8s5h4c2d 
KsJd8d5h5d AhJc8s4d3s QsJh6d4c2h JdTc5h3s2d 
9s7d6s4s4c AcTs8s4h2s Kd7s7h3s3h Ac9s9h5s4s 
Th8h5d5c4h KhQd8c4s3h Kc8s4d4c2d KdJd8d6c2h 
KsQd9c4h2s Kd8d7s6h3d KhQs4s3s3c Ah7d7c4d2c 
Kc7c5d4h2s Th9h8d7h2h Js9h8d5c2d 9c8c7d5c2h 
